0AveragePolicyStd,1EnvExecTime,LossBefore,0StdReturn,1StdReturn,MeanKLBefore,1NumTrajs,0AverageReturn,0PolicyExecTime,1AverageReturn,dLoss,LossAfter,0Entropy,1MinReturn,0MaxReturn,MeanKL,1PolicyExecTime,1MaxReturn,1Perplexity,1ExplainedVariance,0Perplexity,0ProcessExecTime,0EnvExecTime,Time,1Entropy,ItrTime,1AveragePolicyStd,0NumTrajs,0MinReturn,1ProcessExecTime,ComputeUpdatedDistTime,0ExplainedVariance
0.964932,13.799566984176636,8.14907252789e-10,422.138602831,791.635157268,4.65659538706e-10,1200,143.0,15.81995153427124,439.333333333,0.00761104177218,-0.00761104095727,2.76639,0.0,2400.0,0.00686352513731,23.433659076690674,2900.0,15.8792,0.272992077308,15.9012,0.655371904373169,14.363412857055664,882.5027720928192,2.76501,71.85537338256836,0.964261,1200,0.0,0.6169712543487549,0.1040642261505127,0.114707215086
0.958043,14.165320873260498,-2.32830643654e-10,406.588107166,764.763902384,9.31322352571e-10,1200,128.333333333,15.686098575592041,421.083333333,0.00696467724629,-0.00696467747912,2.75215,0.0,2400.0,0.00706968968734,23.854873418807983,2700.0,15.5441,0.279041734219,15.6762,0.6485931873321533,14.200616598129272,956.710785150528,2.74368,72.35581994056702,0.954009,1200,0.0,0.6295685768127441,0.0827476978302002,0.092563381821
0.955566,14.173033237457275,-9.02218744159e-10,457.237470213,783.455269765,-2.79397038838e-09,1200,150.75,15.573315382003784,443.083333333,0.00805018658866,-0.00805018749088,2.74696,0.0,2500.0,0.00732358312234,23.802350997924805,2700.0,15.5783,0.253415005186,15.5952,0.643437385559082,14.07652997970581,1030.6852893829346,2.74588,72.03001070022583,0.955054,1200,0.0,0.6386642456054688,0.07382702827453613,0.10991121765
0.952791,13.871915340423584,-2.03363015316e-09,438.63803573,811.244410184,2.79396639158e-09,1200,136.583333333,14.620026111602783,428.416666667,0.00709087291398,-0.00709087494761,2.7411,0.0,2600.0,0.00667251553386,24.65255880355835,2800.0,15.5147,0.257553552708,15.5041,0.6373059749603271,13.988725423812866,1104.071970462799,2.74179,71.59672045707703,0.953114,1200,0.0,0.6134366989135742,0.0827488899230957,0.102117426518
0.953039,14.195950508117676,-1.16415321827e-09,430.742253429,804.069078707,1.39698208557e-09,1200,146.666666667,14.755043506622314,442.5,0.0076038048137,-0.00760380597785,2.74161,0.0,2500.0,0.00682907504961,24.634589910507202,2700.0,15.462,0.26323365379,15.512,0.6540141105651855,14.277193784713745,1177.969803094864,2.73838,72.26933169364929,0.95154,1200,0.0,0.6305286884307861,0.09266304969787598,0.0802762271685
0.94955,13.959658861160278,-3.49245965481e-09,446.720076098,835.783560333,3.72529029846e-09,1200,156.416666667,14.618088960647583,507.583333333,0.00773480557837,-0.00773480907083,2.73431,0.0,2300.0,0.0071346797049,24.4857120513916,2700.0,15.2845,0.282630850045,15.3992,0.6294877529144287,13.931109428405762,1251.6345839500427,2.72684,71.4616584777832,0.946021,1200,0.0,0.6163408756256104,0.0847616195678711,0.109323317603
0.937087,13.926082849502563,-2.32830643654e-09,493.15530994,848.013610347,-3.72529473935e-09,1200,176.416666667,14.509873151779175,502.5,0.00793947232887,-0.00793947465718,2.70792,0.0,2400.0,0.00712188659236,24.322666883468628,2700.0,14.8682,0.263032256291,14.998,0.6351830959320068,14.00503659248352,1324.8790683746338,2.69922,71.12583351135254,0.933042,1200,0.0,0.6073598861694336,0.08066129684448242,0.113949645142
0.929178,14.131235361099243,-2.67755240202e-09,453.339269263,863.503807976,1.30385320318e-08,1200,150.416666667,15.336471796035767,495.583333333,0.00865729630459,-0.00865729898214,2.69096,0.0,2600.0,0.0068414346315,24.690064907073975,2900.0,14.6163,0.303834919928,14.7459,0.6537344455718994,14.55454397201538,1399.9515578746796,2.68214,73.06372809410095,0.925101,1200,0.0,0.6171035766601562,0.07415938377380371,0.0953322490086
0.92488,14.16116213798523,-6.98491930962e-10,472.021178609,878.926602295,-1.86264470514e-09,1200,162.083333333,15.15772533416748,518.833333333,0.00780928903259,-0.00780928973109,2.68168,0.0,2500.0,0.00677189556882,24.634805917739868,2800.0,14.5463,0.218680861405,14.6097,0.6629006862640381,14.630909204483032,1474.7690644264221,2.67734,73.06613540649414,0.922893,1200,0.0,0.6182684898376465,0.08918595314025879,0.102316387923
0.917246,13.734830617904663,-1.2805685401e-09,517.732207699,911.673049947,-5.58793367134e-09,1200,189.833333333,15.242834568023682,551.5,0.0073630331317,-0.00736303441226,2.6651,0.0,2500.0,0.00666012056172,23.381945371627808,2700.0,14.3189,0.300868311922,14.3694,0.6662938594818115,14.776391506195068,1548.3982665538788,2.66158,71.48767566680908,0.915639,1200,0.0,0.596977710723877,0.07336950302124023,0.0955448468193
0.912218,13.958425521850586,-1.62981450558e-09,561.252542682,912.290752264,9.31322841069e-09,1200,221.5,15.54900574684143,531.5,0.00815414381213,-0.00815414544195,2.65413,0.0,2400.0,0.00939787365496,23.89682960510254,2700.0,14.282,0.253082545814,14.2126,0.6720771789550781,14.811076402664185,1622.7016534805298,2.659,72.58798003196716,0.914469,1200,0.0,0.6132204532623291,0.0856773853302002,0.117358807545
0.902516,13.74261212348938,-1.86264514923e-09,571.803670415,953.659253729,-1.86264603741e-09,1200,226.75,16.405994176864624,579.166666667,0.00768203660846,-0.0076820384711,2.63274,0.0,2600.0,0.00744846416637,22.658525466918945,2900.0,13.8479,0.29234211569,13.9118,0.6833844184875488,15.03042483329773,1697.3720445632935,2.62814,73.01104092597961,0.900467,1200,0.0,0.6006972789764404,0.07265615463256836,0.100641197571
0.898972,13.775922536849976,2.19733919948e-09,578.542973531,972.735261461,-1.86264437207e-09,1200,227.166666667,16.287810802459717,628.333333333,0.0115364607045,-0.0115364585072,2.62486,0.0,2700.0,0.00952145457268,22.39350438117981,2800.0,13.6708,0.337007964904,13.8027,0.6717982292175293,14.902796030044556,1772.1001312732697,2.61526,72.80357313156128,0.894677,1200,0.0,0.5994546413421631,0.07847142219543457,0.110156175752
0.894478,13.85725474357605,3.40151018463e-09,609.112463389,974.535783363,-3.72528874415e-09,1200,246.083333333,15.889337062835693,536.583333333,0.00668241749736,-0.00668241409585,2.61479,0.0,2700.0,0.00736618321389,22.462404012680054,2800.0,13.5884,0.268003796665,13.6643,0.6572256088256836,14.454257488250732,1844.961431980133,2.60921,71.08141899108887,0.89201,1200,0.0,0.6006612777709961,0.07752084732055664,0.103329951132
0.890982,13.692319393157959,-8.73114913702e-10,621.184883688,972.524346311,1.30385124919e-08,1200,255.416666667,16.254692554473877,575.75,0.0108248964534,-0.0108248973265,2.60693,0.0,2700.0,0.00983913429081,22.45889639854431,2900.0,13.4839,0.311499965888,13.5574,0.661949634552002,14.560323238372803,1918.761881828308,2.6015,71.42477107048035,0.888604,1200,0.0,0.5984275341033936,0.07633137702941895,0.10463409767
0.887225,13.803168773651123,-2.32830643654e-09,615.78132392,1018.89237246,-1.86264470514e-09,1200,256.833333333,16.75577211380005,695.0,0.00716889323667,-0.00716889556497,2.59841,0.0,2500.0,0.00727658392861,22.741552114486694,2800.0,13.3405,0.339413838926,13.4423,0.6583042144775391,14.511987447738647,1992.7283823490143,2.5908,72.23368310928345,0.883865,1200,0.0,0.6066157817840576,0.0749657154083252,0.103074642278
0.882,14.170628786087036,4.65661287308e-10,607.551643895,1020.73829149,3.72528918824e-09,1200,241.0,15.805964231491089,610.083333333,0.00715009355918,-0.00715009309351,2.58656,0.0,2500.0,0.00706861307845,23.92593264579773,2900.0,13.2003,0.343620104599,13.284,0.6422276496887207,14.342557907104492,2067.4386966228485,2.58024,72.66516375541687,0.879252,1200,0.0,0.6157541275024414,0.07971882820129395,0.115293402242
0.874376,13.965644359588623,-6.98491930962e-10,601.66537396,1081.67447031,-3.72528896619e-09,1200,244.333333333,15.56740117073059,728.083333333,0.00749032828026,-0.00749032897875,2.56919,0.0,2600.0,0.00698545761406,23.493420362472534,2900.0,12.982,0.378120248075,13.0552,0.6553616523742676,14.316091537475586,2141.3889122009277,2.56356,71.71636939048767,0.871914,1200,0.0,0.6082973480224609,0.08063721656799316,0.0953936341798
0.858374,14.131566047668457,2.21189111471e-09,629.649235465,1024.7546827,7.45057970875e-09,1200,267.083333333,15.871784925460815,616.916666667,0.00705967040267,-0.00705966819078,2.53215,0.0,2600.0,0.00877241790295,23.75423240661621,2800.0,12.4749,0.304980345011,12.5805,0.6594550609588623,14.531644821166992,2216.7299535274506,2.52372,72.64477777481079,0.854825,1200,0.0,0.6215450763702393,0.07391810417175293,0.0934175573163
0.844089,14.178871631622314,2.56113708019e-09,616.480146342,1045.76221206,3.72528874415e-09,1200,259.25,15.946920394897461,621.75,0.0103505260777,-0.0103505235165,2.49843,0.0,2600.0,0.00668956665322,23.799655437469482,2900.0,12.135,0.305041006524,12.1634,0.6596739292144775,14.594377756118774,2291.6855869293213,2.49609,72.89307522773743,0.843111,1200,0.0,0.6131339073181152,0.0804147720336914,0.0815628121117
0.837717,13.846368789672852,-3.37604433298e-09,650.020170627,1016.52671168,-3.72528874415e-09,1200,280.666666667,15.602349758148193,639.666666667,0.00894749199506,-0.0089474953711,2.48348,0.0,2800.0,0.00954253505915,23.33790349960327,2900.0,11.9683,0.293182458094,11.9829,0.648230791091919,14.283885717391968,2365.211864709854,2.48226,71.48139500617981,0.837219,1200,0.0,0.6090488433837891,0.0852360725402832,0.0975313391609
0.830466,13.673346281051636,-2.79396772385e-09,656.775451015,1077.54401496,0.0,1200,284.583333333,16.054583311080933,739.25,0.00686064362526,-0.00686064641923,2.46616,0.0,2600.0,0.00955180078745,23.27263641357422,2900.0,11.7402,0.356125008966,11.7771,0.6689736843109131,14.71566653251648,2439.363079547882,2.46301,72.14429831504822,0.829185,1200,0.0,0.5970957279205322,0.11291265487670898,0.105988710645
0.823184,13.88333249092102,4.65661287308e-10,641.173138127,1062.8417751,3.72528874415e-09,1200,271.916666667,16.037253856658936,650.833333333,0.00625312700868,-0.00625312654302,2.44862,0.0,2700.0,0.00607757968828,22.68404507637024,2900.0,11.5479,0.307199065932,11.5724,0.6780843734741211,14.80693244934082,2514.2766790390015,2.4465,72.98129343986511,0.822348,1200,0.0,0.602241039276123,0.07757711410522461,0.0828223337678
0.817427,13.920527458190918,-1.62981450558e-09,698.258766902,1059.01495111,3.72528874415e-09,1200,307.166666667,16.28903555870056,702.0,0.00589154171757,-0.00589154334739,2.43469,0.0,2800.0,0.00706354249269,22.56062078475952,2800.0,11.3472,0.326680588617,11.4123,0.6841073036193848,15.044912099838257,2588.524272918701,2.42897,72.26715636253357,0.815101,1200,0.0,0.611215353012085,0.07498931884765625,0.10290250455
0.808168,13.687212944030762,1.39698386192e-09,671.763764694,1065.63361433,0.0,1200,299.666666667,17.043920516967773,655.0,0.00627460610121,-0.00627460470423,2.41191,0.0,2600.0,0.00782181508839,22.429896116256714,2900.0,11.1292,0.32553024115,11.1552,0.6868054866790771,15.033920764923096,2662.9707403182983,2.40957,72.63012409210205,0.807235,1200,0.0,0.5935769081115723,0.08532142639160156,0.0784365046009
0.792778,13.657100439071655,1.86264514923e-09,685.268479422,1085.53825615,3.72528874415e-09,1200,297.333333333,16.953024864196777,738.166666667,0.00517818983644,-0.0051781879738,2.37345,0.0,2700.0,0.00675363978371,22.30595636367798,2900.0,10.6974,0.272250932364,10.7344,0.6748538017272949,14.718235969543457,2736.929361820221,2.37,72.00851631164551,0.791426,1200,0.0,0.5968291759490967,0.0773627758026123,0.0764755170039
0.78362,14.083879470825195,8.14907252789e-10,726.480021902,1062.79889587,0.0,1200,323.666666667,16.678285121917725,680.416666667,0.0060765062226,-0.00607650540769,2.3501,0.0,2700.0,0.00725110527128,23.39010500907898,2800.0,10.4604,0.308688785596,10.4866,0.6680421829223633,14.596371173858643,2812.1064219474792,2.3476,73.16759872436523,0.782644,1200,0.0,0.6154344081878662,0.09039616584777832,0.087686991458
0.770125,14.11026906967163,-1.16415321827e-09,752.135732247,1089.89826233,-7.4505774883e-09,1200,352.916666667,16.763403177261353,721.333333333,0.00758888502605,-0.00758888619021,2.31544,0.0,2800.0,0.00958205014467,23.031373977661133,2900.0,10.0504,0.3264309357,10.1294,0.6662063598632812,14.571683168411255,2886.7739429473877,2.30761,72.89448523521423,0.767139,1200,0.0,0.6252529621124268,0.07661771774291992,0.0934745867719
0.755932,14.249200344085693,4.65661287308e-10,776.935146729,1076.97162864,-7.4505774883e-09,1200,354.666666667,16.68794536590576,694.333333333,0.00662093656138,-0.00662093609571,2.27826,0.0,2700.0,0.0064177531749,23.231573343276978,2900.0,9.70561,0.289085728313,9.75968,0.6769497394561768,14.59644627571106,2962.0273053646088,2.2727,73.26081919670105,0.753842,1200,0.0,0.6241166591644287,0.10395050048828125,0.112987348001
0.746431,14.569724559783936,-4.65661287308e-10,770.005411236,1132.09805229,0.0,1200,355.0,15.701389789581299,698.0,0.00495635485277,-0.00495635531843,2.25296,0.0,2700.0,0.00716612301767,24.221988916397095,3000.0,9.49646,0.298279108503,9.51583,0.6610634326934814,14.41821551322937,3037.615432739258,2.25092,73.59762120246887,0.745682,1200,0.0,0.6423828601837158,0.08379268646240234,0.101497949911
