0ExplainedVariance,1EnvExecTime,0Entropy,0Perplexity,1AverageReturn,0MaxReturn,1AveragePolicyStd,1StdReturn,MeanKLBefore,0EnvExecTime,1MaxReturn,0AveragePolicyStd,ItrTime,1ProcessExecTime,1PolicyExecTime,0AverageReturn,0StdReturn,ComputeUpdatedDistTime,1NumTrajs,LossBefore,1MinReturn,0PolicyExecTime,0NumTrajs,1Entropy,0ProcessExecTime,1Perplexity,LossAfter,MeanKL,0MinReturn,Time,1ExplainedVariance,dLoss
0.0716363699577,24.62016201019287,2.66921,14.4285,678.2,2000.0,0.921413,920.60021725,1.86264403901e-09,25.536462783813477,2800.0,0.919177,140.40810132026672,1.127871036529541,45.89423322677612,44.7,219.230267071,0.11873292922973633,2000,-1.16415321827e-09,0.0,36.99281287193298,2000,2.67407,1.2084283828735352,14.4988,-0.0067724226974,0.00773973204195,0.0,2434.5022585392,0.427205810059,0.00677242153324
0.0911453604498,24.26581835746765,2.65573,14.2353,792.85,1900.0,0.912048,989.284528081,5.58793189498e-09,24.09057855606079,2900.0,0.913125,131.65417337417603,1.1011195182800293,45.988545656204224,52.6,238.019410973,0.0945737361907959,2000,5.92990545556e-10,0.0,29.508885383605957,2000,2.65331,1.1407153606414795,14.2009,-0.00509953778237,0.00701323943213,0.0,2569.8053302764893,0.426814946971,0.00509953837536
0.0726930399099,24.16508674621582,2.61346,13.6462,668.25,1800.0,0.895733,898.090717856,1.11758815535e-08,24.27863073348999,2800.0,0.894165,129.5881061553955,1.09852933883667,43.72990965843201,39.95,197.936852304,0.1145789623260498,2000,-1.22236087918e-09,0.0,29.55284547805786,2000,2.61693,1.1557273864746094,13.6937,-0.00749137159437,0.00995707605034,0.0,2703.312681913376,0.406447654119,0.00749137037201
0.0857679765996,24.39457130432129,2.58484,13.2611,768.2,1800.0,0.882433,934.895052934,-3.72528918824e-09,24.40220069885254,2800.0,0.881603,130.82933163642883,1.1057407855987549,44.60557961463928,45.5,223.091349003,0.10644197463989258,2000,1.20780896395e-09,0.0,30.033832788467407,2000,2.58668,1.1547822952270508,13.2856,-0.00543368048966,0.00940134190023,0.0,2837.9179697036743,0.410014492168,0.00543368169747
0.081179043425,24.571693658828735,2.5216,12.4486,838.15,1900.0,0.856082,1030.85866029,1.11758708954e-08,24.584545373916626,2900.0,0.854101,134.93532419204712,1.1255159378051758,44.39202570915222,39.0,204.178843174,0.1077120304107666,2000,5.82076609135e-11,0.0,33.075082778930664,2000,2.52633,1.1717352867126465,12.5075,-0.00519514176995,0.00789010059088,0.0,2976.6885352134705,0.435924085855,0.00519514182815
0.083924802585,24.10541534423828,2.50521,12.2461,794.9,1700.0,0.845486,977.330031259,-7.45058592599e-09,23.863852500915527,2900.0,0.847074,129.3180696964264,1.1038014888763428,46.4401273727417,36.3,196.143595358,0.09295177459716797,2000,-4.07453626394e-10,0.0,27.545141220092773,2000,2.50139,1.1199076175689697,12.1994,-0.00295403460041,0.00920040532947,0.0,3109.969339132309,0.418506140392,0.00295403419295
0.084327871192,24.042375802993774,2.46001,11.705,931.05,1800.0,0.829141,1051.66101834,-3.72529074255e-09,24.16068434715271,2900.0,0.828297,128.29810070991516,1.088305950164795,43.13083815574646,39.65,210.17344623,0.09720587730407715,2000,-2.39742803387e-09,0.0,29.5733425617218,2000,2.46191,1.1447093486785889,11.7272,-0.00380080775358,0.00698489136994,0.0,3242.1991941928864,0.437906354911,0.00380080535615
0.0597804978402,24.222548484802246,2.39985,11.0216,944.5,1800.0,0.805059,1047.6830389,-3.72529207482e-09,24.479541540145874,2900.0,0.80382,132.8667049407959,1.0880584716796875,44.03569960594177,26.6,164.050114294,0.08536815643310547,2000,1.52795109898e-09,0.0,32.88066840171814,2000,2.40292,1.1436207294464111,11.0555,-0.00399445556104,0.00748831685632,0.0,3378.7092559337616,0.444705046325,0.00399445708899
0.0864648068966,24.397650241851807,2.39162,10.9312,934.65,1800.0,0.799124,1083.50098177,3.72529251891e-09,24.070702075958252,2900.0,0.800259,130.49491357803345,1.1036453247070312,47.44117093086243,38.9,209.13342631,0.11766600608825684,2000,4.65661287308e-10,0.0,27.29362392425537,2000,2.3888,1.1405823230743408,10.9004,-0.00395444594324,0.00648733088747,0.0,3513.280582666397,0.425980095874,0.0039544464089
0.0774194041826,24.265496015548706,2.33557,10.3353,880.8,1900.0,0.778732,1053.23376323,0.0,24.172085523605347,2800.0,0.778404,128.718998670578,1.1065607070922852,43.941455602645874,30.9,186.105319645,0.10071325302124023,2000,-5.49334799871e-10,0.0,28.88771414756775,2000,2.33639,1.1210837364196777,10.3438,-0.00465226825327,0.00757544348016,0.0,3645.451013326645,0.419487724275,0.00465226770393
