0Entropy,dLoss,1StdReturn,1MinReturn,0ProcessExecTime,1ProcessExecTime,1Entropy,0StdReturn,ComputeUpdatedDistTime,LossBefore,1ExplainedVariance,0ExplainedVariance,0MinReturn,0AveragePolicyStd,1AveragePolicyStd,0AverageReturn,1NumTrajs,Time,1Perplexity,0Perplexity,MeanKLBefore,1MaxReturn,ItrTime,0NumTrajs,1PolicyExecTime,1EnvExecTime,1AverageReturn,0MaxReturn,LossAfter,0PolicyExecTime,0EnvExecTime,MeanKL
2.80197,0.00317081162939,9826.22816433,0.0,1.493128776550293,1.472182273864746,2.79821,2309.06743892,0.12100648880004883,5.82076609135e-11,0.392060109098,0.0565580317775,0.0,0.982206,0.980371,1052.75,400,3128.1442773342133,16.4153,16.477,-1.16415543872e-09,23300.0,237.14460468292236,400,88.62019205093384,38.90972971916199,8582.25,12900.0,-0.00317081157118,62.8602409362793,37.63314962387085,0.00755132641643
2.78012,0.00249609880848,10200.5701311,0.0,1.4833455085754395,1.450127124786377,2.7811,1833.16638634,0.11362147331237793,-5.82076609135e-11,0.421110356335,0.0446114108653,0.0,0.971622,0.972098,801.0,400,3365.4211146831512,16.1368,16.1209,4.65661675886e-10,23000.0,236.0623276233673,400,87.724200963974,38.61346769332886,9487.0,9600.0,-0.00249609886669,63.228968143463135,37.513020515441895,0.00760189443827
2.7512,0.00354208773933,10529.4189981,0.0,1.4781184196472168,1.4742486476898193,2.75315,2259.90872327,0.11144566535949707,-2.32830643654e-10,0.440846972355,0.0609700055612,0.0,0.957891,0.958829,1062.75,400,3602.4784395694733,15.6919,15.6615,0.0,23200.0,236.11207246780396,400,87.97538876533508,38.645639419555664,10203.25,11400.0,-0.00354208797216,63.19718933105469,37.40679121017456,0.0077294469811
2.73285,0.0054938075773,9572.30065084,0.0,1.4971132278442383,1.4769961833953857,2.73122,2024.92245222,0.11951112747192383,-9.60426405072e-10,0.370215094638,0.064340397559,0.0,0.949207,0.94848,856.25,400,3849.504620075226,15.3516,15.3766,4.65661453841e-10,23700.0,245.7035117149353,400,87.41576433181763,38.820597887039185,6260.5,11300.0,-0.00549380853772,72.5084936618805,37.44408559799194,0.00991807784885
2.71748,0.00225135055371,10930.0091463,0.0,1.4686050415039062,1.4672703742980957,2.71633,2456.12046732,0.11525273323059082,-2.32830643654e-10,0.422713445931,0.0401264266941,0.0,0.94198,0.941484,1191.5,400,4085.4179875850677,15.1248,15.1421,-4.65661620375e-10,23700.0,234.9267976284027,400,87.20065712928772,38.8608832359314,9737.75,14100.0,-0.00225135078654,62.392555475234985,37.44835829734802,0.00728550273925
2.69902,0.0031919539324,10888.8977404,0.0,1.4738178253173828,1.483410358428955,2.69575,1744.96697676,0.12093305587768555,-5.23868948221e-10,0.459941789929,0.0454915527147,0.0,0.933445,0.93196,840.5,400,4322.794711589813,14.8167,14.8651,3.72529118664e-09,23900.0,236.14035487174988,400,88.08042454719543,38.89682197570801,10384.0,7800.0,-0.00319195445627,62.60260343551636,37.60492825508118,0.00809395406395
2.68938,0.00420161121292,9950.73519897,0.0,1.4740993976593018,1.4666881561279297,2.69153,1928.93388624,0.14034485816955566,-7.56699591875e-10,0.3848171118,0.0451231079245,0.0,0.9289,0.929915,1033.75,400,4559.204864025116,14.7542,14.7226,-4.99600361081e-16,23900.0,235.5280179977417,400,87.52609825134277,38.56709885597229,6337.0,7100.0,-0.00420161196962,63.01067638397217,37.33942174911499,0.00752196321264
2.6885,0.00230834278045,10990.5638504,0.0,1.4792969226837158,1.4365971088409424,2.69021,2189.93080656,0.10823893547058105,6.40284270048e-10,0.405011446306,0.0394817238997,0.0,0.928596,0.929338,1164.25,400,4796.9920263290405,14.7347,14.7095,-7.45058592599e-09,23900.0,236.53125929832458,400,87.67178797721863,38.57888197898865,9027.5,13200.0,-0.00230834214017,63.23025631904602,37.807398080825806,0.00708986679092
2.69256,0.00304203119595,11180.9605021,0.0,1.48289155960083,1.487170934677124,2.69166,1959.59624349,0.11396074295043945,1.97906047106e-09,0.484247572134,0.0390229993398,0.0,0.930389,0.929926,965.25,400,5043.532237291336,14.7561,14.7694,-1.8626434839e-09,23800.0,245.5902361869812,400,87.3119626045227,38.94185829162598,10608.5,10300.0,-0.00304202921689,72.51911473274231,37.37646245956421,0.00728200329468
2.6727,0.00499139400199,9398.49447718,0.0,1.5106532573699951,1.461043119430542,2.67072,1795.27015725,0.11127448081970215,-4.65661287308e-10,0.458511028629,0.0439698083426,0.0,0.921827,0.920905,760.25,400,5281.213505268097,14.4504,14.479,-4.65661331717e-09,23600.0,236.2524676322937,400,87.25658869743347,38.64616298675537,7888.75,11000.0,-0.00499139446765,63.244460582733154,38.02325654029846,0.00688132131472
