0Entropy,1MinReturn,MeanKLBefore,Time,1Entropy,0Perplexity,0AveragePolicyStd,1EnvExecTime,1Perplexity,ItrTime,0ProcessExecTime,dLoss,0EnvExecTime,0AverageReturn,ComputeUpdatedDistTime,0NumTrajs,1MaxReturn,0MinReturn,MeanKL,1PolicyExecTime,1ExplainedVariance,LossAfter,0StdReturn,0ExplainedVariance,1AverageReturn,1ProcessExecTime,0PolicyExecTime,1AveragePolicyStd,1NumTrajs,LossBefore,1StdReturn,0MaxReturn
2.80938,0.0,1.39698386192e-09,82.17152070999146,2.8162,16.5997,0.986567,1.2023131847381592,16.7132,6.693981647491455,0.05343151092529297,0.0155653483234,1.1369454860687256,16.25,0.12212347984313965,80,2500.0,0.0,0.00769725628197,2.36761474609375,0.475274222329,-0.015565354377,91.4381621644,0.0903911758172,692.5,0.0549929141998291,1.2089381217956543,0.990102,80,-6.053596735e-09,842.284838995,700.0
2.80766,0.0,2.46800500037e-08,89.04272294044495,2.79187,16.571,0.985786,1.1632897853851318,16.3115,6.64420747756958,0.06185770034790039,0.0149571737275,1.2839930057525635,11.25,0.08858823776245117,80,2300.0,0.0,0.00944315642118,2.1063084602355957,0.447655769715,-0.0149571672082,65.1800391224,0.0570515758055,448.75,0.04998326301574707,1.3173134326934814,0.978221,80,6.51925802231e-09,718.852166652,500.0
2.80425,0.0,9.31322519104e-10,95.68141269683838,2.808,16.5147,0.984712,1.3235578536987305,16.5768,6.385862350463867,0.05057263374328613,0.0121121951379,1.0496504306793213,76.25,0.08777785301208496,80,2700.0,0.0,0.00979752466083,2.257115602493286,0.530152591713,-0.0121121965349,266.10324594,0.190930376633,667.5,0.05698084831237793,1.1042039394378662,0.986609,80,-1.39698386192e-09,936.185745459,1200.0
2.76138,0.0,-2.32830671409e-10,102.11658692359924,2.76541,15.8217,0.963782,1.147585391998291,15.8856,6.146288156509399,0.053067684173583984,0.0159547897056,1.114245891571045,60.0,0.08788275718688965,80,2400.0,0.0,0.00844132900238,2.058344841003418,0.509592737656,-0.0159547887743,241.660919472,0.163256470136,688.75,0.0500640869140625,1.1718933582305908,0.965853,80,9.31322574615e-10,859.213848527,1700.0
2.7432,0.0,1.62981450558e-09,108.79238224029541,2.74917,15.5366,0.955485,1.2350411415100098,15.6296,6.430248498916626,0.05291414260864258,0.0115448905854,1.1314456462860107,26.25,0.08968758583068848,80,2400.0,0.0,0.00623149983585,2.199317216873169,0.547338637517,-0.0115448907018,165.63797119,0.102895654736,505.0,0.054082632064819336,1.2059743404388428,0.958444,80,-1.16415321827e-10,808.687207763,1200.0
2.74477,0.0,-4.65661259552e-10,115.32082486152649,2.7498,15.5611,0.955959,1.1789379119873047,15.6395,6.2950263023376465,0.053018808364868164,0.0115374466404,1.129932165145874,48.75,0.0875086784362793,80,2600.0,0.0,0.00667315907776,2.0844852924346924,0.533220697217,-0.0115374457091,241.347130706,0.206002477646,957.5,0.050019264221191406,1.1844334602355957,0.958904,80,9.31322574615e-10,1054.96149219,1700.0
2.71223,0.0,-9.31322574615e-10,121.4102098941803,2.71994,15.0629,0.940727,1.0798718929290771,15.1795,5.8616623878479,0.048815250396728516,0.014809372602,1.0202877521514893,45.0,0.10321187973022461,80,2300.0,0.0,0.00845330022275,1.9789535999298096,0.532785228359,-0.0148093746975,175.28548143,0.125392720042,528.75,0.04653739929199219,1.0861544609069824,0.944634,80,-2.09547579288e-09,776.722883337,1100.0
2.70831,0.0,-1.86264514923e-09,127.94928073883057,2.71006,15.0038,0.938706,1.1343333721160889,15.0302,6.05764365196228,0.05083751678466797,0.00948317721486,1.0962622165679932,15.0,0.08369970321655273,80,2300.0,0.0,0.00812942162156,2.0405194759368896,0.566371767879,-0.00948317721486,122.576506721,0.109688952237,441.25,0.050197601318359375,1.140549659729004,0.93934,80,0.0,792.258441104,1100.0
2.69898,0.0,1.39698386192e-09,134.02035427093506,2.70575,14.8645,0.934381,1.0553879737854004,14.9656,5.834120750427246,0.05083751678466797,0.0161873004399,1.0962655544281006,73.75,0.08908963203430176,80,2700.0,0.0,0.00839964486659,1.8806469440460205,0.598174614181,-0.0161872971803,267.275022215,0.169482122969,725.0,0.045937299728393555,1.1532278060913086,0.937364,80,3.25962901115e-09,969.858237064,1500.0
2.70287,0.0,9.31322574615e-10,140.48364448547363,2.71284,14.9225,0.936834,1.1270027160644531,15.072,6.225900411605835,0.05317091941833496,0.0101394127123,1.1462123394012451,40.0,0.10515046119689941,80,2500.0,0.0,0.00706515926868,2.0375869274139404,0.451124970587,-0.0101394094527,187.483332593,0.171999482715,412.5,0.05039072036743164,1.196544885635376,0.941591,80,3.25962901115e-09,750.229131666,1100.0
2.67317,0.0,0.0,147.50730228424072,2.67317,14.4858,0.922564,1.306556224822998,14.4858,6.7862725257873535,0.05245852470397949,0.0,1.127859115600586,0.0,0.10025906562805176,80,0.0,0.0,0.0,2.3000006675720215,1,0.0,0.0,1,0.0,0.056327104568481445,1.2226974964141846,0.922564,80,0.0,0.0,0.0
2.67317,0.0,1.86264537128e-09,153.8232080936432,2.68594,14.4858,0.922564,1.1080148220062256,14.6719,6.054922580718994,0.05224013328552246,0.0102598015219,1.0731115341186523,17.5,0.11247062683105469,80,2800.0,0.0,0.00858846027404,2.0172479152679443,0.604837902551,-0.0102598024532,119.137525574,0.0798915322035,633.75,0.05008363723754883,1.142721176147461,0.92853,80,-9.31322574615e-10,1061.71367962,1000.0
2.64644,0.0,-9.31322685638e-10,160.71176505088806,2.63144,14.1038,0.910428,1.3015766143798828,13.8938,6.627987861633301,0.05420565605163574,0.00768309645355,1.171112060546875,60.0,0.09205913543701172,80,2900.0,0.0,0.00767781864852,2.2640511989593506,0.563886025945,-0.00768309272826,243.20773014,0.104337812063,1145.0,0.05614161491394043,1.2327406406402588,0.903777,80,3.72529029846e-09,1176.74338749,1500.0
2.63602,0.0,-3.11993098023e-08,167.725679397583,2.64474,13.9576,0.905168,1.3242735862731934,14.0798,6.769605875015259,0.056629180908203125,0.00899830786511,1.2246432304382324,25.0,0.08189845085144043,80,2800.0,0.0,0.00893877539784,2.2615268230438232,0.590167044384,-0.00899830274284,128.937969582,0.0829226831141,1177.5,0.056215524673461914,1.2695894241333008,0.909384,80,5.12227416039e-09,1224.6402533,800.0
2.6059,0.0,0.0,174.538428068161,2.60563,13.5434,0.89304,1.2514817714691162,13.5397,6.374053955078125,0.04934120178222656,0.00266850047046,1.0749835968017578,8.75,0.08494400978088379,80,1800.0,0.0,0.00611049542204,2.2572834491729736,0.0634483113108,-0.00266850111075,59.5687627872,0.0622655486795,26.25,0.05508065223693848,1.109508991241455,0.892674,80,-6.40284270048e-10,202.326314403,500.0
2.58895,0.0,-1.86264537128e-09,180.99946188926697,2.59723,13.3157,0.886035,1.1928520202636719,13.4264,6.2314698696136475,0.05273556709289551,0.0125427688472,1.1047172546386719,42.5,0.0825343132019043,80,2800.0,0.0,0.0089887753129,2.1474578380584717,0.572472580429,-0.0125427655876,200.483789868,0.152780216318,1161.25,0.05294394493103027,1.1485543251037598,0.890181,80,3.25962901115e-09,1189.90480186,1300.0
2.54523,0.0,0.0,187.83377194404602,2.53987,12.7462,0.866159,1.2438385486602783,12.6781,6.603280067443848,0.05723071098327637,0.00573163107038,1.1937448978424072,6.25,0.08169960975646973,80,2600.0,0.0,0.00446615507826,2.2331674098968506,0.624128726184,-0.00573162827641,55.5512151082,0.0575272407563,566.25,0.05400443077087402,1.2480685710906982,0.86386,80,2.79396772385e-09,989.563508573,500.0
2.545,0.0,4.65661331717e-09,194.24058294296265,2.54091,12.7433,0.866364,1.1810152530670166,12.6913,6.179733991622925,0.04775428771972656,0.013584448956,1.0124547481536865,8.75,0.09405255317687988,80,2700.0,0.0,0.00741027342156,2.176609754562378,0.604063594811,-0.0135844480246,55.2126570634,0.0982023346638,828.75,0.05328536033630371,1.0740208625793457,0.86466,80,9.31322574615e-10,1052.75753975,400.0
2.54598,0.0,-1.86264514923e-09,201.33100080490112,2.53099,12.7557,0.866363,1.2221927642822266,12.566,6.837374448776245,0.06204962730407715,0.0104487075005,1.3377277851104736,16.25,0.12124848365783691,80,2700.0,0.0,0.00711335334927,2.1907191276550293,0.629153201074,-0.0104487072676,101.788690433,0.0786746560065,592.5,0.054605722427368164,1.342552900314331,0.86,80,2.32830643654e-10,1022.71391405,700.0
2.55465,0.0,0.0,207.93489408493042,2.55085,12.8668,0.868982,1.2027029991149902,12.818,6.387356281280518,0.051660776138305664,0.00988160225097,1.1237704753875732,17.5,0.09760022163391113,80,2700.0,0.0,0.00548761710525,2.2244770526885986,0.590969035117,-0.00988159142435,119.137525574,0.0659794908935,1092.5,0.0529627799987793,1.1508002281188965,0.867953,80,1.08266249299e-08,1130.1299704,1000.0
2.54593,0.0,-3.72529029846e-09,214.97194933891296,2.53071,12.7551,0.865885,1.1971397399902344,12.5624,6.787065267562866,0.062043190002441406,0.00758400792256,1.3149960041046143,13.75,0.11255621910095215,80,1300.0,0.0,0.00982739590108,2.2436726093292236,0.122687749934,-0.00758401118219,102.15643641,0.0971400690951,32.5,0.05399751663208008,1.3332443237304688,0.859444,80,-3.25962901115e-09,202.962434948,900.0
2.54795,0.0,2.421438694e-08,222.56203627586365,2.54974,12.7809,0.867217,1.2999439239501953,12.8038,6.994647026062012,0.06039571762084961,0.00722015369684,1.282118558883667,66.25,0.08817720413208008,80,2800.0,0.0,0.00636508269235,2.351268768310547,0.556092233424,-0.00722015788779,272.003561558,0.129496341176,686.25,0.05987954139709473,1.3362925052642822,0.867983,80,-4.19095158577e-09,1148.23165672,1600.0
2.49522,0.0,0.0,229.28989124298096,2.49473,12.1244,0.845417,1.182697057723999,12.1184,6.47848653793335,0.05491209030151367,0.0109281839104,1.1763505935668945,70.0,0.08975362777709961,80,2800.0,0.0,0.00925396755338,2.182941198348999,0.562182209492,-0.0109281903133,252.190404258,0.140751529279,1082.5,0.054266929626464844,1.2304461002349854,0.845369,80,-6.40284270048e-09,1163.91311961,1700.0
2.50352,0.0,-5.58793544769e-09,236.19912934303284,2.48988,12.2255,0.849864,1.317969560623169,12.0599,6.677493095397949,0.05230450630187988,0.00766638619825,1.1143887042999268,37.5,0.11328935623168945,80,2900.0,0.0,0.00962816923857,2.34539532661438,0.582456294496,-0.00766638759524,171.300175131,0.173847855302,1251.25,0.057418107986450195,1.1574654579162598,0.843775,80,-1.39698386192e-09,1261.14964913,1200.0
2.46434,0.0,1.11022302463e-16,243.10220527648926,2.4645,11.7558,0.833269,1.3200955390930176,11.7577,6.675520420074463,0.05292630195617676,0.00607415521517,1.1348750591278076,30.0,0.12083649635314941,80,2700.0,0.0,0.00735882949084,2.3585891723632812,0.54339417511,-0.00607415335253,147.817454991,0.105114453023,885.0,0.055951595306396484,1.1415300369262695,0.83327,80,1.86264514923e-09,955.261744236,900.0
2.4522,0.0,0.0,249.86185908317566,2.46456,11.6139,0.829269,1.1845262050628662,11.7583,6.509496688842773,0.0574343204498291,0.00819219183177,1.2047691345214844,27.5,0.09538030624389648,80,2900.0,0.0,0.00999044533819,2.207509994506836,0.59294191758,-0.00819218344986,171.737444956,0.0936040646207,677.5,0.05338406562805176,1.2210733890533447,0.83451,80,8.38190317154e-09,1146.51373738,1100.0
2.4064,0.0,0.0,256.3456778526306,2.40721,11.094,0.809498,1.0879323482513428,11.1029,6.235929012298584,0.055188894271850586,0.00728243484627,1.1841323375701904,66.25,0.08446693420410156,80,2900.0,0.0,0.00624800333753,2.059380531311035,0.585203125055,-0.00728244055063,215.605977422,0.0879247435052,1301.25,0.04780459403991699,1.2121424674987793,0.809676,80,-5.70435076952e-09,1310.00894558,1300.0
2.39273,0.0,0.0,263.54781889915466,2.38991,10.9434,0.803393,1.361743688583374,10.9125,6.972496509552002,0.0599055290222168,0.00876064109616,1.219428539276123,73.75,0.08273530006408691,80,2900.0,0.0,0.00731254741549,2.444462776184082,0.607537173169,-0.00876064132899,279.617484253,0.143869428507,1282.5,0.05878782272338867,1.2788867950439453,0.802572,80,-2.32830643654e-10,1291.77929616,1600.0
2.4245,0.0,3.72529029846e-09,269.83190298080444,2.42461,11.2965,0.815578,0.9960341453552246,11.2978,5.794726371765137,0.05002903938293457,0.00620898877969,1.0806090831756592,23.75,0.09579634666442871,80,2700.0,0.0,0.00533558847383,1.8915443420410156,0.580102224517,-0.00620898697525,154.307930775,0.0885641104451,691.25,0.04618501663208008,1.135791540145874,0.81594,80,1.80443748832e-09,1055.95853967,1300.0
2.3965,0.0,0.0,276.78050351142883,2.39966,10.9846,0.804543,1.1928584575653076,11.0195,6.668453693389893,0.05666160583496094,0.00533104373608,1.2217769622802734,43.75,0.08223390579223633,80,2800.0,0.0,0.00661668227986,2.308306932449341,0.599875179267,-0.00533104082569,199.276033431,0.36660155372,677.5,0.05366921424865723,1.252161979675293,0.805692,80,2.91038304567e-09,1147.71239864,1300.0
2.36621,0.0,0.0,283.2667384147644,2.35647,10.657,0.794542,1.0431711673736572,10.5536,6.208037853240967,0.05675530433654785,0.00672522326931,1.2205119132995605,45.0,0.09978342056274414,80,2700.0,0.0,0.00531688984483,1.96528959274292,0.541738128033,-0.00672522326931,182.961744635,0.0877550877041,852.5,0.046233415603637695,1.2515232563018799,0.791215,80,0.0,954.721818123,900.0
