ItrTime,1Entropy,LossBefore,0PolicyExecTime,0NumTrajs,1ExplainedVariance,1EnvExecTime,MeanKL,1ProcessExecTime,1AverageReturn,1AveragePolicyStd,0ProcessExecTime,0MaxReturn,1PolicyExecTime,0ExplainedVariance,0Perplexity,dLoss,1NumTrajs,1MaxReturn,0AveragePolicyStd,0MinReturn,LossAfter,1Perplexity,0Entropy,0AverageReturn,Time,MeanKLBefore,0EnvExecTime,ComputeUpdatedDistTime,0StdReturn,1MinReturn,1StdReturn
130.70415663719177,2.72216,3.72529035397e-10,9.626980781555176,400,0.273902396492,37.827049016952515,0.00693857623264,1.192018747329712,9313.5,0.94396,1.1729164123535156,30200.0,35.846795320510864,0.0364928241697,15.1559,0.00494418516755,400,30600.0,0.942176,0.0,-0.00494418479502,15.2132,2.71839,1947.75,3914.301523923874,1.76951275854e-09,37.57602858543396,0.4206559658050537,4060.73822568,0.0,8865.36337383
129.52375650405884,2.71759,4.16184781082e-10,9.55467963218689,400,0.130882601255,37.08998465538025,0.00930189527571,1.2082762718200684,5005.0,0.941874,1.1964948177337646,26600.0,35.67542481422424,0.0432195946244,15.1497,0.0055335540761,400,26700.0,0.942028,0.0,-0.00553355365992,15.1439,2.71798,2511.25,4043.830281019211,-1.05239479353e-08,37.63864803314209,0.3921172618865967,4946.68054735,0.0,6742.54588416
129.5232594013214,2.71641,5.0058590606e-10,9.646373987197876,400,0.156096922502,37.39539194107056,0.00937174633145,1.139211893081665,6921.75,0.941212,1.1897687911987305,24900.0,35.61317539215088,0.0304141179829,15.1147,0.00468447807943,400,33700.0,0.940841,0.0,-0.00468447757885,15.126,2.71567,1903.0,4174.163778305054,-1.49011625261e-09,37.35107064247131,0.4125504493713379,4242.28016519,0.0,8371.67856153
129.94739294052124,2.72413,-9.38599198363e-11,9.645386219024658,400,0.16722123123,37.23620843887329,0.00657491479069,1.1510767936706543,8314.5,0.944806,1.195521354675293,26900.0,35.53331685066223,0.0369639777915,15.2497,0.00427716961058,400,33300.0,0.94498,0.0,-0.00427716970444,15.2431,2.72456,2584.5,4304.119164228439,1.11758724497e-09,37.594950675964355,0.45357418060302734,4815.74083086,0.0,8519.62673772
155.08561611175537,2.72268,-4.0745365415e-10,9.518431663513184,400,0.168321383901,48.55352187156677,0.00774499261752,1.3605406284332275,7353.25,0.944108,1.2284843921661377,26900.0,48.639482498168945,0.0350735501548,15.1508,0.00475795619423,400,27900.0,0.941903,0.0,-0.00475795660168,15.221,2.71806,2900.0,4460.019359111786,-1.30385036101e-09,38.56176710128784,0.3324565887451172,5650.33627318,0.0,6861.94137526
188.94943070411682,2.74168,-5.8935262226e-10,12.552303075790405,400,0.165683584049,59.74400019645691,0.00918442197144,1.6994845867156982,4825.0,0.953164,1.480358600616455,15800.0,58.08336925506592,0.0206201836615,15.4822,0.00492568068876,400,26300.0,0.952182,0.0,-0.00492568127811,15.513,2.73969,1347.25,4648.975467205048,-6.51925402551e-09,48.318276166915894,0.32506251335144043,2954.70682767,0.0,6604.77289541
191.27069401741028,2.7277,-9.3132279666e-11,10.431211709976196,400,0.170192246269,70.1550681591034,0.00876746792346,1.9951679706573486,5073.5,0.946446,1.115053415298462,21600.0,65.50485110282898,0.0436149357181,15.2778,0.00528084244579,400,27100.0,0.945812,0.0,-0.00528084253892,15.2977,2.7264,1965.0,4841.3715443611145,-1.11758680088e-09,34.94580411911011,0.3251032829284668,4029.32066234,0.0,6437.44108711
197.22571849822998,2.72325,2.12457967885e-10,11.373481035232544,400,0.226618702045,70.68836688995361,0.00896068755537,2.0112903118133545,7280.75,0.944313,1.162285566329956,18300.0,65.99093079566956,0.0391868390635,15.1753,0.00393266903993,400,27500.0,0.94261,0.0,-0.00393266882747,15.2298,2.71967,1585.75,5038.608896493912,7.45057737728e-10,38.79772353172302,0.3651595115661621,3394.83754214,0.0,7736.01347191
192.51480388641357,2.72577,6.86486589796e-10,10.634357213973999,400,0.219734544104,70.37499475479126,0.00725503219292,2.010174512863159,9218.75,0.945517,1.1265032291412354,29700.0,65.62755584716797,0.0295118123692,15.1772,0.00435319984063,400,30700.0,0.942677,0.0,-0.00435319915414,15.2682,2.7198,2460.25,5231.8219356536865,5.58795176797e-10,35.51720452308655,0.33115291595458984,5268.02571534,0.0,9446.82610391
192.83105850219727,2.7217,1.50757850648e-09,10.80186414718628,400,0.336045550578,70.24287152290344,0.00693924864754,2.022247791290283,8537.75,0.943603,1.1427526473999023,29400.0,65.30556726455688,0.0786730677751,15.1434,0.00469203537214,400,36200.0,0.941627,0.0,-0.00469203386456,15.2062,2.71757,2536.75,5424.661202907562,5.02914243583e-09,36.11485266685486,0.32007718086242676,6291.47235848,0.0,10882.8167281
188.72226905822754,2.71578,-5.06406583334e-10,10.771239995956421,400,0.320491420396,67.0147955417633,0.0096176462248,1.9154062271118164,9914.5,0.940823,1.1634316444396973,28400.0,64.48370265960693,0.0223978997459,15.1164,0.00579967066296,400,36700.0,0.940817,0.0,-0.00579967116937,15.1163,2.71578,2029.75,5614.053016424179,2.98023716816e-09,36.291462421417236,0.34558820724487305,4810.71615641,0.0,10703.2256703
