MaxKL,MaxReturn,TotalExecTime,MeanKL,AverageReturn,NumTrajs,Entropy,Time,ExplainedVariance,LossBefore,Perplexity,ItrTime,MinReturn,StdReturn,AveragePolicyStd,LossAfter
0.0556815,3000.0,30.82582998275757,0.0181623,2622.0,200,2.49537,483.6416046619415,0.992489903541,-0.024865,12.1262,31.093773126602173,2100.0,150.718280245,0.843046,-0.0296793
0.0420483,2900.0,32.369513273239136,0.0173127,2642.0,200,2.48293,516.3478908538818,0.992728131985,-0.0195638,11.9763,32.685057163238525,2100.0,152.105226735,0.83782,-0.0243813
0.0347158,3000.0,30.943838357925415,0.0141286,2646.0,200,2.47315,547.6008250713348,0.992959039746,-0.0267965,11.8598,31.248354196548462,2100.0,138.866842695,0.833655,-0.0318044
0.0833463,3000.0,33.03862261772156,0.023315,2669.5,200,2.45975,580.9612443447113,0.994175172025,-0.0153631,11.7019,33.349926710128784,2300.0,124.978998236,0.828028,-0.0223222
0.129299,3000.0,32.738312005996704,0.0393537,2660.5,200,2.45207,614.0570821762085,0.993891617966,-0.0232529,11.6124,33.073448181152344,2300.0,133.752570069,0.824854,-0.0317503
0.0102141,3000.0,31.87740397453308,0.00200797,2659.5,200,2.44045,646.2181091308594,0.993904092549,-0.0245312,11.4782,32.1472647190094,2200.0,129.266198211,0.81999,-0.0259697
0.0148785,3000.0,32.7226984500885,0.00578562,2664.5,200,2.42818,679.3371052742004,0.992996517455,-0.0230783,11.3382,33.09979200363159,2100.0,139.96338807,0.814916,-0.0248549
0.0106674,3000.0,33.99446225166321,0.00331946,2655.0,200,2.41664,713.6897320747375,0.993161290438,-0.00342767,11.2081,34.338547229766846,2300.0,132.193040664,0.810245,-0.00436505
0.027582,3000.0,30.478757619857788,0.00756056,2670.0,200,2.41493,744.4451770782471,0.99387290291,-0.00296495,11.1889,30.741159677505493,2200.0,134.907375632,0.809516,-0.00494277
0.0229965,2900.0,32.563992500305176,0.00619502,2666.0,200,2.41344,777.2826337814331,0.99433539128,-0.0154673,11.1724,32.8122181892395,2300.0,122.653984852,0.808942,-0.0170706
0.0180461,2900.0,29.651501655578613,0.00388053,2673.0,200,2.40571,807.2038326263428,0.993889520708,-0.00171953,11.0863,29.903764486312866,2200.0,126.376421852,0.805742,-0.00275152
0.0393755,2900.0,30.668612718582153,0.00900885,2655.5,200,2.40485,838.224289894104,0.993860899358,-0.0130029,11.0768,30.99612069129944,2300.0,124.77880429,0.80538,-0.0155231
0.0013849,3000.0,33.16848683357239,0.000668979,2655.0,200,2.39835,871.6872823238373,0.993950741554,-0.0154319,11.005,33.445563077926636,2300.0,132.947358003,0.802781,-0.0162256
0.0117228,3000.0,32.87560248374939,0.00302395,2671.5,200,2.39063,904.9288537502289,0.994700131377,-0.0289826,10.9204,33.22643232345581,2100.0,114.182967206,0.799758,-0.0305106
0.307925,2900.0,30.716460943222046,0.0894234,2667.5,200,2.37614,936.0010814666748,0.994584169701,-0.0183994,10.7633,31.055037021636963,2300.0,118.295181643,0.793977,-0.0356078
0.0931497,2900.0,31.39636540412903,0.02298,2663.5,200,2.36694,967.6704473495483,0.994547665869,-0.00650535,10.6647,31.651251792907715,2300.0,123.764898093,0.790335,-0.0112017
0.0108981,2900.0,33.0435106754303,0.00368451,2668.0,200,2.36369,1000.9814691543579,0.994650904411,0.0311339,10.6301,33.29628133773804,2400.0,113.47246362,0.789069,0.0294525
0.0448162,3000.0,32.1873574256897,0.0110319,2669.5,200,2.37926,1033.4143917560577,0.994354849152,-0.00361712,10.7969,32.421716928482056,2300.0,124.176285981,0.79519,-0.00581297
0.00805345,3000.0,29.36685013771057,0.00179393,2682.0,200,2.37745,1063.0315647125244,0.994379728469,-0.018388,10.7774,29.600968599319458,2300.0,125.602547745,0.794463,-0.019475
0.00778158,3000.0,31.788399696350098,0.00206206,2666.0,200,2.36825,1095.0891706943512,0.994863545731,-0.0215628,10.6787,32.05254650115967,2300.0,118.084715353,0.790882,-0.0226145
0.129852,3000.0,32.84380030632019,0.0415024,2683.5,200,2.35747,1128.2651028633118,0.994175311567,-0.0199921,10.5642,33.15657424926758,2300.0,136.300220103,0.786648,-0.0273697
0.0284237,3000.0,33.98387837409973,0.0100084,2670.0,200,2.34748,1162.6010308265686,0.99444447256,0.00321988,10.4591,34.294163942337036,2400.0,121.655250606,0.782801,0.000948124
0.0730109,3000.0,32.31280446052551,0.023157,2680.0,200,2.34909,1195.2032887935638,0.994133109999,0.00117177,10.476,32.576932191848755,2200.0,138.924439894,0.783338,-0.00272555
0.0192245,2900.0,33.71670699119568,0.00541925,2675.0,200,2.34967,1229.299283027649,0.994526937182,-0.014544,10.4821,34.06632161140442,2200.0,115.650335062,0.783581,-0.0164576
0.0827817,3000.0,37.14589047431946,0.0233735,2688.0,200,2.3424,1266.8391029834747,0.994810225216,-0.0168323,10.4062,37.52017068862915,2400.0,126.317061397,0.78074,-0.0234577
0.0604234,2900.0,34.90377998352051,0.0140533,2679.5,200,2.33398,1302.1346316337585,0.994963720763,0.0111123,10.319,35.26793670654297,2300.0,109.680216995,0.777528,0.00787797
0.0248697,2900.0,36.779566049575806,0.00709345,2684.0,200,2.33954,1339.2936854362488,0.99532970673,-0.0107652,10.3765,37.14150547981262,2400.0,106.037729134,0.779784,-0.0122292
0.0228971,2900.0,36.212586402893066,0.00650599,2675.5,200,2.33416,1375.8886811733246,0.994778480372,-0.00226868,10.3208,36.57929825782776,2300.0,118.531641345,0.777681,-0.00398213
0.0238156,3000.0,35.50715756416321,0.00767586,2671.5,200,2.33302,1411.8155188560486,0.995089528845,-0.0159818,10.3091,35.91397213935852,2400.0,106.478871144,0.777323,-0.0183778
0.200182,3000.0,36.391968965530396,0.0568786,2679.5,200,2.32503,1448.6505436897278,0.994665759174,-0.0264808,10.227,36.81267714500427,2300.0,124.216544792,0.774247,-0.0354441
0.0502183,3000.0,35.434765338897705,0.0125792,2682.0,200,2.31179,1484.5145826339722,0.994791067665,0.00854016,10.0925,35.84643268585205,2300.0,116.516093309,0.769135,0.00612268
0.0653506,3000.0,35.74396634101868,0.0187826,2689.0,200,2.31606,1520.6656067371368,0.994969689631,-0.0301252,10.1357,36.13959789276123,2300.0,114.799825784,0.770713,-0.0339997
0.0735014,2900.0,35.77831220626831,0.0188394,2676.0,200,2.301,1556.8826384544373,0.994425565061,-0.00350664,9.98415,36.204283714294434,2300.0,122.979673117,0.764933,-0.00690233
0.0338262,3000.0,36.071144819259644,0.00905997,2687.0,200,2.29925,1593.4090988636017,0.994851881389,-0.00717378,9.96667,36.51002907752991,2400.0,118.02965729,0.76419,-0.00910574
0.0350089,3000.0,36.51205229759216,0.0104754,2687.5,200,2.29566,1630.20841050148,0.99489836236,0.011832,9.93098,36.785364389419556,2300.0,118.295181643,0.762898,0.00937707
