ExplainedVariance,NumTrajs,AverageReturn,TotalExecTime,ItrTime,LossAfter,Time,Entropy,LossBefore,Perplexity,MaxReturn,MeanKL,AveragePolicyStd,StdReturn,MaxKL,MinReturn
0.993588240952,200,2672.0,10.25083875656128,10.30288028717041,-0.0622029,494.49386525154114,2.51316,-0.0423451,12.3439,2900.0,0.122004,0.850244,131.590273197,4.6423,2200.0
0.992696267697,200,2644.5,10.280912399291992,10.343419313430786,-0.0316967,504.84479784965515,2.49199,-0.0250733,12.0853,2900.0,0.0296582,0.841257,140.604943014,1.15537,2200.0
0.994291523599,200,2677.0,10.296581029891968,10.348394870758057,-0.0287116,515.20339012146,2.47946,-0.0237663,11.9348,3000.0,0.0222942,0.835955,130.656036983,0.380518,2200.0
0.994374280735,200,2666.0,10.23017954826355,10.304413557052612,-0.00421107,525.5114767551422,2.46757,0.00104498,11.7938,3000.0,0.0189278,0.831028,125.87295182,0.286932,2300.0
0.993449750566,200,2659.5,10.258249521255493,10.319793462753296,-0.0259631,535.8362338542938,2.4681,-0.0165522,11.7999,3000.0,0.0330289,0.831243,134.200409835,0.557743,2100.0
0.993405224619,200,2652.0,13.1785249710083,13.272599458694458,-0.0360561,549.1206350326538,2.45982,-0.0285887,11.7027,2900.0,0.0262521,0.827822,123.27205685,0.527625,2300.0
0.994377751163,200,2664.5,14.321058750152588,14.388590574264526,-0.0388841,563.5165135860443,2.44553,-0.024832,11.5366,2900.0,0.098934,0.821963,115.714087301,1.36146,2300.0
0.995161136751,200,2670.0,13.822577714920044,13.912108182907104,-0.0106452,577.434583902359,2.43311,-0.00599709,11.3943,2900.0,0.0373517,0.816907,115.325625947,1.6663,2300.0
0.993779915258,200,2664.0,14.042512893676758,14.101362466812134,-0.0209634,591.5386958122253,2.43011,-0.0159829,11.3601,2900.0,0.0174421,0.815783,130.399386502,0.448801,2200.0
0.99411979873,200,2666.5,14.351520299911499,14.413069725036621,-0.0277421,605.9617416858673,2.42212,-0.015904,11.2697,2900.0,0.0822516,0.812566,130.490421104,1.4447,2300.0
0.994471025153,200,2670.5,13.848975896835327,13.910951137542725,-0.0186644,619.8854999542236,2.41417,-0.00979333,11.1805,2900.0,0.0652906,0.80923,114.803092293,1.4343,2300.0
