ExplainedVariance,MeanKL,TotalExecTime,LossBefore,MinReturn,AverageReturn,StdReturn,Time,NumTrajs,Perplexity,ItrTime,MaxKL,LossAfter,MaxReturn,Entropy,AveragePolicyStd
0.994216777246,0.143587,13.834808111190796,-0.00289899,2400.0,2690.5,116.874933155,587.2416179180145,200,9.30171,13.922657251358032,1.38177,-0.0128134,3000.0,2.2302,0.739293
0.99531557244,0.138596,22.252663612365723,0.00744556,2400.0,2685.0,115.217186218,609.6744480133057,200,9.28823,22.428054571151733,1.44639,-0.00636947,3000.0,2.22875,0.738655
0.994914636959,0.040075,17.865682125091553,0.00268174,2300.0,2680.0,113.578166916,627.6995167732239,200,9.32288,18.02027177810669,0.269869,-0.00249843,2900.0,2.23247,0.740176
0.994483294384,0.170954,12.485290050506592,-0.00143649,2300.0,2678.5,114.401704533,640.3033394813538,200,9.33539,12.596843481063843,0.889258,-0.0162553,3000.0,2.23381,0.740518
0.995088684473,0.0333763,13.432575941085815,-0.00447725,2400.0,2690.5,113.840897748,653.8119268417358,200,9.32868,13.501595735549927,0.388091,-0.00873544,3000.0,2.23309,0.740415
0.99420391605,0.183498,15.055700778961182,-0.00376121,2300.0,2665.0,111.242977306,668.9901533126831,200,9.30783,15.170667171478271,0.964539,-0.0174197,2900.0,2.23086,0.739441
0.995410482758,0.0488009,14.29913854598999,0.00475237,2400.0,2685.0,102.347447452,683.3968548774719,200,9.29034,14.401541709899902,0.391214,-0.000539361,2900.0,2.22898,0.738862
0.993851161126,0.174441,14.971886396408081,0.004941,2300.0,2683.5,123.198011348,698.4742505550385,200,9.31243,15.072595119476318,1.2767,-0.0110758,3000.0,2.23135,0.739776
0.994891478063,0.0553278,14.407689571380615,-0.00987088,2300.0,2681.0,114.625477098,712.9430751800537,200,9.33547,14.462536811828613,0.436138,-0.0159311,3000.0,2.23382,0.740615
0.994129354018,0.0446111,14.275694847106934,-0.0150108,2200.0,2681.5,119.61500742,727.3444721698761,200,9.28951,14.395202159881592,0.705259,-0.0228505,2900.0,2.22889,0.738927
0.9946567551,0.0185109,14.151129484176636,0.0109576,2300.0,2688.0,112.942463228,741.580591917038,200,9.22005,14.227658748626709,0.0717426,0.00868618,3000.0,2.22138,0.73611
