1AveragePolicyStd,1MinReturn,1ExplainedVariance,0NumTrajs,Time,0AveragePolicyStd,MeanKLBefore,1AverageReturn,1PolicyExecTime,0EnvExecTime,0MinReturn,dLoss,1Entropy,0Entropy,1StdReturn,0ProcessExecTime,1MaxReturn,MeanKL,0ExplainedVariance,LossBefore,1Perplexity,0PolicyExecTime,ItrTime,0MaxReturn,LossAfter,ComputeUpdatedDistTime,0Perplexity,1ProcessExecTime,1NumTrajs,0AverageReturn,0StdReturn,1EnvExecTime
0.901048,-37.4517096708,0.438470869512,828,493.67976570129395,0.904115,0.000326106586726,-13.1731309781,22.24387264251709,4.66835618019104,-72.3265948638,0.00630400970113,2.62916,2.63627,6.83576136102,0.7549004554748535,-0.00382634167957,0.00769197987393,0.530379848689,0.00194224889856,13.8621,2.1399731636047363,41.38778614997864,-0.381565479096,-0.00436176080257,0.6068305969238281,13.961,0.8387737274169922,980,-36.3449766771,15.4504502639,5.115664005279541
0.89394,-39.2524477201,0.458322636208,812,532.172031879425,0.896677,1.1346991414e-05,-14.6533213496,22.8238742351532,2.7805442810058594,-76.3245717132,0.00685091421474,2.61334,2.61975,7.54419920448,0.47101545333862305,-0.00721758949009,0.00730573665351,0.601008865111,0.00492608360946,13.6445,1.5845251083374023,38.4812331199646,-0.145843310361,-0.00192483060528,0.5319020748138428,13.7323,0.786496639251709,953,-41.6249719332,14.97571225,4.826679706573486
0.872404,-32.8953232465,0.444258334174,808,572.6807770729065,0.878737,2.58933832811e-05,-13.253085317,22.27603507041931,3.8213887214660645,-72.0573575619,0.00695247913245,2.5646,2.57931,7.12660415653,0.6342873573303223,-0.140870026031,0.00698071159422,0.621360620021,0.00123986753169,12.9955,1.8800442218780518,39.602698802948,-1.84465740818,-0.00571261160076,0.5500621795654297,13.1881,0.7750222682952881,973,-42.2848282311,14.4562031089,4.776760816574097
0.862782,-25.8848728232,0.425083970869,816,609.891361951828,0.866335,6.66255436954e-05,-10.5296134736,21.608909368515015,2.853938102722168,-62.2417213329,0.00490653037559,2.54235,2.55084,5.66674585258,0.463364839553833,-0.00803702820234,0.00670443009585,0.61150779879,0.00110831449274,12.7095,1.5135245323181152,37.20435833930969,-0.101217076309,-0.00379821588285,0.5371475219726562,12.8178,0.7781329154968262,1051,-36.3921767788,12.9733017479,4.759566783905029
0.847119,-31.9449711436,0.405741053598,825,649.9939079284668,0.850267,1.46883812704e-05,-11.4244384468,22.294781923294067,3.662705421447754,-69.4284017121,0.00461938185617,2.50566,2.51336,6.4996048794,0.5738415718078613,-0.0589943355932,0.00743352156132,0.536153663929,0.00432410510257,12.2517,1.7747116088867188,39.31689381599426,-0.0757682194443,-0.000295276753604,0.5842025279998779,12.3464,0.7973215579986572,1015,-37.5904349532,15.6861316638,4.821475505828857
0.821711,-45.5639159626,0.366862278547,832,690.3779649734497,0.824051,0.000425472389907,-13.3137086691,22.143845558166504,4.428855657577515,-75.2829983807,0.00692639010958,2.44476,2.45065,8.40730170502,0.6947939395904541,-0.0917960282535,0.00748122576624,0.42543278355,0.00262949778698,11.5277,2.0235702991485596,40.37651991844177,-0.104813501553,-0.0042968923226,0.5788898468017578,11.5959,0.8035264015197754,984,-35.7809123602,18.3892811267,4.9046690464019775
0.810898,-28.2582349174,0.312777186454,814,732.7531986236572,0.812905,3.82367989005e-06,-10.5200986473,22.60081911087036,4.31344199180603,-66.7938012929,0.00419102469459,2.41814,2.4234,6.60329829146,0.6694686412811279,-0.0670966583389,0.00730970455334,0.661004401033,0.00542928464711,11.2249,1.9453907012939453,40.73198080062866,-0.0105463437713,0.00123825995252,0.5883724689483643,11.2842,0.8223056793212891,1070,-39.3386454872,12.8016259228,4.949313640594482
0.801696,-40.7710981842,0.316119127266,821,772.8299400806427,0.805633,4.10870125052e-05,-11.6325804694,22.700414180755615,3.4378538131713867,-74.3664287421,0.00610215985216,2.3954,2.40551,8.51543115581,0.578946590423584,-0.00642347444377,0.00820077210665,0.52154351564,0.00269364216365,10.9726,1.7687630653381348,40.068506956100464,-0.128277467692,-0.00340851768851,0.5882165431976318,11.0841,0.8443586826324463,1049,-39.6088822811,16.9398526223,5.102492570877075
0.7906,-33.2808762447,0.404744607837,803,811.9735903739929,0.791302,6.04908709647e-05,-12.6092003439,22.73779535293579,2.527014970779419,-67.1768617428,0.00587041629478,2.36753,2.3696,7.38679434433,0.3956418037414551,-0.0507095634229,0.00641458341852,0.58461275892,0.00761269126087,10.671,1.4615535736083984,38.298187494277954,-3.52642067475,0.00174227496609,0.5754261016845703,10.6931,0.8205780982971191,993,-38.56144827,14.2030198877,5.030904769897461
0.780625,-33.6188708877,0.301042202943,800,850.7844800949097,0.783014,5.22996268515e-09,-11.1838073501,21.66500449180603,3.754422903060913,-72.2896899982,0.00619680644013,2.34231,2.34864,7.22119020436,0.5945100784301758,-0.0815727903306,0.00663596251979,0.716767364558,0.00509351305664,10.4052,1.8402338027954102,38.803539514541626,-16.7687577951,-0.00110329338349,0.5347516536712646,10.4713,0.7836477756500244,1043,-44.6591561315,12.2412448533,4.821460723876953
