0MinReturn,LossAfter,0Perplexity,1PolicyExecTime,1MaxReturn,1ExplainedVariance,ItrTime,1AveragePolicyStd,0EnvExecTime,0PolicyExecTime,1NumTrajs,1StdReturn,1ProcessExecTime,1AverageReturn,0ProcessExecTime,MeanKL,0Entropy,1EnvExecTime,ComputeUpdatedDistTime,dLoss,0MaxReturn,Time,0ExplainedVariance,0NumTrajs,0AverageReturn,1MinReturn,1Entropy,1Perplexity,0StdReturn,0AveragePolicyStd,LossBefore,MeanKLBefore
0.0,-0.00464136293158,9.0752,232.5720112323761,23600.0,0.562813321121,731.8729410171509,0.729145,147.3444459438324,172.2522075176239,2000,9460.55115942,5.860499382019043,12672.4,6.142683506011963,0.00808230508119,2.20555,145.27178859710693,0.2719745635986328,0.0046413623495,7900.0,23487.992784023285,0.0746508436823,2000,775.95,0.0,2.20601,9.07943,1719.33900017,0.728971,-5.82076609135e-10,7.45056993878e-09
0.0,-0.00487416796386,8.688,232.5236897468567,23300.0,0.550535163912,728.5345809459686,0.713278,144.267578125,170.76870703697205,2000,8972.64010144,5.963782548904419,12678.1,6.0752129554748535,0.007832178846,2.16194,146.5032036304474,0.2843763828277588,0.00487416826945,8000.0,24220.56116247177,0.0675741132637,2000,804.1,0.0,2.16184,8.68713,1765.86329879,0.713316,3.05590219796e-10,7.45057127105e-09
0.0,-0.00285100843757,8.44373,228.8976514339447,23900.0,0.629867283745,727.1166167259216,0.703025,145.73125910758972,172.14194774627686,2000,9536.63609338,5.8116443157196045,16097.35,6.040841341018677,0.00699994387105,2.13342,145.97676014900208,0.2263791561126709,0.00285100837937,12000.0,24952.24474954605,0.0581189609932,2000,891.85,0.0,2.1328,8.43846,1894.02971928,0.703245,-5.82076609135e-11,0.0
0.0,-0.00494973920286,8.24056,240.4893181324005,23600.0,0.440512866354,728.7674539089203,0.694609,144.49372839927673,162.83395671844482,2000,9069.32987381,5.972045421600342,9174.2,6.030202150344849,0.00668635033071,2.10907,146.5149428844452,0.25890469551086426,0.00494973799505,7000.0,25685.32006430626,0.0656404273059,2000,839.6,0.0,2.10854,8.23621,1792.55734636,0.694794,-1.20780896395e-09,7.45057038287e-09
0.0,-0.00122808979359,8.05817,239.36131238937378,23800.0,0.579154655465,724.5331392288208,0.687245,143.99367356300354,160.98887395858765,2000,9780.21275727,5.849484443664551,14498.15,6.018916368484497,0.00813611410558,2.08669,145.82130646705627,0.2648923397064209,0.00122809056529,10300.0,26414.121477365494,0.0640711493484,2000,856.45,0.0,2.08715,8.06187,1809.30605413,0.687075,7.71706254454e-10,-7.45055439566e-09
0.0,-0.002750008367,7.75489,236.01873683929443,23800.0,0.62773819614,723.5453445911407,0.673702,143.86124396324158,163.91472792625427,2000,9616.44744383,5.830341339111328,15818.4,6.032011032104492,0.00704478705302,2.04832,145.5809314250946,0.2330923080444336,0.00275000796682,10200.0,27141.809460639954,0.0527187067207,2000,813.3,0.0,2.04667,7.74209,1736.62117631,0.674258,-4.0017766878e-10,0.0
0.0,-0.0057614305988,7.53613,248.51718974113464,24000.0,0.580402117757,728.0381097793579,0.664818,146.62337923049927,153.58683109283447,2000,10063.2472672,5.832853555679321,11153.8,6.098053455352783,0.00980691704899,2.01971,145.1920838356018,0.2940499782562256,0.00576143078797,8300.0,27873.74688768387,0.0604883328359,2000,827.1,0.0,2.02011,7.53916,1747.09633106,0.664666,1.89174897969e-10,0.0
0.0,-0.00466928584501,7.43564,249.77446007728577,24100.0,0.538413579589,724.5659122467041,0.65957,143.59558176994324,150.04327774047852,2000,10064.5723759,5.922056674957275,11298.3,6.015836477279663,0.00742395268753,2.00628,146.7626669406891,0.2707548141479492,0.00466928631067,6900.0,28602.412990808487,0.0601012382922,2000,722.85,0.0,2.00451,7.42244,1598.54398673,0.660162,4.65661287308e-10,7.45057038287e-09
0.0,-0.00435688672587,7.3535,245.88159799575806,24100.0,0.624025689946,729.3631525039673,0.656935,147.2507348060608,154.5195553302765,2000,9903.68442752,5.860047101974487,13957.4,6.124127149581909,0.00649132858962,1.99518,145.93272614479065,0.23230671882629395,0.00435688595462,10800.0,29335.958644628525,0.0478569263828,2000,828.85,0.0,1.99669,7.36465,1724.85729192,0.65644,-7.71251507103e-10,0.0
0.0,-0.00390931637958,7.20508,250.16795825958252,24100.0,0.564425439475,729.2219738960266,0.649616,145.35851526260376,151.87803864479065,2000,10238.0732551,5.986435651779175,11417.35,5.99440860748291,0.00676148338243,1.97479,147.51622557640076,0.27127814292907715,0.00390931552101,10100.0,30069.09187412262,0.0576263569823,2000,784.95,0.0,1.97442,7.20247,1680.2078733,0.649727,-8.58562998474e-10,0.0
0.0,-0.00206919317134,7.04858,245.3004879951477,24200.0,0.630318430098,720.3144226074219,0.642619,145.5523452758789,150.55033087730408,2000,11165.3160474,5.84535551071167,11047.25,6.058598518371582,0.00676865689456,1.95283,144.9994671344757,0.2649655342102051,0.00206919302582,11100.0,30793.611593723297,0.0577934322757,2000,848.75,0.0,1.95283,7.04862,1775.10237381,0.642617,-1.45519152284e-10,0.0
0.0,-0.00188744510524,6.94965,232.64550757408142,24200.0,0.61777423119,695.9256978034973,0.638658,145.44155049324036,142.4701225757599,2000,11169.3976377,5.70072340965271,10762.1,6.012273550033569,0.00635406607762,1.93869,141.62463116645813,0.2565333843231201,0.00188744422485,12700.0,31493.725538253784,0.0489076112711,2000,834.2,0.0,1.93983,6.95756,1731.77087399,0.638267,-8.80390871316e-10,-7.45057038287e-09
0.0,-0.00330480886623,6.83084,238.71100687980652,24100.0,0.509278565809,707.8025479316711,0.633032,144.73417162895203,143.20774292945862,2000,10440.9390228,5.879842042922974,8016.35,6.070864677429199,0.00949511211365,1.92145,147.42527890205383,0.27666711807250977,0.00330480903358,9100.0,32205.776473999023,0.0591659424781,2000,852.55,0.0,1.9221,6.83529,1713.34278459,0.632812,1.67347025126e-10,-7.45056949469e-09
0.0,-0.00354056130163,6.79815,239.00241613388062,24200.0,0.597642981436,732.6851303577423,0.632081,157.6509702205658,152.23770403862,2000,10256.9293932,5.887007236480713,12268.15,6.506962060928345,0.00660988828167,1.91665,148.9709575176239,0.2714402675628662,0.00354056192009,12100.0,32942.47325539589,0.0527721454475,2000,864.45,0.0,1.91913,6.81503,1771.6182426,0.631281,6.18456397206e-10,0.0
0.0,-0.00141753442585,6.74124,231.5045576095581,24100.0,0.682330694669,734.5501308441162,0.628173,155.96293544769287,152.46935296058655,2000,11198.0108098,6.0390942096710205,11166.55,6.471132040023804,0.00563011877239,1.90824,148.83588576316833,0.2515847682952881,0.00141753492062,10000.0,33680.70900321007,0.0565964114275,2000,732.15,0.0,1.90691,6.73225,1571.2738073,0.628583,4.94765117764e-10,0.0
0.0,-6.69388100505e-10,6.65785,221.38013696670532,23600.0,0.631468702329,717.4548690319061,0.624871,158.48680686950684,153.86724638938904,2000,9209.56904516,5.928061485290527,14230.05,6.524160385131836,-7.45056949469e-09,1.8958,146.5362286567688,0.25522327423095703,-1.33877620101e-09,7900.0,34402.24006795883,0.0659293748296,2000,622.05,0.0,1.89576,6.65758,1491.1736309,0.624863,-2.00816430151e-09,0.0
0.0,-0.00253039645031,6.65785,221.9142427444458,24000.0,0.619565443271,737.3336589336395,0.624665,160.64419436454773,173.04472970962524,2000,9788.26439723,5.865955114364624,14799.7,6.599817991256714,0.00636609224603,1.8958,146.82996010780334,0.29523444175720215,0.00253039420204,7600.0,35143.42817902565,0.0704732673308,2000,647.25,0.0,1.89518,6.65377,1502.53200881,0.624863,-2.24827090278e-09,0.0
0.0,-0.00290604820475,6.54315,224.21675872802734,24000.0,0.654336944228,737.0494623184204,0.619735,157.30085802078247,170.53153705596924,2000,9775.95404245,6.01007342338562,16251.6,6.494405746459961,0.0092247640714,1.87842,150.30905604362488,0.3029210567474365,0.0029060486122,12500.0,35884.30436873436,0.0663293122284,2000,609.2,0.0,1.87886,6.54607,1476.50782592,0.619589,4.07453626394e-10,0.0
0.0,-0.00262449076399,6.4257,223.6087086200714,24000.0,0.641442630525,734.4592595100403,0.613795,158.16040802001953,169.96676802635193,2000,9776.34787382,5.921476364135742,15653.5,6.558704614639282,0.0095258615911,1.86031,148.0515193939209,0.2670154571533203,0.00262448763533,15400.0,36623.175601005554,0.0742168079057,2000,584.65,0.0,1.85949,6.42045,1464.9571248,0.614029,-3.1286617741e-09,0.0
0.0,-0.00263653555885,6.42667,226.41873836517334,24200.0,0.595014372255,737.314777135849,0.61364,156.89120817184448,169.24135613441467,2000,10454.5353927,6.032238960266113,13120.85,6.388247489929199,0.00763002550229,1.86046,149.70550441741943,0.2516300678253174,0.00263653448656,10200.0,37364.4584608078,0.0817358194086,2000,547.15,0.0,1.85917,6.41844,1364.3686736,0.614057,-1.07229425339e-09,0.0
0.0,-0.00397134944797,6.29196,226.46714973449707,24000.0,0.61505793397,730.1483497619629,0.607099,153.12156438827515,166.64100909233093,2000,10186.1472549,5.999515533447266,13468.55,6.312195539474487,0.00947231054306,1.83927,149.27405428886414,0.2554042339324951,0.00397135045932,13500.0,38098.82076239586,0.0927691343473,2000,579.5,0.0,1.83801,6.28405,1556.07511066,0.60747,1.01135810837e-09,1.49011398776e-08
0.0,-1.51339918375e-09,6.14886,227.2003846168518,23700.0,0.509704412421,736.2866945266724,0.600883,155.31691193580627,167.7384819984436,2000,9295.05220211,5.988733291625977,9338.4,6.399219989776611,7.45056993878e-09,1.81627,148.87374758720398,0.2598426342010498,-3.71801434085e-09,6000.0,38839.71761441231,0.108813324698,2000,345.55,0.0,1.81704,6.1536,1162.56191125,0.600647,-5.2314135246e-09,0.0
0.0,-0.00371778546833,6.14886,227.20838952064514,23900.0,0.582564135896,732.5860347747803,0.601043,154.65454006195068,166.29209566116333,2000,9529.2688564,5.9580090045928955,9700.25,6.320869445800781,0.00798720493913,1.81627,149.91679096221924,0.25425076484680176,0.00371778555564,9600.0,39576.16970062256,0.114842518032,2000,364.75,0.0,1.81746,6.15618,1181.73281138,0.600647,8.73114913702e-11,7.45057038287e-09
0.0,-0.00289121037349,6.14811,228.6921648979187,24000.0,0.572314428221,732.3634653091431,0.600674,152.8219883441925,165.50363540649414,2000,10201.199427,6.0989320278167725,12419.5,6.330475330352783,0.00749143538997,1.81615,150.78774070739746,0.2800118923187256,0.00289120928937,5600.0,40312.64018702507,0.105544426926,2000,307.6,0.0,1.81634,6.14931,1049.11021347,0.600608,-1.08411768451e-09,-7.45056949469e-09
0.0,-0.00244052591734,5.90057,238.28304600715637,24200.0,0.702053709512,736.2483568191528,0.589702,153.73129892349243,156.23732447624207,2000,10971.1785288,6.067791938781738,11723.7,6.287760257720947,0.00851358287036,1.77505,153.2435450553894,0.27353620529174805,0.00244052472408,12900.0,41052.56147646904,0.0973711546301,2000,361.35,0.0,1.77766,5.91597,1169.11127678,0.588923,-1.19325704873e-09,0.0
0.0,-0.0032838662155,5.82768,238.86046314239502,24000.0,0.645713465484,732.8610756397247,0.58556,150.8098156452179,154.99013948440552,2000,9571.82897766,6.1733927726745605,15962.65,6.265841007232666,0.00978907011449,1.76262,153.09138083457947,0.25799560546875,0.0032838684856,5800.0,41789.181644678116,0.102061258192,2000,356.1,0.0,1.76328,5.83154,1105.21617342,0.585342,2.27009877563e-09,0.0
0.0,-0.00305848754942,5.83867,236.94231915473938,24200.0,0.622393237123,729.6347804069519,0.586317,151.616690158844,154.70838594436646,2000,10580.0862888,6.076087474822998,14432.85,6.271199703216553,0.0099153900519,1.7645,151.97967982292175,0.2717890739440918,0.0030584911874,8300.0,42523.39959573746,0.0993458833506,2000,327.8,0.0,1.76608,5.8479,1033.56526644,0.585853,3.63797880709e-09,-7.45055972473e-09
