1PolicyExecTime,0AveragePolicyStd,MeanKLBefore,MeanKL,0ProcessExecTime,1StdReturn,1ProcessExecTime,0MinReturn,1Perplexity,0Perplexity,0StdReturn,0AverageReturn,dLoss,1MaxReturn,1Entropy,1NumTrajs,1AveragePolicyStd,0ExplainedVariance,LossBefore,1EnvExecTime,0NumTrajs,1ExplainedVariance,LossAfter,0PolicyExecTime,0Entropy,0MaxReturn,1MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,1AverageReturn,ItrTime
294.0320780277252,0.951569,-3.25962257186e-09,0.0064494186081,6.578429698944092,9435.40411416,6.434211015701294,0.0,15.4169,15.4603,7241.16528588,4000.55,0.00208190381818,23000.0,2.73547,2000,0.950232,0.0507268135864,-1.67347025126e-09,158.58740067481995,2000,0.171686728294,-0.00208190549165,252.87627696990967,2.73828,22900.0,0.0,10162.857188463211,156.33615970611572,0.2667582035064697,7160.45,899.4038228988647
303.1798632144928,0.944641,-9.31321908482e-10,0.00622929027304,6.561641216278076,10071.5842397,6.588425874710083,0.0,15.1925,15.2337,7719.02318156,4342.85,0.00191616000666,23300.0,2.7208,2000,0.94337,0.048743267588,5.96628524363e-10,161.31355214118958,2000,0.18923544416,-0.00191615941003,254.3659918308258,2.72351,23000.0,0.0,11079.761733531952,155.44190382957458,0.2653803825378418,8350.95,911.9172413349152
305.23980808258057,0.938628,2.98372437868e-16,0.00693754293025,6.667747974395752,10245.0867491,6.505067586898804,0.0,15.0021,15.0369,7314.05792276,3927.05,0.00219005868712,23500.0,2.70819,2000,0.937552,0.0631884799199,-8.29459168017e-10,158.6746027469635,2000,0.232530704722,-0.00219005951658,246.05516743659973,2.71051,22800.0,0.0,11988.463335514069,156.22027683258057,0.2646067142486572,9175.05,903.8820104598999
301.0972945690155,0.931383,-1.5959455979e-16,0.00667347246781,6.5944671630859375,10495.8111262,6.468592405319214,0.0,14.7993,14.8028,7011.93609141,3611.5,0.00217726605479,23500.0,2.69458,2000,0.931271,0.0648987946186,1.16415321827e-10,158.5242681503296,2000,0.270654820462,-0.00217726593837,243.07625889778137,2.69481,22900.0,0.0,12890.18701338768,156.45528173446655,0.24655485153198242,9964.45,896.3994009494781
300.6832084655762,0.923989,-9.31321519904e-10,0.00682948669419,6.669802904129028,10601.1064701,6.454395532608032,0.0,14.5564,14.5647,6523.87583496,3390.3,0.00221548521949,23800.0,2.67803,2000,0.923739,0.0684567156302,1.30967237055e-10,158.958664894104,2000,0.277780669872,-0.00221548508853,248.2322280406952,2.6786,23100.0,0.0,13798.169878482819,158.06767559051514,0.25353097915649414,10011.9,903.2343604564667
303.9892120361328,0.919373,3.72528630166e-09,0.0083777224645,6.568145751953125,10944.8020795,6.482324838638306,0.0,14.4276,14.4215,7385.26032039,3890.0,0.0025329266864,23700.0,2.66914,2000,0.919537,0.0576509362659,2.98314262182e-10,159.1915991306305,2000,0.317629732737,-0.00253292638808,232.90143036842346,2.66872,23200.0,0.0,14692.819475650787,156.512202501297,0.26366472244262695,10741.2,889.8360049724579
303.55644249916077,0.919258,9.31322075015e-10,0.00998853333294,6.62292218208313,10877.8572817,6.493283748626709,0.0,14.3785,14.415,6908.37297705,3465.9,0.00297907393542,23700.0,2.66573,2000,0.918109,0.0694891092908,-2.03726813197e-10,159.38295221328735,2000,0.338925175087,-0.00297907413915,243.22514963150024,2.66827,23100.0,0.0,15597.2481341362,156.36082005500793,0.25354933738708496,10956.4,899.6673710346222
311.69848346710205,0.910118,3.72528563553e-09,0.00740634184331,6.5977630615234375,10555.3978342,6.546015501022339,0.0,14.1126,14.126,7539.73967704,4046.05,0.00336241527111,23900.0,2.64706,2000,0.909694,0.0552240149555,-7.85803422332e-10,160.3089418411255,2000,0.331340676583,-0.00336241605692,237.1780104637146,2.64802,23300.0,0.0,16506.255803585052,157.61733150482178,0.4118824005126953,9941.25,904.3651781082153
315.64547777175903,0.900825,-1.86265380897e-09,0.00671457918361,6.625596523284912,10596.5491221,6.544369459152222,0.0,13.8403,13.8309,7576.10738044,4026.4,0.00390237008105,24000.0,2.62759,2000,0.901141,0.0609798561865,-9.60426405072e-10,160.51366472244263,2000,0.356577918935,-0.00390237104148,237.8137366771698,2.6269,23300.0,0.0,17419.936322450638,156.99700570106506,0.24065375328063965,10385.45,908.445725440979
322.45922565460205,0.892359,0.0,0.00645646452904,6.890144109725952,9734.29031774,6.5874927043914795,0.0,13.57,13.5622,7826.93239462,4167.3,0.0044749358899,23900.0,2.60786,2000,0.892596,0.0526144408557,-1.09457687358e-09,160.79229974746704,2000,0.226732750096,-0.00447493698448,258.1524510383606,2.60728,23400.0,0.0,18367.02447628975,162.95945358276367,0.2621612548828125,8014.9,942.5032825469971
341.2861576080322,0.887102,3.72529207482e-09,0.00828211288899,6.730097770690918,10492.4238911,6.806162118911743,0.0,13.3801,13.4021,7660.43869501,3963.0,0.00421672574885,23900.0,2.59377,2000,0.886358,0.0622608998997,-1.12049747258e-09,165.15622544288635,2000,0.340646251943,-0.00421672686934,243.81237196922302,2.59541,23800.0,0.0,19320.022207975388,159.21782612800598,0.27220678329467773,9878.3,948.2004282474518
285.4772205352783,0.877823,1.67638312121e-08,0.00635451171547,6.84872579574585,10016.7644856,6.278891086578369,0.0,13.0921,13.116,7738.61720707,4078.35,0.0032986569604,24000.0,2.57201,2000,0.877024,0.0580541530869,6.43922248855e-10,154.05373096466064,2000,0.224595397024,-0.00329865631647,246.00664830207825,2.57383,23600.0,0.0,20208.6946079731,161.24706840515137,0.2295680046081543,6088.2,883.8830733299255
293.29603123664856,0.874113,3.7252845253e-09,0.00873186998069,6.370374441146851,11308.8689863,6.292523622512817,0.0,12.9787,13.0043,7199.07733237,3516.75,0.00225289336231,23900.0,2.56331,2000,0.873288,0.0758454251091,3.05590219796e-10,154.05890727043152,2000,0.407966510564,-0.00225289305672,206.7008936405182,2.56528,23400.0,0.0,21056.33821773529,152.33786797523499,0.389052152633667,11563.5,843.036164522171
291.32743883132935,0.860687,5.58792390137e-09,0.00904095545411,6.370832443237305,11384.0369601,6.2403130531311035,0.0,12.6002,12.5983,6367.40072243,2779.8,0.00251469560317,24000.0,2.53371,2000,0.860764,0.101244828034,-8.44011083245e-10,153.82189083099365,2000,0.412562259497,-0.00251469644718,198.32424902915955,2.53356,23300.0,0.0,21891.34995985031,150.56557703018188,0.27811479568481445,11780.7,829.9936225414276
