MeanKLBefore,1MinReturn,0ExplainedVariance,0PolicyExecTime,Time,1MaxReturn,0Entropy,0StdReturn,0MaxReturn,LossBefore,0MinReturn,1ExplainedVariance,1Perplexity,1Entropy,0Perplexity,0ProcessExecTime,0AveragePolicyStd,0EnvExecTime,1AveragePolicyStd,ItrTime,1AverageReturn,1StdReturn,0NumTrajs,dLoss,0AverageReturn,1ProcessExecTime,MeanKL,ComputeUpdatedDistTime,LossAfter,1NumTrajs,1EnvExecTime,1PolicyExecTime
-3.72529090908e-10,0.0,0.0228444505835,11.094794034957886,5399.1786160469055,37300.0,2.89248,6445.13225233,38100.0,2.9103941479e-12,0.0,0.15510408681,18.0587,2.89363,18.038,1.4172093868255615,1.02774,48.549952268600464,1.02835,153.97091579437256,8583.25,9779.92814071,400,0.00444926973723,2804.5,1.2162649631500244,0.00910995993763,0.4276697635650635,-0.00444926973432,400,41.87032127380371,40.19776010513306
2.28174767969e-09,0.0,0.0204252429192,13.134170532226562,5555.4192225933075,26500.0,2.88524,6532.42382275,30300.0,1.56578616739e-09,0.0,0.214341732493,17.9516,2.88768,17.9078,1.3408386707305908,1.02401,47.66111445426941,1.0253,156.2361090183258,4837.25,6876.95335432,400,0.00272461881978,2667.0,1.1918566226959229,0.00829855166376,0.4640626907348633,-0.00272461725399,400,41.67051911354065,39.137020111083984
-6.05360039874e-10,0.0,0.0462029888267,11.390883207321167,5711.711825847626,33800.0,2.87434,6462.30894785,29700.0,-1.26601673589e-10,0.0,0.211191996094,17.7015,2.87365,17.7138,1.2749605178833008,1.01843,44.901984453201294,1.01813,155.47939920425415,5740.25,9134.63764675,400,0.0029227299281,2988.25,1.229311227798462,0.00676212552935,0.41800975799560547,-0.00292273005471,400,41.86992144584656,38.099180459976196
-1.2619417511e-08,0.0,0.0178476428749,12.016347646713257,5871.840477228165,34600.0,2.87552,4886.77600776,27200.0,-1.3766111584e-09,0.0,0.222186519004,17.7778,2.87795,17.7346,1.4619009494781494,1.019,49.64782929420471,1.02026,160.12260842323303,5815.0,7250.32240662,400,0.00314229938376,1820.5,1.2180776596069336,0.00681854924187,0.5152802467346191,-0.00314230076037,400,41.985729455947876,39.82244634628296
-4.88945417487e-09,0.0,0.0282681189239,13.329570055007935,6028.040001153946,39000.0,2.87766,4621.98485502,23300.0,-1.51339829557e-10,0.0,0.220497137807,17.7896,2.87861,17.7726,1.335930347442627,1.02012,47.63844561576843,1.02063,155.52478957176208,5448.0,8283.91791364,400,0.00469100832706,1766.0,1.267176628112793,0.0097472500056,0.3354196548461914,-0.0046910084784,400,41.889883518218994,40.49306297302246
-4.42378855769e-10,0.0,0.0418960921341,11.302479982376099,6187.144638061523,37500.0,2.8669,5983.36940507,33400.0,2.05182024149e-10,0.0,0.150896126774,17.584,2.86699,17.5824,1.315049409866333,1.01466,45.48615002632141,1.01472,159.09850215911865,8236.5,11116.0342636,400,0.00301002335764,2710.75,1.2355990409851074,0.00959077198058,0.4341404438018799,-0.00301002315246,400,42.30554747581482,39.25696659088135
7.45058181817e-10,0.0,0.0254688252159,12.44821572303772,6348.937952518463,36800.0,2.86201,6371.03342775,27100.0,-5.29689736517e-10,0.0,0.170564798826,17.4756,2.8608,17.4967,1.477604627609253,1.01219,50.536460876464844,1.01158,161.1617226600647,7382.25,9803.66563779,400,0.00251579906908,2944.25,1.2443206310272217,0.00751799624413,0.37284159660339355,-0.00251579959877,400,41.94418382644653,39.58006811141968
5.58793622485e-10,0.0,0.0112643196883,13.720852851867676,6507.151222705841,32400.0,2.87764,4266.00269573,30000.0,-7.35235539118e-10,0.0,0.0956467040839,17.8058,2.87952,17.7724,1.3978486061096191,1.02009,48.26019477844238,1.02106,158.2083330154419,5401.25,8594.95046161,400,0.00292141848295,1389.0,1.2134363651275635,0.00702975038439,0.3320629596710205,-0.00292141921818,400,41.78033232688904,39.57784080505371
7.21775250678e-10,0.0,0.0408232896521,11.086226224899292,6668.407938957214,36200.0,2.87122,4315.85575958,22200.0,7.79982634036e-10,0.0,0.33885456257,17.711,2.87418,17.6585,1.4704594612121582,1.01684,47.145596742630005,1.01838,160.0985608100891,7181.25,10587.6330423,400,0.00373932378134,1883.75,1.229783296585083,0.00740076741204,0.436614990234375,-0.00373932300135,400,42.60300540924072,39.189642906188965
-9.02218244558e-10,0.0,0.0136488232306,12.158189296722412,6829.557651758194,35900.0,2.86499,4633.67413615,24700.0,2.47382669905e-11,0.0,0.154460550833,17.5796,2.86674,17.5489,1.50278902053833,1.01379,50.230039834976196,1.01471,161.13887906074524,7653.0,11248.2972489,400,0.00258871053957,1958.0,1.2752859592437744,0.00771537842229,0.44963598251342773,-0.00258871051483,400,41.843039989471436,41.406617403030396
-6.98493041185e-10,0.0,0.0231040000782,13.112521648406982,6986.657609701157,36600.0,2.85675,6919.90136761,28000.0,-7.94534604776e-10,0.0,0.110967454463,17.4189,2.85755,17.4049,1.3804049491882324,1.00965,47.30323648452759,1.01008,156.33800721168518,6458.5,10039.807157,400,0.00284575475089,3232.25,1.2078747749328613,0.00674545252696,0.3414733409881592,-0.00284575554542,400,41.73443937301636,39.381972789764404
-1.02445540939e-09,0.0,0.0305782699512,10.819370985031128,7142.967729091644,33200.0,2.85013,2655.17000397,16900.0,2.4447219249e-10,0.0,0.202318052663,17.3183,2.85176,17.29,1.4050467014312744,1.00628,45.45440125465393,1.00712,156.30481672286987,7299.75,10275.4184799,400,0.00334442920284,1216.5,1.2622129917144775,0.00976758822799,0.4098329544067383,-0.00334442895837,400,42.17579770088196,38.83417010307312
