MeanKLBefore,ComputeUpdatedDistTime,0ExplainedVariance,1MaxReturn,1ProcessExecTime,1ExplainedVariance,1AverageReturn,1Entropy,1StdReturn,1PolicyExecTime,LossBefore,0AveragePolicyStd,0StdReturn,Time,1NumTrajs,1AveragePolicyStd,MeanKL,0ProcessExecTime,LossAfter,0Entropy,0PolicyExecTime,0EnvExecTime,ItrTime,0MinReturn,0NumTrajs,1MinReturn,dLoss,1Perplexity,0AverageReturn,0Perplexity,0MaxReturn,1EnvExecTime
0.0,0.07795310020446777,0.114303664952,2800.0,0.6232831478118896,0.540137496101,881.75,2.35439,951.450789146,25.351634740829468,-1.16415321827e-09,0.784307,121.391669813,1417.7012295722961,1200,0.785511,0.00703615415841,0.6545164585113525,-0.0094869621098,2.35122,18.643900156021118,15.189478397369385,78.69368004798889,0.0,1200,0.0,0.00948696094565,10.5317,13.75,10.4984,1600.0,15.1973295211792
3.72528874415e-09,0.07352328300476074,0.0985686274479,2800.0,0.5985598564147949,0.57434896496,1042.58333333,2.31563,1078.22152627,22.55525040626526,-4.65661287308e-10,0.770625,111.069016332,1492.5500831604004,1200,0.770684,0.00943565368652,0.6682074069976807,-0.00885980855674,2.31534,15.830925703048706,15.80729055404663,73.06984829902649,0.0,1200,0.0,0.00885980809107,10.1313,9.41666666667,10.1284,2000.0,14.477378606796265
0.0,0.08043456077575684,0.0138016515697,2000.0,0.6192636489868164,0.446762355381,136.416666667,2.26536,377.048396172,27.98503041267395,-1.22236087918e-09,0.752507,8.15815883368,1569.9099142551422,1200,0.75199,0.00730245932937,0.6094996929168701,-0.00738892005756,2.26661,14.287828922271729,14.426470279693604,75.84626722335815,0.0,1200,0.0,0.0073889188352,9.63458,0.333333333333,9.64662,200.0,14.780132532119751
0.0,0.07746338844299316,0.0704354073133,2800.0,0.6362159252166748,0.597868390895,601.0,2.25335,1046.82010553,24.448705673217773,9.31322574615e-10,0.748357,99.7328375656,1648.0987014770508,1200,0.747943,0.00670113181695,0.6840672492980957,-0.00387372076511,2.25454,15.909536838531494,16.149927377700806,76.39305448532104,0.0,1200,0.0,0.00387372169644,9.51955,10.1666666667,9.53092,1400.0,15.446914196014404
7.4505774883e-09,0.09516453742980957,0.0755923599246,2900.0,0.610405683517456,0.616022429213,618.416666667,2.22405,1074.81897378,24.52366805076599,-1.39698386192e-09,0.73849,84.1803206747,1722.8217985630035,1200,0.736991,0.00952430441976,0.6090757846832275,-0.00561577826738,2.22801,14.398776054382324,14.469641208648682,72.51542067527771,0.0,1200,0.0,0.0056157768704,9.2447,9.41666666667,9.28138,1500.0,14.760689973831177
0.0,0.07080221176147461,0.107433445656,2900.0,0.6327605247497559,0.602521503206,620.416666667,2.17516,1078.16580036,24.235254049301147,-1.16415321827e-10,0.719254,149.884307236,1802.7675549983978,1200,0.719263,0.00765449926257,0.6656262874603271,-0.00492582190782,2.17516,18.902209997177124,15.525778770446777,78.46035027503967,0.0,1200,0.0,0.0049258217914,8.80364,17.8333333333,8.80361,1800.0,15.326051235198975
0.0,0.07889366149902344,0.0820598743224,2800.0,0.586956262588501,0.598950195864,631.416666667,2.13919,1096.44333782,23.324087142944336,9.31322574615e-10,0.706428,104.952866405,1877.251832485199,1200,0.706291,0.0068472228013,0.6351516246795654,-0.00392973981798,2.13953,15.2571542263031,15.06891942024231,72.58691143989563,0.0,1200,0.0,0.0039297407493,8.49255,11.25,8.49543,1600.0,14.229242324829102
0.0,0.08379721641540527,0.0465559730439,2800.0,0.6316022872924805,0.595065702355,546.333333333,2.10138,956.662543545,27.27952003479004,9.31322574615e-10,0.692997,66.9668242905,1955.4622466564178,1200,0.692874,0.00674899248406,0.6304266452789307,-0.00546996528283,2.10161,14.82289433479309,14.928260087966919,76.78079748153687,0.0,1200,0.0,0.00546996621415,8.17747,5.66666666667,8.17932,1300.0,15.291640996932983
7.4505774883e-09,0.07463407516479492,0.0827267075845,2900.0,0.5940108299255371,0.613086471336,642.833333333,2.08668,1115.56352227,23.0484938621521,-1.16415321827e-10,0.687058,99.4314043281,2030.1588153839111,1200,0.687987,0.00895362254232,0.6515705585479736,-0.00382094504312,2.08383,15.26028323173523,15.538750886917114,72.81681203842163,0.0,1200,0.0,0.0038209449267,8.05814,10.25,8.03517,1600.0,14.519782304763794
0.0,0.10686755180358887,0.0862390193596,2900.0,0.6181998252868652,0.606033538418,649.666666667,2.02545,1127.05363177,23.36683702468872,-3.49245965481e-10,0.666349,107.671826502,2105.4070117473602,1200,0.667192,0.00711815059185,0.6422765254974365,-0.00266901752912,2.02278,15.88094687461853,14.968997240066528,73.60276818275452,0.0,1200,0.0,0.00266901717987,7.57953,10.3333333333,7.55929,1600.0,14.955487489700317
0.0,0.07635331153869629,0.0529955341271,2900.0,0.6161305904388428,0.595730716486,629.666666667,1.95877,1094.73127093,23.50728726387024,-2.32830643654e-10,0.644639,74.3448701809,2185.0998520851135,1200,0.645021,0.00829045195132,0.6618838310241699,-0.00434512645006,1.95749,19.141863107681274,15.692351341247559,77.67122673988342,0.0,1200,0.0,0.00434512621723,7.0906,5.58333333333,7.08155,1400.0,14.926670551300049
0.0,0.0834653377532959,0.0478505312335,3000.0,0.5975639820098877,0.593297242308,633.166666667,1.91669,1100.53773473,22.754678964614868,-3.49245965481e-10,0.631004,70.5092586513,2260.3147099018097,1200,0.631794,0.00638140272349,0.6450188159942627,-0.00315016647801,1.9141,16.697559356689453,15.069704055786133,73.48482847213745,0.0,1200,0.0,0.00315016612876,6.79842,5.33333333333,6.78081,1300.0,14.523196935653687
