0AverageReturn,0PolicyExecTime,0EnvExecTime,1AveragePolicyStd,0MinReturn,MeanKLBefore,dLoss,1EnvExecTime,LossAfter,0MaxReturn,0Entropy,0NumTrajs,1Entropy,ComputeUpdatedDistTime,1Perplexity,1NumTrajs,Time,1MinReturn,ItrTime,0AveragePolicyStd,MeanKL,1ProcessExecTime,0ProcessExecTime,1ExplainedVariance,1MaxReturn,LossBefore,1AverageReturn,1PolicyExecTime,0Perplexity,0StdReturn,0ExplainedVariance,1StdReturn
669.15,175.62714266777039,140.89284014701843,0.864584,0.0,3.72528541348e-09,0.00535409309668,142.0414047241211,-0.00535409385338,22500.0,2.54434,2000,2.54538,0.2805914878845215,12.7481,2000,11698.088762998581,0.0,727.7032964229584,0.86412,0.00660006515682,5.772000551223755,5.983438968658447,0.538889149793,23000.0,-7.56699591875e-10,9504.55,234.70831155776978,12.7348,3245.45424825,0.192422750348,8454.04957979
486.75,172.0329442024231,141.97283959388733,0.85992,0.0,5.58792434546e-09,0.00526839051236,142.2406895160675,-0.00526838889346,21200.0,2.53485,2000,2.53489,0.2687649726867676,12.615,2000,12429.608803987503,0.0,727.4039967060089,0.859896,0.00756610371172,5.7901611328125,6.001598834991455,0.560342220659,23100.0,1.61890056916e-09,10706.95,236.57486867904663,12.6146,2845.16070504,0.169619373178,8625.14502472
654.15,168.62452173233032,140.0154914855957,0.854856,0.0,-7.45058015283e-09,0.00488882604986,142.6597671508789,-0.00488882511854,21900.0,2.52252,2000,2.52333,0.3553173542022705,12.47,2000,13158.584172964096,0.0,724.1731417179108,0.854516,0.00773266190663,5.8386030197143555,5.970664978027344,0.53095553168,22800.0,9.31322574615e-10,6985.4,238.2813310623169,12.4599,3288.70685491,0.189009102197,8902.4966633
533.0,166.27088284492493,140.41973733901978,0.84371,0.0,0.0,0.00302437814389,142.32106566429138,-0.00302437786013,22100.0,2.4967,2000,2.49712,0.2745387554168701,12.1474,2000,13888.331101179123,0.0,725.7447755336761,0.843521,0.00707107083872,5.797361612319946,5.960548162460327,0.643664040206,23400.0,2.83762346953e-10,12435.2,242.33096289634705,12.1424,2628.75655016,0.16515271977,9928.39770356
314.7,161.73555254936218,140.13176107406616,0.836706,0.0,-1.11758620136e-08,0.00546234422654,141.94618248939514,-0.00546234380454,20800.0,2.47908,2000,2.48055,0.27017998695373535,11.9479,2000,14615.344804525375,0.0,722.0994720458984,0.836067,0.00969632249326,5.7956719398498535,5.994627952575684,0.637250046828,23500.0,4.22005541623e-10,8016.3,244.01596403121948,11.9302,1999.61594062,0.20992958426,9802.08826271
315.6,161.81387543678284,140.7315583229065,0.829735,0.0,0.0,0.00284604652552,142.52462363243103,-0.00284604588524,21000.0,2.46314,2000,2.46345,0.2717099189758301,11.7452,2000,15343.478250741959,0.0,723.7701823711395,0.829607,0.00679842382669,5.794006824493408,6.015848159790039,0.681447366215,23500.0,6.40284270048e-10,13032.45,244.16699981689453,11.7416,2116.63332677,0.152129013221,10066.640055
323.95,162.13183498382568,141.7302668094635,0.816593,0.0,3.72528474735e-09,0.00492509329342,142.18298935890198,-0.00492509454489,22300.0,2.43049,2000,2.43105,0.272538423538208,11.3708,2000,16074.08835530281,0.0,726.1624562740326,0.81637,0.00853373110294,5.80288028717041,5.990092515945435,0.63590428739,23400.0,-1.25146470964e-09,7387.9,245.8516263961792,11.3644,2309.32271402,0.265889000734,9209.47140666
242.55,161.28761410713196,139.5034704208374,0.813717,0.0,3.72528474735e-09,0.00359036247937,142.71504068374634,-0.00359036261216,21700.0,2.42452,2000,2.42404,0.2760138511657715,11.2914,2000,16800.88657808304,0.0,722.4082024097443,0.813925,0.00710676750168,5.792877435684204,5.999570369720459,0.639164998944,23700.0,-1.32786226459e-10,12747.35,244.2638750076294,11.2968,1562.30742733,0.149576239607,10221.0803234
111.75,162.2531759738922,140.3173689842224,0.802855,0.0,-1.11758504673e-08,0.00342807604829,142.20799779891968,-0.0034280763939,19700.0,2.39624,2000,2.39735,0.2773928642272949,10.994,2000,17528.82773900032,0.0,723.5110893249512,0.802391,0.00647074170411,5.7677366733551025,6.012018203735352,0.669829880041,23500.0,-3.45607986674e-10,11908.05,244.01080799102783,10.9818,1097.4684221,0.134995686291,10571.907595
353.9,162.75577235221863,141.74789428710938,0.795274,0.0,0.0,0.00445541317458,142.32931780815125,-0.00445541366935,22000.0,2.3774,2000,2.37811,0.2599976062774658,10.7845,2000,18260.116232156754,0.0,727.1958322525024,0.794977,0.00966524705291,5.768435001373291,5.99968957901001,0.641349291167,23500.0,-4.94765117764e-10,8162.55,246.13018441200256,10.7768,2474.77166421,0.237847105495,9907.26665118
294.5,162.30553126335144,140.31700587272644,0.78763,0.0,0.0,0.0035605373123,142.9841856956482,-0.00356053654104,21100.0,2.35613,2000,2.3583,0.277052640914917,10.573,2000,18989.14325618744,0.0,724.1325783729553,0.786804,0.00890622939914,5.787767648696899,6.020955562591553,0.646179017024,23900.0,7.71251507103e-10,13165.1,244.09339570999146,10.55,1762.49815603,0.152668082164,10435.0319592
