ItrTime,dLoss,1NumTrajs,0MinReturn,0Entropy,1PolicyExecTime,0ProcessExecTime,1EnvExecTime,0MaxReturn,0Perplexity,0AveragePolicyStd,LossAfter,0EnvExecTime,0AverageReturn,1AverageReturn,LossBefore,MeanKLBefore,0ExplainedVariance,1ProcessExecTime,1AveragePolicyStd,1ExplainedVariance,1MaxReturn,1Perplexity,0StdReturn,MeanKL,Time,0PolicyExecTime,1StdReturn,1MinReturn,ComputeUpdatedDistTime,0NumTrajs,1Entropy
73.83820486068726,0.00312271213625,800,0.0,2.39013,27.9062397480011,0.4943516254425049,18.430967330932617,2000.0,10.9149,0.799417,-0.00312271039002,11.199483156204224,89.0,560.0,1.7462298274e-09,-1.11758753363e-08,0.106147872777,0.7772383689880371,0.796988,0.397939008659,2800.0,10.8483,310.087084542,0.00380586599931,2090.2544264793396,12.566863059997559,869.870680044,0.0,0.07556605339050293,800,2.38401
73.04317378997803,0.00585120590404,800,0.0,2.38713,27.980571746826172,0.4668409824371338,18.62981414794922,1900.0,10.8822,0.798217,-0.00585120730102,10.59133243560791,126.75,821.5,-1.39698386192e-09,0.0,0.105735606533,0.7824771404266357,0.795735,0.495230869469,2900.0,10.8142,371.597144096,0.00685056764632,2164.4450278282166,12.006904125213623,1067.98302889,0.0,0.07450389862060547,800,2.38086
71.4203052520752,0.00183336378541,800,0.0,2.35012,27.858109712600708,0.43889713287353516,18.511320114135742,2300.0,10.4868,0.783582,-0.00183336425107,9.988114833831787,131.75,673.5,-4.65661287308e-10,-7.45057526785e-09,0.0982712936635,0.7754020690917969,0.781333,0.464942589483,2900.0,10.4266,401.393743723,0.00450998684391,2237.266608476639,11.34950852394104,1049.49880896,0.0,0.07042646408081055,800,2.34436
75.73313879966736,0.00437577418052,800,0.0,2.30664,27.95670247077942,0.5316603183746338,18.56140661239624,2200.0,10.0407,0.766734,-0.00437577534467,12.09218716621399,158.5,865.125,-1.16415321827e-09,0.0,0.13424363295,0.7834804058074951,0.765566,0.513233620265,2900.0,10.0098,443.258107653,0.00646239612252,2314.2565076351166,13.183667421340942,1131.2144953,0.0,0.07526350021362305,800,2.30357
70.78029894828796,0.00535609762301,800,0.0,2.28197,28.026466131210327,0.4123256206512451,18.730698347091675,2200.0,9.79596,0.757333,-0.00535609992221,9.400003910064697,128.75,940.0,-2.29920260608e-09,0.0,0.122276336164,0.785916805267334,0.7554,0.526638364146,2900.0,9.74581,377.224651236,0.00719538517296,2386.1150460243225,10.968499898910522,1163.00257953,0.0,0.06950855255126953,800,2.27684
72.88679075241089,0.0071572548477,800,0.0,2.25945,27.837644338607788,0.47654175758361816,18.47344732284546,2400.0,9.57786,0.748872,-0.00715725542977,10.824450016021729,136.5,747.875,-5.82076609135e-10,7.4505814851e-09,0.133173489565,0.7756352424621582,0.746787,0.468966195155,2900.0,9.52419,396.25465297,0.00799573864788,2460.404990673065,11.962485074996948,1017.85091461,0.0,0.07166671752929688,800,2.25383
74.11013746261597,0.00528122857213,800,0.0,2.23344,27.9484703540802,0.4888777732849121,18.577504634857178,2300.0,9.33196,0.739254,-0.00528122857213,11.076048135757446,114.625,886.375,0.0,0.0,0.112282627644,0.77872633934021,0.739647,0.540893287601,2800.0,9.34206,367.761620313,0.00724932411686,2535.6701617240906,12.390880584716797,1127.67542288,0.0,0.33762574195861816,800,2.23453
75.7522132396698,0.00541164341848,800,0.0,2.17053,27.95860505104065,0.5340206623077393,18.684574604034424,2600.0,8.76294,0.716315,-0.00541164586321,12.064352750778198,125.75,847.25,-2.44472175837e-09,0.0,0.155081864724,0.7863223552703857,0.714853,0.524705025546,2900.0,8.72719,400.70180621,0.00726969819516,2612.546881198883,13.1041419506073,1091.62376188,0.0,0.07029557228088379,800,2.16644
74.42140603065491,0.00580046791583,800,0.0,2.1679,28.037855625152588,0.5031404495239258,18.632192611694336,2300.0,8.73988,0.715383,-0.00580046651885,11.31929874420166,138.625,844.875,1.39698386192e-09,0.0,0.13253603656,0.7813785076141357,0.71319,0.50692634667,2900.0,8.68636,408.834452285,0.00733801349998,2688.3792655467987,12.564993858337402,1090.34340204,0.0,0.07555937767028809,800,2.16175
72.48155570030212,0.00492015469354,800,0.0,2.15144,28.09552574157715,0.4497871398925781,18.73120927810669,2300.0,8.59719,0.709495,-0.00492015294731,10.236971616744995,110.75,797.875,1.7462298274e-09,-7.4505814851e-09,0.0973459665056,0.7810251712799072,0.710831,0.492210066821,2800.0,8.62941,351.190030468,0.0087199267,2762.012932538986,11.653401851654053,1038.23551489,0.0,0.0746603012084961,800,2.15518
73.77720904350281,0.0048569036444,800,0.0,2.10787,27.903783798217773,0.48871636390686035,18.597671270370483,2400.0,8.23068,0.694213,-0.00485689984635,11.124295949935913,116.25,963.375,3.7980498746e-09,0.0,0.136224168285,0.776585578918457,0.695309,0.53707508598,3000.0,8.25646,387.957391346,0.00632786750793,2837.2387409210205,12.337270498275757,1161.45215544,0.0,0.07442092895507812,800,2.111
74.38606357574463,0.00665070489049,800,0.0,2.09216,28.043196439743042,0.49761414527893066,18.658055543899536,2300.0,8.10238,0.688774,-0.0066507072188,11.237744092941284,134.875,923.625,-2.32830643654e-09,7.4505814851e-09,0.159509851064,0.7798113822937012,0.685897,0.561596889501,2800.0,8.03446,428.422962007,0.00934325903654,2912.986002445221,12.621846914291382,1175.34223075,0.0,0.06905794143676758,800,2.08374
73.45596766471863,0.00496937893331,800,0.0,2.0771,28.058087825775146,0.4725511074066162,18.61649489402771,2000.0,7.98131,0.683624,-0.00496938126162,10.733055114746094,109.25,927.125,-2.32830643654e-09,0.0,0.0925671726077,0.7846980094909668,0.686193,0.543319038869,2900.0,8.04096,361.440780073,0.00927459262311,2987.6019365787506,12.239175796508789,1160.91633393,0.0,0.07532262802124023,800,2.08455
73.62674856185913,0.00222108582966,800,0.0,2.02082,28.039803504943848,0.4854390621185303,18.518348217010498,2400.0,7.5445,0.664634,-0.0022210883908,11.040585279464722,125.25,760.125,-2.56113708019e-09,7.4505814851e-09,0.0997981082725,0.7793467044830322,0.663384,0.494733541022,2900.0,7.51618,393.970097216,0.00689376471564,3062.6753449440002,12.247140884399414,1038.6517628,0.0,0.07155609130859375,800,2.01706
75.50313544273376,0.00427296658745,800,0.0,2.01752,28.012067794799805,0.5255968570709229,18.547630310058594,2200.0,7.51969,0.663538,-0.00427296618,11.963462591171265,110.625,729.875,4.07453626394e-10,-7.4505814851e-09,0.136624287575,0.7862529754638672,0.663885,0.478334099923,2900.0,7.52724,368.916805493,0.0069063580595,3139.4790790081024,13.140033960342407,1041.69092555,0.0,0.07573175430297852,800,2.01853
71.28494811058044,0.00402705615852,800,0.0,2.00846,28.071656465530396,0.4214012622833252,18.68756651878357,2200.0,7.45185,0.660533,-0.00402705650777,9.578359127044678,113.375,678.25,-3.49245965481e-10,0.0,0.119381512562,0.7873709201812744,0.65809,0.481244406532,2900.0,7.39666,385.368147847,0.00794344954193,3211.9275147914886,11.154609203338623,1124.41181846,0.0,0.0744173526763916,800,2.00103
72.92168378829956,0.00573794962838,800,0.0,1.94864,27.92933750152588,0.46773409843444824,18.51168203353882,2600.0,7.01912,0.641069,-0.00573795055971,10.597575187683105,100.25,943.5,-9.31322574615e-10,7.4505814851e-09,0.144997555729,0.7762691974639893,0.641689,0.52653538492,2900.0,7.03209,371.786144847,0.00669558439404,3286.278687477112,12.017349243164062,1150.1011912,0.0,0.06911158561706543,800,1.95048
73.67083144187927,0.00116678129416,800,0.0,1.91271,27.99683451652527,0.47447729110717773,18.563435554504395,2100.0,6.7714,0.629677,-0.00116678187624,10.740916967391968,106.5,902.25,-5.82076609135e-10,0.0,0.10244233125,0.7782657146453857,0.630384,0.533049194843,2900.0,6.78667,354.693882101,0.00267033139244,3361.09396982193,12.23896074295044,1107.28042406,0.0,0.3460814952850342,800,1.91496
69.6803629398346,0.00450773671764,800,0.0,1.90771,27.998764038085938,0.392733097076416,18.63249659538269,2200.0,6.73761,0.628166,-0.00450773537159,8.804172277450562,117.75,895.875,1.34605215862e-09,0.0,0.124866617439,0.7925057411193848,0.628413,0.516487061367,2900.0,6.74313,369.134037309,0.00756020937115,3431.891969203949,10.43267822265625,1150.89985853,0.0,0.07579469680786133,800,1.90852
