0AveragePolicyStd,0AverageReturn,0ProcessExecTime,1PolicyExecTime,1ProcessExecTime,0Entropy,ComputeUpdatedDistTime,dLoss,MeanKLBefore,1AverageReturn,0EnvExecTime,1AveragePolicyStd,MeanKL,ItrTime,1MaxReturn,0ExplainedVariance,Time,0StdReturn,1StdReturn,0NumTrajs,1NumTrajs,1Entropy,1Perplexity,0MaxReturn,1MinReturn,0PolicyExecTime,0MinReturn,1EnvExecTime,1ExplainedVariance,0Perplexity,LossBefore,LossAfter
0.759345,776.3,6.5718841552734375,327.11851501464844,6.443819999694824,2.27358,0.259061336517334,0.00411825642368,-7.45057526785e-09,10141.6,157.0059154033661,0.760149,0.00819659791887,875.3816068172455,23900.0,0.0786817392377,31717.686141252518,2230.12069404,10527.6953527,2000,2000,2.27582,9.73591,20300.0,0.0,198.66417026519775,0.0,156.11069202423096,0.506722182556,9.71408,1.52795109898e-10,-0.00411825627089
0.760369,658.5,6.589139461517334,328.4237403869629,6.495365858078003,2.2769,0.2530360221862793,0.00239216446062,3.72528519144e-09,11121.1,154.88432240486145,0.760712,0.0077009559609,874.3171765804291,24200.0,0.0811620083273,32596.64820575714,2085.82303899,11309.9232884,2000,2000,2.27775,9.75475,20700.0,0.0,197.8563015460968,0.0,156.6888587474823,0.544244674739,9.74644,2.91038304567e-11,-0.00239216443151
0.757612,726.5,6.577913045883179,327.4575688838959,6.44283390045166,2.26939,0.2532765865325928,0.00259830421874,0.0,11134.25,155.64785051345825,0.757585,0.00643566111103,875.2473382949829,24200.0,0.0931211385918,33476.35862851143,2189.89446093,11395.0968376,2000,2000,2.26936,9.67318,17000.0,0.0,198.79705429077148,0.0,156.29989886283875,0.522166182869,9.67349,1.08138920041e-09,-0.00259830313735
0.754761,946.15,6.622915983200073,324.8875789642334,6.4899420738220215,2.26129,0.25530481338500977,0.00119451501814,0.0,11503.1,156.66198253631592,0.755153,0.0069494554773,879.0241210460663,24200.0,0.101035172083,34360.01539373398,2432.04136015,11626.4126191,2000,2000,2.26237,9.60587,14900.0,0.0,198.0589029788971,0.0,156.64331650733948,0.531798843334,9.59542,-1.45519152284e-11,-0.00119451503269
0.741838,1175.0,6.550215482711792,322.09988021850586,6.526747941970825,2.22238,0.25795531272888184,0.00150975089127,2.23517719888e-08,11205.4,154.21273636817932,0.741899,0.00754308979958,880.1278483867645,24300.0,0.0804983308974,35244.34362268448,2661.97013507,11550.9770513,2000,2000,2.22263,9.23155,16100.0,0.0,197.63451862335205,0.0,156.9776120185852,0.508574096732,9.2293,-6.51198206469e-10,-0.00150975154247
0.727539,998.65,6.57128381729126,322.0622820854187,6.530290603637695,2.18106,0.25519680976867676,0.00289691715216,0.0,9893.7,155.16421556472778,0.727389,0.0061478856951,872.9787096977234,24100.0,0.0913900558856,36121.93384885788,2372.83441848,10632.4879643,2000,2000,2.18084,8.85378,15200.0,0.0,197.24998950958252,0.0,156.07496571540833,0.471503933527,8.85569,-5.98902261117e-10,-0.00289691775106
0.726585,940.15,6.54627799987793,322.994836807251,6.4315714836120605,2.17878,0.2557525634765625,0.00128619364114,3.72528430326e-09,11637.15,155.80536437034607,0.727189,0.00693079503253,870.9941022396088,24200.0,0.0845209740048,36997.26388478279,2354.09493808,11678.3965028,2000,2000,2.18025,8.84851,17100.0,0.0,198.838796377182,0.0,156.7380087375641,0.542255111571,8.8355,-2.03726813197e-10,-0.00128619384486
0.7166,1166.15,6.5032336711883545,292.44611048698425,6.220243453979492,2.14974,0.27251529693603516,0.00123457214431,0.0,11491.65,153.3864381313324,0.716277,0.00745500763878,825.7335982322693,24200.0,0.060292361861,37827.469686985016,2645.58106614,11649.1572776,2000,2000,2.14869,8.57362,17900.0,0.0,193.36641836166382,0.0,150.64727139472961,0.517933986191,8.58259,-9.34960553423e-10,-0.00123457307927
0.711577,1061.5,6.323670864105225,292.72162079811096,6.238140344619751,2.13061,0.2466111183166504,0.00319059641333,0.0,9576.6,148.90610575675964,0.71164,0.00709530850872,807.5458035469055,24200.0,0.0934788156114,38638.95505070686,2435.62266166,10694.9348965,2000,2000,2.13098,8.42314,12500.0,0.0,180.0847246646881,0.0,150.3081877231598,0.443619154575,8.42004,-1.7462298274e-10,-0.00319059658796
0.710236,1016.8,6.3036065101623535,293.98385763168335,6.180736064910889,2.12612,0.27211594581604004,0.00162906453625,0.0,11291.55,149.09054589271545,0.710882,0.00669522210956,808.5975515842438,24200.0,0.0697643884118,39451.81034016609,2482.01888792,11545.7954944,2000,2000,2.12823,8.4,19100.0,0.0,179.9071822166443,0.0,150.00901794433594,0.515608934895,8.38227,-1.41881173477e-09,-0.00162906595506
0.707092,1189.65,6.38003945350647,291.5418999195099,6.209915399551392,2.11464,0.25216078758239746,0.0023577687316,0.0,10514.5,151.2932994365692,0.707351,0.00627028895542,812.2354717254639,24000.0,0.0515009191698,40268.12972664833,2729.77432721,10825.9253531,2000,2000,2.11546,8.29338,22400.0,0.0,179.98882961273193,0.0,149.84768795967102,0.484676108582,8.28661,1.38243194669e-10,-0.00235776859336
