MinReturn,MaxReturn,NumTrajs,ExplainedVariance,ItrTime,TotalExecTime,Entropy,LossAfter,AveragePolicyStd,Perplexity,MeanKL,AverageReturn,LossBefore,Time,StdReturn,MaxKL
2400.0,3100.0,200,0.994916610943,37.65704274177551,37.22604775428772,2.46768,0.0159189,0.831226,11.7951,0.00133958,2671.0,0.0167148,1423.3618838787079,117.298763847,0.00298452
2300.0,3000.0,200,0.994168923799,37.054763078689575,36.5914363861084,2.47604,-0.00157291,0.834695,11.8941,0.00792947,2680.0,0.000224382,1460.4238381385803,124.49899598,0.0275737
2400.0,2900.0,200,0.994617517662,44.62596082687378,44.201972246170044,2.47615,-0.0112566,0.834744,11.8954,0.0431759,2678.5,-0.0054146,1505.0616703033447,113.082934168,0.157064
2300.0,3000.0,200,0.994343839365,35.74643397331238,35.31365203857422,2.47344,-0.00678177,0.833565,11.8632,0.00348417,2674.5,-0.00605412,1540.8221652507782,125.298643249,0.0111221
2300.0,3100.0,200,0.994423210358,35.91279673576355,35.48910737037659,2.47042,-0.0109711,0.832311,11.8274,0.0028553,2682.5,-0.0104554,1576.7527813911438,126.268562992,0.0102371
2400.0,3000.0,200,0.994660022576,36.160616397857666,35.745436668395996,2.46519,-0.0107503,0.830121,11.7657,0.0151282,2683.0,-0.00760523,1612.9290616512299,114.939114317,0.0510143
2400.0,2900.0,200,0.995518133353,35.85912775993347,35.41396522521973,2.46139,-0.0105043,0.828547,11.7211,0.00727661,2677.0,-0.00864335,1648.8012385368347,107.568582774,0.030202
2400.0,3000.0,200,0.994013502045,38.442519426345825,37.92843246459961,2.45707,-0.00102398,0.826759,11.6705,0.00223629,2665.0,-0.000266017,1687.2594730854034,125.199840255,0.00954087
2300.0,2900.0,200,0.995012493836,37.04920244216919,36.60356855392456,2.45693,-0.00491877,0.826677,11.669,0.0382371,2667.5,0.00020792,1724.3205919265747,115.731369991,0.138535
2300.0,3000.0,200,0.99465226981,36.16481828689575,35.92391490936279,2.45704,-0.00358881,0.826694,11.6702,0.0244557,2682.5,0.00272083,1760.4977459907532,119.347182623,0.0910146
2200.0,2900.0,200,0.994749079232,35.70226240158081,35.389437675476074,2.4584,-0.017246,0.827337,11.6861,0.00322627,2674.5,-0.0164475,1796.2193024158478,118.742368176,0.0119902
2200.0,3000.0,200,0.994077995973,36.104264974594116,35.84691071510315,2.45017,-0.0095867,0.823948,11.5903,0.00871235,2683.5,-0.00746647,1832.3512864112854,125.609513971,0.0286581
