0AverageReturn,0NumTrajs,ItrTime,0MaxReturn,0AveragePolicyStd,ComputeUpdatedDistTime,1MinReturn,dLoss,0ExplainedVariance,1ExplainedVariance,1NumTrajs,0PolicyExecTime,1ProcessExecTime,MeanKLBefore,LossBefore,0MinReturn,0Entropy,1PolicyExecTime,1AveragePolicyStd,0StdReturn,0Perplexity,Time,1Entropy,1MaxReturn,0ProcessExecTime,LossAfter,0EnvExecTime,1Perplexity,1EnvExecTime,MeanKL,1AverageReturn,1StdReturn
42.8125,1600,154.265563249588,2000.0,0.793679,0.10324978828430176,0.0,0.00743826598045,0.0753774640857,0.538202467125,1600,41.46365141868591,1.0830492973327637,3.72528763393e-09,-1.13504938781e-09,0.0,2.37547,59.363675594329834,0.794782,207.300120221,10.7561,2587.416805267334,2.37826,2800.0,1.1041877269744873,-0.0074382671155,23.109951972961426,10.7861,23.314199447631836,0.00673313299194,1097.3125,1113.35036145
44.875,1600,151.79885363578796,2000.0,0.777171,0.10432100296020508,0.0,0.0093356135767,0.0883835349243,0.546030515206,1600,41.10806488990784,1.0907800197601318,3.72528963233e-09,-1.16415321827e-09,0.0,2.33344,57.55149030685425,0.778127,219.712845266,10.3134,2742.7207024097443,2.33587,2800.0,1.069432258605957,-0.00933561474085,22.632049083709717,10.3384,23.45453953742981,0.00711790286005,1081.9375,1109.43341219
44.4375,1600,163.65804052352905,2000.0,0.762554,0.11158108711242676,0.0,0.0075073884218,0.0955766584463,0.559175328923,1600,38.93083477020264,1.1784436702728271,7.45057926466e-09,-1.92085281014e-09,0.0,2.29514,68.55368185043335,0.763033,226.371505702,9.92584,2909.8520696163177,2.29636,2800.0,1.0881242752075195,-0.00750739034265,22.801427364349365,9.93793,24.915663957595825,0.00685923686251,1148.0625,1160.29468071
55.25,1600,164.94728994369507,2300.0,0.744968,0.10717916488647461,0.0,0.00931717921048,0.107648849441,0.569552116668,1600,43.05406594276428,1.1564640998840332,-7.45057526785e-09,-2.79396772385e-09,0.0,2.24826,65.74561405181885,0.747859,257.822492231,9.47125,3078.590897798538,2.25609,3000.0,1.19907546043396,-0.00931718200445,24.447155237197876,9.54569,24.505914449691772,0.00699900276959,1180.8125,1190.86652898
66.25,1600,149.6455271244049,2300.0,0.730717,0.11115670204162598,0.0,0.00805635703728,0.128123504451,0.566900249228,1600,42.75375008583069,1.0639023780822754,0.0,-4.65661287308e-10,0.0,2.20928,52.90690732002258,0.729432,288.00770389,9.10919,3231.7274425029755,2.20568,2900.0,1.1788334846496582,-0.00805635750294,24.12802791595459,9.07644,22.876415729522705,0.00656413985416,1224.9375,1231.09580094
51.9375,1600,141.38485527038574,2100.0,0.716917,0.10625743865966797,0.0,0.00623646756867,0.0943333569636,0.560565601762,1600,36.26462936401367,1.0330958366394043,7.45057526785e-09,1.92085281014e-09,0.0,2.17044,53.52636504173279,0.718194,248.034767913,8.76215,3376.5418252944946,2.17372,2900.0,1.0508701801300049,-0.00623646564782,22.271523475646973,8.7909,22.647291898727417,0.00699208397418,1256.1875,1262.21005179
66.4375,1600,140.51090598106384,2100.0,0.701057,0.10627532005310059,0.0,0.00575955258682,0.119879241241,0.564073140096,1600,35.95537495613098,1.0321176052093506,0.0,-1.39698386192e-09,0.0,2.12461,52.93706488609314,0.701311,285.927977984,8.36964,3520.499484539032,2.12547,2900.0,1.0339360237121582,-0.00575955398381,22.230146408081055,8.37683,22.764938831329346,0.00665888004005,1282.3125,1287.47073844
43.125,1600,139.51870250701904,2400.0,0.681875,0.12687444686889648,0.0,0.00523807835998,0.0902103377242,0.563566960254,1600,36.21669363975525,1.0298426151275635,-7.45057926466e-09,7.56699591875e-10,0.0,2.06874,51.93343663215637,0.682147,225.20043156,7.91482,3663.442172050476,2.06935,2900.0,1.060575246810913,-0.00523807760328,22.190030336380005,7.91965,22.384418725967407,0.00654315296561,1256.9375,1263.75012209
41.875,1600,148.3495626449585,1900.0,0.668679,0.11874175071716309,0.0,0.00522620277479,0.0833054559282,0.57071665828,1600,35.737468004226685,1.1184227466583252,7.45057882057e-09,-2.32830643654e-09,0.0,2.02892,59.31376528739929,0.669784,215.775309929,7.60588,3815.351895570755,2.03222,3000.0,1.0468952655792236,-0.0052262051031,22.365326642990112,7.63097,23.837702751159668,0.00639763567597,1267.0,1273.58686394
46.4375,1600,121.33566474914551,2100.0,0.655777,0.09542965888977051,0.0,0.00466620677616,0.107191587038,0.563645500809,1600,31.92401885986328,0.9249362945556641,7.45057526785e-09,-1.16415321827e-10,0.0,1.99019,40.796247243881226,0.656606,240.10374548,7.31693,3940.06644654274,1.99269,3000.0,1.0155322551727295,-0.00466620689258,21.563388347625732,7.33525,20.785277843475342,0.00649182498455,1268.875,1276.32528549
