Entropy,MeanKL,MaxKL,AveragePolicyStd,MaxReturn,Perplexity,ExplainedVariance,LossAfter,AverageReturn,TotalExecTime,LossBefore,StdReturn,MinReturn,ItrTime,NumTrajs,Time
2.45266,0.0970528,2.03249,0.824837,3000.0,11.6193,0.994555794962,-0.0215632,2673.0,20.730180025100708,-0.00624275,121.946709673,2300.0,20.855316162109375,200,923.0130021572113
2.44954,0.0323529,0.72366,0.823551,3000.0,11.583,0.994664500952,0.00912506,2681.0,20.607789993286133,0.01536,114.188440746,2300.0,20.674429893493652,200,943.6898925304413
2.45722,0.0163116,0.17491,0.826715,2900.0,11.6723,0.994980976042,0.00358518,2681.0,20.777872562408447,0.00855889,113.30931118,2400.0,20.885173559188843,200,964.5865292549133
2.4615,0.00281463,0.0432006,0.828469,3000.0,11.7224,0.994859642859,0.00242726,2678.5,20.80466079711914,0.00476095,117.421250206,2300.0,20.903738737106323,200,985.4943811893463
2.46388,10.2685,1152.07,0.829452,3000.0,11.7503,0.993970291691,-1.70341,2677.5,20.66722059249878,0.00282479,129.783473524,2200.0,20.78856134414673,200,1006.2868144512177
2.46529,0.01893,0.3095,0.830033,3000.0,11.7669,0.994489691436,-0.0123669,2682.0,20.92944884300232,-0.00831086,126.0,2300.0,21.038716793060303,200,1027.3293588161469
2.46114,0.0100832,0.214766,0.828309,3000.0,11.7182,0.995034970283,0.00453841,2693.0,20.651395082473755,0.00900955,121.45369488,2300.0,20.729942321777344,200,1048.0642459392548
2.46564,0.06277,1.15801,0.830181,3000.0,11.7711,0.994943794925,-0.00883382,2691.5,20.571643829345703,-0.00113219,122.383618185,2300.0,20.673587799072266,200,1068.7508146762848
2.46508,0.0569681,1.52427,0.829943,3000.0,11.7644,0.995608113744,-0.00254421,2695.0,20.61642360687256,0.00813835,114.782402832,2400.0,20.68245577812195,200,1089.4363598823547
2.46915,0.00526989,0.136514,0.831632,2900.0,11.8124,0.994988700158,-0.00672831,2684.0,20.71446466445923,-0.00425341,116.807534004,2200.0,20.83133554458618,200,1110.2785694599152
2.46702,0.0191769,0.411927,0.830749,2900.0,11.7873,0.994809812005,-0.0110549,2682.5,20.637043476104736,-0.00515798,121.423844446,2300.0,20.70095467567444,200,1130.9864876270294
