LossBefore,dLoss,1AveragePolicyStd,ItrTime,0Perplexity,0PolicyExecTime,0ProcessExecTime,1ProcessExecTime,Time,0AverageReturn,1StdReturn,0EnvExecTime,0NumTrajs,1AverageReturn,1ExplainedVariance,1MinReturn,MeanKLBefore,0MinReturn,1Entropy,LossAfter,1Perplexity,0StdReturn,0AveragePolicyStd,1NumTrajs,MeanKL,0MaxReturn,0ExplainedVariance,1EnvExecTime,1PolicyExecTime,ComputeUpdatedDistTime,0Entropy,1MaxReturn
0.0,0.00340781407431,0.674305,78.22093796730042,7.7656,16.04945135116577,0.6741771697998047,0.6045653820037842,3950.7109022140503,244.166666667,1167.13345126,17.965662240982056,1200,673.083333333,0.365786118727,0.0,-7.4505774883e-09,0.0,2.04846,-0.00340781407431,7.75596,576.858710797,0.674765,1200,0.0069053764455,2400.0,0.0726715644641,16.744778156280518,22.96969246864319,0.08019638061523438,2.0497,3000.0
1.16415321827e-10,0.00335315812845,0.673699,77.74772596359253,7.73604,15.823770761489868,0.6638846397399902,0.5998280048370361,4030.755645275116,257.5,1161.46887065,17.663681745529175,1200,669.75,0.362670588251,0.0,-7.45057793239e-09,0.0,2.04659,-0.00335315801203,7.74145,589.839314277,0.673513,1200,0.00725117512047,2600.0,0.0686108644938,16.56046772003174,22.855844259262085,0.08349251747131348,2.04589,3000.0
2.09547579288e-09,0.00301880505867,0.670142,79.35074734687805,7.68009,15.559383869171143,0.6946301460266113,0.6140828132629395,4112.0274868011475,267.833333333,1159.07038601,18.355139017105103,1200,668.416666667,0.349893415271,0.0,0.0,0.0,2.03621,-0.0030188029632,7.66152,602.120119983,0.670976,1200,0.00794315245003,2500.0,0.0634163847977,16.86864447593689,24.070008039474487,0.07968950271606445,2.03863,2900.0
-4.65661287308e-10,0.0032502473332,0.658072,78.1762044429779,7.41123,14.771783590316772,0.6490826606750488,0.6331820487976074,4192.227477073669,259.5,1159.55785395,17.3130202293396,1200,668.5,0.355087999367,0.0,2.23517382381e-08,0.0,1.99946,-0.00325024779886,7.38503,598.868168576,0.659283,1200,0.00653861230239,2500.0,0.0886138414528,17.224825382232666,24.412692070007324,0.07729268074035645,2.003,3000.0
-9.31322574615e-10,0.00357173476368,0.655814,79.05380749702454,7.36255,14.91399598121643,0.6606698036193848,0.632392406463623,4273.209151506424,294.166666667,1163.60309372,17.626662254333496,1200,671.083333333,0.344902742217,0.0,0.0,0.0,1.99259,-0.003571735695,7.33447,626.258178035,0.657105,1200,0.0097701177001,2500.0,0.072399170833,17.355135679244995,24.534056425094604,0.0879983901977539,1.99641,3000.0
-2.56113708019e-09,0.00364551157691,0.652648,78.66676259040833,7.28079,14.901541709899902,0.657158374786377,0.6341407299041748,4354.239949226379,282.0,1156.53815028,17.409003734588623,1200,666.916666667,0.345787138035,0.0,7.4505774883e-09,0.0,1.9841,-0.00364551413804,7.2725,616.083868749,0.653042,1200,0.00698681827635,2400.0,0.0737111462991,17.39884352684021,24.46811819076538,0.08438229560852051,1.98524,2900.0
1.62981450558e-09,0.00342453015037,0.649683,78.71798777580261,7.25033,15.88602590560913,0.6602787971496582,0.646122932434082,4434.676033258438,269.0,1162.0642433,17.460216522216797,1200,670.166666667,0.336772079092,0.0,7.4505774883e-09,0.0,1.97484,-0.00342452852055,7.2055,601.918322255,0.651725,1200,0.00656751682982,2300.0,0.068283130903,17.37731146812439,23.5022976398468,0.07603025436401367,1.98105,2900.0
2.32830643654e-10,0.00322332582437,0.650493,77.88054060935974,7.24658,15.477908849716187,0.649317741394043,0.6263487339019775,4514.51967716217,261.25,1158.28246591,17.021399974822998,1200,667.75,0.328803439111,0.0,0.0,0.0,1.97698,-0.00322332559153,7.22092,595.740523075,0.65166,1200,0.00798788573593,2500.0,0.0754300248483,17.181556463241577,23.742376804351807,0.0860292911529541,1.98053,3000.0
-1.04773789644e-09,0.00319994811434,0.64084,77.6763973236084,7.02868,15.541449785232544,0.6578044891357422,0.6193640232086182,4594.254343032837,295.833333333,1165.26949375,17.200182676315308,1200,671.916666667,0.345804332213,0.0,0.0,0.0,1.94704,-0.00319994916208,7.00795,634.454599549,0.641819,1200,0.00727150356397,2400.0,0.0831588809573,17.10010862350464,23.419544219970703,0.07597875595092773,1.95,3000.0
1.16415321827e-09,0.00314216618426,0.635127,78.65696334838867,6.87822,15.91874361038208,0.6772401332855225,0.6161148548126221,4675.21976518631,289.0,1159.41277941,17.63408851623535,1200,668.583333333,0.328259601082,0.0,0.0,0.0,1.92883,-0.00314216502011,6.88148,631.317933638,0.635027,1200,0.0081431036815,2200.0,0.0806043772486,16.980639934539795,23.55915141105652,0.0808708667755127,1.92836,2900.0
