2Entropy,2PolicyExecTime,MeanKL,1StdReturn,1ProcessExecTime,2EnvExecTime,2NumTrajs,1ExplainedVariance,MeanKLBefore,0EnvExecTime,0Entropy,2Perplexity,2MinReturn,dLoss,0ExplainedVariance,1Perplexity,0Perplexity,0AveragePolicyStd,ItrTime,0ProcessExecTime,2AveragePolicyStd,0MaxReturn,2ProcessExecTime,1AverageReturn,ComputeUpdatedDistTime,0AverageReturn,1AveragePolicyStd,1MaxReturn,0NumTrajs,LossAfter,2AverageReturn,Time,LossBefore,0StdReturn,0PolicyExecTime,0MinReturn,2StdReturn,1EnvExecTime,1PolicyExecTime,2ExplainedVariance,1Entropy,2MaxReturn,1NumTrajs,1MinReturn
2.85499,33.18836069107056,0.00995613634586,195.806664851,0.8444726467132568,19.1836941242218,1600,0.123092508661,0.00928872637451,19.174961805343628,2.86073,17.3742,0.0,0.00154690863565,0.0554365207865,17.5075,17.4743,1.01156,156.6781005859375,0.8564715385437012,1.00864,1700.0,0.837456464767456,41.5,0.10521554946899414,17.5,1.01252,1800.0,1600,-0.00440910225734,97.5,1944.4865522384644,-0.0028621936217,122.295748086,22.179206132888794,0.0,314.294845647,19.401910543441772,33.748831272125244,0.204333980351,2.86263,1900.0,1600,0.0
2.86259,41.750532150268555,0.0108304740861,240.016853249,0.8360977172851562,19.00318217277527,1600,0.161985399945,0.0108304740861,19.13285493850708,2.86313,17.5067,0.0,1.39698386192e-09,0.0585173839831,17.5002,17.5162,1.01282,165.03601479530334,0.8601596355438232,1.01254,2000.0,0.8218152523040771,60.8125,0.1114645004272461,20.9375,1.01235,2000.0,1600,-0.00271248677745,132.9375,2111.9673726558685,-0.00271248538047,138.808757266,22.204654693603516,0.0,387.696880428,19.117287158966064,33.61570429801941,0.214699404893,2.86221,2400.0,1600,0.0
2.85822,33.37740468978882,0.0132197244093,272.5381209,0.8312389850616455,19.162525177001953,1600,0.198619512792,0.0132197225466,19.081746816635132,2.86313,17.4304,0.0,-1.62981450558e-09,0.0583200854593,17.538,17.5162,1.01282,156.43907928466797,0.8653502464294434,1.01032,1400.0,0.8287701606750488,69.3125,0.09773564338684082,17.8125,1.01347,2200.0,1600,-0.00278731109574,145.1875,2271.54617023468,-0.00278731272556,120.525784975,22.273646354675293,0.0,414.082527818,19.07991051673889,33.51735043525696,0.207916284799,2.86437,2400.0,1600,0.0
2.862,33.30392265319824,0.0123470686376,248.578764869,0.8267967700958252,19.23629593849182,1600,0.176884586762,0.012347066775,19.156461000442505,2.86313,17.4965,0.0,-2.32830643654e-09,0.0792533659022,17.5274,17.5162,1.01282,156.18457531929016,0.8645157814025879,1.01223,1500.0,0.8353662490844727,65.6875,0.10581159591674805,23.25,1.01316,1800.0,1600,-0.00305674318224,150.875,2430.1651792526245,-0.00305674551055,147.849374365,22.354602813720703,0.0,413.98880948,19.056939363479614,33.15913939476013,0.215687362944,2.86377,2400.0,1600,0.0
2.84913,33.31724524497986,0.0161100290716,237.666709582,0.821401834487915,19.222432374954224,1600,0.183084518921,0.0161100272089,18.92406129837036,2.86313,17.2728,0.0,9.31322574615e-10,0.0679916085885,17.497,17.5162,1.01282,165.88833117485046,0.866051435470581,1.00589,2100.0,0.8323185443878174,61.8125,0.09979367256164551,23.375,1.01236,1900.0,1600,-0.00346532138065,157.25,2599.0301785469055,-0.00346532044932,160.167441682,32.231876611709595,0.0,429.924339274,19.004587173461914,33.328957080841064,0.257215295933,2.86203,2500.0,1600,0.0
2.87469,33.364728689193726,0.0255337860435,279.323261428,0.8195509910583496,19.2012460231781,1600,0.195727084977,0.0255337860435,19.10024380683899,2.86313,17.7199,0.0,-4.65661287308e-10,0.0867046906762,17.5185,17.5162,1.01282,156.0602672100067,0.8640904426574707,1.01883,1700.0,0.8302097320556641,78.125,0.3849480152130127,26.25,1.01293,2200.0,1600,-0.00463116494939,166.5625,2757.832562685013,-0.00463116541505,155.357450739,22.331417083740234,0.0,440.156998801,18.823211431503296,33.07314610481262,0.208709270477,2.86326,2500.0,1600,0.0
2.87017,41.75224494934082,0.0117813209072,248.236750653,0.8307874202728271,18.84052801132202,1600,0.192170361511,0.0117813162506,19.11520266532898,2.86313,17.6401,0.0,3.49245965481e-10,0.0431966581595,17.4913,17.5162,1.01282,164.6215114593506,0.8617479801177979,1.01642,1700.0,0.8242700099945068,61.875,0.10431838035583496,14.5,1.01211,2000.0,1600,-0.00176912988536,143.4375,2925.141875267029,-0.00176912953611,107.771749545,22.32124948501587,0.0,412.046033343,19.01822853088379,33.47417974472046,0.223010639195,2.86171,2600.0,1600,0.0
2.86164,33.48855996131897,0.0194510631263,280.764017626,0.8221962451934814,19.255686283111572,1600,0.181101835606,0.019451064989,19.04204821586609,2.86313,17.4901,0.0,3.49245965481e-10,0.0642872596829,17.5597,17.5162,1.01282,156.32356977462769,0.8636918067932129,1.01213,1900.0,0.8297843933105469,72.5625,0.09191107749938965,21.3125,1.01411,2000.0,1600,-0.00150590389967,128.875,3084.7068922519684,-0.00150590355042,142.133836027,22.26029658317566,0.0,384.241114894,18.945101976394653,33.337119340896606,0.192561212006,2.8656,2500.0,1600,0.0
2.85472,33.53980994224548,0.0146068837494,245.603561405,0.8276252746582031,19.14818835258484,1600,0.162160994059,0.0146068837494,19.0128071308136,2.86313,17.3696,0.0,-2.32830643654e-10,0.0612651295373,17.4028,17.5162,1.01282,156.11383509635925,0.8612403869628906,1.00852,1700.0,0.839637279510498,55.375,0.09831738471984863,19.0,1.00954,2000.0,1600,-0.0028395995032,105.5,3243.6916115283966,-0.00283959973603,126.595813517,22.11899709701538,0.0,357.064069881,18.952924966812134,33.300071716308594,0.181775110818,2.85663,2600.0,1600,0.0
2.85705,33.19391894340515,0.00931733101606,259.231556721,0.8385679721832275,19.018598318099976,1600,0.192621150562,0.0107173593715,18.894805908203125,2.86313,17.4101,0.0,0.000385690946132,0.0780027204722,17.5232,17.5162,1.01282,166.50467038154602,0.876255989074707,1.00984,1800.0,0.8299980163574219,68.0,0.09406852722167969,23.5625,1.01301,1900.0,1600,-0.00332867866382,186.6875,3413.118796825409,-0.00294298771769,146.887911667,33.55535292625427,0.0,469.738254077,19.050259113311768,33.41414022445679,0.290590925063,2.86353,2400.0,1600,0.0
