dLoss,Time,0Entropy,LossBefore,1EnvExecTime,0AveragePolicyStd,1Perplexity,0AverageReturn,MeanKL,1Entropy,ItrTime,1PolicyExecTime,0Perplexity,1NumTrajs,1MinReturn,1AveragePolicyStd,1AverageReturn,1ProcessExecTime,1ExplainedVariance,0NumTrajs,0ProcessExecTime,MeanKLBefore,0StdReturn,ComputeUpdatedDistTime,LossAfter,0EnvExecTime,0PolicyExecTime,0MinReturn,1MaxReturn,1StdReturn,0MaxReturn,0ExplainedVariance
0.00321882286225,1167.7412450313568,2.74681,1.1466909644e-09,23.290467500686646,0.955505,15.5585,1827.25,0.0070017920807,2.7446,84.34902882575989,23.480902433395386,15.5928,400,0.0,0.954496,3738.25,0.8463356494903564,0.190427861471,400,0.9318113327026367,-2.42142905726e-09,2101.80456691,0.34096693992614746,-0.00321882171556,23.788286209106445,6.873690605163574,0.0,13400.0,3040.50356643,12700.0,0.0789824603178
0.00449372781077,1261.0289680957794,2.71085,-3.6379649293e-12,24.421466827392578,0.938486,15.0364,1754.25,0.00648237206042,2.71048,92.47368788719177,24.904359579086304,15.0421,400,0.0,0.938324,4629.0,0.9122800827026367,0.25551804523,400,0.903444766998291,-9.31322574615e-10,2105.51227436,0.4400153160095215,-0.00449372781441,24.04765272140503,11.901602983474731,0.0,15600.0,3939.89327267,12000.0,0.0750896300224
0.00336724201916,1348.0163254737854,2.68927,8.14906753188e-11,23.508686780929565,0.928406,14.683,1859.0,0.0080019813031,2.68669,86.23928713798523,24.634063959121704,14.721,400,0.0,0.927253,4029.0,0.8433108329772949,0.155221829142,400,0.9528064727783203,1.11758780008e-09,2676.12948117,0.3321211338043213,-0.00336724193767,24.14603066444397,7.073405504226685,0.0,14400.0,3640.57811343,14800.0,0.0509545678398
0.0041144017945,1440.9891650676727,2.70457,2.13040030062e-09,24.563866138458252,0.935738,14.9778,2288.75,0.00898969732225,2.70657,92.13520359992981,25.686570167541504,14.9479,400,0.0,0.93674,4531.25,0.8730740547180176,0.246309107559,400,0.9322454929351807,-7.63684759875e-09,2725.46297673,0.3539855480194092,-0.0041143996641,24.814125537872314,10.279659509658813,0.0,16500.0,3783.86686308,14600.0,0.0821010058146
0.00476857118192,1527.2697896957397,2.69567,2.96859065108e-10,23.1830894947052,0.931663,14.7539,2589.5,0.00875412672758,2.6915,84.9537250995636,23.720024824142456,14.8154,400,0.0,0.929745,6792.5,0.8227431774139404,0.377237228618,400,1.001783847808838,-6.89178714097e-09,2979.84726958,0.3931007385253906,-0.00476857088506,24.357642650604248,6.611001253128052,0.0,18700.0,4680.09014336,17000.0,0.0881990971535
0.00521165900864,1617.3217635154724,2.68111,2.32830643654e-10,24.13395047187805,0.9248,14.5692,2360.0,0.00810761470348,2.67891,89.30672407150269,26.208170652389526,14.6012,400,0.0,0.923806,3731.25,0.9211680889129639,0.120079172658,400,0.8914594650268555,-1.11758657884e-09,3101.41903006,0.36369991302490234,-0.00521165877581,23.749371767044067,8.389989137649536,0.0,15700.0,3912.12198653,14500.0,0.0567650728502
0.00595007900847,1702.9300677776337,2.70221,-2.91038332323e-10,23.06286382675171,0.934495,14.9383,2885.0,0.00725198537111,2.70393,84.8942232131958,23.77132534980774,14.9126,400,0.0,0.935334,7061.25,0.8254799842834473,0.235361692973,400,0.9513497352600098,-3.25962434822e-09,3801.56875513,0.3474390506744385,-0.00595007929951,24.50996446609497,6.394906997680664,0.0,17500.0,4261.24669991,17400.0,0.0601624623458
0.00506296752137,1794.1846477985382,2.67946,-9.48784828481e-10,24.06630277633667,0.923941,14.5717,4198.5,0.00868852622807,2.67908,90.38546848297119,25.80064868927002,14.5773,400,0.0,0.923829,5975.5,0.8561446666717529,0.181586508138,400,0.8673100471496582,-3.72529562753e-10,4997.95935858,0.4151151180267334,-0.00506296847016,24.595614433288574,9.152593612670898,0.0,18500.0,5214.89211298,17900.0,0.0818919604507
0.00538210373488,1880.11749625206,2.67972,8.20728041084e-10,23.348403215408325,0.924007,14.5449,3018.25,0.00867892429233,2.67724,85.07372736930847,23.541826963424683,14.581,400,0.0,0.922923,5512.0,0.805732011795044,0.13835080781,400,0.8828563690185547,4.65661331717e-09,3837.66751263,0.3971891403198242,-0.00538210291415,24.71391201019287,6.606734275817871,0.0,18000.0,4803.28595859,16300.0,0.0646691256997
0.00402497760078,1971.6427040100098,2.6821,7.3632683284e-10,23.636633157730103,0.925112,14.6811,1584.5,0.00729164108634,2.68656,90.05190181732178,25.89229702949524,14.6157,400,0.0,0.927231,4545.25,0.8697254657745361,0.0984301359942,400,0.9501352310180664,1.86264370594e-09,3115.08583349,0.41354894638061523,-0.00402497686446,24.484708547592163,8.980269193649292,0.0,18200.0,4753.36485424,16100.0,0.0257197177455
0.00494882650091,2057.5829107761383,2.66932,-4.71482020092e-10,23.459524869918823,0.91923,14.4403,2720.0,0.00648490991443,2.67002,85.15192747116089,24.402190446853638,14.4301,400,0.0,0.919625,6377.75,0.8468017578125,0.172162018102,400,0.8873810768127441,-1.11758713395e-09,3411.45863232,0.30980420112609863,-0.0049488269724,24.16867446899414,5.99244499206543,0.0,17400.0,5028.24819768,17200.0,0.067310287055
0.00433238619007,2147.8188483715057,2.66977,2.32830643654e-10,23.76253390312195,0.919472,14.4515,4613.5,0.00710972817615,2.6708,89.45741176605225,26.197113513946533,14.4367,400,0.0,0.920008,7198.0,0.8485584259033203,0.164496972697,400,0.9434728622436523,9.31323795861e-10,5271.74238274,0.3621668815612793,-0.00433238595724,24.56007432937622,8.146511793136597,0.0,18400.0,5688.40891638,18100.0,0.082910533803
0.0043296550808,2235.6361112594604,2.65985,1.62399371728e-09,23.603206157684326,0.914887,14.3342,2206.75,0.00784801971167,2.66264,86.97140836715698,24.574959754943848,14.2941,400,0.0,0.916198,3852.5,0.8508446216583252,0.116077532456,400,0.8846909999847412,-4.09781852895e-09,3808.65848266,0.3920760154724121,-0.00432965345681,23.808181762695312,6.001530170440674,0.0,18400.0,5284.54290833,17800.0,0.03373427159
0.00529677816958,2324.9690046310425,2.66115,2.35741037802e-10,24.209723472595215,0.915468,14.3669,2559.0,0.00796051789075,2.66493,88.55233716964722,25.404106378555298,14.3127,400,0.0,0.917227,4558.0,0.8580989837646484,0.134988043253,400,0.9001748561859131,-3.3527611798e-09,4490.21925968,0.3079533576965332,-0.00529677793384,24.217641830444336,7.852369070053101,0.0,19200.0,4978.25632124,17700.0,0.0373485038546
