0AverageReturn,1ProcessExecTime,ComputeUpdatedDistTime,1AveragePolicyStd,0ExplainedVariance,0AveragePolicyStd,ItrTime,0StdReturn,1NumTrajs,1AverageReturn,0Entropy,MeanKLBefore,0MaxReturn,0NumTrajs,1PolicyExecTime,1StdReturn,0PolicyExecTime,LossBefore,1ExplainedVariance,0Perplexity,0ProcessExecTime,0MinReturn,Time,0EnvExecTime,1Entropy,MeanKL,1MinReturn,1Perplexity,dLoss,1MaxReturn,1EnvExecTime,LossAfter
98.25,0.20066213607788086,0.07090187072753906,0.832601,0.0727867284503,0.832285,23.07318353652954,326.300379252,400,578.0,2.47012,0.0,1700.0,400,7.532703399658203,929.578399061,4.564921617507935,3.25962901115e-09,0.42469343482,11.8238,0.19945788383483887,0.0,795.5632817745209,4.5917205810546875,2.47065,0.00863150134683,0.0,11.8302,0.00844546360895,2800.0,4.709785461425781,-0.00844546034932
100.75,0.18829751014709473,0.08403587341308594,0.823666,0.0868629740535,0.826296,23.598376512527466,327.604086513,400,1018.0,2.45591,-1.11758700072e-08,2000.0,400,7.303284645080566,1118.24684216,5.061866998672485,-1.62981450558e-09,0.500704744509,11.6571,0.22226691246032715,0.0,819.9510695934296,5.062598466873169,2.44943,0.00814023148268,0.0,11.5818,0.00843393639661,2900.0,4.506018400192261,-0.00843393802643
97.75,0.18480443954467773,0.07423233985900879,0.811359,0.0786199133539,0.811182,22.707197666168213,300.948396739,400,710.75,2.41922,0.0,1600.0,400,7.297162294387817,971.550018012,4.79981255531311,3.72529029846e-09,0.382785543294,11.237,0.20019745826721191,0.0,843.3313524723053,4.600964784622192,2.41965,0.00739853223786,0.0,11.2419,0.00641316641122,2900.0,4.436958074569702,-0.00641316268593
104.75,0.2155919075012207,0.08333778381347656,0.808987,0.086568272007,0.809932,23.99221420288086,330.68480083,400,533.75,2.41607,0.0,1900.0,400,8.043788433074951,967.256913907,4.731703758239746,-1.62981450558e-09,0.291201290417,11.2017,0.1973564624786377,0.0,868.0871498584747,4.567434549331665,2.41372,0.00926158204675,0.0,11.1755,0.00782921002246,2900.0,4.97327733039856,-0.00782921165228
71.5,0.18516850471496582,0.08046650886535645,0.793615,0.0870538354838,0.79305,23.1465163230896,264.457463498,400,694.25,2.37356,-7.45057837648e-09,1600.0,400,7.154839038848877,970.536932579,4.995153427124023,-1.51339918375e-09,0.352299382595,10.7355,0.21506023406982422,0.0,891.7993581295013,4.902162075042725,2.37474,0.00905549898744,0.0,10.7482,0.00705717259552,2800.0,4.467177391052246,-0.00705717410892
78.75,0.18373751640319824,0.0813453197479248,0.780528,0.0613549463111,0.778295,23.201954126358032,285.347923595,400,693.75,2.33651,-3.72528941028e-09,1800.0,400,7.241886615753174,1013.08239423,5.0209455490112305,9.31322574615e-10,0.435148060242,10.345,0.20941376686096191,0.0,915.6542654037476,4.842193126678467,2.34204,0.00756569765508,0.0,10.4025,0.00595547957346,2900.0,4.466521501541138,-0.00595547864214
81.5,0.27378368377685547,0.07303357124328613,0.768815,0.0779386003374,0.768537,28.15856146812439,271.215320364,400,883.5,2.31124,-1.49011629702e-08,1500.0,400,10.432616949081421,1043.20551666,4.722009181976318,-1.9499566406e-09,0.495427015631,10.087,0.19798660278320312,0.0,944.8490748405457,4.543705701828003,2.3119,0.00907756201923,0.0,10.0936,0.00950766532333,2900.0,6.492790937423706,-0.00950766727328
78.75,0.3068201541900635,0.07564401626586914,0.749135,0.0817137636388,0.752527,34.635130882263184,291.930535402,400,1037.0,2.26924,0.0,1700.0,400,11.471287727355957,1171.61469776,7.01423454284668,2.73576006293e-09,0.51830049266,9.67204,0.29920339584350586,0.0,980.111894607544,6.821072816848755,2.26012,0.00723670609295,0.0,9.58424,0.00551295181504,2900.0,7.242065668106079,-0.00551294907928
84.75,0.3928985595703125,0.07286262512207031,0.736739,0.0663129588481,0.73766,37.240522623062134,278.284813635,400,708.25,2.22933,0.0,1800.0,400,13.83092713356018,1021.6931719,6.188230991363525,4.19095158577e-09,0.413444246399,9.29366,0.24322247505187988,0.0,1018.2328069210052,5.620169639587402,2.22673,0.00912288576365,0.0,9.26952,0.00539504084736,2900.0,9.450017213821411,-0.00539503665641
51.75,0.37895965576171875,0.07024002075195312,0.733478,0.0558273755666,0.736377,34.070363998413086,214.118979775,400,685.25,2.22582,-3.88578058619e-16,1500.0,400,13.261710405349731,978.804085351,5.157924175262451,1.16415321827e-09,0.316215112405,9.26109,0.19229984283447266,0.0,1052.9392569065094,4.421308994293213,2.21792,0.00950169377029,0.0,9.18823,0.00625634030439,2800.0,9.062241792678833,-0.00625633914024
60.75,0.38976526260375977,0.07206010818481445,0.728914,0.0796959023017,0.726464,37.33605146408081,241.318125096,400,798.0,2.19872,0.0,1700.0,400,13.813610076904297,982.189391105,6.2574827671051025,6.75208866596e-09,0.457054770033,9.01346,0.24944853782653809,0.0,1090.9239428043365,5.73518443107605,2.20537,0.00794217269868,0.0,9.07358,0.00506660691462,2900.0,9.396194458007812,-0.00506660016254
46.0,0.3383209705352783,0.07062196731567383,0.711559,0.0750709957305,0.713573,30.097911596298218,207.084523806,400,448.25,2.16281,0.0,1600.0,400,11.882410764694214,866.975742164,4.560690879821777,9.31322574615e-10,0.459150881255,8.69557,0.16197514533996582,0.0,1121.9713366031647,3.7517073154449463,2.15706,0.00572087708861,0.0,8.64572,0.00461056549102,2900.0,8.055936098098755,-0.0046105645597
