ItrTime,dLoss,0ProcessExecTime,0Entropy,1Entropy,0StdReturn,1PolicyExecTime,Time,1AverageReturn,1NumTrajs,MeanKL,1EnvExecTime,1MinReturn,LossBefore,0MaxReturn,0NumTrajs,0AveragePolicyStd,0ExplainedVariance,1ExplainedVariance,ComputeUpdatedDistTime,0EnvExecTime,0MinReturn,1MaxReturn,1StdReturn,1ProcessExecTime,0AverageReturn,LossAfter,1AveragePolicyStd,MeanKLBefore,1Perplexity,0PolicyExecTime,0Perplexity
182.73435521125793,0.00327229671602,1.5639588832855225,2.82226,2.82358,3808.92680916,48.18770456314087,5590.488075256348,7270.75,400,0.00673009734601,53.44583010673523,0.0,8.80390760294e-11,21300.0,400,0.993229,0.0442666638694,0.193356511773,0.4266359806060791,54.74090552330017,0.0,33200.0,8234.64446333,1.5589878559112549,1918.75,-0.00327229662798,0.993798,9.31322380326e-11,16.837,13.339686155319214,16.8147
181.69948196411133,0.00366799898911,1.570765733718872,2.8242,2.82503,4232.12250975,48.47098684310913,5773.12907075882,6970.0,400,0.00916007533669,52.15873575210571,0.0,1.32713473544e-09,27300.0,400,0.994143,0.0343566502705,0.155687143536,0.36756348609924316,54.41832995414734,0.0,33300.0,7775.23311548,1.5398454666137695,1903.75,-0.00366799766198,0.994494,8.66129923338e-09,16.8615,14.054177284240723,16.8474
183.03668928146362,0.00394845437841,1.7085108757019043,2.82278,2.82362,5635.79630021,47.80687141418457,5957.180424928665,8737.0,400,0.00653012283146,51.602986574172974,0.0,-3.66708274857e-10,29600.0,400,0.993724,0.0539480491084,0.197551295026,0.3969566822052002,56.17678451538086,0.0,41200.0,9048.2860808,1.5027060508728027,3149.75,-0.00394845474511,0.994258,1.86255177947e-10,16.8376,14.533934831619263,16.8236
184.40456366539001,0.00394004143891,1.6181797981262207,2.82633,2.82756,4795.10134799,47.87464094161987,6142.516835927963,5891.25,400,0.0093599781394,52.73445653915405,0.0,2.61934474111e-10,24000.0,400,0.99538,0.0302189137337,0.117718709607,0.34191203117370605,56.142581939697266,0.0,27600.0,7520.13952248,1.5280091762542725,2764.25,-0.00394004117697,0.996022,3.35275673891e-09,16.9042,14.531256914138794,16.8834
181.91437077522278,0.00320627929032,1.6274991035461426,2.81966,2.82058,4903.58437778,47.70033121109009,6325.526159286499,6742.5,400,0.00644547585398,52.499457359313965,0.0,-3.04135078233e-10,22600.0,400,0.991932,0.0381334483624,0.117666529326,0.3975672721862793,55.49207806587219,0.0,35800.0,6985.75291218,1.5048785209655762,2664.5,-0.00320627959445,0.992368,1.95577865014e-09,16.7866,13.30750322341919,16.7711
181.3790955543518,0.00435914860573,1.5608856678009033,2.81557,2.81564,5402.61760052,48.173229694366455,6508.041065692902,7021.75,400,0.00993511639535,52.426400899887085,0.0,-7.68341168467e-10,28500.0,400,0.989563,0.0468707697902,0.0882575918215,0.3697230815887451,54.781275272369385,0.0,33300.0,8706.04686052,1.4911940097808838,2771.75,-0.00435914937407,0.989612,-1.86264392799e-10,16.7038,13.16126298904419,16.7027
183.00709223747253,0.00412060639355,1.6273612976074219,2.81539,2.81552,4753.79947384,48.305625915527344,6692.013165473938,6722.5,400,0.00717552984133,53.470091342926025,0.0,3.95812077558e-10,25100.0,400,0.989624,0.0266500074626,0.170516240142,1.012984275817871,54.1101713180542,0.0,34800.0,7336.4360387,1.5062510967254639,2310.75,-0.00412060599774,0.98969,1.39698597135e-09,16.7019,13.041544198989868,16.6996
180.77693843841553,0.00357005192782,1.62276291847229,2.81165,2.80882,4460.12717728,47.233208894729614,6873.731875896454,8512.5,400,0.00683332327753,52.272929430007935,0.0,-6.34463592775e-10,26900.0,400,0.987315,0.0269340897329,0.24515170257,0.34350085258483887,54.5577871799469,0.0,37900.0,8791.9761004,1.609114646911621,2339.25,-0.00357005256228,0.985916,-3.49244549946e-10,16.5903,14.22846508026123,16.6374
184.0589370727539,0.00332976016216,1.598499059677124,2.80172,2.79792,6914.78965696,49.17236375808716,7058.78427028656,8339.0,400,0.00681110331789,53.02063465118408,0.0,-6.98491930962e-10,33600.0,400,0.982475,0.0265880578988,0.252218984342,0.3389101028442383,55.52311420440674,0.0,40000.0,10976.5467703,1.5172350406646729,3472.0,-0.00332976086065,0.980609,1.90920990129e-09,16.4104,14.350210905075073,16.4729
179.9723904132843,0.00367917090261,1.6526782512664795,2.80363,2.80588,5156.59770949,47.10656547546387,7239.781586408615,6460.75,400,0.00949593540281,51.76062273979187,0.0,-3.01952185477e-10,36900.0,400,0.983379,0.0125714234624,0.154286796172,0.35410499572753906,55.690118074417114,0.0,40900.0,9471.80206917,1.5252153873443604,2062.25,-0.00367917120457,0.984468,-3.49244272391e-10,16.5416,13.388305425643921,16.5045
210.4664704799652,0.00486938853828,1.6422250270843506,2.80824,2.81168,2986.20478199,61.78562545776367,7451.201834440231,6678.0,400,0.00981717649847,67.66448640823364,0.0,-8.09450284578e-10,19600.0,400,0.985504,0.010169648919,0.246341639929,0.34381937980651855,54.82020378112793,0.0,39800.0,9656.74199717,1.884387493133545,1191.0,-0.00486938934773,0.987212,-2.02562344676e-09,16.6379,13.291028499603271,16.5807
240.21310925483704,0.00411362279337,1.9436991214752197,2.80358,2.80568,5305.11120878,65.94339656829834,7692.4953353405,8681.0,400,0.00655528670177,71.12341785430908,0.0,3.17959381047e-10,34500.0,400,0.983211,0.0130748114356,0.160464463514,0.35492730140686035,72.11095809936523,0.0,38400.0,10950.0405935,2.01147198677063,2472.25,-0.00411362247542,0.984236,-4.16766710032e-09,16.5382,17.543728351593018,16.5037
239.51699590682983,0.00333921774145,1.99749755859375,2.80043,2.79843,7374.77179308,65.24375581741333,7932.974406480789,8365.75,400,0.00742692500353,71.55213570594788,0.0,1.16269804895e-09,31300.0,400,0.981743,0.0378331205575,0.137399574524,0.3917102813720703,71.68575835227966,0.0,47300.0,10639.6711386,1.9728944301605225,4179.0,-0.00333921657875,0.980794,-5.93718585407e-09,16.4189,17.464625120162964,16.4517
