0ExplainedVariance,MeanKL,ComputeUpdatedDistTime,1MaxReturn,0MinReturn,0Entropy,LossAfter,1MinReturn,1ProcessExecTime,0AveragePolicyStd,ItrTime,Time,LossBefore,MeanKLBefore,1Entropy,dLoss,1StdReturn,0PolicyExecTime,0MaxReturn,0StdReturn,0ProcessExecTime,1NumTrajs,0NumTrajs,0EnvExecTime,0AverageReturn,0Perplexity,1PolicyExecTime,1AveragePolicyStd,1Perplexity,1ExplainedVariance,1AverageReturn,1EnvExecTime
0.0546031718072,0.00783827435225,0.25324201583862305,23800.0,0.0,2.66874,-0.00283057754859,0.0,6.447016000747681,0.919783,885.6145069599152,11493.534298181534,-6.40284270048e-10,-3.7252865237e-09,2.66699,0.00283057690831,11187.4805814,218.6388909816742,22300.0,2738.85746982,6.517102003097534,2000,2000,156.1705937385559,1117.6,14.4217,314.1210837364197,0.918937,14.3965,0.522240847495,11126.8,160.0929934978485
0.0534828927933,0.00763640645891,0.25232410430908203,24100.0,0.0,2.63018,-0.00202645361423,0.0,6.478877782821655,0.902428,887.2549979686737,12385.851747512817,-2.91038304567e-10,5.58793900041e-09,2.62782,0.0020264533232,11316.1224945,218.5795714855194,20300.0,2646.44419505,6.578707218170166,2000,2000,156.14051461219788,1159.65,13.8763,315.6606605052948,0.901365,13.8436,0.529777832745,11248.7,160.02644038200378
0.0495856651073,0.00689678499475,0.2609727382659912,24000.0,0.0,2.61288,-0.00428576767445,0.0,6.464820384979248,0.894951,887.4427392482758,13278.264951705933,-8.73114913702e-10,0.0,2.61416,0.00428576680133,10510.803561,219.0469810962677,21200.0,2283.95817333,6.592430114746094,2000,2000,157.01361322402954,947.75,13.6383,314.85166454315186,0.895507,13.6558,0.490773807785,9814.95,159.60501289367676
0.0451522942944,0.00706141395494,0.24798369407653809,24000.0,0.0,2.6069,-0.00262509076856,0.0,6.436978816986084,0.892662,888.3414542675018,14171.301775932312,-2.44472175837e-09,-9.31321297859e-10,2.60748,0.00262508832384,11214.4863975,218.81729173660278,14800.0,2167.70014013,6.528538227081299,2000,2000,158.32056879997253,988.55,13.557,314.2945144176483,0.892893,13.5648,0.558766000742,10947.8,160.1296694278717
0.0408548368366,0.00665486883372,0.2416367530822754,24100.0,0.0,2.59142,-0.00279853004031,0.0,6.483321189880371,0.88632,882.6253685951233,15058.767519712448,4.07453626394e-10,-2.79396461522e-09,2.59146,0.00279853044776,11155.126252,218.86453080177307,13600.0,1934.12499014,6.541934013366699,2000,2000,155.97630381584167,802.35,13.3487,311.2496032714844,0.886315,13.3492,0.572580541389,10943.05,159.79968643188477
0.0483248238496,0.00654747057706,0.25803256034851074,24000.0,0.0,2.56256,-0.00470640836284,0.0,6.400604486465454,0.8741,882.6041221618652,15946.148082017899,-1.7462298274e-10,1.86264204061e-09,2.56281,0.00470640818821,10192.5426484,218.41248059272766,15300.0,1964.68330718,6.575597047805786,2000,2000,156.1431703567505,817.45,12.969,311.5641565322876,0.874179,12.9722,0.523773739827,9129.4,159.61824870109558
0.0455036356562,0.00631503481418,0.23817038536071777,24200.0,0.0,2.55578,-0.00191015703604,0.0,6.461456537246704,0.871216,886.5601587295532,16837.41450214386,2.32830643654e-10,-1.86264226265e-09,2.55636,0.00191015726887,11258.9824486,218.7003676891327,16300.0,2051.58108236,6.531983852386475,2000,2000,157.7929494380951,940.25,12.8813,313.6442301273346,0.871456,12.8889,0.603290949544,11043.35,159.643620967865
0.0447524622903,0.00856257230043,0.25309038162231445,24100.0,0.0,2.50781,-0.00545835541561,0.0,6.447369813919067,0.850714,884.3589782714844,17726.86222720146,1.65891833603e-09,-3.72528785597e-09,2.5093,0.00545835707453,9932.304727,219.63122272491455,13000.0,1867.96303764,6.604987859725952,2000,2000,156.25292372703552,765.3,12.278,311.98798966407776,0.851291,12.2963,0.522360110881,8090.9,159.8259391784668
0.0441975684734,0.00648942450061,0.2490863800048828,24200.0,0.0,2.50303,-0.00423495750874,0.0,6.447102308273315,0.848984,883.6636312007904,18615.61047434807,-1.45519152284e-09,-1.86264259572e-09,2.50157,0.00423495605355,10042.6858833,218.87105464935303,14800.0,1991.5285185,6.6059510707855225,2000,2000,155.76229643821716,869.6,12.2195,313.04132986068726,0.84831,12.2016,0.492507560387,7320.5,159.23778295516968
0.0454975977163,0.00839844811708,0.39069056510925293,24200.0,0.0,2.49115,-0.00181342987344,0.0,6.388699293136597,0.844048,885.351083278656,19505.64060664177,-3.78349795938e-10,9.31323906883e-09,2.49186,0.00181342949509,11431.7649992,213.95482850074768,13800.0,1940.70406747,6.544486999511719,2000,2000,158.08298182487488,901.65,12.0752,316.6398196220398,0.844283,12.0838,0.584231541529,11277.55,159.79914379119873
