1MaxReturn,1StdReturn,1MinReturn,0MaxReturn,1PolicyExecTime,LossBefore,0Perplexity,1ExplainedVariance,1AverageReturn,1EnvExecTime,0StdReturn,ComputeUpdatedDistTime,1NumTrajs,1Perplexity,MeanKLBefore,1ProcessExecTime,0EnvExecTime,0AverageReturn,0MinReturn,0ProcessExecTime,Time,1AveragePolicyStd,dLoss,0AveragePolicyStd,LossAfter,ItrTime,MeanKL,0Entropy,0NumTrajs,0ExplainedVariance,1Entropy,0PolicyExecTime
30400.0,5129.58845815,0.0,10000.0,97.93121099472046,-1.96741911651e-09,16.8064,0.196495349622,2766.5,77.00897693634033,2204.85169569,0.5531320571899414,400,16.751,-1.12340781122e-09,2.8617520332336426,81.47109484672546,1077.0,0.0,3.249932289123535,3433.0114171504974,0.990381,0.00312542346073,0.992,-0.00312542542815,310.7975478172302,0.00980424974114,2.82176,400,0.110235881622,2.81846,33.19108486175537
40200.0,8349.67603788,0.0,19400.0,100.64987850189209,1.22017806969e-09,16.6568,0.315951116731,5442.25,78.01487946510315,3834.68120416,0.48076581954956055,400,16.7034,-6.461053359e-10,3.005244493484497,71.43033957481384,2190.25,0.0,2.703972578048706,3735.546255350113,0.989071,0.00325942347772,0.987655,-0.00325942225754,301.01277899742126,0.00809358432889,2.81282,400,0.0715793644547,2.81561,30.19417643547058
42000.0,8764.72024653,0.0,28600.0,107.59455347061157,4.07453598639e-10,16.5456,0.18164617286,4373.0,79.54888486862183,3921.84566722,0.5029065608978271,400,16.5888,-1.16420567631e-10,2.8870110511779785,75.81065821647644,1681.25,0.0,2.8763256072998047,4053.58784198761,0.985558,0.00327882164856,0.984253,-0.00327882124111,316.7678120136261,0.00899591390043,2.80612,400,0.0288506366088,2.80873,32.2541241645813
44200.0,10841.2327597,0.0,15500.0,112.07972025871277,4.94765117764e-10,16.5905,0.272990437904,7116.5,81.8073182106018,2829.69945401,0.5349216461181641,400,16.6833,7.89296805692e-09,3.0282108783721924,77.82612419128418,1351.0,0.0,2.9807090759277344,4377.925570726395,0.988357,0.00423283365672,0.98558,-0.00423283316195,322.7125573158264,0.00771238887683,2.80883,400,0.0298525665003,2.81441,30.502535820007324
50200.0,8448.15651119,0.0,19600.0,105.97337698936462,8.36735680743e-11,16.4268,0.152496756821,4848.75,79.91422200202942,3958.42392089,0.6875655651092529,400,16.3942,3.72527619863e-10,2.875859022140503,76.36424660682678,2297.75,0.0,2.98382568359375,4693.11653470993,0.979753,0.00370043990188,0.980708,-0.0037004398182,312.66593766212463,0.00904659274966,2.79891,400,0.0402982107849,2.79693,27.62928867340088
46100.0,11091.7090545,0.0,21500.0,102.38176798820496,-2.1245794013e-10,16.3822,0.2531607776,5290.5,75.14220547676086,3558.99859511,0.561347484588623,400,16.418,2.58441823497e-09,2.76395845413208,74.71724820137024,1673.0,0.0,2.786496639251709,4996.742498397827,0.980518,0.00259962097916,0.979447,-0.00259962119162,301.9956851005554,0.00656538223848,2.7962,400,0.0272817286941,2.79838,28.169378757476807
28000.0,6900.32687632,0.0,21600.0,104.13952136039734,-1.39698363988e-10,16.6536,0.227011206678,4683.0,73.98849368095398,4053.04178982,0.4900834560394287,400,16.6075,-1.86264142998e-10,2.659785747528076,73.57706236839294,2476.5,0.0,2.8084964752197266,5304.828804016113,0.986433,0.00366716166027,0.987801,-0.00366716179997,306.8050048351288,0.00688271410763,2.81263,400,0.0702062358687,2.80985,33.585654497146606
35200.0,8324.66857824,0.0,16800.0,99.35089373588562,-7.43966721561e-10,16.4034,0.196665300637,5708.25,73.78324770927429,2967.59582828,0.5054006576538086,400,16.4218,-4.8602860625e-10,2.73614239692688,74.40844655036926,1375.0,0.0,2.78051495552063,5608.36790895462,0.980758,0.00330635993851,0.980155,-0.00330636068247,301.9828803539276,0.00730997510254,2.79749,400,0.0322328586675,2.79861,32.69554376602173
34900.0,7039.37795103,0.0,16400.0,91.0178759098053,1.06811059997e-09,16.0302,0.215442869912,4494.25,68.04894518852234,3891.14941245,0.5467607975006104,400,15.9506,1.44355116749e-09,2.4322524070739746,73.28213262557983,2277.5,0.0,2.864187002182007,5898.2066016197205,0.966554,0.00482327644422,0.968933,-0.00482327537611,287.8036513328552,0.00921319797635,2.77447,400,0.0776685757459,2.7695,36.87471008300781
33500.0,7295.28873658,0.0,20900.0,92.41228580474854,2.73575995191e-10,16.0569,0.184850543611,5328.5,69.5611584186554,3370.39964248,0.46976423263549805,400,16.0992,1.86262949509e-10,2.5034005641937256,66.83191990852356,1617.5,0.0,2.5481109619140625,6188.639093399048,0.970969,0.00334481549799,0.96968,-0.00334481522441,288.8475580215454,0.00707056885585,2.77614,400,0.0272632334376,2.77877,42.749308586120605
