1AveragePolicyStd,0MinReturn,0ExplainedVariance,0AverageReturn,0NumTrajs,1ExplainedVariance,0EnvExecTime,ItrTime,1Perplexity,LossAfter,1PolicyExecTime,dLoss,0ProcessExecTime,1ProcessExecTime,0Entropy,0MaxReturn,1MinReturn,LossBefore,MeanKL,1StdReturn,1AverageReturn,0Perplexity,MeanKLBefore,1NumTrajs,0StdReturn,1MaxReturn,0PolicyExecTime,1Entropy,Time,0AveragePolicyStd,1EnvExecTime,ComputeUpdatedDistTime
1.00306,0.0,0.0829413633078,596.0,2000,0.0842614705925,187.40961575508118,848.655905008316,17.1813,-0.00225549680181,262.3176393508911,0.00225549707829,7.166933059692383,6.847712755203247,2.84239,18600.0,0.0,2.76486389339e-10,0.00914054643363,2205.53648576,610.9,17.1568,3.02679659114e-09,2000,2121.11150108,17200.0,174.9210226535797,2.84382,9938.68835234642,1.00237,183.02902054786682,0.2812936305999756
1.00009,0.0,0.0786472021366,587.45,2000,0.0903669727117,182.28908395767212,825.2388203144073,17.0794,-0.00264614401385,257.2455565929413,0.00264614499247,6.89781928062439,6.655202388763428,2.8385,18400.0,0.0,9.78616299108e-10,0.00699105579406,2314.10075353,675.45,17.0902,4.65661259552e-10,2000,2195.51303742,17300.0,167.02582120895386,2.83787,10768.150063037872,1.00041,177.8399178981781,0.2745809555053711
1.002,0.0,0.0795283919606,640.15,2000,0.0961957319579,177.81036758422852,800.2595579624176,17.1438,-0.0024674620945,245.77180361747742,0.00246746203629,6.84779691696167,6.455944299697876,2.8395,20700.0,0.0,-5.82076609135e-11,0.00950701534748,2654.58299503,882.85,17.1073,-1.6298146166e-09,2000,2289.23633064,21000.0,164.42897653579712,2.84164,11572.375076055527,1.00093,171.94568061828613,0.2774529457092285
1.00294,0.0,0.0906090950469,720.15,2000,0.0864547232738,183.1947362422943,799.7941281795502,17.1759,-0.00200484716333,239.1651828289032,0.0020048469014,7.077145338058472,6.26081109046936,2.84168,19300.0,0.0,-2.61934474111e-10,0.00647848984227,2535.92782577,789.75,17.1445,2.32830144054e-10,2000,2390.58548843,20100.0,170.1118996143341,2.8435,12376.155586481094,1.00204,165.746967792511,0.31074047088623047
1.01109,0.0,0.0803439219655,724.45,2000,0.0987215577102,161.05310916900635,731.2094056606293,17.4551,-0.00252049788833,225.58162713050842,0.0025204946578,6.2717978954315186,5.8381688594818115,2.85902,19600.0,0.0,-3.2305251807e-09,0.00999725516886,2744.69796836,928.25,17.4445,6.9849087625e-10,2000,2380.98030179,17800.0,149.1318712234497,2.85963,13111.108308553696,1.01078,153.8043246269226,0.27664995193481445
1.01016,0.0,0.0784801445207,735.7,2000,0.0949840197793,157.63225603103638,808.4688148498535,17.426,-0.00286433962174,269.06225657463074,0.00286434048758,6.221848487854004,6.096984624862671,2.85768,19500.0,0.0,8.65838956088e-10,0.00971505884081,2650.85463766,893.7,17.421,2.91038859679e-10,2000,2359.04334636,19700.0,175.41192317008972,2.85796,13924.51218366623,1.01002,160.42593264579773,0.2794792652130127
1.00918,0.0,0.0841710363824,782.15,2000,0.0954246807591,157.42561531066895,798.6890783309937,17.3928,-0.00189565133769,254.76999950408936,0.00189565020264,6.27210807800293,6.047672271728516,2.85571,17100.0,0.0,-1.13504938781e-09,0.00650605279952,2749.99049998,941.5,17.3868,1.14960285735e-09,2000,2527.8461934,19200.0,180.20877122879028,2.85606,14727.632701158524,1.009,157.40077781677246,0.26972436904907227
1.0041,0.0,0.0730429092638,748.75,2000,0.0985931236794,157.22912287712097,774.2355229854584,17.2195,-0.001753774588,244.36357593536377,0.00175377319101,6.164117097854614,5.879098653793335,2.84776,17700.0,0.0,-1.39698386192e-09,0.00948066078126,2869.29543573,997.05,17.2491,3.20141635424e-10,2000,2403.84867192,20000.0,177.54112029075623,2.84604,15506.40690279007,1.00496,153.44326519966125,0.2632133960723877
0.99165,0.0,0.0745707059422,826.0,2000,0.0997052884745,150.06378483772278,754.6179597377777,16.7912,-0.00238524703309,250.04659152030945,0.00238524785709,5.962437391281128,5.91774845123291,2.81961,18700.0,0.0,8.24002199806e-10,0.00647708214819,2968.97452835,1105.5,16.7703,3.49247075704e-10,2000,2502.04796117,22300.0,154.21722841262817,2.82086,16265.64388871193,0.991019,155.87378478050232,0.2780787944793701
0.990945,0.0,0.0686154476471,807.85,2000,0.10407565889,158.94122505187988,801.1027457714081,16.7673,-0.00199091527611,260.64483094215393,0.0019909158691,6.286756753921509,6.062153577804565,2.82089,20900.0,0.0,5.92990545556e-10,0.00650124903768,3031.09979999,1090.05,16.7918,1.53668242575e-08,2000,2400.97550539,20500.0,178.94126653671265,2.81943,17071.29697918892,0.991654,157.8607213497162,0.2596895694732666
0.98866,0.0,0.0804882474449,916.25,2000,0.0984951218156,167.251713514328,859.9938473701477,16.6917,-0.00260558049195,276.56506872177124,0.00260558162699,6.4529197216033936,6.2072319984436035,2.81734,19300.0,0.0,1.13504938781e-09,0.0098607186228,3003.38323229,1155.4,16.7322,9.89529014284e-10,2000,2634.27237345,19200.0,209.3332040309906,2.81491,17935.985869407654,0.989858,163.39296102523804,0.2829310894012451
0.994376,0.0,0.0664824844663,849.45,2000,0.103821445559,157.9225127696991,807.1267075538635,16.8872,-0.00232235295698,268.0513586997986,0.00232235505246,6.22433876991272,6.094588279724121,2.82773,17000.0,0.0,2.09547579288e-09,0.00721381604671,3175.0645836,1281.7,16.9071,-2.32830621449e-09,2000,2517.89588695,19600.0,174.8222541809082,2.82656,18748.16284441948,0.994963,160.4064462184906,0.2782614231109619
0.993418,0.0,0.0740750102224,983.6,2000,0.0910027276289,160.39136743545532,819.08500623703,16.8538,-0.00171644648071,265.4441065788269,0.00171644758666,6.286478281021118,6.103083372116089,2.82622,17400.0,0.0,1.10594555736e-09,0.00974542926997,2708.00358152,1006.45,16.8816,-3.49246742637e-10,2000,2692.79613785,16600.0,189.72417736053467,2.82457,19571.836357355118,0.994237,159.76223993301392,0.2856025695800781
0.988426,0.0,0.0652611391211,916.0,2000,0.0872893181547,156.64229774475098,795.8772976398468,16.6864,-0.00223061814904,270.2024073600769,0.00223061714496,6.1791722774505615,6.052157402038574,2.81409,20100.0,0.0,-1.00408215076e-09,0.00994489621371,3006.60273357,1149.95,16.6779,1.39698419499e-09,2000,2666.44407404,17600.0,166.4517068862915,2.81459,20371.919157505035,0.988175,159.7179572582245,0.3101081848144531
0.973376,0.0,0.0807493003311,1049.95,2000,0.0881333956016,153.09425711631775,765.8615961074829,16.181,-0.00165094691329,250.7871551513672,0.00165094598196,5.976248025894165,6.109787225723267,2.78503,17200.0,0.0,-9.31322574615e-10,0.00646863365546,3074.08461131,1185.55,16.2003,-3.72529207482e-09,2000,2813.97050402,21300.0,158.6220691204071,2.78384,21142.409074783325,0.973948,160.60430097579956,0.305713415145874
0.965105,0.0,0.0763922415095,1055.95,2000,0.0961617290601,155.37813782691956,784.1719961166382,15.9082,-0.00203526206315,251.78469467163086,0.00203526245423,6.150189638137817,6.068573236465454,2.76618,21300.0,0.0,3.91082721762e-10,0.0064263488166,3173.92570644,1283.1,15.8978,1.2490009027e-16,2000,2816.60160433,18600.0,173.74895238876343,2.76683,21931.502504587173,0.964788,161.21225237846375,0.2598745822906494
0.97119,0.0,0.0719235571288,1049.0,2000,0.0858964826212,162.82042360305786,842.1153502464294,16.1086,-0.0019297975814,279.00237584114075,0.00192979862913,6.290462493896484,6.3322978019714355,2.78061,21400.0,0.0,1.04773789644e-09,0.00697199301794,3175.47071747,1361.65,16.1288,2.32830732472e-09,2000,2808.08813964,18600.0,183.89877200126648,2.77936,22778.170586824417,0.971802,168.34174799919128,0.29437780380249023
0.95597,0.0,0.0608847162594,965.45,2000,0.0961971209909,166.9927794933319,942.0396108627319,15.6076,-0.00197383901104,343.74650382995605,0.00197384002377,6.509223222732544,6.8086159229278564,2.74866,19800.0,0.0,1.01272235042e-09,0.00726810144261,3466.01534763,1531.9,15.6217,-1.86264825786e-09,2000,2549.30604234,19500.0,202.40938901901245,2.74776,23725.14616250992,0.956414,182.63993978500366,0.2985389232635498
0.943007,0.0,0.067591572408,1097.5,2000,0.106177573664,178.0228214263916,935.8437306880951,15.185,-0.00223489617929,297.5639946460724,0.0022348962957,6.752740144729614,6.282320737838745,2.72254,19000.0,0.0,1.16415321827e-10,0.00956939440221,3585.68319292,1659.8,15.2189,-9.3132135337e-10,2000,2753.65098551,19800.0,246.24840116500854,2.72031,24665.997349500656,0.944047,168.67799544334412,0.3197610378265381
0.944665,0.0,0.0659937447447,1098.9,2000,0.090756262324,163.2671627998352,840.5396111011505,15.2386,-0.00256973598152,278.3861219882965,0.00256973574142,6.321809530258179,6.145284414291382,2.72402,20400.0,0.0,-2.40106601268e-10,0.0099947527051,3273.41479765,1339.25,15.2414,6.93889390391e-17,2000,2793.06977893,21200.0,188.91528177261353,2.72383,25511.137151002884,0.944748,165.9326992034912,0.29978322982788086
0.949319,0.0,0.0765452458789,1190.4,2000,0.0925809610754,164.8631570339203,840.7686319351196,15.388,-0.00206991424784,277.3142409324646,0.00206991418963,6.311854600906372,6.154507398605347,2.7343,18100.0,0.0,-5.82076609135e-11,0.00920448172837,3569.87808755,1536.2,15.3989,2.79396594749e-09,2000,2892.95140644,20800.0,188.90045619010925,2.73359,26356.285453557968,0.949633,164.36799716949463,0.27089810371398926
0.941927,0.0,0.067475341042,1087.55,2000,0.0825064291711,164.07798171043396,842.1382350921631,15.1496,-0.001901929616,278.88768458366394,0.0019019290703,6.40758752822876,6.176637411117554,2.72012,20500.0,0.0,-5.45696821064e-10,0.00668340409175,3240.86634097,1375.6,15.1822,1.76950916142e-08,2000,2928.71132027,20000.0,189.82041931152344,2.71797,27203.828999519348,0.942939,165.20263195037842,0.30730581283569336
0.934548,0.0,0.0749217625152,1209.45,2000,0.0977668153668,165.30374097824097,838.9463446140289,14.9166,-0.00226080557331,277.5835943222046,0.00226080574339,6.341662645339966,6.159621000289917,2.7024,19400.0,0.0,1.70075509232e-10,0.00915792677552,3620.20673995,1564.6,14.9155,-2.79396905611e-09,2000,3059.33909489,20800.0,188.7774748802185,2.70247,28047.105435609818,0.934516,164.5545129776001,0.2787618637084961
0.931371,0.0,0.0653612007195,1099.8,2000,0.0907759308414,163.9928102493286,841.6601324081421,14.8155,-0.00218286551535,278.41285133361816,0.00218286675954,6.402860879898071,6.153232574462891,2.69531,17700.0,0.0,1.24418875203e-09,0.0097961332649,3546.69382806,1601.7,14.8102,1.31838984174e-16,2000,2785.89482214,21800.0,187.9522967338562,2.69567,28893.5825650692,0.9312,165.52761006355286,0.3021841049194336
0.927261,0.0,0.0670157372847,1166.9,2000,0.0884419015261,164.01095628738403,849.7566640377045,14.6798,-0.00179115578067,279.8853907585144,0.00179115495121,6.406803607940674,6.200403690338135,2.68871,17200.0,0.0,-8.29459168017e-10,0.00672270124778,3489.45984036,1549.85,14.7127,-9.31321075814e-10,2000,2947.40638359,20400.0,188.4561469554901,2.68647,29747.97434425354,0.928274,165.066486120224,0.3062174320220947
0.921584,0.0,0.0690973176122,1240.9,2000,0.0985874867878,165.77986931800842,823.1279594898224,14.4863,-0.0021707683336,272.88028216362,0.00217076865374,6.36426854133606,6.040092706680298,2.67515,19600.0,0.0,3.20142135024e-10,0.00941492523998,3660.73821927,1608.7,14.5146,-1.86264326185e-09,2000,3105.12595397,20900.0,179.52334856987,2.6732,30575.376446008682,0.922486,162.1655764579773,0.2559807300567627
0.922613,0.0,0.0708585831229,1228.15,2000,0.0801745825676,156.72108507156372,761.750919342041,14.5231,-0.00169461511541,250.67695879936218,0.00169461469773,6.087874889373779,5.888842582702637,2.67497,18600.0,0.0,-4.17685441789e-10,0.00941906496882,3512.29326794,1526.0,14.5119,9.31317911679e-10,2000,2893.94930458,20600.0,152.17500233650208,2.67574,31341.47086954117,0.922279,158.3996307849884,0.30506205558776855
