1MaxReturn,Time,1AveragePolicyStd,0AveragePolicyStd,MeanKLBefore,0AverageReturn,0Perplexity,ComputeUpdatedDistTime,0ExplainedVariance,1ExplainedVariance,dLoss,1ProcessExecTime,LossBefore,0StdReturn,1EnvExecTime,0PolicyExecTime,1PolicyExecTime,0EnvExecTime,1AverageReturn,LossAfter,1StdReturn,1MinReturn,0MaxReturn,1NumTrajs,0Entropy,0NumTrajs,1Perplexity,0ProcessExecTime,ItrTime,MeanKL,1Entropy,0MinReturn
0.0,535.0821092128754,1.0,1.0,0.0,0.0,17.0795,0.42762160301208496,1,1,0.0,0.43059825897216797,0.0,0.0,11.259634494781494,4.370373725891113,17.552654266357422,10.506170988082886,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.4298512935638428,50.03887915611267,0.0,2.83788,0.0
0.0,586.4696078300476,1.0,1.0,0.0,0.0,17.0795,0.4037775993347168,1,1,0.0,0.3942136764526367,0.0,0.0,11.244899034500122,4.907829999923706,17.15790367126465,10.641210079193115,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.43323183059692383,50.165566205978394,0.0,2.83788,0.0
0.0,637.9180505275726,1.0,1.0,0.0,0.0,17.0795,0.41204190254211426,1,1,0.0,0.4315214157104492,0.0,0.0,11.428852319717407,4.946481704711914,16.859269857406616,10.770972490310669,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.4177236557006836,51.43985152244568,0.0,2.83788,0.0
0.0,688.3653385639191,1.0,1.0,0.0,0.0,17.0795,0.3969571590423584,1,1,0.0,0.3910048007965088,0.0,0.0,11.208725690841675,4.214152097702026,16.922628164291382,10.440495014190674,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3883326053619385,49.169461488723755,0.0,2.83788,0.0
0.0,740.6856377124786,1.0,1.0,0.0,0.0,17.0795,0.4860365390777588,1,1,0.0,0.3832409381866455,0.0,0.0,11.499310970306396,5.207204341888428,16.963915824890137,11.332839012145996,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.41005492210388184,52.314733028411865,0.0,2.83788,0.0
0.0,794.683851480484,1.0,1.0,0.0,0.0,17.0795,0.44701194763183594,1,1,0.0,0.3996620178222656,0.0,0.0,12.087527513504028,5.4129955768585205,17.637471199035645,10.792204856872559,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.40813541412353516,52.45925784111023,0.0,2.83788,0.0
0.0,846.2216041088104,1.0,1.0,0.0,0.0,17.0795,0.45724034309387207,1,1,0.0,0.4068024158477783,0.0,0.0,11.601509094238281,5.176874399185181,17.46632671356201,10.802255630493164,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3889167308807373,51.52717399597168,0.0,2.83788,0.0
0.0,899.3426218032837,1.0,1.0,0.0,0.0,17.0795,0.4313313961029053,1,1,0.0,0.4880218505859375,0.0,0.0,11.9214928150177,4.406736373901367,17.66709327697754,10.507805109024048,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3726315498352051,52.11262655258179,0.0,2.83788,0.0
0.0,950.706090927124,1.0,1.0,0.0,0.0,17.0795,0.442690372467041,1,1,0.0,0.47141528129577637,0.0,0.0,11.547675371170044,4.104409456253052,18.011027812957764,10.50614047050476,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.41324710845947266,51.342223167419434,0.0,2.83788,0.0
0.0,1001.8367578983307,1.0,1.0,0.0,0.0,17.0795,0.4404270648956299,1,1,0.0,0.41799473762512207,0.0,0.0,11.151130437850952,4.604416608810425,16.94492244720459,10.671185731887817,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.37983250617980957,50.03141236305237,0.0,2.83788,0.0
0.0,1051.7731363773346,1.0,1.0,0.0,0.0,17.0795,0.39279603958129883,1,1,0.0,0.393543004989624,0.0,0.0,11.18127703666687,4.654537677764893,16.735593795776367,10.519757509231567,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.4328029155731201,49.92667627334595,0.0,2.83788,0.0
0.0,1102.309979915619,1.0,1.0,0.0,0.0,17.0795,0.41079068183898926,1,1,0.0,0.4141998291015625,0.0,0.0,11.230931520462036,3.805487632751465,17.413961172103882,10.497265577316284,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.39231371879577637,49.311368465423584,0.0,2.83788,0.0
0.0,1152.711462020874,1.0,1.0,0.0,0.0,17.0795,0.417402982711792,1,1,0.0,0.3901488780975342,0.0,0.0,10.991310358047485,4.227518320083618,16.40033745765686,10.61492657661438,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.41286516189575195,50.388840436935425,0.0,2.83788,0.0
0.0,1202.4704422950745,1.0,1.0,0.0,0.0,17.0795,0.37697482109069824,1,1,0.0,0.3609943389892578,0.0,0.0,11.223050594329834,4.269881725311279,16.369664430618286,10.383339881896973,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3951601982116699,48.63449192047119,0.0,2.83788,0.0
0.0,1251.9727783203125,1.0,1.0,0.0,0.0,17.0795,0.3811039924621582,1,1,0.0,0.4086487293243408,0.0,0.0,11.137424945831299,4.922398805618286,16.459510326385498,10.338799953460693,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.38719606399536133,49.48922777175903,0.0,2.83788,0.0
0.0,1301.7713980674744,1.0,1.0,0.0,0.0,17.0795,0.4490981101989746,1,1,0.0,0.40340495109558105,0.0,0.0,11.309488534927368,4.447654962539673,16.555270671844482,10.289477109909058,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.38191771507263184,48.549683570861816,0.0,2.83788,0.0
0.0,1351.638670682907,1.0,1.0,0.0,0.0,17.0795,0.4182777404785156,1,1,0.0,0.4341561794281006,0.0,0.0,11.250372886657715,4.633864641189575,16.23467230796814,10.64756965637207,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3785591125488281,49.86282253265381,0.0,2.83788,0.0
0.0,1402.3592674732208,1.0,1.0,0.0,0.0,17.0795,0.4129059314727783,1,1,0.0,0.40022873878479004,0.0,0.0,11.324630737304688,4.039459466934204,17.351913928985596,10.419603109359741,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3882439136505127,49.61678433418274,0.0,2.83788,0.0
0.0,1451.8086698055267,1.0,1.0,0.0,0.0,17.0795,0.4344620704650879,1,1,0.0,0.3749430179595947,0.0,0.0,11.005207061767578,4.536413908004761,17.08914303779602,10.555790662765503,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.4083671569824219,49.43146634101868,0.0,2.83788,0.0
0.0,1504.7347044944763,1.0,1.0,0.0,0.0,17.0795,0.41095829010009766,1,1,0.0,0.395967960357666,0.0,0.0,11.271321058273315,5.44020938873291,17.147941827774048,11.018808841705322,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.43401455879211426,51.068172454833984,0.0,2.83788,0.0
0.0,1556.225085258484,1.0,1.0,0.0,0.0,17.0795,0.40328145027160645,1,1,0.0,0.40671253204345703,0.0,0.0,11.212876319885254,4.243108034133911,17.57030200958252,10.499959945678711,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.42055606842041016,51.47873330116272,0.0,2.83788,0.0
0.0,1608.1918835639954,1.0,1.0,0.0,0.0,17.0795,0.4137735366821289,1,1,0.0,0.3954355716705322,0.0,0.0,11.335511922836304,3.9438178539276123,17.002379417419434,10.639312267303467,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.3871009349822998,50.742974519729614,0.0,2.83788,0.0
0.0,1658.7369439601898,1.0,1.0,0.0,0.0,17.0795,0.40106773376464844,1,1,0.0,0.4017057418823242,0.0,0.0,11.372535705566406,4.877087354660034,17.04118061065674,10.816022872924805,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.402130126953125,50.51612663269043,0.0,2.83788,0.0
0.0,1706.9116735458374,1.0,1.0,0.0,0.0,17.0795,0.3913462162017822,1,1,0.0,0.41277122497558594,0.0,0.0,10.431307792663574,4.609524965286255,15.389154195785522,10.464873790740967,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.4072442054748535,46.92711091041565,0.0,2.83788,0.0
0.0,1752.2768349647522,1.0,1.0,0.0,0.0,17.0795,0.4452993869781494,1,1,0.0,0.366565465927124,0.0,0.0,10.420856714248657,3.5877912044525146,15.4577054977417,9.98786187171936,0.0,0.0,0.0,0.0,0.0,400,2.83788,400,17.0795,0.37959909439086914,45.35573697090149,0.0,2.83788,0.0
