Time,LossBefore,LossAfter,Perplexity,ExplainedVariance,MeanKL,AveragePolicyStd,NumTrajs,StdReturn,MaxReturn,Entropy,TotalExecTime,MaxKL,ItrTime,AverageReturn,MinReturn
675.437801361084,-0.0311398,-0.039755,11.3908,0.98642738804,0.0198465,0.816888,200,188.663059447,2900.0,2.4328,16.342044353485107,0.100454,16.42462658882141,2547.5,1900.0
691.1849446296692,-0.0311549,-0.0378057,11.2148,0.989219650886,0.0153424,0.810516,200,183.532013556,3100.0,2.41723,15.679679870605469,0.0937351,15.738105058670044,2596.0,1700.0
706.8335690498352,-0.0429198,-0.0551266,11.0414,0.985649757218,0.0310189,0.80419,200,193.491601885,3000.0,2.40166,15.558544874191284,0.142953,15.639965057373047,2569.0,1700.0
723.3356535434723,-0.0254716,-0.0319645,10.807,0.991154593313,0.020579,0.795665,200,166.366312696,3000.0,2.3802,16.399122714996338,0.145207,16.47722840309143,2616.5,2100.0
741.2924463748932,-0.0603063,-0.0649176,10.6702,0.990238376698,0.00407779,0.790602,200,161.05589092,3000.0,2.36746,17.866344928741455,0.0279675,17.950778484344482,2619.0,2000.0
759.8437843322754,-0.0252711,-0.0340791,10.3533,0.991476321975,0.0292439,0.778817,200,157.848028179,3000.0,2.33731,18.471863985061646,0.173525,18.543388605117798,2622.0,2000.0
780.0001795291901,-0.0151098,-0.0215559,10.2233,0.991346634183,0.0198361,0.773821,200,145.064640764,2900.0,2.32467,20.049781322479248,0.0960663,20.148239135742188,2622.5,2100.0
801.6612284183502,-0.0131082,-0.0155729,10.1464,0.992634990611,0.00569871,0.770871,200,135.661343057,2900.0,2.31712,21.565166234970093,0.0563745,21.657784461975098,2636.0,2300.0
822.8199741840363,-0.0329441,-0.0384682,10.0801,0.992658304231,0.016274,0.76834,200,136.879509058,3000.0,2.31056,21.074052333831787,0.109586,21.15359354019165,2642.0,2200.0
844.2863426208496,-0.0218969,-0.0252693,9.91541,0.99355924868,0.0054908,0.762047,200,126.805954119,2900.0,2.29409,21.375332355499268,0.0610313,21.450494289398193,2654.5,2200.0
