1Perplexity,0ExplainedVariance,ComputeUpdatedDistTime,dLoss,1ExplainedVariance,0Perplexity,LossBefore,LossAfter,1MinReturn,1PolicyExecTime,0StdReturn,0ProcessExecTime,0EnvExecTime,ItrTime,1StdReturn,0AveragePolicyStd,Time,0MinReturn,0PolicyExecTime,1MaxReturn,1Entropy,1ProcessExecTime,0MaxReturn,1AverageReturn,0AverageReturn,1AveragePolicyStd,MeanKL,1EnvExecTime,MeanKLBefore,0NumTrajs,1NumTrajs,0Entropy
15.2915,0.0743486268629,0.07865619659423828,0.00777596537955,0.464559041263,15.3527,2.09547579288e-09,-0.00777596328408,0.0,41.36490178108215,197.408516658,0.8507025241851807,19.459275484085083,114.61880612373352,745.039757191,0.948102,1378.5332355499268,0.0,20.475234746932983,2800.0,2.7273,1.1465518474578857,1700.0,548.785714286,36.8571428571,0.946236,0.00786684826016,27.298784017562866,1.58324979793e-08,1400,1400,2.73129
14.9363,0.0342457947052,0.08197593688964844,0.00592151575256,0.354490519392,14.9142,-8.14907252789e-10,-0.00592151656747,0.0,47.492262840270996,127.918480897,0.7068803310394287,16.890608549118042,121.56351161003113,563.18572262,0.93448,1502.2518401145935,0.0,19.214256048202515,2600.0,2.70379,1.312791347503662,1700.0,274.357142857,16.0714285714,0.935198,0.00824794825166,31.937833070755005,-5.58792923044e-09,1400,1400,2.70231
14.6298,0.0490159825695,0.12872719764709473,0.0041260331891,0.434111539101,14.5382,-3.35057848133e-09,-0.00412603653967,0.0,42.12603306770325,175.966703135,0.7907519340515137,18.41340208053589,114.33691453933716,781.593492651,0.922673,1618.842470407486,0.0,20.170838594436646,2800.0,2.68306,1.186551570892334,1800.0,562.428571429,32.0714285714,0.925614,0.00804350804538,27.767807483673096,-2.1371793224e-15,1400,1400,2.67678
14.2652,0.0729831979756,0.07791781425476074,0.00795630645007,0.465477277235,14.2422,-9.31322574615e-10,-0.00795630738139,0.0,43.82099509239197,231.574457987,0.8281564712524414,19.417104482650757,119.52898931503296,864.204337964,0.913243,1740.5006523132324,0.0,21.445690631866455,2800.0,2.65782,1.2270870208740234,1900.0,716.928571429,48.6428571429,0.913993,0.00695507088676,28.862268686294556,-2.77555756156e-17,1400,1400,2.65621
13.6549,0.0577482603978,0.08032083511352539,0.00622445275076,0.439740631702,13.6969,-2.32830643654e-10,-0.00622445298359,0.0,45.29960322380066,177.70611775,0.8135254383087158,19.26713752746582,121.87033891677856,933.010171216,0.895524,1864.403002023697,0.0,21.30654501914978,2900.0,2.6141,1.2663538455963135,1800.0,728.142857143,32.5,0.894175,0.00649042520672,29.98778986930847,3.72529118664e-09,1400,1400,2.61717
13.1635,0.0490848238152,0.09711575508117676,0.00829947483726,0.473629701726,13.1558,2.09547579288e-09,-0.00829947274178,0.0,46.74035334587097,148.716258392,0.8520338535308838,19.801207065582275,125.27681517601013,854.34349721,0.87767,1991.8358738422394,0.0,21.467806816101074,2700.0,2.57745,1.3002443313598633,1600.0,738.785714286,22.7857142857,0.877946,0.00952200498432,31.144418954849243,-3.72529118664e-09,1400,1400,2.57686
12.5876,0.0613074676889,0.08338451385498047,0.00614440382924,0.455257138893,12.5841,8.14907252789e-10,-0.00614440301433,0.0,47.484620332717896,182.3230901,0.7833418846130371,18.647514820098877,124.61781334877014,826.272673282,0.858381,2118.5060606002808,0.0,20.672380924224854,2800.0,2.53271,1.3082010746002197,1600.0,571.428571429,33.9285714286,0.858517,0.00679159956053,31.76442313194275,3.72529207482e-09,1400,1400,2.53244
12.1381,0.0488212148546,0.07433509826660156,0.00563917227555,0.452033819221,12.1327,1.04773789644e-09,-0.00563917122781,0.0,45.70638656616211,152.933158669,0.7171308994293213,16.89509677886963,118.04842352867126,802.244949616,0.842894,2238.703799724579,0.0,19.26255965232849,2700.0,2.49635,1.276773452758789,1800.0,527.571428571,24.1428571429,0.843073,0.00670849438757,30.330671548843384,0.0,1400,1400,2.4959
11.6987,0.0603689239685,0.08283710479736328,0.00626895407913,0.396490929411,11.7045,-1.68802216649e-09,-0.00626895576715,0.0,47.37759232521057,194.334014479,0.799006462097168,18.829289436340332,124.67776489257812,840.194571732,0.827826,2365.492073059082,0.0,20.477829456329346,2700.0,2.45948,1.3178083896636963,1800.0,627.285714286,32.9285714286,0.82763,0.0093565993011,31.90023183822632,-3.72529207482e-09,1400,1400,2.45997
11.1824,0.0479629086512,0.07516217231750488,0.00228753255215,0.368476746715,11.2062,-1.16415321827e-10,-0.00228753266856,0.0,37.03933072090149,153.307680492,0.8008489608764648,18.69989848136902,106.42776560783386,736.239424234,0.810023,2474.043443918228,0.0,20.733046054840088,2800.0,2.41434,1.0367469787597656,1600.0,540.285714286,25.5714285714,0.80918,0.00421562697738,24.25788116455078,2.6077016102e-08,1400,1400,2.41647
