0MinReturn,1AveragePolicyStd,1Entropy,0EnvExecTime,1EnvExecTime,1NumTrajs,LossAfter,0StdReturn,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,0Perplexity,1ProcessExecTime,0Entropy,LossBefore,0AverageReturn,0ExplainedVariance,ItrTime,1Perplexity,MeanKL,Time,1StdReturn,0MaxReturn,dLoss,0NumTrajs,MeanKLBefore,0ProcessExecTime,1ExplainedVariance,1MaxReturn,ComputeUpdatedDistTime,1MinReturn,1PolicyExecTime
0.0,0.998311,2.8341,23.456724882125854,23.682496070861816,400,-0.00772181525826,364.197405263,0.999826,671.5,2.9450478553771973,17.0721,0.32207155227661133,2.83744,-3.72529007642e-10,389.5,0.116362168978,65.8808000087738,17.0152,0.00685268966481,700.0328185558319,663.617171267,2100.0,0.00772181488574,400,9.08039421432e-10,0.37706542015075684,0.146475510598,3500.0,0.39840054512023926,0.0,11.382088422775269
0.0,1.0031,2.84372,22.959819793701172,24.057623147964478,400,-0.00785468798131,479.426741015,1.00605,969.5,3.2074661254882812,17.2856,0.3242149353027344,2.84987,4.42378467191e-10,560.0,0.174751022077,66.04015040397644,17.1796,0.00677455822006,766.8750469684601,918.433312767,3800.0,0.00785468842369,400,2.3748707445e-09,0.3554112911224365,0.207819598731,5500.0,0.3409440517425537,0.0,11.783554792404175
0.0,1.00685,2.85124,22.79063105583191,23.486567735671997,400,-0.00876480527222,422.076340844,1.00761,915.0,2.9124011993408203,17.3396,0.32527804374694824,2.85299,1.5541445908e-09,468.75,0.158695290912,64.76850867271423,17.3093,0.0064733014442,831.6483702659607,937.26997178,2600.0,0.00876480682637,400,7.15663528439e-09,0.3555018901824951,0.195071208604,4400.0,0.3970968723297119,0.0,11.311546087265015
0.0,1.00648,2.85043,23.17043399810791,23.515987873077393,400,-0.00864591449499,427.021954939,1.00635,677.5,3.2739064693450928,17.2943,0.304673433303833,2.85038,1.7462298274e-09,523.5,0.175085130103,65.48823618888855,17.2953,0.00667107990012,897.8625013828278,563.554567012,2200.0,0.00864591624122,400,4.14438705576e-09,0.38973259925842285,0.184719750979,3000.0,0.37337684631347656,0.0,11.307856798171997
0.0,1.00152,2.84043,22.657680988311768,23.902292251586914,400,-0.00923864077777,465.498657356,1.00513,937.25,2.788059711456299,17.2519,0.30252599716186523,2.84792,-1.09430398076e-09,581.0,0.16927567979,65.0229742527008,17.1232,0.00666648615152,962.8910052776337,822.518958748,2500.0,0.00923863968346,400,9.08036312808e-10,0.3568882942199707,0.188793369575,5300.0,0.36163902282714844,0.0,11.611085891723633
0.0,0.994149,2.82575,22.82252073287964,24.214978218078613,400,-0.00786419771612,488.038868841,0.999616,1032.75,3.277397632598877,17.0632,0.32483911514282227,2.83692,-1.09430398076e-09,645.75,0.179942740269,66.90296411514282,16.8735,0.00837915856391,1030.6003682613373,926.527084062,2600.0,0.00786419662181,400,-6.51925791129e-10,0.35500168800354004,0.183295226687,4800.0,0.34297919273376465,0.0,11.63514518737793
0.0,0.997161,2.83162,22.946291208267212,23.57357954978943,400,-0.00822195224464,463.940728973,1.00158,825.0,2.8704652786254883,17.1279,0.3027381896972656,2.84071,2.39815567404e-09,603.0,0.183839758891,64.86935639381409,16.9729,0.00638824747875,1095.4776961803436,650.134601448,2500.0,0.0082219546428,400,-4.00468680439e-09,0.3748962879180908,0.199237501374,3800.0,0.3951125144958496,0.0,11.065608978271484
0.0,0.995453,2.8283,22.687779664993286,23.33592963218689,400,-0.00933979637921,540.351505966,1.001,1248.75,3.171274423599243,17.1075,0.3075289726257324,2.83952,-1.26892718555e-09,729.5,0.20126498373,64.2141330242157,16.9166,0.00683772284538,1160.419343471527,1191.95152481,3600.0,0.00933979511028,400,-5.16884135493e-09,0.3538689613342285,0.203722040145,6900.0,0.33650732040405273,0.0,11.045242309570312
0.0,0.992993,2.82313,22.794928312301636,24.59253430366516,400,-0.0113005908206,596.261477877,0.994223,1646.5,2.845968246459961,16.877,0.36011266708374023,2.82595,-4.87489215661e-10,741.5,0.168932824921,67.37645125389099,16.8294,0.00997246801853,1227.8053424358368,1188.98601758,4300.0,0.0113005903331,400,-9.11531916614e-09,0.3454744815826416,0.269388553868,6500.0,0.36109089851379395,0.0,12.668275356292725
0.0,0.980863,2.79877,23.648771047592163,24.658893823623657,400,-0.00771094020456,711.221440551,0.9836,1305.5,3.4175121784210205,16.5159,0.346027135848999,2.80432,-4.00468680439e-09,713.75,0.120946646325,68.90340805053711,16.4244,0.00653031887487,1297.627679347992,961.649494359,4700.0,0.00771093619987,400,8.18400458513e-09,0.37845706939697266,0.271892274997,4400.0,0.37121105194091797,0.0,12.485264301300049
0.0,0.981922,2.80036,23.933348894119263,25.903956651687622,400,-0.0114274760708,582.149250622,0.98271,1630.25,3.197049140930176,16.4817,0.342395544052124,2.80225,3.32365734934e-09,726.5,0.168198915687,71.95842242240906,16.4506,0.00940801296383,1369.5947608947754,1654.19464922,3200.0,0.0114274793945,400,-1.60420228212e-08,0.37377071380615234,0.245564768374,8000.0,0.3176863193511963,0.0,13.755750179290771
0.0,0.966879,2.76982,24.873760223388672,25.84728217124939,400,-0.000222246570047,607.218607669,0.967337,1560.25,4.019658803939819,15.9749,0.3450765609741211,2.77102,-6.4028438107e-10,703.25,0.152634733503,73.81412982940674,15.9558,0.00277556572109,1444.2950716018677,1187.60049575,4100.0,0.000222245929763,400,9.7788876996e-10,0.3789560794830322,0.287153191568,6200.0,0.38913559913635254,0.0,13.657146692276001
0.0,0.960819,2.75728,24.847837686538696,27.275105953216553,400,-0.00907048676163,643.761941637,0.963094,1763.75,4.1696977615356445,15.8359,0.3693840503692627,2.76228,2.0721926397e-09,769.25,0.168853867444,76.06845664978027,15.7568,0.00659487349913,1520.3696177005768,1639.05794208,3500.0,0.00907048883382,400,-2.32830379976e-10,0.39112138748168945,0.267856412423,7900.0,0.39046692848205566,0.0,14.672581672668457
0.0,0.949171,2.73326,25.1427960395813,26.246337413787842,400,-0.00690137222409,697.631528817,0.951254,1651.5,4.115540027618408,15.4522,0.3569202423095703,2.73775,1.62981450558e-09,835.5,0.162662738184,74.87321639060974,15.3829,0.00794370193034,1596.06338429451,1473.65116293,4400.0,0.00690137385391,400,3.35276184593e-09,0.39293456077575684,0.211418972265,7200.0,0.387906551361084,0.0,14.253523826599121
0.0,0.936036,2.70403,24.789759635925293,25.808913230895996,400,-0.00927944947034,828.944773492,0.936575,2149.75,4.0223634243011475,14.9682,0.3555283546447754,2.70593,-2.30502328336e-09,949.25,0.158273421109,73.12383222579956,14.9399,0.00689722783864,1669.192753314972,1675.63418964,4900.0,0.00927944716532,400,-7.72999353416e-09,0.3900737762451172,0.329035639045,7100.0,0.4014463424682617,0.0,13.631560325622559
0.0,0.925678,2.68222,24.85145115852356,25.764934062957764,400,-0.00863875448704,716.779908689,0.929246,1673.75,4.1527276039123535,14.737,0.34224915504455566,2.69036,2.45490783257e-09,861.25,0.155670030023,73.76405596733093,14.6175,0.0068153757602,1743.8879482746124,1366.72452875,3600.0,0.00863875694195,400,-8.47503756063e-09,0.3860163688659668,0.258571449382,6800.0,0.3809928894042969,0.0,14.121434450149536
0.0,0.920456,2.67079,24.80556583404541,26.535656929016113,400,-0.00795037485659,717.777124183,0.919722,2034.25,4.250387907028198,14.4322,0.37775230407714844,2.66946,-4.15602663395e-09,764.0,0.137198620302,78.1625292301178,14.4514,0.00724478811026,1822.063844203949,1273.20537915,3500.0,0.00795037070056,400,9.68575530891e-09,0.3838179111480713,0.275345959709,6500.0,0.3730742931365967,0.0,14.775500774383545
0.0,0.914739,2.65791,25.640575647354126,27.49643850326538,400,-0.00836975313723,829.088317069,0.919135,1784.0,3.735069513320923,14.4084,0.34905314445495605,2.66781,-1.23982313305e-09,925.25,0.156584842699,79.01431679725647,14.2665,0.00990476179868,1902.0382287502289,1486.70575434,4000.0,0.00836975189741,400,-4.2840841985e-09,0.4098989963531494,0.287989167909,6700.0,0.4937558174133301,0.0,15.54685640335083
0.0,0.926573,2.68302,25.647132873535156,27.38328242301941,400,-0.0112754981965,923.209618667,0.928392,1733.5,4.19226861000061,14.6901,0.3556666374206543,2.68717,-1.25728560896e-09,872.0,0.117763344711,78.78146243095398,14.6292,0.00945351272821,1980.8324608802795,1224.85825711,4100.0,0.0112754969392,400,2.88709967045e-09,0.3932039737701416,0.277213236749,6700.0,0.5201749801635742,0.0,15.649687051773071
0.0,0.91543,2.65884,25.519035577774048,27.97022032737732,400,-0.00923093874007,947.047913255,0.919796,2103.75,4.035652160644531,14.4232,0.3929765224456787,2.66884,-1.42026712613e-09,1024.5,0.145371488792,79.8618905544281,14.2797,0.00689594168216,2061.617269515991,1611.33824429,5400.0,0.00923093731981,400,5.49480372314e-09,0.3969883918762207,0.270355096403,7700.0,1.3142499923706055,0.0,16.012903451919556
0.0,0.919141,2.66669,26.65330195426941,28.863178968429565,400,-0.0102774426341,957.51602467,0.918264,1526.5,4.6295576095581055,14.3726,0.37325382232666016,2.66532,1.59488999785e-09,924.25,0.128668030047,83.00336980819702,14.3922,0.00823963712901,2144.632295846939,1187.37009816,3900.0,0.010277444229,400,1.5832486433e-09,0.38796496391296387,0.213727673896,6700.0,0.49202609062194824,0.0,16.11901879310608
