ExplainedVariance,TotalExecTime,NumTrajs,MeanKL,Entropy,LossBefore,LossAfter,StdReturn,MaxKL,Time,MaxReturn,MinReturn,ItrTime,AveragePolicyStd,AverageReturn,Perplexity
0.995098692512,25.410894870758057,200,0.0315198,2.41654,0.00103871,-0.00550722,115.325625947,0.311692,1050.649436712265,3000.0,2300.0,25.60081934928894,0.810182,2680.0,11.207
0.99444229678,26.17598295211792,200,0.0193648,2.41706,-0.00775115,-0.0121394,119.915595316,0.096952,1077.0566370487213,2900.0,2200.0,26.400306701660156,0.81046,2670.5,11.2128
0.994546143509,26.135128498077393,200,0.0225197,2.41318,-0.0107457,-0.0150639,115.325625947,0.143471,1103.4477977752686,3000.0,2300.0,26.373624324798584,0.80883,2670.0,11.1695
0.994921173599,27.199913024902344,200,0.00561687,2.40781,-0.0120329,-0.014105,115.662223738,0.056507,1130.9439015388489,3000.0,2400.0,27.469730854034424,0.80673,2683.5,11.1096
0.994109205925,26.353806495666504,200,0.0359314,2.40179,-0.0119369,-0.0176458,115.047816146,0.175337,1157.5098359584808,2900.0,2300.0,26.55004620552063,0.804275,2658.0,11.043
0.995352303676,26.1747567653656,200,0.0106545,2.39583,0.00131141,-0.00158281,104.288062596,0.107692,1183.8674194812775,2900.0,2400.0,26.351101398468018,0.801925,2682.0,10.9773
0.993690570622,26.85880208015442,200,0.0458286,2.39648,0.00533895,-0.00299813,126.328935719,0.320833,1211.0364620685577,3000.0,2300.0,27.136387586593628,0.8022,2679.0,10.9845
0.994808376861,28.27852725982666,200,0.0124239,2.39915,-0.0154069,-0.0182543,117.792189894,0.0900264,1239.5838000774384,3000.0,2300.0,28.538737535476685,0.803226,2675.0,11.0138
0.99409754997,27.210669994354248,200,0.00542483,2.39145,-0.0166633,-0.0192533,120.406602809,0.0508204,1267.0241816043854,2900.0,2200.0,27.421588897705078,0.800183,2676.5,10.9293
0.99487618809,27.08868098258972,200,0.00121475,2.38312,0.00376864,0.00309122,113.185688141,0.00717893,1294.3784227371216,3000.0,2300.0,27.339099645614624,0.796836,2683.0,10.8386
