Perplexity,StdReturn,LossBefore,ExplainedVariance,LossAfter,Time,TotalExecTime,MeanKL,ItrTime,MaxReturn,Entropy,MaxKL,AveragePolicyStd,NumTrajs,AverageReturn,MinReturn
4.82354,111.22499719,0.00534255,0.99484090018,-0.0316874,538.2922291755676,13.376634120941162,0.633064,13.459917783737183,3000.0,1.57351,4.48959,0.53143,200,2673.0,2300.0
4.83644,121.530860278,-1.72295e-06,0.995186846663,-0.0230114,551.8806619644165,13.498185873031616,0.276132,13.581003904342651,3000.0,1.57618,1.70581,0.53214,200,2680.5,2300.0
4.83643,118.86862496,-0.016491,0.994324349262,-0.0538304,565.2835812568665,13.334160089492798,0.396662,13.399127006530762,2900.0,1.57618,6.33758,0.53214,200,2679.5,2300.0
4.79672,114.764977236,-0.0164506,0.994817688486,-0.0299513,578.684294462204,13.314352750778198,0.16887,13.394539833068848,2900.0,1.56793,1.32462,0.529953,200,2677.0,2400.0
4.75743,110.905365064,0.00324544,0.995128252712,-0.0298484,592.1262943744659,13.344221830368042,0.403604,13.431246280670166,2900.0,1.55971,3.92415,0.527779,200,2670.0,2300.0
4.76515,119.078755452,-0.0101609,0.994784694086,-0.0239139,605.5659160614014,13.345030784606934,0.259194,13.434550046920776,2900.0,1.56133,3.37244,0.528209,200,2670.5,2200.0
4.741,125.07597691,-0.00116488,0.994677443993,-0.011292,617.5618572235107,11.91136622428894,0.11633,11.983203649520874,3100.0,1.55625,1.37204,0.526877,200,2684.0,2300.0
4.73824,112.959063381,-0.00445092,0.994871950151,-0.0127381,629.6035528182983,11.957295656204224,0.077251,12.038054466247559,2900.0,1.55567,0.606295,0.526722,200,2690.5,2400.0
4.72771,118.405025231,-0.00486725,0.994954472804,-0.008743,641.6174018383026,11.954598188400269,0.0348598,12.006233215332031,2900.0,1.55344,0.608195,0.526131,200,2669.5,2300.0
4.71622,117.233740877,-0.00993582,0.994674060885,-0.0347947,653.6997928619385,12.010082006454468,0.380989,12.077098369598389,3000.0,1.55101,2.76392,0.525493,200,2697.5,2300.0
4.69285,128.572936499,-0.00172371,0.994034864587,-0.0298063,665.6955857276917,11.913883209228516,0.556628,11.991243362426758,2900.0,1.54604,3.60762,0.524191,200,2663.0,2200.0
