0AverageReturn,1MinReturn,1Perplexity,1ExplainedVariance,0PolicyExecTime,1AverageReturn,1NumTrajs,1EnvExecTime,dLoss,0NumTrajs,1Entropy,0Entropy,MeanKL,LossBefore,ItrTime,0ProcessExecTime,1MaxReturn,0Perplexity,1AveragePolicyStd,0ExplainedVariance,0StdReturn,1PolicyExecTime,0EnvExecTime,1ProcessExecTime,0MinReturn,0AveragePolicyStd,MeanKLBefore,LossAfter,0MaxReturn,Time,1StdReturn,ComputeUpdatedDistTime
162.0,0.0,13.7941,0.326285416269,3.363894462585449,505.5,200,3.438762903213501,0.00556787685491,200,2.62424,2.63395,0.00862376112491,-3.0267983675e-09,16.747164249420166,0.1344757080078125,2800.0,13.9286,0.901586,0.0820486745856,426.563008241,5.598982095718384,3.2057785987854004,0.13897466659545898,0.0,0.905787,-7.45058059692e-09,-0.00556787988171,2200.0,363.2246448993683,893.711222935,0.08281779289245605
199.5,0.0,13.6832,0.31736980591,3.4725770950317383,635.5,200,2.570985794067383,0.00901181204244,200,2.61617,2.61496,0.0076595316641,-1.39698386192e-09,15.38567042350769,0.14013934135437012,2800.0,13.6667,0.897641,0.0659162303226,484.716154053,5.158010721206665,3.029723644256592,0.11066532135009766,0.0,0.896903,8.41340885849e-17,-0.00901181343943,2400.0,379.06225323677063,955.714261691,0.10506224632263184
220.0,0.0,13.3131,0.238531643385,2.5870890617370605,464.5,200,2.335472583770752,0.00482821254991,200,2.58875,2.58983,0.0096392724663,-2.32830643654e-10,12.556155443191528,0.11597561836242676,2700.0,13.3275,0.884944,0.0672340445213,503.289181286,3.879948139190674,2.645836114883423,0.10006880760192871,0.0,0.885084,3.07336449623e-08,-0.00482821278274,2100.0,392.12899518013,812.151309794,0.10070681571960449
202.5,0.0,13.3295,0.311119480366,2.2645742893218994,586.5,200,2.6589090824127197,0.00588945671916,200,2.58998,2.59763,0.00700096134096,-2.79396772385e-09,12.58239197731018,0.10686326026916504,2700.0,13.4318,0.885221,0.0921773235385,544.374641217,4.280358076095581,2.3352372646331787,0.1136009693145752,0.0,0.888452,9.31322574615e-10,-0.00588945951313,2300.0,405.2488467693329,942.638716582,0.07861733436584473
170.0,0.0,13.2381,0.213287198801,3.247689962387085,433.5,200,3.5663487911224365,0.00558396335691,200,2.5831,2.58551,0.00553823728114,-1.39698386192e-09,16.97047734260559,0.13367509841918945,2600.0,13.2701,0.881972,0.0769428167785,497.091540865,5.786599397659302,3.14052152633667,0.14598655700683594,0.0,0.882961,0.0,-0.0055839647539,2300.0,422.5845081806183,841.800302922,0.09788203239440918
159.0,0.0,13.6315,0.13715455035,3.5142180919647217,293.5,200,3.2052717208862305,0.00774175632978,200,2.61238,2.60569,0.00940797198564,4.24915924668e-09,16.590585470199585,0.14649605751037598,2700.0,13.5405,0.894348,0.0655311461553,436.942788017,5.237045764923096,3.4317522048950195,0.13309240341186523,0.0,0.891322,9.31322574615e-10,-0.00774175208062,1800.0,439.5631124973297,703.283548791,0.08043694496154785
243.0,0.0,13.3561,0.233206055432,3.4791440963745117,430.5,200,3.146385431289673,0.00469046831131,200,2.59197,2.59609,0.00759275769815,9.31322574615e-10,16.390114068984985,0.14198851585388184,2700.0,13.4112,0.885818,0.0952297277643,566.701861652,5.247678518295288,3.311037063598633,0.12595772743225098,0.0,0.887335,1.67638098958e-08,-0.00469046737999,2400.0,456.35074758529663,895.499720826,0.09492778778076172
251.0,0.0,13.6158,0.197433563736,3.5595738887786865,413.0,200,3.485307455062866,0.00642914324999,200,2.61123,2.60598,0.0071847718209,-1.86264514923e-09,17.530139207839966,0.14767789840698242,2600.0,13.5445,0.894461,0.0921659427318,582.837026964,5.77053689956665,3.502232313156128,0.14300775527954102,0.0,0.891853,1.86264514923e-09,-0.00642914511263,2100.0,474.48991227149963,869.615432246,0.0892636775970459
237.0,0.0,13.2933,0.322917138036,3.4522581100463867,733.5,200,3.632963180541992,0.00856025028042,200,2.58726,2.58032,0.00743551971391,6.98491930962e-10,17.528005123138428,0.1446084976196289,2900.0,13.2014,0.883829,0.0811973485348,579.681809271,5.876128911972046,3.380316734313965,0.14960265159606934,0.0,0.880686,3.72529029846e-09,-0.00856024958193,2300.0,492.3784108161926,1048.01133105,0.08523321151733398
239.0,0.0,12.9918,0.182022964676,3.499324083328247,509.0,200,3.5405805110931396,0.00864038802683,200,2.56432,2.56792,0.00986292399466,-1.86264514923e-09,17.542400360107422,0.14507222175598145,2600.0,13.0387,0.873344,0.0936018809966,589.134110369,5.879518747329712,3.4090511798858643,0.14810514450073242,0.0,0.875001,-1.86264514923e-09,-0.00864038988948,2500.0,510.2954807281494,907.038587933,0.08500909805297852
313.5,0.0,12.8265,0.35423766776,3.6169533729553223,778.5,200,3.8569488525390625,0.00774577958509,200,2.55151,2.5486,0.00876611843705,3.72529029846e-09,18.605032444000244,0.15492486953735352,2700.0,12.7892,0.868336,0.0910479379611,691.569049336,6.213698625564575,3.5897727012634277,0.15540504455566406,0.0,0.866618,-1.86264492719e-09,-0.0077457758598,2700.0,529.2592334747314,1068.35750103,0.09853816032409668
339.5,0.0,12.3079,0.106076503675,3.3512699604034424,400.0,200,2.6604738235473633,0.00586669903714,200,2.51024,2.51294,0.00488749146461,-1.2805685401e-09,14.822983264923096,0.14121770858764648,2600.0,12.3412,0.850449,0.0972317380773,728.759047971,4.397125482559204,3.3240065574645996,0.11101341247558594,0.0,0.851489,0.0,-0.00586670031771,2500.0,544.7469322681427,761.117599324,0.0854196548461914
377.5,0.0,12.2104,0.195733550704,2.395068883895874,493.5,200,2.709559440612793,0.00312803359702,200,2.50229,2.49693,0.00627484638244,-1.86264514923e-09,12.977398872375488,0.10610818862915039,2800.0,12.1451,0.847097,0.116400503924,748.828251337,4.421715974807739,2.417196750640869,0.11213254928588867,0.0,0.844942,0.0,-0.00312803545967,2600.0,558.0709500312805,895.493020632,0.11077523231506348
373.0,0.0,11.7645,0.153181617498,2.5574042797088623,545.0,200,2.3940553665161133,0.00763186207041,200,2.46509,2.48737,0.006275692489,-1.86264514923e-09,12.570981979370117,0.11391544342041016,2600.0,12.0296,0.831817,0.083647309826,743.082095061,4.045845985412598,2.536968469619751,0.09711408615112305,0.0,0.841072,-1.86264492719e-09,-0.00763186393306,2500.0,571.007340669632,902.371874562,0.0834817886352539
366.5,0.0,11.9644,0.198962389942,2.4515881538391113,563.0,200,2.3024544715881348,0.00441024266183,200,2.48194,2.48726,0.00688256602734,-4.19095158577e-09,11.948450088500977,0.10473990440368652,2700.0,12.0283,0.837985,0.0729273691137,760.084041406,3.767805337905884,2.329571485519409,0.0935826301574707,0.0,0.840291,0.0,-0.00441024685279,2600.0,583.3667094707489,990.571047427,0.0818183422088623
352.5,0.0,11.725,0.19752226642,2.7070152759552,586.0,200,2.427938222885132,0.00157552678138,200,2.46172,2.46703,0.00309354695491,-2.79396772385e-09,12.906150341033936,0.10776376724243164,2700.0,11.7874,0.829619,0.0764081905427,744.240384553,4.284621715545654,2.4180045127868652,0.09966278076171875,0.0,0.831901,0.0,-0.00157552957535,2500.0,596.631552696228,1022.15654378,0.10259699821472168
