MeanKL,1Perplexity,0Perplexity,LossBefore,0ExplainedVariance,0EnvExecTime,ComputeUpdatedDistTime,0Entropy,Time,1PolicyExecTime,0NumTrajs,1StdReturn,0PolicyExecTime,0ProcessExecTime,1ExplainedVariance,0AveragePolicyStd,1EnvExecTime,dLoss,0MinReturn,1MaxReturn,LossAfter,ItrTime,0AverageReturn,1AveragePolicyStd,0MaxReturn,1NumTrajs,1AverageReturn,1Entropy,0StdReturn,1ProcessExecTime,MeanKLBefore,1MinReturn
0.00653570890427,16.6444,16.7283,-2.21189122573e-10,0.0452061204281,21.140389442443848,0.2932455539703369,2.8171,718.6620101928711,12.30750036239624,400,400.69190159,1.996488094329834,0.34308528900146484,0.0579589944932,0.989721,26.83755898475647,0.00823903527344,0.0,3600.0,-0.00823903549463,66.126784324646,203.5,0.98739,2700.0,400,236.0,2.81207,320.449293961,0.34822702407836914,-1.29803101601e-09,0.0
0.00676584336907,16.8858,16.803,-2.4796462661e-09,0.027973810091,17.852602243423462,0.2964925765991211,2.82156,782.6866765022278,12.33565902709961,400,248.819085884,1.8048343658447266,0.2810091972351074,0.0744501484662,0.991874,27.65009617805481,0.00901899611345,0.0,2000.0,-0.00901899859309,63.447710275650024,99.75,0.994443,1400.0,400,156.25,2.82647,197.673815919,0.35655879974365234,-6.05359540273e-10,0.0
0.00679002190009,16.5985,16.7114,-2.14204209925e-09,0.0372649993776,17.666510105133057,0.29613399505615234,2.81609,848.8154480457306,12.93964147567749,400,308.22059876,1.7417397499084473,0.28209614753723145,0.0399891220754,0.989172,29.763278245925903,0.00912011666223,0.0,3200.0,-0.00912011880428,66.12323069572449,125.5,0.986026,2100.0,400,162.25,2.80931,261.246531077,0.3969724178314209,-2.56113752428e-09,0.0
0.00680592376739,16.6972,16.8105,-1.51339926702e-10,0.0335762354017,18.734395027160645,0.27010178565979004,2.822,915.6272583007812,12.83741307258606,400,393.082688502,1.798201084136963,0.2805817127227783,0.0711122495288,0.992105,28.864985942840576,0.00735398832476,0.0,2000.0,-0.0073539884761,66.11513638496399,199.5,0.988854,2300.0,400,294.0,2.81524,313.288604964,0.39386653900146484,-1.09430398076e-09,0.0
0.0090656299144,16.6223,16.5898,-3.03844016614e-09,0.0427681120058,20.698654890060425,0.2923431396484375,2.80879,982.6697039604187,12.487047672271729,400,318.711370208,1.9157679080963135,0.3144807815551758,0.0642829473636,0.985643,28.003072261810303,0.0107029524981,0.0,2400.0,-0.0107029555365,67.03601861000061,218.5,0.986756,1800.0,400,228.25,2.81075,310.495974209,0.38199687004089355,4.30154667441e-09,0.0
0.00675064697862,16.3352,16.3346,-1.68802216649e-09,0.0493179330216,17.521833419799805,0.3045642375946045,2.79329,1046.2857348918915,12.253169059753418,400,390.544411687,1.7399225234985352,0.276439905166626,0.0768086632339,0.978117,27.511396884918213,0.00933656858979,0.0,2200.0,-0.00933657027781,62.94085645675659,181.0,0.978218,1500.0,400,299.75,2.79332,250.876463623,0.3763298988342285,-2.61934296475e-09,0.0
0.00696305185556,16.5142,16.4526,1.95577731787e-09,0.0461143945496,16.61706519126892,0.27530574798583984,2.80048,1109.2959067821503,12.267945528030396,400,307.216434293,1.7416713237762451,0.26717448234558105,0.0591496895307,0.981665,28.481738567352295,0.00797242121771,0.0,1700.0,-0.00797241926193,62.997838735580444,190.25,0.983588,1800.0,400,245.75,2.80422,301.960158796,0.3775031566619873,-3.30910632229e-09,0.0
0.00931432843208,16.3177,16.3273,-6.6356736772e-10,0.0329755538746,17.040095567703247,0.2708156108856201,2.79284,1175.6994044780731,12.827757358551025,400,499.715919298,1.7591524124145508,0.2633829116821289,0.0874624100595,0.977966,30.238513708114624,0.00941074852599,0.0,3500.0,-0.00941074918956,65.68931674957275,222.25,0.977726,2700.0,400,328.0,2.79225,410.036507521,0.39159607887268066,8.61473281599e-10,0.0
0.00959271099418,16.206,16.1669,-1.86264514923e-09,0.0519562886471,16.499197483062744,0.3139224052429199,2.78297,1237.7713763713837,12.825839757919312,400,422.201373754,1.6553423404693604,0.2653040885925293,0.0668288757511,0.973161,27.17436718940735,0.00990498997271,0.0,2800.0,-0.00990499183536,62.06688952445984,221.0,0.974422,1800.0,400,286.0,2.78538,320.482448817,0.3711555004119873,1.39698211332e-10,0.0
0.0070204148069,16.3214,16.3874,1.07684111628e-10,0.0390750725775,22.031997203826904,0.27945566177368164,2.79651,1308.2108719348907,12.928597450256348,400,524.340001812,1.9783899784088135,0.3279266357421875,0.0672097473785,0.979624,29.165075302124023,0.00810135446081,0.0,4200.0,-0.00810135435313,69.76411485671997,254.25,0.977771,2900.0,400,335.25,2.79248,445.40087281,0.37891483306884766,-3.37604416645e-10,0.0
0.00991628319025,16.5879,16.3804,2.32830643654e-09,0.0270680743208,18.08763813972473,0.31151747703552246,2.79608,1374.4611167907715,12.984084844589233,400,550.739900044,1.7632777690887451,0.2771308422088623,0.065724035746,0.979377,29.472978830337524,0.0105692525394,0.0,4200.0,-0.0105692502111,66.2424259185791,201.5,0.985728,2800.0,400,340.75,2.80867,389.933007067,0.3997468948364258,-1.36904363401e-08,0.0
0.00648322608322,16.5075,16.4313,-1.03609631985e-09,0.028392875955,17.30135440826416,0.2817046642303467,2.79919,1440.2527832984924,12.847248792648315,400,439.402932967,1.6843290328979492,0.2471938133239746,0.0790630541346,0.980898,29.49700093269348,0.00804655615939,0.0,3900.0,-0.00804655719548,65.16347670555115,196.5,0.983277,2500.0,400,287.75,2.80382,372.273756797,0.39438629150390625,6.51925935458e-09,0.0
0.00675761234015,16.4692,16.4694,3.51574280799e-09,0.0390790549828,16.499309301376343,0.315201997756958,2.80151,1505.2845532894135,12.644098043441772,400,736.965229845,1.6250426769256592,0.23918557167053223,0.0642954837562,0.982071,30.26481342315674,0.00787982323673,0.0,4400.0,-0.00787981972098,65.02668571472168,260.25,0.982115,3800.0,400,413.5,2.80149,474.283604503,0.38480138778686523,-8.38190350461e-10,0.0
