MinReturn,AveragePolicyStd,LossBefore,NumTrajs,MaxReturn,AverageReturn,ItrTime,TotalExecTime,MaxKL,ExplainedVariance,Time,Entropy,MeanKL,StdReturn,Perplexity,LossAfter
2400.0,0.729307,-0.00615413,200,2900.0,2672.5,13.699652433395386,13.606216669082642,0.755953,0.994890640788,609.5757393836975,2.20223,0.0515302,108.599033145,9.04513,-0.0133967
2300.0,0.728188,-0.0256472,200,2900.0,2681.0,13.66035532951355,13.545262575149536,0.295665,0.994434019275,623.2430598735809,2.19915,0.0339034,123.040643691,9.01735,-0.0306107
2300.0,0.723557,-0.0179536,200,2900.0,2663.5,14.033159255981445,13.961547136306763,2.01553,0.994196795704,637.2896456718445,2.18633,0.15106,124.570261299,8.90245,-0.0356923
2400.0,0.720009,-0.0131866,200,3000.0,2688.5,15.502418756484985,15.38309121131897,0.636306,0.99460326817,652.8010063171387,2.17735,0.0466765,114.095354857,8.82289,-0.0198711
2300.0,0.717825,-0.0147897,200,2900.0,2674.0,13.654544115066528,13.583812475204468,1.35632,0.99493896119,666.4650504589081,2.17076,0.149634,113.683771929,8.76491,-0.0354079
2300.0,0.715008,-0.00899059,200,3000.0,2681.0,14.209965705871582,14.108061790466309,1.26777,0.994122918092,680.6847467422485,2.16336,0.129764,120.991735255,8.70033,-0.0210494
2300.0,0.713464,-0.0112961,200,3000.0,2685.5,13.507540702819824,13.378488302230835,0.777906,0.994968709184,694.1990559101105,2.15887,0.157731,116.360431419,8.66131,-0.0251464
2300.0,0.711576,-0.00299205,200,3000.0,2680.5,14.246357679367065,14.112925291061401,2.29757,0.995089182347,708.4603514671326,2.15322,0.179262,107.56277237,8.61253,-0.0257005
2400.0,0.711029,-0.00595187,200,3000.0,2686.0,14.80620265007019,14.666966438293457,1.2042,0.99520579875,723.2690644264221,2.15172,0.165035,114.47270417,8.59965,-0.0195334
2300.0,0.710083,0.00158791,200,3000.0,2679.5,14.194765090942383,14.059221982955933,0.355012,0.995202567592,737.4740478992462,2.14875,0.0455988,115.454536507,8.5741,-0.00389337
2300.0,0.710427,-0.0101091,200,3000.0,2674.5,14.48638653755188,14.411583423614502,0.33004,0.995033414928,751.9712738990784,2.14954,0.0657515,114.454139287,8.58091,-0.017659
