0MaxReturn,0Perplexity,0MinReturn,1MaxReturn,0AveragePolicyStd,0Entropy,1PolicyExecTime,1ProcessExecTime,0PolicyExecTime,MeanKLBefore,1Entropy,1EnvExecTime,0ExplainedVariance,0ProcessExecTime,Time,1MinReturn,MeanKL,0NumTrajs,0EnvExecTime,0AverageReturn,1NumTrajs,LossBefore,ItrTime,1AverageReturn,1StdReturn,0StdReturn,1ExplainedVariance,LossAfter,ComputeUpdatedDistTime,1AveragePolicyStd,dLoss,1Perplexity
1500.0,15.1797,0.0,1900.0,0.943145,2.71996,3.6798789501190186,0.09662461280822754,1.5887861251831055,-2.79396794589e-09,2.72695,2.368389368057251,0.100699794873,0.06772255897521973,153.98720049858093,0.0,0.00915713235736,120,1.5447883605957031,56.6666666667,120,2.64117261395e-09,10.029767751693726,160.0,463.033476112,247.902310509,0.288838416524,-0.00995345786214,0.08617901802062988,0.946361,0.00995346050331,15.2862
1800.0,14.9738,0.0,2100.0,0.936712,2.7063,3.610635280609131,0.08576750755310059,2.107992649078369,-1.30385169328e-08,2.696,2.2059619426727295,0.162700169138,0.09224128723144531,165.21046042442322,0.0,0.00805291626602,120,2.151357889175415,52.5,120,0.0,10.942772150039673,115.0,372.525166935,231.287159177,0.231836532599,-0.00868353620172,0.09951591491699219,0.931798,0.00868353620172,14.8203
1700.0,14.6947,0.0,2800.0,0.927876,2.68749,3.7246713638305664,0.09089970588684082,2.101450204849243,5.37764277553e-17,2.68221,2.359245777130127,0.156668853618,0.08684515953063965,176.77043461799622,0.0,5.37764277553e-17,120,2.1239848136901855,60.0,120,-1.80443748832e-09,11.281449317932129,226.666666667,559.722153295,258.327956933,0.452452206832,-2.56113708019e-09,0.09375238418579102,0.925397,7.56699591875e-10,14.6174
900.0,14.6947,0.0,2100.0,0.927876,2.68749,3.8226318359375,0.0952458381652832,2.238861083984375,-1.49011647466e-08,2.68106,2.3922576904296875,0.0516658140784,0.09150862693786621,188.78366017341614,0.0,0.00839507766068,120,2.2171905040740967,19.1666666667,120,-1.62981450558e-09,11.72236704826355,133.333333333,395.671019353,105.905487215,0.381359782299,-0.00887738633901,0.29787302017211914,0.925128,0.00887738470919,14.6005
1200.0,14.6281,0.0,1400.0,0.925614,2.68295,3.4552860260009766,0.08454203605651855,2.04455828666687,-1.86264514923e-09,2.67897,2.125354290008545,0.136393571731,0.08541440963745117,199.8393590450287,0.0,0.00877574458718,120,2.101304292678833,35.0,120,9.31322574615e-10,10.743649005889893,80.0,286.821663524,164.646085084,0.173234367571,-0.00947009958327,0.09462332725524902,0.923818,0.00947010051459,14.5701
800.0,14.6524,0.0,2300.0,0.926752,2.68461,3.500657081604004,0.08579015731811523,2.1693241596221924,0.0,2.69109,2.191805839538574,0.0800765388412,0.09185791015625,211.01461958885193,0.0,0.00940109882504,120,2.1967053413391113,19.1666666667,120,-1.86264514923e-09,10.897351264953613,200.0,543.13902456,100.246224645,0.326973204754,-0.0106773432344,0.08147168159484863,0.929762,0.0106773413718,14.7477
1400.0,14.4034,0.0,2600.0,0.918868,2.66747,3.518676519393921,0.0824122428894043,2.225017547607422,-1.86264537128e-09,2.67787,2.1179351806640625,0.127983958478,0.0960531234741211,222.36668515205383,0.0,0.00701143080369,120,2.3278865814208984,50.8333333333,120,-8.14907252789e-10,11.07398247718811,318.333333333,730.751135628,221.357867616,0.363107786258,-0.0106216687709,0.09728193283081055,0.923618,0.010621667956,14.554
1300.0,14.1592,0.0,1500.0,0.911065,2.65037,3.510251998901367,0.08566570281982422,2.1349525451660156,0.0,2.64888,2.201922655105591,0.0986691639089,0.09156250953674316,233.52183413505554,0.0,0.00640015257522,120,2.1774890422821045,37.5,120,1.86264514923e-09,10.873968839645386,95.0,318.289700326,193.245310422,0.237627221325,-0.010331613943,0.10074019432067871,0.910303,0.0103316158056,14.1381
1600.0,13.8183,0.0,2600.0,0.899972,2.62599,3.7022504806518555,0.09303426742553711,2.1538798809051514,0.0,2.62327,2.316101312637329,0.0840256352158,0.08445596694946289,244.85875272750854,0.0,0.00688138743863,120,2.0364174842834473,39.1666666667,120,3.25962901115e-09,11.056555271148682,186.666666667,520.885997337,194.634629213,0.317223853196,-0.00761248543859,0.09747529029846191,0.898871,0.00761248869821,13.7807
1200.0,13.5017,0.0,2600.0,0.889738,2.60282,3.716888189315796,0.08800482749938965,2.15205979347229,5.58793589178e-09,2.59937,2.236232042312622,0.0692350327395,0.09201788902282715,256.5534725189209,0.0,0.00816065073013,120,2.2191479206085205,65.8333333333,120,9.31322574615e-10,11.196238994598389,428.333333333,691.518056324,243.753917347,0.333022877501,-0.0074993353337,0.08254194259643555,0.88811,0.00749933626503,13.4552
1600.0,13.2765,0.0,2600.0,0.882154,2.58599,3.5031590461730957,0.0850367546081543,1.9945571422576904,9.31322574615e-10,2.59494,2.1440563201904297,0.129350340399,0.08249568939208984,267.2982895374298,0.0,0.00678351102397,120,1.9635372161865234,114.166666667,120,-2.09547579288e-09,10.466155529022217,480.833333333,787.855299038,349.832301094,0.425904501105,-0.0115644335747,0.09903168678283691,0.886255,0.0115644314792,13.3957
1300.0,13.2708,0.0,2700.0,0.882225,2.58556,3.6705191135406494,0.0882563591003418,2.042113780975342,0.0,2.58437,2.279381513595581,0.101604867664,0.08112621307373047,278.32294726371765,0.0,0.00858271215111,120,1.9066171646118164,96.6666666667,120,-2.79396772385e-09,10.742068529129028,438.333333333,698.830372042,282.233158143,0.401446935564,-0.00855726189911,0.08242106437683105,0.881905,0.00855725910515,13.2549
1700.0,13.0645,0.0,2700.0,0.875583,2.56989,3.3805739879608154,0.07816839218139648,2.1793019771575928,0.0,2.55753,1.9810795783996582,0.117092070581,0.0941321849822998,289.39072942733765,0.0,0.00658465083688,120,2.2599196434020996,88.3333333333,120,6.51925802231e-09,10.747953176498413,377.5,721.279245508,274.524842025,0.360289733578,-0.00712728500366,0.12493777275085449,0.870148,0.00712729152292,12.9039
2100.0,12.8083,0.0,2800.0,0.866903,2.55009,3.2848570346832275,0.08013391494750977,2.0337228775024414,1.86264514923e-09,2.55361,2.0388271808624268,0.183156491755,0.08740520477294922,300.00149393081665,0.0,0.00930979661644,120,2.0575807094573975,137.5,120,2.09547579288e-09,10.326241970062256,713.333333333,963.062245594,390.739149988,0.481985443266,-0.00934775732458,0.09955406188964844,0.868611,0.00934775942005,12.8535
1600.0,13.4227,0.0,2800.0,0.88755,2.59695,3.7997872829437256,0.09468913078308105,2.144702672958374,1.86264514923e-09,2.58713,2.3595197200775146,0.11999534585,0.305739164352417,312.02220726013184,0.0,0.00673169130459,120,2.2304937839508057,85.8333333333,120,-1.57160684466e-09,11.742012739181519,527.5,925.829582951,302.846449909,0.424364494662,-0.010106369853,0.10652422904968262,0.883019,0.0101063682814,13.2916
1600.0,13.2849,0.0,2600.0,0.883134,2.58663,3.9177427291870117,0.09876394271850586,2.0408148765563965,-7.45058059692e-09,2.59344,2.4954097270965576,0.077868169401,0.08750748634338379,323.8017089366913,0.0,0.00883676763624,120,2.093740463256836,90.0,120,5.82076609135e-10,11.498830080032349,485.833333333,873.908446133,310.751776611,0.35675735335,-0.0121558494866,0.09896111488342285,0.886306,0.0121558500687,13.3757
1600.0,13.3031,0.0,2500.0,0.883591,2.588,3.562833070755005,0.08938264846801758,1.9162423610687256,0.0,2.59029,2.1973514556884766,0.112494805687,0.07594418525695801,334.45675230026245,0.0,0.00626201136038,120,1.8592653274536133,119.166666667,120,-5.82076609135e-10,10.376464128494263,278.333333333,633.138127812,340.660102676,0.386697045783,-0.00633490039036,0.08639168739318848,0.88432,0.00633489980828,13.3336
1500.0,13.3806,0.0,2700.0,0.885985,2.5938,3.4654743671417236,0.08245587348937988,2.147648811340332,0.0,2.58269,2.0576491355895996,0.128417820797,0.09082841873168945,345.4549024105072,0.0,0.00681854085997,120,2.2175827026367188,115.0,120,-4.65661287308e-10,10.708882570266724,677.5,959.293359718,339.030480439,0.45889280055,-0.00798452273011,0.08742809295654297,0.881627,0.00798452226445,13.2327
1700.0,13.3847,0.0,2600.0,0.886033,2.59411,3.4869155883789062,0.08607888221740723,2.15716552734375,0.0,2.58554,2.1715915203094482,0.138362342525,0.09105420112609863,356.62941312789917,0.0,0.00951852835715,120,2.218346357345581,115.833333333,120,-4.65661287308e-09,10.906847715377808,432.5,724.702525178,349.045324978,0.372462652472,-0.0156816300005,0.10306239128112793,0.882317,0.0156816253439,13.2704
1500.0,13.3185,0.0,2300.0,0.883436,2.58915,3.6531965732574463,0.09133219718933105,2.2349042892456055,0.0,2.56625,2.289161205291748,0.0751508752291,0.09219145774841309,368.1865520477295,0.0,0.007225160487,120,2.165729522705078,52.5,120,-6.51925802231e-09,11.273151159286499,450.0,738.466880323,223.219809455,0.348626750152,-0.00979536771774,0.09484028816223145,0.873462,0.00979536119848,13.0169
