0MinReturn,0Perplexity,0ExplainedVariance,1Perplexity,1AveragePolicyStd,ComputeUpdatedDistTime,1MaxReturn,0StdReturn,1PolicyExecTime,MeanKL,0MaxReturn,1NumTrajs,dLoss,1ExplainedVariance,1EnvExecTime,1AverageReturn,0ProcessExecTime,LossAfter,0AverageReturn,0EnvExecTime,Time,LossBefore,MeanKLBefore,1StdReturn,1MinReturn,0AveragePolicyStd,ItrTime,0Entropy,1ProcessExecTime,0PolicyExecTime,1Entropy,0NumTrajs
-228.109224665,78905.2,0.236176086903,80141.5,0.992777,0.17747807502746582,113.589613263,54.0019957679,34.9680016040802,0.0079479617998,204.850166883,200,0.0139703575987,0.180908170572,86.16537761688232,0.7615709868,0.6598227024078369,-0.0139703601599,-0.130671533434,86.50642919540405,7093.043885469437,-2.56113708019e-09,-5.8205273934e-11,52.3774566881,-213.101314287,0.990849,235.02457475662231,11.276,0.6225764751434326,18.251217365264893,11.2915,200
-186.784851735,79805.8,0.168329647798,80314.8,0.993091,0.1117713451385498,137.707298541,48.4124078193,27.42451047897339,0.00776096666232,149.85599947,200,0.0141018794384,0.184312547192,86.18324303627014,-2.0291837567,0.6345558166503906,-0.0141018750146,0.0691297153045,84.95284628868103,7320.966354370117,4.42378222942e-09,2.74158757918e-08,54.7555032154,-161.79817721,0.992264,227.4630241394043,11.2874,0.6409866809844971,19.11223292350769,11.2937,200
-155.683817389,80057.1,0.152820052671,80803.5,0.993851,0.09592914581298828,124.133959711,52.1305902649,27.34070348739624,0.0076270410791,149.556527072,200,0.011802005014,0.164350913632,85.86549997329712,2.93120599031,0.6560978889465332,-0.011801995337,1.28640916777,86.2798490524292,7560.094632863998,9.67702362686e-09,2.45053879411e-08,51.6001871525,-157.19074918,0.992692,238.6835629940033,11.2905,0.6168262958526611,30.067002058029175,11.2998,200
-118.744840255,78669.5,0.162326903537,79119.8,0.991243,0.09964156150817871,153.015537667,45.2698893312,26.52501606941223,0.00821970403194,149.832732393,200,0.0124791522976,0.163600503931,86.94708824157715,-1.81540572225,0.6420092582702637,-0.0124791525304,4.56383583204,85.64756751060486,7787.7871198654175,-2.32830643654e-10,-6.98491597895e-10,51.7186349214,-196.110547669,0.990504,227.26981711387634,11.273,0.6416664123535156,19.391125917434692,11.2787,200
-191.844637379,78395.1,0.168856930285,78671.3,0.990519,0.13567233085632324,149.210470534,54.3805504531,28.43384313583374,0.00838324055076,182.334990101,200,0.014104119502,0.157754749171,85.31481122970581,6.84062905404,0.6513857841491699,-0.0141041157767,1.38611713922,85.56886339187622,8021.726627826691,3.72529029846e-09,-2.65426614021e-08,47.7452040261,-114.663793238,0.99009,233.44420552253723,11.2695,0.623725175857544,24.7479305267334,11.273,200
-164.878146208,78622.6,0.162074544675,79493.2,0.991869,0.10426831245422363,168.811347641,47.6876813014,33.26621055603027,0.00880390685052,149.524737678,200,0.0140604069456,0.166234233838,83.48503589630127,-1.26199356907,0.5997617244720459,-0.0140604125336,2.06903459386,82.00857377052307,8244.47086763382,-5.58793544769e-09,6.22822371454e-09,55.7024383172,-190.469262169,0.990453,222.30178499221802,11.2724,0.6069629192352295,15.781071424484253,11.2834,200
-128.596533207,78091.9,0.162691996143,78606.4,0.99046,0.11963462829589844,103.636124403,49.3072558465,23.13758134841919,0.00836167018861,113.982240709,200,0.0127312601544,0.170649218788,82.84658598899841,-2.88168850287,0.609581470489502,-0.0127312680706,-0.777060664929,83.51191854476929,8458.507132291794,-7.91624188423e-09,-3.30037295271e-08,51.4184478226,-167.763530899,0.989647,213.53226590156555,11.2656,0.5789461135864258,15.893689393997192,11.2722,200
-195.156141468,78446.6,0.165403866475,77855.8,0.989256,0.12103962898254395,173.937424844,51.6060716127,23.802289247512817,0.00752324284986,189.59021071,200,0.0133113168413,0.165815294095,82.91698169708252,2.81164996912,0.6247234344482422,-0.0133113143966,-1.45577156157,83.72607064247131,8675.700298786163,2.44472175837e-09,2.64554103069e-08,51.9490316262,-122.261736438,0.990189,216.7496840953827,11.2702,0.6032900810241699,16.363282442092896,11.2626,200
-184.731421212,80662.5,0.188933658533,81703.8,0.995174,0.1158905029296875,155.214912003,47.9512818947,28.689091205596924,0.00815027486533,134.724684723,200,0.0137875664368,0.20736895647,83.2112786769867,-4.36593561219,0.6121423244476318,-0.0137875657529,-1.37002623791,81.94077229499817,8900.606103897095,6.83940015733e-10,-4.56202222665e-08,53.3670128877,-141.192552339,0.993587,224.4832582473755,11.298,0.6026895046234131,21.005608558654785,11.3109,200
-198.260121794,81894.4,0.169581875119,81839.0,0.995454,0.11109519004821777,129.622374736,50.6816422782,23.408361196517944,0.00817845296115,159.439596709,200,0.013985797239,0.162592276936,84.13730311393738,8.44719247999,0.6119987964630127,-0.0139857912436,3.47571658308,83.95709609985352,9122.35180258751,5.99538907409e-09,9.77888880982e-09,49.8185393201,-145.206132651,0.995526,221.33212423324585,11.3132,0.5966763496398926,21.301618576049805,11.3125,200
-192.681395286,81998.2,0.193297985845,80911.1,0.994018,0.09293317794799805,159.657929891,51.7430112509,23.717812061309814,0.00817745644599,117.335657293,200,0.014329681042,0.166954400441,83.04610776901245,3.81867940723,0.5974140167236328,-0.0143296774477,-5.9581323401,83.23138666152954,9337.264669656754,3.59432306141e-09,-3.02097902249e-08,49.786419193,-160.964357883,0.995656,214.50856757164001,11.3145,0.5847518444061279,15.821255207061768,11.3011,200
-144.613422212,80723.4,0.157569606262,82046.6,0.995804,0.09717869758605957,140.756957394,43.794860127,29.488678216934204,0.00771931186318,143.672115732,200,0.0127017337363,0.189881183596,82.32679748535156,-5.3276454996,0.5993781089782715,-0.0127017293125,-0.117931106978,81.95123744010925,9555.494966745377,4.42378222942e-09,-1.96451068746e-08,47.9257569066,-183.766313192,0.993728,217.78018927574158,11.2988,0.586961030960083,16.039616107940674,11.315,200
-196.39365874,79559.2,0.174855670775,79640.4,0.992066,0.10684895515441895,163.837435063,46.2218567708,28.26764416694641,0.00771360471845,124.305121276,200,0.0125336169731,0.158424048437,83.76124715805054,3.71913167767,0.6123652458190918,-0.0125336190686,-1.81184296554,83.07586622238159,9780.319761037827,-2.09547579288e-09,-3.84170739665e-09,48.0884513332,-190.210957542,0.991902,224.3888988494873,11.2843,0.5954811573028564,21.361595153808594,11.2853,200
-109.917368013,79298.6,0.149413416994,79369.1,0.991661,0.09186410903930664,151.665127809,46.1487585822,23.44290828704834,0.00815465021878,131.191325206,200,0.0129789333732,0.177759648169,83.16566705703735,-0.854587470848,0.6252901554107666,-0.0129789244384,2.42497692728,83.5745632648468,9994.303943157196,8.93487595022e-09,2.32825980717e-10,52.4490046864,-209.882147547,0.991531,213.2895793914795,11.281,0.58284592628479,15.921723365783691,11.2819,200
-158.086389581,80457.7,0.153642136069,79813.3,0.992455,0.09404492378234863,204.829655329,48.997503689,23.46057105064392,0.00746760657057,158.141056109,200,0.0134241074484,0.149790943263,82.16310691833496,3.99452590116,0.6197223663330078,-0.0134241003543,6.48289395182,82.57004499435425,10206.425651550293,7.09405867383e-09,8.58560333938e-09,46.7273928768,-139.912495436,0.993378,211.64095616340637,11.2955,0.5918500423431396,16.128039360046387,11.2874,200
