LossBefore,AveragePolicyStd,MaxKL,LossAfter,AverageReturn,MeanKL,NumTrajs,ItrTime,ExplainedVariance,StdReturn,MaxReturn,Time,Perplexity,Entropy,MinReturn
-0.0122214,0.835469,0.0566225,-0.015326,2678.0,0.0145053,200,16.35169744491577,0.994162015641,124.963994815,3000.0,544.5122375488281,11.8966,2.47625,2300.0
-0.0033804,0.832802,0.0950642,-0.00750095,2671.0,0.0204624,200,16.606709003448486,0.994720084398,116.871724553,3100.0,561.4410834312439,11.8241,2.47014,2300.0
-0.0120702,0.832096,0.0062785,-0.012638,2685.5,0.00124508,200,16.11452841758728,0.994603199024,116.789340267,3000.0,577.7558078765869,11.8041,2.46845,2300.0
0.000516862,0.829639,0.0725151,-0.00619584,2667.5,0.0195083,200,16.27541160583496,0.994356901568,123.66790206,3000.0,594.2345023155212,11.7331,2.46241,2300.0
-0.0123374,0.829707,0.123784,-0.0164694,2687.0,0.0228446,200,16.284751653671265,0.994243450729,118.02965729,3000.0,610.7154171466827,11.7361,2.46267,2200.0
0.000583449,0.827117,0.0109237,-0.000992149,2678.5,0.00249907,200,16.23526620864868,0.995049243707,113.524226489,2900.0,627.1697161197662,11.6639,2.4565,2400.0
0.000756795,0.827376,0.0954365,-0.00390772,2685.5,0.0144225,200,16.27361249923706,0.995253756523,117.2166797,3000.0,643.6308169364929,11.6674,2.45679,2400.0
-0.00170685,0.82753,0.0379974,-0.00353935,2679.5,0.0104445,200,16.238239526748657,0.994538161548,113.26848635,2900.0,660.067946434021,11.6718,2.45717,2300.0
-0.00989021,0.827172,0.0434789,-0.0143074,2689.5,0.0123989,200,16.1985867023468,0.994974272077,122.228270052,3000.0,676.4550430774689,11.6618,2.45632,2200.0
-0.0141842,0.825095,0.0366979,-0.0162126,2669.5,0.00897939,200,16.537899494171143,0.994667453195,114.104119119,3000.0,693.1994588375092,11.6043,2.45137,2400.0
-0.0174216,0.822179,0.00824136,-0.0187541,2671.0,0.00247362,200,16.53405475616455,0.995282537141,107.046718773,2900.0,709.9118809700012,11.5223,2.44428,2400.0
-0.012352,0.818795,0.0214335,-0.0136367,2686.5,0.00351606,200,16.536413192749023,0.994815656045,114.750816991,3000.0,726.6410055160522,11.4223,2.43557,2300.0
-0.000861427,0.816246,0.0416186,-0.00337914,2682.5,0.0066661,200,16.22403311729431,0.995775233366,101.2114124,2900.0,743.1698534488678,11.352,2.4294,2400.0
-0.0085283,0.816233,0.0323064,-0.0117543,2683.0,0.00818955,200,16.230653285980225,0.995703443,112.743070741,2900.0,759.5842537879944,11.3471,2.42897,2400.0
0.0149569,0.814362,0.00470786,0.0143939,2681.0,0.000641954,200,16.36221194267273,0.995116973679,111.081051489,2900.0,776.1511306762695,11.2989,2.4247,2300.0
-0.00375728,0.817491,0.176962,-0.0112129,2691.0,0.0374305,200,16.190510272979736,0.995253982908,114.973910084,3000.0,792.536509513855,11.3837,2.43218,2400.0
-0.0137401,0.816833,0.00701284,-0.01483,2678.0,0.00155415,200,16.291364192962646,0.994629806782,129.290370871,3000.0,809.0188646316528,11.3623,2.4303,2200.0
-0.00248078,0.814095,0.0523672,-0.00514008,2700.5,0.0145051,200,16.136319875717163,0.995625175835,112.025666702,3000.0,825.3496286869049,11.2845,2.42343,2400.0
