0AveragePolicyStd,0PolicyExecTime,LossBefore,0Perplexity,ComputeUpdatedDistTime,1Perplexity,1MaxReturn,0EnvExecTime,0ProcessExecTime,0AverageReturn,ItrTime,1AveragePolicyStd,0NumTrajs,1ExplainedVariance,MeanKLBefore,0MaxReturn,dLoss,MeanKL,0Entropy,Time,1StdReturn,1Entropy,1NumTrajs,1AverageReturn,0StdReturn,0ExplainedVariance,1PolicyExecTime,0MinReturn,LossAfter,1EnvExecTime,1MinReturn,1ProcessExecTime
0.8802,36.68734550476074,3.14321368933e-09,13.2302,0.1284923553466797,13.2581,2800.0,22.194944620132446,1.1019244194030762,41.25,155.36819982528687,0.881109,1200,0.534491442322,1.86264437207e-09,1900.0,0.00907729601022,0.00758648477495,2.5825,2331.453500509262,1053.99280187,2.58461,1200,971.583333333,210.887262536,0.0949901714249,62.93895864486694,0.0,-0.009077292867,24.758195877075195,0.0,1.226456642150879
0.864335,38.46399211883545,-1.45519152284e-09,12.7584,0.13250231742858887,12.7272,3000.0,23.408740043640137,1.128366470336914,38.0833333333,147.55220413208008,0.863292,1200,0.537276007986,-3.72528874415e-09,1700.0,0.00869014899945,0.00666381418705,2.54619,2482.2243790626526,1079.41210529,2.54374,1200,954.416666667,203.735105113,0.114243800454,52.134689807891846,0.0,-0.00869015045464,24.02167797088623,0.0,1.0817768573760986
0.853887,42.483593463897705,-4.07453626394e-09,12.4522,0.1518235206604004,12.5263,2800.0,22.506981134414673,1.0973682403564453,23.5,155.386869430542,0.856446,1200,0.554190157089,0.0,1700.0,0.0088523250306,0.00678055407479,2.5219,2640.863319158554,1087.20947269,2.52783,1200,1063.25,156.677215957,0.0772924194696,56.809075117111206,0.0,-0.00885232910514,24.118107557296753,0.0,1.1111125946044922
0.843093,48.86233067512512,-2.61934474111e-10,12.1401,0.21490955352783203,12.1682,2600.0,24.906279802322388,1.231477975845337,13.25,157.29879903793335,0.844079,1200,0.547422767449,-8.32667268469e-17,1700.0,0.00843126114341,0.0064709498547,2.49651,2801.193396806717,962.418824138,2.49883,1200,916.583333333,122.267892351,0.0626371057893,50.08933901786804,0.0,-0.00843126140535,24.113213300704956,0.0,1.1656770706176758
0.839496,44.7380096912384,-2.32830643654e-10,12.0368,0.13132572174072266,12.0564,2400.0,23.75314450263977,1.1716630458831787,3.33333333333,151.7929241657257,0.840179,1200,0.579072630345,0.0,1100.0,0.0064267211128,0.00647954363376,2.48797,2956.960374355316,754.778439713,2.48959,1200,413.583333333,49.0464632319,0.0380358324203,51.81374454498291,0.0,-0.00642672134563,23.183324098587036,0.0,1.0893447399139404
0.831879,45.63586449623108,-1.7462298274e-10,11.8191,0.190382719039917,11.8958,2300.0,22.34627342224121,1.1166057586669922,1.5,156.21280074119568,0.83458,1200,0.540739412656,0.0,900.0,0.0144002286834,0.00993212033063,2.46972,3116.2930393218994,670.077602264,2.47618,1200,455.416666667,31.8499084248,0.0168323655894,55.96823048591614,0.0,-0.014400228858,24.096790313720703,0.0,1.0944535732269287
0.825726,37.93158292770386,0.0,11.6452,0.17297863960266113,11.6451,1900.0,23.577020406723022,1.137908697128296,0.416666666667,153.31738901138306,0.825724,1200,0.395058258533,0.0,500.0,0.00743597745895,0.00941621232778,2.45489,3273.3081181049347,365.077151283,2.45488,1200,119.416666667,14.427741411,0.00741003700004,58.47385931015015,0.0,-0.00743597745895,24.734258890151978,0.0,1.229947566986084
0.81876,44.22680711746216,-7.56699591875e-10,11.4493,0.1266040802001953,11.4856,2800.0,23.678447008132935,1.1923153400421143,10.0,159.6652865409851,0.820061,1200,0.584926342324,3.72528874415e-09,1600.0,0.00440674059791,0.00648671155795,2.43793,3435.56915140152,1037.80536336,2.4411,1200,596.833333333,104.16333328,0.0516113039383,57.99707007408142,0.0,-0.00440674135461,24.33522343635559,0.0,1.178152084350586
0.807521,35.384990215301514,-1.62981450558e-09,11.1356,0.20416688919067383,11.179,2800.0,23.3998544216156,1.1865456104278564,10.9166666667,165.1371567249298,0.809095,1200,0.592283151848,0.0,1600.0,0.00363155337982,0.00768339633942,2.41015,3603.8372950553894,1094.15873315,2.41403,1200,630.0,107.962152576,0.0476280968643,68.84074568748474,0.0,-0.00363155500963,27.9127254486084,0.0,1.5028913021087646
0.793189,35.846532106399536,4.65661287308e-10,10.7417,0.14246106147766113,10.7808,2900.0,22.633578538894653,1.1857120990753174,15.4166666667,140.97419834136963,0.79463,1200,0.592294309075,3.72528874415e-09,1400.0,0.00489132944494,0.00641556922346,2.37414,3748.4253890514374,1050.78578732,2.37777,1200,602.75,124.782449576,0.0651571618879,53.35431718826294,0.0,-0.00489132897928,22.266220092773438,0.0,1.0248236656188965
0.784572,42.088117837905884,2.79396772385e-09,10.5055,0.13454008102416992,10.5224,2900.0,22.841898441314697,1.1107592582702637,14.3333333333,154.13054370880127,0.785245,1200,0.590607690243,-2.98023099532e-08,1700.0,0.00333777535707,0.00670314999297,2.3519,3905.318258523941,1124.23098408,2.3535,1200,647.833333333,131.191547831,0.0557529022341,57.58383870124817,0.0,-0.0033377725631,24.529828548431396,0.0,1.183985710144043
0.766164,35.1120343208313,-2.32830643654e-10,10.012,0.1704695224761963,10.0333,2800.0,23.916643619537354,1.1959598064422607,10.4166666667,155.86148810386658,0.767031,1200,0.554497949825,0.0,1900.0,0.00563720869832,0.00734604243189,2.30378,4064.3002309799194,950.831858018,2.30591,1200,537.666666667,110.603615322,0.0425978943368,64.64692330360413,0.0,-0.00563720893115,24.01547074317932,0.0,1.1246402263641357
0.762553,31.056790590286255,4.65661287308e-10,9.91042,0.13828420639038086,9.88135,2800.0,22.883079528808594,1.1093580722808838,5.75,149.48056316375732,0.761496,1200,0.562741089356,0.0,1400.0,0.00615997100249,0.00844979286194,2.29359,4216.533573627472,927.862504032,2.29065,1200,524.416666667,79.9495934949,0.0290345695524,61.97190046310425,0.0,-0.00615997053683,24.110711812973022,0.0,1.1657843589782715
0.753624,31.18268060684204,-2.32830643654e-10,9.68284,0.1292264461517334,9.68207,2600.0,22.95179772377014,1.1573350429534912,4.16666666667,147.3913130760193,0.753594,1200,0.601565638747,0.0,1200.0,0.00534917670302,0.0070298477076,2.27036,4366.667238235474,920.163013939,2.27028,1200,525.166666667,62.3108248131,0.0272265540427,60.1219687461853,0.0,-0.00534917693585,23.612982749938965,0.0,1.1061334609985352
0.745092,38.20759391784668,1.39698386192e-09,9.46094,0.4590749740600586,9.46104,2600.0,23.177015781402588,1.1235995292663574,1.41666666667,154.76998019218445,0.745095,1200,0.607485843217,0.0,800.0,0.00780206220224,0.00922693964094,2.24717,4524.445566892624,842.436792881,2.24718,1200,475.5,29.5464558882,0.0112695374729,59.04220485687256,0.0,-0.00780206080526,24.464595556259155,0.0,1.1656744480133057
0.73531,37.653385162353516,-1.86264514923e-09,9.21966,0.13154840469360352,9.23217,2600.0,25.06002688407898,1.2773196697235107,1.33333333333,160.03360605239868,0.735843,1200,0.626177019243,0.0,1600.0,0.00362539384514,0.00416219653562,2.22134,4686.7928194999695,942.828354238,2.22269,1200,538.833333333,46.1687725151,0.00805924104601,63.50693964958191,0.0,-0.00362539570779,24.598974466323853,0.0,1.1985602378845215
0.7249,37.94224810600281,5.82076609135e-11,8.96981,0.19134950637817383,8.96981,600.0,22.86408567428589,1.1869986057281494,0.0,146.74935603141785,0.7249,1200,0.012658031065,0.0,0.0,0.00234249193454,0.00521117262542,2.19386,4836.544278144836,24.474476501,2.19386,1200,1.0,0.0,1,53.051798582077026,0.0,-0.00234249187633,23.54768681526184,0.0,1.1296682357788086
0.731726,41.062066078186035,-9.31322574615e-10,9.1389,0.14574790000915527,9.12999,2800.0,23.47678279876709,1.1949779987335205,24.6666666667,158.99307799339294,0.731369,1200,0.578368218327,0.0,1900.0,0.00420799199492,0.00858344510198,2.21254,4998.860975027084,1094.19071756,2.21156,1200,630.083333333,176.186138943,0.0747741574048,60.94775390625,0.0,-0.00420799292624,25.042510747909546,0.0,1.2288239002227783
0.722958,43.31948709487915,8.14907252789e-10,8.90696,0.1704120635986328,8.94873,2900.0,24.204611778259277,1.305849313735962,14.0,149.9247739315033,0.724645,1200,0.56435086038,7.4505774883e-09,2000.0,0.0024135740241,0.00888934265822,2.18683,5151.403964519501,1144.46052308,2.19151,1200,659.666666667,131.861037965,0.0473993035914,48.656388998031616,0.0,-0.0024135732092,23.542095184326172,0.0,1.073725700378418
0.709671,43.30205464363098,-2.67027644441e-09,8.56595,0.27303361892700195,8.59037,3000.0,22.150508880615234,1.1042556762695312,9.91666666667,158.93872451782227,0.710662,1200,0.57935265932,0.0,1800.0,0.00374223374092,0.00953671336174,2.14779,5312.861494541168,1118.18401574,2.15064,1200,644.416666667,114.20738325,0.0357994819274,62.414544343948364,0.0,-0.0037422364112,23.15363359451294,0.0,1.0303945541381836
0.691585,45.507259130477905,-1.22236087918e-09,8.12233,0.18848371505737305,8.13972,2900.0,22.9253671169281,1.1112220287322998,8.08333333333,150.51815748214722,0.692308,1200,0.571250408364,0.0,2100.0,0.00335125875426,0.00979303661734,2.09462,5466.33994269371,1113.58518858,2.09676,1200,641.166666667,103.16488286,0.0282221395929,51.674489974975586,0.0,-0.00335125997663,23.291517972946167,0.0,1.0536410808563232
