1Perplexity,MeanKLBefore,0ExplainedVariance,1StdReturn,0MaxReturn,LossBefore,0NumTrajs,dLoss,Time,0AveragePolicyStd,0AverageReturn,1AverageReturn,1PolicyExecTime,1Entropy,0PolicyExecTime,1ProcessExecTime,1NumTrajs,0StdReturn,1AveragePolicyStd,MeanKL,0EnvExecTime,0Entropy,1ExplainedVariance,1MinReturn,ComputeUpdatedDistTime,0Perplexity,1MaxReturn,ItrTime,0MinReturn,0ProcessExecTime,1EnvExecTime,LossAfter
17.1059,2.35013397631e-10,0.00539312691573,45.3038353785,1100.0,3.95812105314e-10,400,-6.98491819939e-11,5354.7065687179565,1.0,4.75,4.75,52.00631546974182,2.83942,17.70683526992798,1.6425800323486328,400,57.9002374779,1.00078,-3.87080978381e-10,45.355207204818726,2.83788,0.00947267144652,0.0,0.3556709289550781,17.0795,600.0,177.67807602882385,0.0,1.7504651546478271,45.33750581741333,4.65661287308e-10
17.1147,6.08852079864e-09,0.00635594655225,125.137674183,700.0,-1.88592830241e-09,400,4.42378134125e-10,5541.598632574081,1.0,7.0,10.75,58.04083490371704,2.83994,16.19977355003357,1.7778210639953613,400,56.1337688027,1.00104,5.44823475224e-09,47.03408861160278,2.83788,0.0158964542891,0.0,0.41318392753601074,17.0795,2400.0,185.61427521705627,0.0,1.7465710639953613,47.6940233707428,-2.32830643654e-09
17.0854,2.09547601493e-10,0.00886440514375,44.8434777866,800.0,9.2550178632e-10,400,9.0221830007e-11,5726.211923837662,1.0,3.5,3.75,55.84413385391235,2.83822,17.53863501548767,1.7412083148956299,400,49.8773495687,1.00017,1.57160590097e-10,46.934059143066406,2.83788,0.00742183613809,0.0,0.3962845802307129,17.0795,600.0,183.44754123687744,0.0,1.753171682357788,47.6174156665802,8.35279956313e-10
17.0855,3.12866232921e-10,0.0087265044209,17.9843682124,700.0,-6.51925791129e-10,400,9.3132279666e-11,5908.497967481613,1.0,3.75,1.25,55.45686721801758,2.83823,16.23317813873291,1.7074930667877197,400,40.7546009673,1.00018,2.6193359981e-11,47.29138207435608,2.83788,0.00396638429271,0.0,0.35593724250793457,17.0795,300.0,180.57325983047485,0.0,1.9039342403411865,46.00923538208008,-7.45058070795e-10
17.0763,-8.19830592302e-10,0.00343609859724,73.9526875779,600.0,2.06637221223e-10,400,6.40284353315e-11,6081.736640691757,1.0,4.5,9.0,50.06958484649658,2.83769,13.760249614715576,1.7504711151123047,400,44.4943816678,0.99991,-7.0341499292e-10,45.68362474441528,2.83788,0.0102755003951,0.0,0.4735753536224365,17.0795,1100.0,172.17996621131897,0.0,1.6721210479736328,45.750784397125244,1.42608785891e-10
17.0699,-2.48178172457e-10,0.0039487846738,0.0,200.0,0.0,400,0.0,6261.916253566742,1.0,1.0,0.0,48.70569562911987,2.83732,23.736347198486328,1.7329227924346924,400,12.2065556157,0.999722,-3.71753357264e-11,45.65621304512024,2.83788,1,0.0,0.3671097755432129,17.0795,0.0,179.08889436721802,0.0,1.6680898666381836,45.89919710159302,0.0
17.0574,3.49239526187e-11,0.0128405548118,46.5805753507,500.0,-4.65661120774e-11,400,5.00585878305e-10,6455.802664041519,1.0,5.75,5.5,52.11724305152893,2.83658,21.356632947921753,1.8035197257995605,400,45.1878025578,0.999361,-5.56465007406e-09,46.58843541145325,2.83788,0.00452326675531,0.0,0.43296146392822266,17.0795,600.0,192.75616431236267,0.0,1.7125434875488281,47.83734154701233,-5.47151990382e-10
17.081,-3.08500613944e-10,0.00505783049645,51.3997811279,1000.0,9.31322241549e-11,400,-2.77555756156e-17,6644.860768556595,1.0,8.0,5.75,55.454017639160156,2.83797,19.558984518051147,1.6990063190460205,400,72.0138875496,1.00005,-1.10594630676e-10,46.82387328147888,2.83788,0.00797099940748,0.0,0.4165346622467041,17.0795,600.0,187.94547247886658,0.0,1.6934068202972412,47.73239874839783,9.31322519104e-11
17.0934,-2.85217516272e-10,0.0161071469499,42.7200187266,500.0,-2.02562655538e-09,400,2.21189067062e-10,6834.320202589035,1.0,4.5,5.0,55.81212568283081,2.83869,20.10693621635437,1.8826889991760254,400,37.8120351211,1.00041,5.87897119875e-10,46.8864860534668,2.83788,0.00547715713746,0.0,0.42111802101135254,17.0795,600.0,187.50113320350647,0.0,1.8498117923736572,48.237515449523926,-2.24681562244e-09
17.0866,-4.65661328941e-11,0.00461890829044,62.6293661153,700.0,1.17579479486e-09,400,-1.16415765916e-11,7023.537009716034,1.0,3.0,7.25,55.291110038757324,2.83829,19.416393518447876,1.8342399597167969,400,42.9068759058,1.00021,1.39698377866e-10,46.637861490249634,2.83788,0.0139102292995,0.0,0.43807458877563477,17.0795,700.0,188.10360288619995,0.0,1.7653522491455078,47.79650139808655,1.18743637145e-09
