LossBefore,1AveragePolicyStd,MeanKLBefore,0EnvExecTime,1ExplainedVariance,0AveragePolicyStd,LossAfter,0MinReturn,0ExplainedVariance,MeanKL,1Entropy,0NumTrajs,0StdReturn,1Perplexity,Time,ComputeUpdatedDistTime,1EnvExecTime,0PolicyExecTime,0AverageReturn,1PolicyExecTime,1StdReturn,1MaxReturn,1MinReturn,0MaxReturn,0Entropy,dLoss,1NumTrajs,ItrTime,0Perplexity,1AverageReturn,1ProcessExecTime,0ProcessExecTime
-3.76894604415e-09,0.942484,-4.65661342819e-10,3.890671968460083,0.357282639321,0.950277,-0.00703246658668,0.0,0.279168368082,0.00707639800385,2.71906,320,501.686121837,15.1661,228.01563501358032,0.2548506259918213,3.78253173828125,1.1532573699951172,242.1875,4.587462663650513,814.007975621,2800.0,0.0,2400.0,2.73587,0.00703246281773,320,15.564276456832886,15.4232,531.875,0.12023234367370605,0.1427631378173828
-7.56699591875e-10,0.953626,5.82076664646e-10,4.295689821243286,0.285140176676,0.954222,-0.00816155411303,0.0,0.0889758197465,0.00667086848989,2.74267,320,458.20546275,15.5285,246.57488441467285,0.25222277641296387,4.527463674545288,1.6631596088409424,175.9375,5.459576368331909,823.292207296,2700.0,0.0,2100.0,2.74416,0.00816155335633,320,18.04684090614319,15.5515,451.5625,0.14357805252075195,0.14479804039001465
-1.92085281014e-09,0.949683,-1.16415332929e-09,4.253085613250732,0.302539291537,0.948907,-0.00749995466322,0.0,0.0652467259343,0.00731667224318,2.73451,320,380.104709052,15.4022,262.813072681427,0.24849963188171387,3.456768751144409,1.2989158630371094,107.1875,4.259282827377319,697.593449721,2800.0,0.0,2100.0,2.73299,0.00749995274236,320,15.26029658317566,15.3788,290.9375,0.11033248901367188,0.15134263038635254
-1.52795109898e-09,0.956167,7.45240136268e-09,3.5445051193237305,0.223238523435,0.957342,-0.00829851161689,0.0,0.124917890621,0.00928842369467,2.74781,320,437.146173887,15.6085,278.27631306648254,0.23911595344543457,3.7896203994750977,1.0341641902923584,155.3125,4.727248668670654,723.99924195,2800.0,0.0,2000.0,2.75069,0.00829851008893,320,14.985663652420044,15.6534,389.6875,0.1212160587310791,0.13779282569885254
-5.82076609135e-09,0.948144,4.4237831176e-09,3.9319870471954346,0.227897244514,0.949223,-0.00561120128259,0.0,0.148201281452,0.00761545263231,2.73115,320,496.347597456,15.3505,294.29403948783875,0.2473461627960205,3.722677230834961,1.1615417003631592,196.25,4.68246865272522,775.443358566,2700.0,0.0,2400.0,2.73363,0.00561119546182,320,15.449280261993408,15.3887,390.3125,0.12662935256958008,0.13905835151672363
-1.04773789644e-09,0.943692,2.91038260158e-09,3.516753673553467,0.295397247404,0.948098,-0.00537225976586,0.0,0.131854589003,0.00987050868571,2.7217,320,567.464119873,15.2061,308.81271862983704,0.2700352668762207,3.3187389373779297,1.0335631370544434,225.3125,4.066328287124634,908.103223672,2700.0,0.0,2300.0,2.73126,0.00537225871813,320,14.017902135848999,15.3522,597.8125,0.10670828819274902,0.1313319206237793
1.01863406599e-09,0.93295,-6.98491986473e-10,3.4788429737091064,0.236670989873,0.938909,-0.00797088630497,0.0,0.0863640725106,0.0088203875348,2.69873,320,489.330597443,14.8609,324.17629528045654,0.265214204788208,3.3681187629699707,1.6042230129241943,183.4375,4.132121562957764,796.946320338,2700.0,0.0,2700.0,2.71178,0.00797088732361,320,14.881211280822754,15.0561,401.25,0.10813069343566895,0.12932252883911133
3.50701157004e-09,0.937573,-3.72529074255e-09,3.4989163875579834,0.261886788258,0.938338,-0.00547225773335,0.0,0.0889453874934,0.00754690356553,2.70871,320,463.174234056,15.0099,339.2106840610504,0.8128452301025391,3.290111541748047,1.0430841445922852,179.0625,4.09886622428894,903.373668188,2900.0,0.0,2100.0,2.71056,0.00547226124036,320,14.514771938323975,15.0378,528.125,0.11011290550231934,0.12918472290039062
-2.67755240202e-09,0.924774,-5.82076697953e-09,3.577974796295166,0.212765003555,0.928268,-0.00631184969097,0.0,0.0721997155721,0.00670911092311,2.68075,320,381.853901831,14.596,354.44168496131897,0.3014397621154785,3.4184045791625977,1.0568573474884033,109.6875,4.578866481781006,728.964845582,2600.0,0.0,2300.0,2.68886,0.00631184701342,320,14.751690149307251,14.7149,324.0625,0.11505722999572754,0.13019895553588867
4.1036400944e-09,0.923723,3.25962901115e-09,4.018403768539429,0.316748860232,0.926959,-0.00614284351468,0.0,0.140334710232,0.00712766870856,2.67892,320,568.035179231,14.5694,369.75904965400696,0.25447630882263184,3.447077989578247,1.1748363971710205,237.8125,4.280262231826782,986.691916203,2800.0,0.0,2400.0,2.68612,0.00614284761832,320,14.882206201553345,14.6746,623.75,0.11464881896972656,0.15386271476745605
