1MinReturn,0MinReturn,MeanKL,0PolicyExecTime,0StdReturn,1Entropy,1NumTrajs,0AveragePolicyStd,0ExplainedVariance,dLoss,1EnvExecTime,0EnvExecTime,1MaxReturn,1PolicyExecTime,1AveragePolicyStd,0Entropy,ComputeUpdatedDistTime,LossBefore,LossAfter,0ProcessExecTime,0AverageReturn,Time,0MaxReturn,1ProcessExecTime,1AverageReturn,MeanKLBefore,1Perplexity,ItrTime,1ExplainedVariance,0Perplexity,1StdReturn,0NumTrajs
0.0,0.0,0.00745399622247,27.42541265487671,109.251698356,2.30392,1600,0.766055,0.0744231347378,0.0056467550894,27.692605018615723,26.66970658302307,2900.0,42.990851402282715,0.767164,2.30147,0.11360406875610352,-2.22644302994e-09,-0.00564675731584,1.1021287441253662,12.5625,3025.3781819343567,1600.0,1.0941896438598633,797.5,0.0,10.0134,131.42069053649902,0.412835213754,9.98881,945.750363468,1600
0.0,0.0,0.00693572685122,27.95891284942627,119.345546105,2.26543,1600,0.753851,0.0929776076661,0.00405714297085,28.328359842300415,27.031055450439453,3000.0,44.52912425994873,0.752031,2.27035,0.09312152862548828,-3.63797880709e-09,-0.00405714660883,1.1024158000946045,14.375,3162.7311902046204,1800.0,1.1202995777130127,971.25,3.35276233443e-08,9.63527,134.45765256881714,0.441106752317,9.6828,1067.74221491,1600
0.0,0.0,0.00947953667492,27.32265019416809,112.959322739,2.23834,1600,0.7418,0.066278102888,0.00773171242326,27.737884759902954,27.311055898666382,2900.0,44.02356481552124,0.741752,2.23873,0.09001541137695312,1.39698386192e-09,-0.00773171102628,1.1094167232513428,13.5625,3298.261620283127,1800.0,1.1014750003814697,697.5,-3.72528630166e-09,9.37771,132.96132588386536,0.425764032836,9.38141,945.036374961,1600
0.0,0.0,0.00718648079783,25.74261474609375,119.703801109,2.24388,1600,0.740815,0.0771429831783,0.00570533599239,23.385596752166748,24.974629402160645,2900.0,36.495508432388306,0.743456,2.23694,0.10669493675231934,-1.04773789644e-09,-0.00570533704013,1.0303120613098145,14.0,3417.615161418915,1700.0,0.9404635429382324,807.5,-7.45057926466e-09,9.42981,116.88974142074585,0.440365658203,9.36462,1038.35506933,1600
0.0,0.0,0.00942022167146,26.490232229232788,106.778081055,2.21585,1600,0.733562,0.0758709267002,0.00851889234036,26.25533652305603,25.560625314712524,2900.0,41.44104528427124,0.733093,2.21715,0.08721160888671875,4.65661287308e-09,-0.00851888768375,1.0461015701293945,12.4375,3546.252256155014,1500.0,1.0447237491607666,624.0625,0.0,9.1692,126.14317917823792,0.418531817391,9.18116,835.719597768,1600
0.0,0.0,0.00701641524211,23.343031406402588,131.108495148,2.19299,1600,0.723211,0.0901788509697,0.00385624554474,19.316392183303833,23.355730772018433,2900.0,30.512766361236572,0.724824,2.18869,0.1274116039276123,-4.3073669076e-09,-0.00385624985211,0.9730486869812012,15.75,3651.3320529460907,2000.0,0.8007869720458984,755.0,0.0,8.96199,102.47499108314514,0.401740167349,8.92352,1061.31993291,1600
0.0,0.0,0.00679789250717,20.075786352157593,95.4060196935,2.14205,1600,0.705885,0.0631263186431,0.00728868383158,18.929031372070312,18.9741427898407,3000.0,31.71763801574707,0.706823,2.13961,0.1079258918762207,-3.05590219796e-10,-0.00728868413717,0.8129019737243652,9.5625,3749.6374967098236,1700.0,0.799323558807373,695.0,-2.98023330458e-08,8.51691,95.40791511535645,0.425033935065,8.49616,936.949838572,1600
0.0,0.0,0.00677449116483,22.68768882751465,89.676850413,2.13304,1600,0.701664,0.0646004490618,0.00645247619832,19.21139430999756,19.259862661361694,2900.0,33.70278859138489,0.703302,2.1284,0.08715081214904785,5.23868948221e-10,-0.00645247567445,0.8391561508178711,6.75,3852.857075214386,1900.0,0.8015925884246826,733.25,-7.45057526785e-09,8.44045,100.63817477226257,0.462927977703,8.40142,1036.91582952,1600
0.0,0.0,0.00695109460503,23.177814722061157,58.2826826231,2.13036,1600,0.702594,0.045709221458,0.00895933655556,19.314269065856934,19.559495449066162,2900.0,35.42124032974243,0.702145,2.13161,0.09644484519958496,-1.51339918375e-09,-0.00895933806896,0.8670306205749512,3.0625,3958.604078054428,1600.0,0.8236227035522461,545.6875,7.45057793239e-09,8.41789,103.21701550483704,0.4264852255,8.42842,898.384050584,1600
0.0,0.0,0.00794915109873,24.302643537521362,148.839206444,2.12062,1600,0.699117,0.117050668394,0.00637490296504,18.956037282943726,19.670082807540894,2900.0,32.5756196975708,0.698684,2.12189,0.08149480819702148,3.20142135024e-09,-0.00637489976361,0.8818874359130859,18.625,4063.8041212558746,1800.0,0.8125197887420654,717.625,0.0,8.33634,102.42263793945312,0.427907439722,8.34692,1022.16772566,1600
0.0,0.0,0.00984285306185,22.814118146896362,146.822809876,2.12035,1600,0.697405,0.110896727282,0.00560172821861,18.982983589172363,19.17455768585205,2800.0,32.796326637268066,0.698555,2.11707,0.10695815086364746,8.14907252789e-10,-0.0056017274037,0.8454670906066895,16.75,4166.0438096523285,1800.0,0.7896065711975098,635.5,7.45057526785e-09,8.33406,99.51623892784119,0.456626577441,8.30679,976.455196105,1600
0.0,0.0,0.00801020115614,21.405630350112915,150.400299202,2.07188,1600,0.681555,0.126816943499,0.0016671315534,19.848353147506714,19.031392574310303,2900.0,35.322298765182495,0.681817,2.07111,0.09834742546081543,-2.79396772385e-09,-0.00166713434737,0.8332140445709229,18.5,4270.368552684784,1800.0,0.8461859226226807,756.125,-7.45057970875e-09,7.93971,101.39948463439941,0.470834238438,7.93364,1079.50798254,1600
0.0,0.0,0.0080636953935,27.06174945831299,165.027223133,2.06363,1600,0.677265,0.128190667486,0.00294258212671,19.981380462646484,20.15795612335205,2900.0,37.252827405929565,0.679009,2.05849,0.09927916526794434,9.31322574615e-10,-0.00294258119538,0.8810153007507324,21.875,4383.735769033432,2100.0,0.840782642364502,776.0,0.0,7.87448,110.53288149833679,0.441698001976,7.83409,1081.31239704,1600
0.0,0.0,0.00999578181654,26.874356031417847,172.487759982,2.02963,1600,0.668225,0.16305156017,0.00410199904582,20.0394504070282,20.076618194580078,3000.0,36.843260288238525,0.667566,2.03162,0.09896636009216309,-2.85217538476e-09,-0.00410200189799,0.8885157108306885,21.3125,4496.365745782852,2400.0,0.8496956825256348,717.75,0.0,7.61128,109.80015325546265,0.441639783906,7.6264,1038.21237591,1600
0.0,0.0,0.00927500613034,25.116875410079956,176.842974132,2.01472,1600,0.661684,0.147136894553,0.00264045991935,20.19662570953369,19.860387325286865,3000.0,38.42391014099121,0.662609,2.01193,0.09233498573303223,-6.98491930962e-10,-0.00264046061784,0.8812820911407471,23.75,4608.790270090103,1900.0,0.8541412353515625,815.6875,7.45057926466e-09,7.49863,109.63015413284302,0.423239474825,7.47773,1135.76412707,1600
0.0,0.0,0.00818449631333,26.434940099716187,136.205497319,2.02772,1600,0.665739,0.0872439297273,0.00287970676436,19.9780752658844,19.851083517074585,3000.0,37.65135312080383,0.666954,2.02412,0.4505338668823242,1.9499566406e-09,-0.0028797048144,0.8715004920959473,15.75,4721.5982184410095,1900.0,0.8360452651977539,772.5,-7.45057793239e-09,7.59671,110.18473029136658,0.471623055162,7.56948,1097.23800973,1600
0.0,0.0,0.00669407704845,26.416635990142822,115.910778592,1.98847,1600,0.654509,0.0659195057091,0.00288074999116,21.19540548324585,20.163334846496582,2900.0,41.84217596054077,0.654003,1.99006,0.12456345558166504,-2.09547579288e-09,-0.00288075208664,0.88844895362854,14.4375,4840.196857690811,1600.0,0.9296586513519287,781.5625,0.0,7.30435,115.81860756874084,0.513724308209,7.31597,1095.51531646,1600
0.0,0.0,0.00697267521173,26.149091243743896,200.611409197,1.99254,1600,0.653923,0.124105947853,0.00183998317516,20.02884006500244,19.900732278823853,2900.0,38.108206272125244,0.655354,1.98815,0.09781360626220703,1.99361238629e-09,-0.00183998118155,0.8743598461151123,35.25,4953.45862531662,2200.0,0.8658661842346191,800.375,2.23517382381e-08,7.33415,110.34700059890747,0.410973908181,7.30201,1131.43707707,1600
0.0,0.0,0.00778620410711,27.288875102996826,143.260457188,1.95161,1600,0.641426,0.0970805098382,0.00305707205553,20.184027433395386,20.28043222427368,2900.0,37.71874189376831,0.642302,1.94902,0.10504746437072754,-2.44472175837e-09,-0.00305707450025,0.8831865787506104,16.4375,5067.79317855835,2000.0,0.8574848175048828,775.6875,-7.45057970875e-09,7.03999,111.59584450721741,0.485235959794,7.02183,1097.50975045,1600
0.0,0.0,0.00772698223591,26.878587007522583,161.948873105,1.90726,1600,0.627166,0.0872648888576,0.00291795993689,20.59159803390503,20.110087156295776,2900.0,38.066524028778076,0.628203,1.90398,0.11579394340515137,1.97906047106e-09,-0.00291795795783,0.871253490447998,20.25,5182.234023332596,1800.0,0.8777575492858887,813.9375,7.45057926466e-09,6.73459,111.61862921714783,0.489489069999,6.71257,1103.39793189,1600
0.0,0.0,0.00960445404053,27.753252744674683,226.767364274,1.8987,1600,0.623831,0.179398743141,0.00513891362061,20.21477484703064,20.011433601379395,2900.0,37.56739401817322,0.625371,1.89378,0.10492992401123047,1.848093234e-09,-0.00513891177252,0.8790993690490723,38.75,5296.3204526901245,2100.0,0.8625028133392334,674.125,-7.45057970875e-09,6.6772,111.51649522781372,0.4394547791,6.64446,981.971478392,1600
