0AverageReturn,1ProcessExecTime,MeanKL,1Perplexity,1AveragePolicyStd,1ExplainedVariance,LossBefore,0MinReturn,1AverageReturn,1NumTrajs,1EnvExecTime,1MaxReturn,0PolicyExecTime,0StdReturn,0AveragePolicyStd,0ExplainedVariance,ComputeUpdatedDistTime,0EnvExecTime,1PolicyExecTime,0MaxReturn,0Perplexity,0ProcessExecTime,0Entropy,1MinReturn,MeanKLBefore,Time,ItrTime,0NumTrajs,1Entropy,dLoss,LossAfter,1StdReturn
326.5,0.3550868034362793,0.00961312931031,15.7825,0.962116,0.278808238142,-1.85100379468e-09,0.0,485.0,400,32.973191022872925,2000.0,1.4974172115325928,275.948817718,0.968173,0.172172639866,0.3060333728790283,16.019084930419922,12.503620624542236,1400.0,15.9844,0.2042691707611084,2.77161,0.0,3.67872243778e-09,912.1060137748718,66.67510795593262,400,2.7589,0.00936314651044,-0.00936314836144,380.49310112
326.5,0.37002015113830566,0.00667725410312,16.0076,0.969081,0.230584664599,2.03726813197e-09,0.0,400.0,400,32.34433960914612,1800.0,1.5660386085510254,280.976422498,0.970807,0.160897129544,0.29030632972717285,15.855224370956421,12.334942817687988,1500.0,16.0716,0.20304083824157715,2.77705,0.0,1.69966496433e-09,978.6862549781799,65.91893577575684,400,2.77306,0.00787678471534,-0.00787678267807,319.687347263
410.0,0.37161731719970703,0.00709601584822,16.0987,0.971658,0.287597743865,-4.54019821738e-10,0.0,565.0,400,34.395222663879395,2100.0,1.5332200527191162,329.39338184,0.972036,0.180694353201,0.3111879825592041,17.34426999092102,12.556647777557373,1600.0,16.1128,0.21903371810913086,2.77961,0.0,1.04075326135e-08,1048.356148481369,69.66365933418274,400,2.77874,0.00868025469827,-0.00868025515229,442.464687857
344.75,0.3658316135406494,0.00647637620568,15.9489,0.967263,0.237248092626,-6.05359651296e-10,0.0,433.5,400,32.52654814720154,2100.0,1.4683051109313965,310.519624984,0.966568,0.162387309308,0.32650327682495117,15.884562253952026,12.466773271560669,1900.0,15.931,0.19880056381225586,2.76827,0.0,2.27009988585e-09,1115.2187402248383,66.18315935134888,400,2.76939,0.00725052491762,-0.00725052552298,340.040806375
349.5,0.3905458450317383,0.00706397742033,15.9173,0.966056,0.244056581475,-3.95812271847e-10,0.0,429.0,400,34.69266438484192,1700.0,1.5465748310089111,271.384874302,0.969365,0.176387144904,0.28998303413391113,17.636465787887573,12.586165428161621,1700.0,16.0276,0.2243056297302246,2.77431,0.0,1.17812302136e-08,1185.3577437400818,70.13282346725464,400,2.76741,0.00746146829333,-0.00746146868914,313.462916467
410.25,0.3876223564147949,0.00735334958881,15.9132,0.966131,0.300430223669,-1.36205935419e-09,0.0,525.75,400,34.59451150894165,1900.0,1.477766752243042,334.768483433,0.964408,0.193879317738,0.7643439769744873,15.436546087265015,12.592595100402832,1700.0,15.8633,0.19618773460388184,2.76401,0.0,1.65600555491e-09,1254.514327287674,68.45378088951111,400,2.76715,0.00841465456178,-0.00841465592384,393.461481596
427.0,0.36853480339050293,0.00960868597031,15.6371,0.957792,0.324980423607,1.79279591173e-09,0.0,616.5,400,33.22944974899292,2600.0,1.5610406398773193,358.288989504,0.956273,0.168255981459,0.3063793182373047,17.87357234954834,12.598929166793823,2000.0,15.5949,0.21649646759033203,2.74694,0.0,-2.71247713179e-09,1323.5604140758514,69.0329236984253,400,2.74964,0.00903526127804,-0.00903525948524,423.412033367
403.0,0.3558056354522705,0.00658122869208,15.2362,0.945439,0.302785012933,1.23400245577e-09,0.0,633.5,400,32.93805527687073,2700.0,1.5334703922271729,362.961430458,0.945689,0.147902686409,0.3158259391784668,17.602410793304443,12.453883171081543,1800.0,15.248,0.22469115257263184,2.72445,0.0,-1.21071896952e-09,1392.4947481155396,68.30771589279175,400,2.72368,0.00869660016615,-0.00869659893215,493.079861686
403.0,0.3676013946533203,0.00662834523246,15.0089,0.938434,0.318911470032,-1.01281338871e-09,0.0,613.75,400,34.19117784500122,2300.0,1.593768835067749,379.0,0.940374,0.147466595,0.3169112205505371,18.00158667564392,12.477403402328491,1700.0,15.0766,0.21833276748657227,2.71314,0.0,-5.0291397713e-09,1462.5058948993683,70.00212979316711,400,2.70864,0.00854706849204,-0.00854706950486,404.086547042
370.75,0.3604111671447754,-1.14087250758e-09,14.818,0.932624,0.26937328333,-1.01281327769e-09,0.0,568.5,400,32.71920609474182,1800.0,1.5348358154296875,349.45591639,0.931868,0.14527665174,0.3063046932220459,17.032410621643066,12.434803247451782,1600.0,14.7981,0.20760536193847656,2.6945,0.0,-8.56816306793e-09,1531.2940032482147,68.09779071807861,400,2.69584,-1.54832358046e-09,5.35510302768e-10,390.522406527
433.0,0.3761301040649414,0.00695074535906,14.8271,0.933126,0.318368320445,2.69501487793e-09,0.0,569.25,400,34.38258910179138,1700.0,1.5371570587158203,357.156828298,0.931868,0.181956958051,0.3004777431488037,17.766903162002563,12.491686582565308,1700.0,14.7981,0.2175135612487793,2.6945,0.0,-2.3283167061e-10,1601.2724657058716,69.97210478782654,400,2.69646,0.00906664775102,-0.00906664505601,366.850701921
429.5,0.3764216899871826,0.00682300236076,14.7433,0.930159,0.31915605004,1.22527121782e-09,0.0,601.75,400,34.49729585647583,2000.0,1.4368586540222168,379.710086777,0.92908,0.155577020993,0.2848849296569824,15.560477018356323,12.512767791748047,1800.0,14.7099,0.1880180835723877,2.68852,0.0,1.62981339535e-09,1669.5785830020905,67.62379360198975,400,2.69079,0.00945081311802,-0.00945081189275,391.818755932
397.75,0.3719298839569092,0.00704960059375,14.6393,0.927173,0.356050185532,4.60422633353e-09,0.0,663.75,400,34.15359592437744,1800.0,1.5591940879821777,368.130326787,0.927367,0.152881883204,0.3370366096496582,17.61903715133667,12.804437398910522,1900.0,14.6501,0.20886659622192383,2.68445,0.0,-3.95812049803e-09,1739.5732159614563,69.98799133300781,400,2.68371,0.00905224489397,-0.00905224028975,350.37256956
466.0,0.33392977714538574,0.00676870951429,14.7177,0.929519,0.245962516992,-1.42026701511e-09,0.0,606.25,400,32.09927821159363,2300.0,1.6177749633789062,458.523718034,0.929795,0.148295855227,0.2895674705505371,19.023908138275146,12.410966873168945,1800.0,14.7349,0.23340249061584473,2.69022,0.0,1.21072230019e-09,1809.0504190921783,68.84664535522461,400,2.68905,0.00981853108387,-0.00981853250414,521.953961092
454.75,0.37705135345458984,0.00988409016281,14.7203,0.929423,0.281154156005,-8.68749405747e-10,0.0,649.0,400,34.215821266174316,2500.0,1.59983229637146,457.304534747,0.929314,0.136173406855,0.31665539741516113,19.200418949127197,12.563388347625732,2100.0,14.7169,0.22931718826293945,2.689,0.0,-7.63684226968e-09,1880.3833665847778,71.32631373405457,400,2.68922,0.00982332608401,-0.00982332695276,497.241390071
414.75,0.3642103672027588,0.00976156815886,14.6389,0.927172,0.321671132027,-2.79396755731e-10,0.0,692.75,400,32.74514031410217,2500.0,1.6563129425048828,436.127776575,0.926642,0.126121645223,0.2954673767089844,19.256851196289062,12.433825969696045,2000.0,14.6266,0.24219059944152832,2.68284,0.0,1.67637970172e-09,1950.7182478904724,69.70443940162659,400,2.68368,0.0079140371643,-0.0079140374437,493.682527035
243.0,0.3686399459838867,0.00715166097507,14.6898,0.928373,0.233207233196,-1.56869650603e-09,0.0,497.5,400,33.92093110084534,1700.0,1.4958000183105469,274.13682715,0.926316,0.107081493758,0.8103458881378174,16.01897120475769,12.61487340927124,1500.0,14.6224,0.1931161880493164,2.68255,0.0,1.02445429917e-09,2018.946341753006,68.22188973426819,400,2.68715,0.0078796784539,-0.0078796800226,338.51698628
443.75,0.362804651260376,0.00949092675,14.4359,0.920288,0.342440368286,-1.25146448759e-10,0.0,686.0,400,32.412925481796265,2400.0,1.4621734619140625,399.76360202,0.921662,0.156822283084,0.31279993057250977,15.814974069595337,12.439269542694092,1600.0,14.487,0.1837022304534912,2.67325,0.0,-4.8428798749e-09,2085.3764848709106,65.7859992980957,400,2.66972,0.00901036883297,-0.00901036895812,407.987744914
434.75,0.3599557876586914,0.00752874650061,14.2038,0.912701,0.356981200248,-2.42725972655e-09,0.0,756.0,400,33.04158163070679,2500.0,1.475834846496582,376.520168782,0.909613,0.152678908188,0.3114187717437744,17.708658933639526,12.592559576034546,1900.0,14.1105,0.21307373046875,2.64692,0.0,2.14204254334e-09,2153.8830239772797,68.49723148345947,400,2.65351,0.00972687769099,-0.00972688011825,446.109851942
565.25,0.360501766204834,0.00705125275999,14.0425,0.907975,0.310909431688,-9.69157420982e-10,0.0,825.75,400,32.38964319229126,2600.0,1.4570183753967285,563.531221407,0.90791,0.148455626325,0.29360485076904297,15.978382587432861,12.508634805679321,2500.0,14.0463,0.19181418418884277,2.64236,0.0,-1.8626432341e-10,2220.5883321762085,66.10422348976135,400,2.64209,0.00767386561201,-0.00767386658117,567.681193541
