0AveragePolicyStd,ComputeUpdatedDistTime,1NumTrajs,0ProcessExecTime,0StdReturn,1EnvExecTime,0Entropy,0MinReturn,0NumTrajs,1AveragePolicyStd,1MinReturn,0EnvExecTime,0MaxReturn,1AverageReturn,1StdReturn,0Perplexity,ItrTime,0PolicyExecTime,0ExplainedVariance,1MaxReturn,1PolicyExecTime,LossAfter,LossBefore,MeanKLBefore,0AverageReturn,1ExplainedVariance,1Perplexity,MeanKL,Time,1ProcessExecTime,dLoss,1Entropy
0.896912,0.28378725051879883,2000,5.75235390663147,4359.40453244,141.59535908699036,2.62021,0.0,2000,0.89603,0.0,141.8643455505371,22500.0,2220.2,5139.17133009,13.7386,669.5655062198639,137.26454854011536,0.0722732368157,23300.0,214.9518883228302,-0.00152900291141,4.07453626394e-10,-1.67638329884e-08,1772.85,0.0894315499863,13.7115,0.00990030076355,15024.203350782394,5.502001762390137,0.00152900331886,2.61823
0.896187,0.29076647758483887,2000,5.70633864402771,4282.2184995,141.67908716201782,2.61864,0.0,2000,0.895576,0.0,142.17806768417358,22800.0,2512.45,5491.56808184,13.7171,669.8951966762543,137.04077744483948,0.0645174562242,22600.0,214.99808025360107,-0.00123671931215,-8.29459168017e-10,3.72528763393e-09,1791.65,0.1073064742,13.6983,0.00721594318748,15698.309271812439,5.498581409454346,0.00123671848269,2.61727
0.876572,0.2764701843261719,2000,5.729595422744751,4341.99705176,141.82146382331848,2.57441,0.0,2000,0.87586,0.0,143.25738835334778,22300.0,2544.4,5623.67839052,13.1235,675.3511323928833,137.50188565254211,0.074421045357,22900.0,206.62175107002258,-0.00150413042866,1.45519152284e-10,3.72528474735e-09,1856.45,0.109859075207,13.1021,0.00688183307648,16378.050584077835,5.507466077804565,0.00150413057418,2.57277
0.865706,0.2587871551513672,2000,5.709754228591919,4235.18047756,142.1276638507843,2.54927,0.0,2000,0.864924,0.0,142.3249750137329,22900.0,2619.75,5539.4218956,12.7978,662.1431741714478,136.60139989852905,0.0606192548464,22800.0,207.14868903160095,-0.0011284914799,2.03726813197e-10,0.0,1663.65,0.101924361045,12.7745,0.00733259413391,17044.638658761978,5.469393730163574,0.00112849168363,2.54745
0.854437,0.2763032913208008,2000,5.73919415473938,4504.61710887,142.29055285453796,2.52281,0.0,2000,0.853899,0.0,143.01316213607788,22600.0,2702.6,5833.12036906,12.4635,672.5034582614899,145.94925260543823,0.070170649107,23500.0,207.03246307373047,-0.00110073783435,-2.65572452918e-10,7.4505734915e-09,1892.95,0.118424677563,12.4476,0.0057237194851,17721.863497257233,5.528282403945923,0.00110073756878,2.52153
0.856798,0.26145362854003906,2000,5.806589126586914,4171.71349807,141.82123589515686,2.52835,0.0,2000,0.85636,0.0,144.8523302078247,22300.0,2628.6,5781.89087064,12.5328,674.5025203227997,146.9186897277832,0.0669224684704,23000.0,206.77784395217896,-0.00142695195973,-4.36557456851e-11,0.0,1609.3,0.122017464749,12.519,0.00837546773255,18400.53397488594,5.499835729598999,0.00142695191607,2.52725
0.842798,0.2615644931793213,2000,5.732085227966309,4613.5661887,142.1563789844513,2.49542,0.0,2000,0.841734,0.0,142.29537296295166,22700.0,2740.85,5860.49710157,12.1268,670.2655861377716,145.49134349822998,0.0745104486242,23200.0,206.45161032676697,-0.000434051558841,2.13913153857e-09,-3.72528474735e-09,1959.85,0.122383571264,12.0954,0.00863450393081,19075.349786043167,5.494699239730835,0.000434053697973,2.49282
0.836729,0.27960705757141113,2000,5.743166208267212,4539.97681822,144.93064856529236,2.48082,0.0,2000,0.836162,0.0,142.08178424835205,23000.0,3124.7,6202.14881392,11.9511,677.3760249614716,145.73153400421143,0.0697960868561,23400.0,210.58456254005432,-0.00151288299821,6.40284270048e-10,-7.4505734915e-09,1924.3,0.139421625133,11.9349,0.00652463966981,19756.910651922226,5.618488550186157,0.0015128836385,2.47947
0.828484,0.2835426330566406,2000,6.037577867507935,4385.12548025,145.67976689338684,2.45908,0.0,2000,0.828289,0.0,150.00579476356506,22100.0,2698.25,5830.04390528,11.6941,690.6151592731476,149.36688828468323,0.0741531957721,23100.0,211.0640788078308,-0.0012219552882,1.01135810837e-09,0.0,1877.65,0.114531931579,11.6886,0.00831865426153,20451.767765522003,5.612549543380737,0.00122195629956,2.45861
0.838912,0.2633352279663086,2000,6.078259229660034,4370.11557742,145.35282945632935,2.48299,0.0,2000,0.838394,0.0,151.03330397605896,22900.0,3091.35,6136.36946227,11.977,692.5265941619873,150.37369632720947,0.0725214736724,23100.0,211.29155802726746,-0.000516853935551,2.61934474111e-10,-1.67638045667e-08,1877.2,0.131894100105,11.962,0.00904912594706,21148.355943202972,5.636110544204712,0.000516854197485,2.48174
0.833443,0.2575829029083252,2000,6.123595714569092,4286.08814393,146.26192688941956,2.47002,0.0,2000,0.832382,0.0,152.91585659980774,22900.0,3117.2,6195.86750665,11.8227,696.3855469226837,150.52673387527466,0.0700956510739,23400.0,211.90535926818848,-0.000589755596593,1.72803993337e-10,0.0,1901.85,0.13758355847,11.794,0.00826674792916,21848.783390283585,5.655323505401611,0.000589755769397,2.46759
0.831436,0.2656264305114746,2000,5.928811550140381,4283.55400777,146.83687257766724,2.46524,0.0,2000,0.830942,0.0,149.16218495368958,22100.0,3155.75,6310.27233465,11.7663,691.3110980987549,148.75952053070068,0.0806822675281,23100.0,212.186026096344,-0.000767292338423,3.35603544954e-10,3.35276091334e-08,1847.75,0.133078462688,11.753,0.00653518037871,22543.896582603455,5.635072946548462,0.000767292674027,2.46411
0.827965,0.2495284080505371,2000,5.999567985534668,4122.99270434,146.29870200157166,2.45587,0.0,2000,0.828519,0.0,151.27513480186462,22600.0,3096.4,6251.94666004,11.6565,693.9247646331787,149.1657269001007,0.0762149599005,22800.0,212.92273259162903,-0.000922458944842,3.63797880709e-10,1.49011389894e-08,1745.4,0.131390088547,11.6714,0.00655824970454,23241.974328041077,5.656457185745239,0.00092245930864,2.45714
0.820311,0.2653782367706299,2000,6.033650875091553,3997.87653355,147.8060486316681,2.4375,0.0,2000,0.820309,0.0,150.43166875839233,21900.0,2971.15,6167.1235335,11.4444,696.042608499527,149.3471450805664,0.0686821835509,23100.0,213.80304503440857,-0.000733615364879,8.73114913702e-11,7.45056993878e-09,1674.15,0.148066704977,11.4429,0.00371977733448,23942.266516923904,5.716282367706299,0.000733615452191,2.43737
0.813475,0.2835214138031006,2000,5.982240200042725,3893.53857564,146.984201669693,2.42021,0.0,2000,0.812992,0.0,149.43112516403198,22100.0,3097.65,6198.61431914,11.2483,692.957258939743,148.6152799129486,0.0609764425813,23100.0,213.70610928535461,-0.00182051269803,7.96717358753e-10,0.0,1635.6,0.136118091041,11.2344,0.00979647599161,24639.430398464203,5.680648565292358,0.00182051349475,2.41898
0.800864,0.25803446769714355,2000,5.976781129837036,4249.42393155,148.35382676124573,2.38676,0.0,2000,0.800322,0.0,149.09883761405945,23400.0,3225.0,6322.36229585,10.8782,696.2829413414001,149.97516679763794,0.0721861464377,23000.0,214.29241943359375,-0.00122594111599,-2.91038304567e-10,7.45057660012e-09,1867.5,0.146188714876,10.8636,0.00724443001673,25339.556043624878,5.7192089557647705,0.00122594082495,2.38542
0.789093,0.26506876945495605,2000,5.969704627990723,4105.7784813,146.4029860496521,2.35341,0.0,2000,0.789536,0.0,150.16783547401428,22900.0,2983.4,6365.9040552,10.5214,691.4264230728149,148.1717050075531,0.0728939582572,23300.0,212.70043992996216,-0.000985709484667,4.22005541623e-10,1.86264763613e-08,1755.75,0.131612651979,10.5337,0.00962164346129,26034.952262878418,5.657052755355835,0.000985709906672,2.35458
0.784584,0.2689485549926758,2000,5.883924961090088,3899.31401018,148.43665409088135,2.34167,0.0,2000,0.78373,0.0,147.12587141990662,22300.0,3419.75,6509.17313777,10.3986,691.0677914619446,146.9031891822815,0.0717802740401,23200.0,214.3884665966034,-0.0015763224801,8.73114913702e-10,0.0,1619.5,0.17160620514,10.3775,0.0099843936041,26730.074476242065,5.7355639934539795,0.00157632335322,2.33964
0.781791,0.2615513801574707,2000,6.010116815567017,3714.86204185,147.2471523284912,2.33437,0.0,2000,0.781452,0.0,150.76654815673828,21900.0,3346.3,6489.84100807,10.3229,694.8117024898529,148.68607354164124,0.0627953935491,23600.0,213.83939123153687,-0.00091565476032,6.05723471381e-10,0.0,1525.1,0.159160168568,10.3147,0.00763018848374,27429.093782424927,5.711737394332886,0.000915655366043,2.33357
0.778799,0.4299945831298828,2000,5.900625944137573,3590.37952868,189.9722719192505,2.32643,0.0,2000,0.77869,0.0,147.99119591712952,21200.0,3292.45,6296.14628146,10.2413,799.0826849937439,139.22055220603943,0.0592702523048,23100.0,285.4945602416992,-0.00163519824855,-8.73114913702e-11,-7.45057571194e-09,1502.2,0.149917075463,10.2403,0.00888888351619,28232.664479494095,7.1156885623931885,0.00163519816124,2.32633
0.765723,0.3107600212097168,2000,8.290254354476929,3767.9201146,232.22735404968262,2.29065,0.0,2000,0.765507,0.0,219.5717272758484,21900.0,2972.15,6039.36415341,9.88134,1054.1843917369843,207.40447449684143,0.0622456343171,23300.0,352.78385162353516,-0.00126620521769,-1.65891833603e-09,1.11758620136e-08,1509.9,0.152342952371,9.87589,0.00756339309737,29290.86173391342,8.591445446014404,0.00126620355877,2.2901
0.760017,0.2679307460784912,2000,8.42534875869751,3854.30275796,232.4656639099121,2.27391,0.0,2000,0.760262,0.0,222.0733938217163,22700.0,3235.4,6278.92879718,9.71733,1057.445662021637,209.56880903244019,0.0702327525247,23100.0,350.97111463546753,-0.001144779264,1.16415321827e-09,0.0,1634.5,0.151656270775,9.72034,0.00982064753771,30352.20664381981,8.557915449142456,0.00114478042815,2.27422
0.75946,0.28506994247436523,2000,8.32683777809143,3908.02536327,228.43749260902405,2.27315,0.0,2000,0.7586,0.0,218.21664476394653,23100.0,3427.05,6453.51170275,9.70992,1042.4469339847565,207.01723551750183,0.0651195048647,23300.0,346.9840898513794,-0.00174300582148,-1.59707269631e-09,3.72528563553e-09,1642.4,0.169904177514,9.68819,0.00989411212504,31398.537827968597,8.4449143409729,0.00174300422441,2.27091
0.751518,0.25945448875427246,2000,8.337073564529419,3884.25580903,228.00059700012207,2.25171,0.0,2000,0.750973,0.0,219.64224648475647,22100.0,3509.15,6577.57487814,9.50397,1041.6362178325653,207.58684659004211,0.0702740577551,23000.0,344.4675872325897,-0.00115458248183,-1.57160684466e-09,3.72528563553e-09,1579.1,0.176454027193,9.4919,0.00981113128364,32444.209054470062,8.442945957183838,0.00115458091022,2.25044
0.753321,0.28253793716430664,2000,8.299805164337158,3552.51495106,230.68476343154907,2.25444,0.0,2000,0.752874,0.0,217.45924973487854,21800.0,3382.75,6460.89060715,9.52994,1043.425880908966,206.38531613349915,0.0605909019176,23300.0,347.1371476650238,-0.00158913410269,1.33877620101e-09,0.0,1487.65,0.172986931411,9.51518,0.00963374227285,33491.47989273071,8.56932544708252,0.00158913544146,2.25289
0.752241,0.2598609924316406,2000,8.246063947677612,3455.81574125,224.12162065505981,2.25082,0.0,2000,0.75173,0.0,216.71107053756714,21700.0,3370.75,6323.64052089,9.4955,1028.7071905136108,206.08855533599854,0.0606837889349,23300.0,340.08716917037964,-0.0012529999949,8.14907252789e-10,0.0,1367.25,0.170282298644,9.48172,0.00655330065638,34524.15883922577,8.332473754882812,0.00125300080981,2.24937
0.750602,0.26560163497924805,2000,8.350239515304565,3549.1699748,228.17880177497864,2.2457,0.0,2000,0.749575,0.0,218.38304448127747,22400.0,3777.1,6809.74930449,9.44698,1041.7378160953522,207.88582849502563,0.0614992932292,23600.0,345.08717107772827,-0.000616758596152,4.07453626394e-10,1.4901146983e-08,1430.7,0.192026180022,9.41686,0.00662590330467,35569.86445975304,8.46697735786438,0.000616759003606,2.2425
0.749712,0.285891056060791,2000,8.343470573425293,3759.5533907,225.36520409584045,2.24274,0.0,2000,0.749484,0.0,217.503479719162,22000.0,3739.0,6921.33578148,9.41906,1032.5496444702148,206.7506763935089,0.0722105220809,23000.0,341.42350935935974,-0.00140148564242,-1.68802216649e-09,0.0,1556.95,0.194000250724,9.41153,0.00941719766706,36606.25392818451,8.338122129440308,0.0014014839544,2.24194
0.74144,0.3084883689880371,2000,8.41460657119751,3800.20781504,251.11199069023132,2.22036,0.0,2000,0.741203,0.0,219.14176988601685,21400.0,3320.4,6662.00073852,9.21062,1087.361472606659,207.41556215286255,0.0692049122484,23000.0,366.8143756389618,-0.00133100547828,-1.7462298274e-09,0.0,1606.75,0.185227217049,9.20535,0.0093542477116,37697.43682336807,9.218561172485352,0.00133100373205,2.21978
0.741043,0.2642788887023926,2000,5.609095335006714,3601.66694185,295.06501817703247,2.21997,0.0,2000,0.740481,0.0,144.82650566101074,21700.0,3582.4,6758.31711597,9.20706,1047.1488778591156,157.16459131240845,0.063171408994,23000.0,409.39128851890564,-0.00418806727976,-5.42058842257e-10,0.0,1428.2,0.188294455143,9.19415,0.00937667489052,38748.40057396889,10.759308099746704,0.0041880667377,2.21857
0.740425,0.29613351821899414,2000,6.013038873672485,3598.71448402,293.9542486667633,2.21797,0.0,2000,0.740473,0.0,155.70430421829224,20700.0,3102.2,6217.69773791,9.18862,1065.52459192276,165.34962058067322,0.0622340822931,22800.0,409.2327399253845,-0.000871610012837,-1.41881173477e-09,-7.4505734915e-09,1506.25,0.162199135002,9.19034,0.00981718301773,39817.65242099762,10.751537561416626,0.000871608594025,2.21815
0.738924,0.2787623405456543,2000,5.878956079483032,3558.9958921,294.40184473991394,2.21397,0.0,2000,0.737685,0.0,151.50248169898987,21500.0,3250.55,6403.12655642,9.15201,1058.4549322128296,162.01091408729553,0.0656386597302,23200.0,409.0978662967682,-0.00159191561397,-1.10958353616e-10,-1.11758593491e-08,1526.8,0.158497005803,9.11751,0.00674379942939,40880.21270155907,10.703150272369385,0.00159191550301,2.2102
