1AverageReturn,0ProcessExecTime,1AveragePolicyStd,0Entropy,dLoss,1Entropy,Time,LossBefore,1StdReturn,0MaxReturn,ComputeUpdatedDistTime,ItrTime,0StdReturn,MeanKL,1MinReturn,1Perplexity,0AverageReturn,0MinReturn,0NumTrajs,1NumTrajs,1MaxReturn,0ExplainedVariance,0EnvExecTime,0PolicyExecTime,LossAfter,MeanKLBefore,1ProcessExecTime,0Perplexity,1PolicyExecTime,1EnvExecTime,0AveragePolicyStd,1ExplainedVariance
474.25,0.8859002590179443,0.863406,2.55144,0.00478454814584,2.54405,1669.9962089061737,8.8766682893e-10,842.347575232,2600.0,0.10918021202087402,107.19573378562927,559.879660619,0.00699990103021,0.0,12.7312,233.125,0.0,1600,1600,2800.0,0.0710672987703,22.021776914596558,23.433289766311646,-0.00478454725817,-1.11022302463e-16,0.861292839050293,12.8255,33.742772340774536,21.945388078689575,0.866607,0.189375999283
447.75,0.8892476558685303,0.854298,2.52572,0.0042500984855,2.52252,1780.8919327259064,-4.65661287308e-10,847.581817585,2600.0,0.08794212341308594,107.86058497428894,600.981891886,0.00769993942231,0.0,12.4599,252.875,0.0,1600,1600,2800.0,0.0846103577367,21.908876419067383,24.704242706298828,-0.00425009895116,-3.72528763393e-09,0.8390450477600098,12.4999,33.4471161365509,21.783053636550903,0.855659,0.198858549016
513.5625,0.891165018081665,0.849358,2.51354,0.00421999860555,2.51095,1891.3582952022552,-9.31322574615e-10,873.411305511,2700.0,0.09705424308776855,107.5816719532013,607.853006362,0.00855694897473,0.0,12.3166,263.3125,0.0,1600,1600,2700.0,0.0947993876921,22.113546133041382,24.518429279327393,-0.00421999953687,-3.72528763393e-09,0.8471860885620117,12.3486,33.33391189575195,21.814936876296997,0.850464,0.238069307691
538.4375,0.8968329429626465,0.82682,2.45753,0.00460362096783,2.45683,2003.9397530555725,8.14907252789e-10,904.90541417,2700.0,0.0977628231048584,109.67081594467163,583.423503448,0.00735038192943,0.0,11.6678,252.125,0.0,1600,1600,2900.0,0.0750731011138,22.231857538223267,25.004791975021362,-0.00460362015292,1.49011398776e-08,0.8626775741577148,11.676,34.28477358818054,22.13053011894226,0.827121,0.249913290724
458.4375,0.8992786407470703,0.808388,2.41186,0.00441769522149,2.41087,2116.9918780326843,1.16415321827e-10,848.243071645,2500.0,0.08827495574951172,110.18563508987427,614.688933018,0.00834599137306,0.0,11.1436,269.875,0.0,1600,1600,2800.0,0.0717458895471,22.092308521270752,25.108297109603882,-0.00441769510508,0.0,0.8481183052062988,11.1547,33.34576725959778,21.95363140106201,0.808736,0.176878926024
582.4375,0.9177727699279785,0.797774,2.38631,0.00481412914814,2.38466,2230.038027524948,-1.57160684466e-09,929.070938408,2700.0,0.08247900009155273,109.93236827850342,593.018971029,0.00980206951499,0.0,10.8553,246.0,0.0,1600,1600,2800.0,0.0764930502534,22.641154050827026,24.367398500442505,-0.00481413071975,0.0,0.8540146350860596,10.8733,34.90754246711731,22.086066961288452,0.798371,0.238878135674
561.8125,0.9118878841400146,0.793955,2.37376,0.00464093330083,2.37455,2341.9901711940765,6.40284270048e-10,921.749947027,2600.0,0.1109163761138916,109.34398579597473,623.626440668,0.00955917779356,0.0,10.7462,282.25,0.0,1600,1600,2900.0,0.0878934118623,22.404165029525757,24.163542985916138,-0.00464093266055,-7.45057526785e-09,0.8634419441223145,10.7377,34.49726676940918,22.3083233833313,0.793614,0.229617646146
563.3125,0.8953211307525635,0.770546,2.31276,5.82076609135e-11,2.31466,2453.597506761551,-2.03726813197e-09,911.981511514,2600.0,0.09578728675842285,108.72271084785461,634.402988915,0.0,0.0,10.1215,287.6875,0.0,1600,1600,2900.0,0.0616004496098,22.033705234527588,22.437551498413086,-2.09547579288e-09,0.0,0.8612346649169922,10.1023,35.810797691345215,22.048726081848145,0.769819,0.236122994565
527.1875,0.902977466583252,0.768444,2.31276,3.49245965481e-10,2.3093,2566.182716369629,1.97906047106e-09,928.677602747,2900.0,0.09169340133666992,109.56078100204468,666.472758258,0.0,0.0,10.0674,311.25,0.0,1600,1600,2900.0,0.0758433744435,22.299891233444214,23.016947746276855,1.62981450558e-09,0.0,0.855994701385498,10.1023,35.702998638153076,22.049855709075928,0.769819,0.197034936758
502.3125,0.8993308544158936,0.767803,2.31276,7.56699591875e-10,2.30743,2678.3006546497345,2.38651409745e-09,901.395253118,2700.0,0.09093427658081055,109.41237258911133,621.887638063,0.0,0.0,10.0486,282.875,0.0,1600,1600,2900.0,0.0633216238639,22.304393768310547,21.32904028892517,1.62981450558e-09,-2.23517382381e-08,0.8540847301483154,10.1023,37.194495677948,22.161309480667114,0.769819,0.186527556004
