0EnvExecTime,1Perplexity,1ProcessExecTime,1ExplainedVariance,0ExplainedVariance,dLoss,LossBefore,1MaxReturn,1StdReturn,0AverageReturn,ItrTime,0MaxReturn,0ProcessExecTime,1MinReturn,Time,0AveragePolicyStd,1NumTrajs,1EnvExecTime,0Perplexity,LossAfter,MeanKLBefore,1Entropy,0NumTrajs,1PolicyExecTime,0PolicyExecTime,1AveragePolicyStd,1AverageReturn,0MinReturn,0StdReturn,MeanKL,0Entropy,ComputeUpdatedDistTime
10.504082441329956,14.2644,0.2990121841430664,0.346515228576,0.0814966125226,0.00586582606775,7.27595761418e-10,2900.0,896.172756434,111.25,35.74850034713745,2100.0,0.36791396141052246,0.0,639.4719715118408,0.91856,800,9.173930406570435,14.4098,-0.00586582534015,-4.88944262855e-09,2.65777,800,9.664261102676392,3.019991636276245,0.914014,677.375,0.0,341.538339722,0.00754827866331,2.66791,0.23532795906066895
9.31131100654602,13.6676,0.2873249053955078,0.371785650884,0.139313703938,0.00623464098317,2.61934474111e-10,2700.0,900.035554853,160.5,34.36105942726135,2000.0,0.3377063274383545,0.0,674.9766075611115,0.895686,800,9.040091276168823,13.7014,-0.00623464072123,4.6566119849e-09,2.61503,800,9.581830739974976,2.99314284324646,0.894651,794.0,0.0,415.499398315,0.00732012838125,2.6175,0.2362833023071289
9.746710300445557,13.495,0.27125978469848633,0.391836651201,0.0826270478404,0.00665759673575,-4.07453626394e-10,2800.0,905.101643118,88.5,34.59379172325134,2300.0,0.3444831371307373,0.0,711.2804715633392,0.888721,800,8.840901374816895,13.489,-0.0066575971432,2.79396772385e-09,2.60232,800,9.18770146369934,3.003098249435425,0.889024,678.125,0.0,329.458267463,0.00684615550563,2.60188,0.2584528923034668
9.234025478363037,13.2676,0.2898721694946289,0.406108159903,0.107757606866,0.00891200437036,-1.60071067512e-10,2900.0,928.749024226,117.75,33.99466419219971,2100.0,0.3363611698150635,0.0,746.4450149536133,0.88013,800,9.127203941345215,13.2299,-0.00891200453043,4.19095336213e-09,2.58532,800,9.514108896255493,2.79020619392395,0.881456,875.5,0.0,351.901886184,0.00665181409568,2.58248,0.22116971015930176
9.773515224456787,12.8919,0.28397631645202637,0.278583417979,0.051797830125,0.00630904868012,1.33877620101e-09,2900.0,768.901448496,51.0,36.10139274597168,2000.0,0.36376118659973145,0.0,783.9105107784271,0.870284,800,9.270893573760986,12.9359,-0.00630904734135,1.86264459412e-09,2.5566,800,10.087271690368652,3.036242723464966,0.868841,423.25,0.0,227.813520231,0.00690688984469,2.56001,0.2507476806640625
10.225156784057617,12.6854,0.27846312522888184,0.434239668213,0.143533582656,0.0068517288164,4.0017766878e-09,2900.0,1005.50954123,81.75,35.44323754310608,1700.0,0.346576452255249,0.0,820.41193151474,0.862838,800,9.065873146057129,12.7138,-0.00685172481462,8.84756268249e-09,2.54045,800,9.414913177490234,2.9197421073913574,0.861949,863.25,0.0,284.107264075,0.00753675727174,2.54269,0.23922300338745117
9.615022420883179,12.3334,0.2838470935821533,0.401182464287,0.100739113068,0.00766356551321,4.48198989034e-09,2800.0,939.341449833,95.75,34.45652198791504,2000.0,0.34923887252807617,0.0,855.9364037513733,0.853343,800,9.060241222381592,12.4346,-0.00766356103122,2.79396772385e-09,2.51231,800,9.486619710922241,2.794343948364258,0.849943,831.625,0.0,328.644089404,0.00731884408742,2.52048,0.3207409381866455
9.576768636703491,11.8114,0.2906210422515869,0.427202643428,0.091801665508,0.00760988148977,3.75439412892e-09,2900.0,999.086301327,70.75,35.26205348968506,1900.0,0.33928847312927246,0.0,892.2454793453217,0.831359,800,9.43209457397461,11.8038,-0.00760987773538,9.31322685638e-10,2.46907,800,9.854563474655151,2.9333133697509766,0.831683,958.75,0.0,269.201481237,0.00765991676599,2.46842,0.2722599506378174
9.182372331619263,11.4108,0.2827491760253906,0.385319256842,0.0641567494348,0.00602791717392,7.27595761418e-10,2900.0,980.262839434,66.0,34.429134368896484,1800.0,0.3037097454071045,0.0,928.2966201305389,0.819583,800,9.105651617050171,11.4724,-0.00602791644633,4.65661287308e-09,2.43456,800,9.4270179271698,2.7643165588378906,0.81746,813.125,0.0,268.037310836,0.00641003623605,2.43994,0.2520456314086914
9.694504261016846,11.1135,0.2913780212402344,0.357852147504,0.0844216180065,0.0069959347602,6.98491930962e-10,2900.0,923.012425431,64.25,34.809698820114136,1800.0,0.3304905891418457,0.0,964.2779805660248,0.804882,800,9.113687515258789,11.0644,-0.00699593406171,-9.31322519104e-10,2.40816,800,9.712130546569824,2.8820650577545166,0.806719,634.25,0.0,257.773034858,0.00966498162597,2.40373,0.26883530616760254
10.00281548500061,10.6645,0.280411958694458,0.443962774596,0.0913814593585,0.00824519465095,-1.54250301421e-09,2900.0,1006.30337591,106.25,35.46245861053467,2200.0,0.34265804290771484,0.0,1000.8404002189636,0.791875,800,9.199264287948608,10.7099,-0.00824519619346,1.4901156753e-08,2.36692,800,9.702580690383911,3.0871798992156982,0.790261,971.875,0.0,349.443754415,0.00799252465367,2.37117,0.24357819557189941
9.68050765991211,10.3935,0.278613805770874,0.40903580359,0.05431245121,0.00771061613341,-4.36557456851e-10,2900.0,985.939898967,60.0,34.95388054847717,2000.0,0.33036255836486816,0.0,1037.5376951694489,0.777494,800,9.129527807235718,10.3244,-0.00771061656997,-9.31323129727e-10,2.34118,800,9.492872714996338,2.96252703666687,0.780122,716.125,0.0,262.678510731,0.00857027247548,2.33451,0.23838043212890625
10.116430521011353,10.1495,0.29069066047668457,0.461564514493,0.10714286384,0.00748909909453,-7.27595761418e-11,2900.0,1014.89297465,92.625,35.773407220840454,2000.0,0.33858776092529297,0.0,1074.3280944824219,0.770819,800,9.339329242706299,10.1466,-0.00748909916729,2.79396794589e-09,2.31743,800,9.794493913650513,2.978219509124756,0.770959,993.5,0.0,322.928954067,0.00767689757049,2.31713,0.31746983528137207
9.731188535690308,9.84187,0.2817106246948242,0.456736264497,0.0930160618366,0.00769361774292,1.06956576928e-09,2800.0,1071.41173662,101.75,35.13000988960266,1900.0,0.33836889266967773,0.0,1110.4835271835327,0.758872,800,9.157304286956787,9.83432,-0.00769361667335,-9.31322241549e-10,2.28665,800,9.52186107635498,2.9108283519744873,0.759198,967.375,0.0,334.808807381,0.00980791449547,2.28588,0.23486948013305664
9.50802493095398,9.64064,0.2753787040710449,0.389695900741,0.0587848242331,0.0050544104306,3.49245965481e-10,2800.0,934.763038155,49.625,34.51739859580994,1900.0,0.3096275329589844,0.0,1146.5283255577087,0.751468,800,9.02426528930664,9.64149,-0.00505441008136,-1.86264514923e-09,2.26599,800,9.394077062606812,2.8653488159179688,0.75143,591.75,0.0,238.432085456,0.00701522966847,2.26608,0.2841207981109619
9.3952796459198,9.48161,0.2801225185394287,0.453866164268,0.0618601080765,0.00670013701892,-1.0768417269e-09,2800.0,1024.10299165,60.75,34.644511222839355,1900.0,0.3130676746368408,0.0,1182.1725962162018,0.74461,800,9.026826620101929,9.46668,-0.00670013809577,1.86264514923e-09,2.24935,800,9.648226022720337,2.741687297821045,0.745211,724.25,0.0,261.312911086,0.00939190667123,2.24778,0.23373794555664062
9.277852773666382,9.06744,0.27323341369628906,0.392410115651,0.090663848378,0.00640883046435,-1.7462298274e-10,2700.0,924.055049429,78.625,33.89956784248352,2000.0,0.31885719299316406,0.0,1217.1264698505402,0.73057,800,9.021170377731323,9.11578,-0.00640883063897,0.0,2.20469,800,9.498469114303589,2.7713747024536133,0.728641,576.875,0.0,310.331450831,0.00711346184835,2.21001,0.22731637954711914
