0AverageReturn,1AveragePolicyStd,1Entropy,0MinReturn,0ProcessExecTime,0MaxReturn,Time,0NumTrajs,MeanKLBefore,0EnvExecTime,1MinReturn,1ProcessExecTime,1NumTrajs,ComputeUpdatedDistTime,ItrTime,1StdReturn,1PolicyExecTime,LossAfter,MeanKL,0StdReturn,0Entropy,0AveragePolicyStd,0PolicyExecTime,1EnvExecTime,LossBefore,1Perplexity,0ExplainedVariance,1MaxReturn,1AverageReturn,1ExplainedVariance,dLoss,0Perplexity
25.0,0.837069,2.47741,0.0,0.03963160514831543,700.0,253.9990017414093,80,0.0,0.9225714206695557,0.0,0.07597088813781738,80,0.10431361198425293,7.634697914123535,80.6128866869,2.9140210151672363,-0.00226977211423,0.00686065945774,108.972473589,2.47953,0.838163,1.0543723106384277,1.8161735534667969,-4.88944351673e-09,11.9104,0.0565838763294,700.0,11.25,0.273424922873,0.00226976722479,11.9357
48.75,0.830939,2.46108,0.0,0.04570817947387695,1400.0,262.3597550392151,80,0.0,1.038741111755371,0.0,0.07918024063110352,80,0.08395934104919434,7.7875754833221436,1001.21722793,2.897630453109741,-0.00888249650598,0.00726079428568,204.935203174,2.47367,0.835955,1.1791162490844727,1.8153822422027588,-7.45058059692e-09,11.7174,0.10647390056,2600.0,573.75,0.665295926464,0.0088824890554,11.866
72.5,0.828402,2.45435,0.0,0.048714637756347656,1100.0,270.285532951355,80,1.86264537128e-09,1.14388108253479,0.0,0.07218694686889648,80,0.10324311256408691,7.920184373855591,802.398747507,2.8703184127807617,-0.00616398593411,0.00635832874104,230.746072556,2.45035,0.826599,1.2537140846252441,1.781766414642334,6.51925802231e-09,11.6388,0.177164184513,2400.0,462.5,0.484438411814,0.00616399245337,11.5924
13.75,0.817474,2.42734,0.0,0.055055856704711914,800.0,278.9568691253662,80,0.0,1.256730318069458,0.0,0.0752260684967041,80,0.08322620391845703,8.137528896331787,730.657879927,2.9284861087799072,-0.0100631108508,0.0065876385197,94.5300878028,2.42698,0.817271,1.3218486309051514,1.828507900238037,-9.31322574615e-10,11.3287,0.0638138298762,2200.0,403.75,0.478363851141,0.0100631099194,11.3246
30.0,0.805337,2.39489,0.0,0.06138777732849121,1500.0,287.6670117378235,80,7.4505814851e-09,1.4158246517181396,0.0,0.07464385032653809,80,0.30455851554870605,8.704210758209229,553.392943576,2.9163968563079834,-0.00379708688706,0.00637433119118,175.641680703,2.40326,0.808868,1.4506816864013672,1.7974071502685547,2.79396772385e-09,10.967,0.0746850734913,2200.0,247.5,0.400019865758,0.00379708968103,11.0591
83.75,0.817434,2.42442,0.0,0.055600881576538086,1400.0,296.2123520374298,80,-1.86264514923e-09,1.243884801864624,0.0,0.07268238067626953,80,0.09082555770874023,8.021607160568237,702.918025093,2.881852388381958,-0.0140508059412,0.00696697179228,272.23324099,2.42335,0.816662,1.3275644779205322,1.7699487209320068,-9.31322574615e-10,11.2957,0.0947886208856,2300.0,562.5,0.468512943791,0.0140508050099,11.2836
102.5,0.814719,2.41746,0.0,0.05599331855773926,1500.0,304.35364818573,80,1.86264537128e-09,1.255216121673584,0.0,0.07472586631774902,80,0.09930849075317383,8.134284019470215,571.396316054,2.914100170135498,-0.0120972953737,0.00684045813978,321.31565477,2.42684,0.818469,1.3202495574951172,1.8160996437072754,2.66300048679e-09,11.2173,0.146035396436,1900.0,302.5,0.418438234199,0.0120972980367,11.3231
91.25,0.820296,2.43386,0.0,0.05620265007019043,1400.0,313.20610761642456,80,3.72529074255e-09,1.3153150081634521,0.0,0.07509946823120117,80,0.08876347541809082,8.23270869255066,597.996655509,2.9244611263275146,-0.0111052189022,0.00663091801107,268.883687679,2.44587,0.825406,1.4121520519256592,1.8188211917877197,-3.72529029846e-09,11.4028,0.0827930398941,1700.0,320.0,0.417507679761,0.0111052151769,11.5406
78.75,0.832604,2.46475,0.0,0.05089163780212402,1400.0,321.1980125904083,80,3.72529074255e-09,1.1592440605163574,0.0,0.07530069351196289,80,0.07568740844726562,7.9857177734375,1302.92399529,2.948277235031128,-0.00971613544971,0.00740779750049,249.346019619,2.45643,0.829582,1.2494823932647705,1.8460941314697266,4.65661287308e-09,11.7605,0.0596048944326,3000.0,1296.25,0.642270938673,0.00971614010632,11.663
156.25,0.817898,2.42903,0.0,0.06236386299133301,1400.0,330.2247576713562,80,0.0,1.4224872589111328,0.0,0.07296466827392578,80,0.10655331611633301,8.508250951766968,515.265404913,2.8769149780273438,-0.00234975386411,0.00698267202824,376.445132124,2.42496,0.816611,1.4628407955169678,1.782392978668213,3.72529029846e-09,11.3479,0.0949228405917,2200.0,248.75,0.373326830083,0.0023497575894,11.3018
