AverageReturn,Entropy,ExplainedVariance,ItrTime,AveragePolicyStd,MaxReturn,TotalExecTime,StdReturn,LossBefore,NumTrajs,MinReturn,LossAfter,MaxKL,MeanKL,Perplexity,Time
2671.5,1.61677,0.99460046913,13.57132601737976,0.543067,3000.0,13.476078510284424,120.986569503,-0.01076,200,2200.0,-0.0346657,2.7648,0.545599,5.03679,538.8347904682159
2681.0,1.61139,0.995270952352,13.648044347763062,0.54161,2900.0,13.55436635017395,115.060853465,0.00831923,200,2400.0,-0.00681057,2.64959,0.341302,5.00977,552.4855804443359
2676.0,1.61555,0.994405586427,13.452356576919556,0.54274,2900.0,13.37954831123352,119.264412127,0.00797411,200,2400.0,-0.0361207,8.75354,0.620096,5.03065,565.9408464431763
2676.5,1.61954,0.994788675847,13.49583101272583,0.543824,3000.0,13.430394649505615,116.609390702,0.00324457,200,2300.0,-0.0374724,6.64529,0.958844,5.05075,579.4429187774658
2690.5,1.62116,0.995368288068,13.361127614974976,0.544264,3000.0,13.291539669036865,116.874933155,0.00444981,200,2400.0,-0.0233306,4.24912,0.353722,5.05895,592.8187365531921
2697.0,1.62338,0.995912877017,13.490789890289307,0.544875,3000.0,13.431225538253784,106.728627837,-0.0108815,200,2400.0,-0.0190605,3.69151,0.33192,5.07021,606.3207898139954
2675.0,1.61794,0.994901464793,13.457573413848877,0.543384,2900.0,13.365152359008789,116.511801977,-0.00828777,200,2400.0,-0.0158885,0.639829,0.0943485,5.04271,619.7853376865387
2681.5,1.6138,0.995016791258,13.470654726028442,0.542246,3000.0,13.411392211914062,117.506382805,-0.0152406,200,2300.0,-0.0332516,1.97786,0.229454,5.02185,633.2587368488312
2695.5,1.60618,0.995008753923,13.538925886154175,0.540205,3000.0,13.451611518859863,117.599957483,-0.00348094,200,2300.0,-0.0255321,5.40621,0.353097,4.98373,646.8016786575317
2674.0,1.60444,0.994531176178,13.505083084106445,0.539736,3000.0,13.417073011398315,120.099958368,-0.0190065,200,2300.0,-0.0390598,4.96026,0.484051,4.97506,660.3121161460876
2695.5,1.59493,0.995095844724,13.647364616394043,0.537169,3000.0,13.59352731704712,113.709058566,0.00120148,200,2400.0,-0.0296632,5.82211,0.608777,4.92801,673.9667627811432
