LossAfter,MeanKL,ExplainedVariance,MaxKL,Perplexity,MaxReturn,TotalExecTime,ItrTime,Time,Entropy,AveragePolicyStd,NumTrajs,MinReturn,LossBefore,AverageReturn,StdReturn
-0.0227617,0.112817,0.995103934326,1.05527,9.03872,3000.0,10.886555671691895,10.950023889541626,460.99518394470215,2.20152,0.728512,200,2300.0,-0.00932703,2691.0,120.494813166
-0.012495,0.0207423,0.994969041522,0.180491,8.99666,3000.0,10.993561267852783,11.072139501571655,472.08798456192017,2.19685,0.726766,200,2400.0,-0.00959853,2671.0,112.512221558
-0.0234298,0.0560894,0.995461543782,0.429346,8.95359,2900.0,10.828291416168213,10.904725074768066,482.9967794418335,2.19205,0.725008,200,2400.0,-0.0173848,2673.5,105.108277505
-0.0178089,0.0504268,0.99473594209,0.339275,8.87609,3000.0,10.720154285430908,10.79472827911377,493.79842948913574,2.18336,0.722048,200,2300.0,-0.0109585,2687.0,114.153405556
-0.00510053,0.0382129,0.995661450616,0.50663,8.8276,2900.0,11.20932912826538,11.257226943969727,505.0744230747223,2.17788,0.720012,200,2400.0,0.000889173,2683.5,100.884835332
-0.0211662,0.0412058,0.995644125814,0.377564,8.83152,2900.0,10.692601680755615,10.754453897476196,515.833883523941,2.17833,0.720327,200,2400.0,-0.0117198,2682.0,113.47246362
0.00731581,0.00826664,0.995126999702,0.0739709,8.77991,2900.0,11.071794033050537,11.126859903335571,526.9694218635559,2.17247,0.718049,200,2300.0,0.00911877,2678.5,109.030958906
-0.0187727,0.148645,0.995282924105,1.38568,8.82004,3000.0,10.822092771530151,10.904865264892578,537.8944716453552,2.17703,0.719676,200,2400.0,-0.00183702,2691.0,115.407971995
-0.0136729,0.00806415,0.994648938026,0.0582483,8.81194,3000.0,10.843778133392334,10.921416282653809,548.822685956955,2.17611,0.719437,200,2200.0,-0.0117203,2679.5,127.787910226
-0.0056086,0.0734099,0.995747233178,0.479053,8.76046,3000.0,10.842487573623657,10.909536361694336,559.7446343898773,2.17025,0.717398,200,2400.0,0.00234859,2701.5,111.120430165
