LossBefore,0NumTrajs,2MinReturn,MeanKL,0MaxReturn,2Perplexity,0AveragePolicyStd,ComputeUpdatedDistTime,1AverageReturn,2ProcessExecTime,2Entropy,MeanKLBefore,1Entropy,0StdReturn,1PolicyExecTime,0ExplainedVariance,1Perplexity,2ExplainedVariance,Time,1EnvExecTime,1MaxReturn,dLoss,2NumTrajs,2EnvExecTime,0ProcessExecTime,2AverageReturn,0Entropy,ItrTime,1MinReturn,1ExplainedVariance,1NumTrajs,0MinReturn,1ProcessExecTime,2AveragePolicyStd,2PolicyExecTime,2MaxReturn,LossAfter,1AveragePolicyStd,0AverageReturn,1StdReturn,0Perplexity,2StdReturn,0PolicyExecTime,0EnvExecTime
-0.00664069224149,800,0.0,0.00983229652047,1300.0,17.4877,1.01062,0.07646059989929199,81.5,0.39467644691467285,2.8615,0.00849697273225,2.85908,140.719357233,15.136281251907349,0.0635249879495,17.4455,0.293358518507,1122.0676004886627,9.580801963806152,2700.0,0.000987382605672,800,9.315463781356812,0.4521458148956299,126.75,2.85887,75.27481079101562,0.0,0.211924341131,800,0.0,0.40533971786499023,1.01204,14.923032283782959,2600.0,-0.00762807484716,1.01073,21.75,341.62516008,17.4419,409.309708534,10.943202495574951,10.158113956451416
-0.00511195138097,800,0.0,0.0119526116177,1900.0,17.6241,1.0116,0.08083295822143555,90.75,0.40734052658081055,2.86927,0.0119526134804,2.85114,220.581298788,17.567838430404663,0.119509201742,17.3075,0.347078977501,1202.2233378887177,10.156930685043335,2300.0,1.39698386192e-09,800,9.614560842514038,0.44869089126586914,183.375,2.86077,78.78410720825195,0.0,0.227223199577,800,0.0,0.43164587020874023,1.01594,15.15999722480774,2600.0,-0.00511195277795,1.00679,43.375,335.05885677,17.475,490.62318471,10.949061155319214,9.996261596679688
-0.00927927810699,800,0.0,0.0486290119588,2100.0,17.6309,1.0116,0.0945122241973877,167.625,0.4048140048980713,2.86965,0.0486290194094,2.86127,154.759844194,15.261285066604614,0.117044571576,17.4837,0.395226051998,1280.8154182434082,9.57052206993103,2700.0,2.79396772385e-09,800,9.548910140991211,0.4574906826019287,235.125,2.86077,77.43492650985718,0.0,0.345843750865,800,0.0,0.4029114246368408,1.01627,16.630255460739136,2400.0,-0.00927928090096,1.01186,22.625,488.097694499,17.475,559.132126044,10.99069094657898,10.122080087661743
-0.00361113669351,800,0.0,0.00929374434054,1700.0,17.7606,1.0116,0.08134269714355469,119.25,0.4029216766357422,2.87698,0.00730287143961,2.85945,155.008820314,14.81888198852539,0.0667806681337,17.4519,0.373448080444,1358.9032595157623,9.339872121810913,2400.0,0.00230837101117,800,9.476109504699707,0.4663074016571045,186.25,2.86077,76.72744798660278,0.0,0.265349389068,800,0.0,0.39539098739624023,1.01979,15.137969732284546,2600.0,-0.00591950770468,1.01099,23.125,411.162300679,17.475,524.438688027,11.232466220855713,10.377132177352905
0.000486916396767,800,0.0,0.116586983204,2200.0,17.5317,1.00706,0.08015751838684082,197.75,0.4174938201904297,2.86401,0.116586983204,2.85333,195.703857908,16.876761436462402,0.0914641568698,17.3454,0.340581369453,1437.6026208400726,9.710999965667725,2800.0,3.49245965481e-10,800,9.731901168823242,0.441802978515625,170.125,2.85189,77.57013034820557,0.0,0.333965153088,800,0.0,0.41785144805908203,1.01321,16.25605082511902,2300.0,0.000486916047521,1.00783,35.0,539.763779352,17.3204,435.367642774,9.8959801197052,9.871551752090454
-0.00330249173567,800,0.0,0.0119922859594,1900.0,17.3072,1.00706,0.07847237586975098,107.5,0.4143407344818115,2.85112,0.0119922887534,2.84809,194.492769788,14.64584469795227,0.0780156531553,17.2548,0.368173084057,1515.3319072723389,9.160089015960693,2700.0,-9.31322574615e-10,800,9.672395706176758,0.45105981826782227,235.625,2.85189,76.29615235328674,0.0,0.227328960113,800,0.0,0.3873167037963867,1.00671,17.470896005630493,2600.0,-0.00330249080434,1.00515,32.75,361.757861007,17.3204,592.573505462,10.069310665130615,10.097768783569336
-0.0148082254454,800,0.0,0.037928134203,2300.0,17.3373,1.00706,0.07524561882019043,167.125,0.42004990577697754,2.85286,0.0379281379282,2.84852,176.604740522,15.083473920822144,0.0980099538666,17.2622,0.44986760668,1592.8457503318787,9.443494081497192,2700.0,9.31322574615e-10,800,9.812608242034912,0.4604530334472656,179.125,2.85189,76.44379687309265,0.0,0.324862840962,800,0.0,0.3971083164215088,1.00766,16.302730798721313,2600.0,-0.0148082263768,1.0054,29.125,466.992220893,17.3204,481.847210612,10.236578464508057,10.376919031143188
-0.0136116929352,800,0.0,0.104674302042,2200.0,17.6646,1.00706,0.07867312431335449,210.375,0.41702866554260254,2.87156,0.104674302042,2.84942,169.452749683,15.472487211227417,0.0922336141912,17.2778,0.348416123759,1671.2859003543854,9.549291133880615,2600.0,-9.31322574615e-10,800,9.61614441871643,0.44599127769470215,162.625,2.85189,76.95971274375916,0.0,0.367015732708,800,0.0,0.404508113861084,1.01704,16.04604172706604,2800.0,-0.0136116920039,1.00583,29.125,565.490812812,17.3204,462.401999752,10.944156885147095,9.957088232040405
-0.00591975823045,800,0.0,0.0120858540758,1400.0,17.4069,1.00706,0.08178257942199707,118.5,0.4356513023376465,2.85687,0.0120858512819,2.84918,127.846587753,14.858159065246582,0.0524722362338,17.2736,0.341368100601,1749.9531304836273,9.286369562149048,2300.0,9.31322574615e-10,800,10.023456811904907,0.4452798366546631,200.5,2.85189,77.53316760063171,0.0,0.248145341012,800,0.0,0.3892695903778076,1.00958,18.214086771011353,2500.0,-0.00591975916177,1.00569,19.5,385.107452538,17.3204,499.224148054,9.922169923782349,9.905147790908813
-0.00295368768275,800,0.0,0.041877001524,1300.0,17.7408,1.00706,0.07895302772521973,158.0,0.41457414627075195,2.87587,0.0418769940734,2.84847,135.57510603,14.90541934967041,0.0656338091364,17.2614,0.345423550387,1826.5250959396362,9.405784606933594,2700.0,2.32830643654e-09,800,9.644182920455933,0.4496188163757324,214.0,2.85189,75.22574758529663,0.0,0.332523637448,800,0.0,0.3988039493560791,1.01923,16.207359313964844,2600.0,-0.00295369001105,1.00537,21.375,475.616442104,17.3204,514.007782042,9.8536376953125,9.897302389144897
-0.00905341375619,800,0.0,0.0624242573977,1700.0,17.507,1.00706,0.40186405181884766,161.375,0.4212815761566162,2.8626,0.0624242611229,2.85066,187.690528197,15.681997776031494,0.109105796814,17.2991,0.293397431347,1905.3093395233154,9.60936951637268,2800.0,-9.31322574615e-10,800,9.674598455429077,0.45302796363830566,128.625,2.85189,77.57665634155273,0.0,0.309175892454,800,0.0,0.4018239974975586,1.01247,15.295398473739624,2700.0,-0.00905341282487,1.00644,36.875,490.35253581,17.3204,415.50344087,11.78623104095459,9.964797496795654
