0MaxReturn,1PolicyExecTime,0PolicyExecTime,1MinReturn,1ExplainedVariance,LossBefore,0ExplainedVariance,1Entropy,0StdReturn,1AverageReturn,1NumTrajs,1Perplexity,0AverageReturn,Time,0EnvExecTime,1AveragePolicyStd,0AveragePolicyStd,1EnvExecTime,dLoss,0NumTrajs,0Entropy,LossAfter,0MinReturn,ComputeUpdatedDistTime,1StdReturn,0Perplexity,1MaxReturn,MeanKL,1ProcessExecTime,0ProcessExecTime,MeanKLBefore,ItrTime
2800.0,35.09551548957825,22.580413818359375,0.0,0.162283011921,-5.52972778678e-10,0.0856870829018,2.38137,649.36560087,445.6875,1600,10.8197,286.5625,3802.498254776001,24.054398775100708,0.796351,0.797893,23.735641956329346,0.00951759275631,1600,2.38511,-0.00951759330928,0.0,0.1087942123413086,848.303543753,10.8603,2800.0,0.008773451671,0.8465275764465332,0.901970624923706,-7.45057970875e-09,111.51813435554504
2700.0,35.05816388130188,21.873698711395264,0.0,0.117427928835,5.60248736292e-10,0.0931129652025,2.36523,632.996467086,409.125,1600,10.6465,261.3125,3916.2038099765778,23.836361169815063,0.789982,0.793088,23.898321866989136,0.00532331327122,1600,2.3732,-0.00532331271097,0.0,0.08415389060974121,808.086774038,10.7316,2900.0,0.00728759588674,0.854100227355957,0.9114198684692383,1.86264426105e-08,110.80330467224121
2600.0,36.26404595375061,21.908921718597412,0.0,0.135436889526,-2.91038304567e-09,0.0788693551083,2.35788,629.276357712,432.125,1600,10.5685,254.875,4030.6075370311737,24.0501446723938,0.787078,0.788084,23.46213459968567,0.00282001297455,1600,2.36056,-0.00282001588494,0.0,0.08832359313964844,839.400371917,10.5969,2800.0,0.00658778659999,0.8541676998138428,0.9077589511871338,0.0,111.595956325531
2700.0,36.358200550079346,20.828386545181274,0.0,0.12357730907,-1.52795109898e-10,0.0760202557447,2.36194,640.245448539,399.625,1600,10.6115,270.875,4144.33437538147,23.964300870895386,0.788568,0.787558,23.66013193130493,0.00409211203078,1600,2.35931,-0.00409211218357,0.0,0.09939265251159668,794.630328754,10.5836,2800.0,0.00720242783427,0.8580646514892578,0.8965044021606445,0.0,110.93733620643616
2600.0,36.553677797317505,21.271496772766113,0.0,0.18121433658,1.16415321827e-09,0.0893633121659,2.3332,673.778698368,516.6875,1600,10.3109,293.125,4259.121104717255,24.091345071792603,0.777329,0.777476,23.896751165390015,0.00542207644321,1600,2.3336,-0.00542207527906,0.0,0.10180163383483887,909.568731512,10.315,2900.0,0.00900009553879,0.8569836616516113,0.921076774597168,-3.72528896619e-09,111.84571957588196
2700.0,36.28484487533569,20.903561115264893,0.0,0.208731995594,-1.54250301421e-09,0.0849591290476,2.29327,652.405042779,511.5625,1600,9.9073,278.8125,4373.000861883163,23.915659427642822,0.762161,0.762577,23.777295351028442,0.00506023535854,1600,2.29433,-0.00506023690104,0.0,0.0964348316192627,917.856229806,9.91778,2800.0,0.0073825865984,0.8584918975830078,0.9053146839141846,0.0,111.00441217422485
2800.0,36.88881826400757,21.697166204452515,0.0,0.163795807222,-2.32830643654e-10,0.103272399543,2.29915,655.994471085,438.5,1600,9.96566,279.9375,4488.474563598633,24.090753078460693,0.764596,0.764623,24.03615951538086,0.00124052958563,1600,2.29931,-0.00124052981846,0.0,0.10333514213562012,840.657629478,9.96733,2800.0,0.00680034561083,0.86541748046875,0.9156956672668457,-2.98023117296e-08,112.84532046318054
2800.0,42.06589484214783,23.269405603408813,0.0,0.209580990591,1.2805685401e-09,0.0910842544455,2.2895,670.798393241,536.75,1600,9.86995,295.875,4613.405469894409,24.855701684951782,0.760918,0.763264,25.1639244556427,0.00457435927819,1600,2.29572,-0.00457435799763,0.0,0.10662484169006348,905.151610229,9.93156,2800.0,0.00746352085844,0.9050159454345703,0.9419419765472412,0.0,121.83446550369263
2700.0,40.634878635406494,24.86570978164673,0.0,0.202159051867,-1.92085281014e-09,0.0925887654171,2.26286,689.227726789,508.0,1600,9.61057,301.625,4737.971561670303,24.79938817024231,0.750777,0.75136,24.919848918914795,0.0026027620188,1600,2.26425,-0.00260276393965,0.0,0.0974423885345459,914.930871706,9.62389,3000.0,0.00783523917198,0.9047660827636719,0.9394595623016357,7.45057793239e-09,121.5069670677185
2800.0,42.66318941116333,26.786030054092407,0.0,0.201204273119,-2.32830643654e-09,0.0824894503328,2.25364,664.749597475,510.5625,1600,9.52235,289.3125,4868.6132736206055,25.186301231384277,0.747261,0.747138,25.65857458114624,5.82076609135e-11,1600,2.2535,-2.38651409745e-09,0.0,0.6541988849639893,907.404090576,9.521,2900.0,0.0,0.923964262008667,0.9650633335113525,0.0,128.0555272102356
