0MinReturn,0PolicyExecTime,1ExplainedVariance,1EnvExecTime,MeanKLBefore,Time,0Perplexity,1ProcessExecTime,1AveragePolicyStd,ComputeUpdatedDistTime,MeanKL,0MaxReturn,0NumTrajs,0EnvExecTime,1AverageReturn,1PolicyExecTime,1StdReturn,1MaxReturn,1NumTrajs,0ExplainedVariance,LossBefore,0StdReturn,1Perplexity,dLoss,1MinReturn,ItrTime,1Entropy,0Entropy,0AveragePolicyStd,0ProcessExecTime,LossAfter,0AverageReturn
0.0,8.741515636444092,0.116504192101,30.24165630340576,-6.4726894955e-09,2301.7411274909973,15.1614,0.9869186878204346,0.943825,0.3116433620452881,0.00902860891074,18200.0,400,30.158515214920044,5016.5,32.01946520805359,5054.90630477,17300.0,400,0.0599884383188,9.23682907938e-10,4197.42444095,15.189,0.00428681354206,0.0,108.20506381988525,2.72057,2.71875,0.942968,1.0344908237457275,-0.00428681261837,3201.75
0.0,8.91077184677124,0.150254869395,31.779943466186523,-5.96046279e-09,2414.805983066559,14.9381,1.0760915279388428,0.933898,0.30184316635131836,0.00958419311792,15300.0,400,30.971311330795288,5521.25,33.52862572669983,4721.07227624,18000.0,400,0.0439087471274,1.61235225171e-09,3207.51457518,14.872,0.00465503775631,0.0,112.35116624832153,2.69948,2.70392,0.935921,1.1556499004364014,-0.00465503614396,2250.5
0.0,7.762799978256226,0.242868961235,31.820770025253296,4.28408331032e-09,2526.894239425659,14.7237,1.0783512592315674,0.927702,0.31293344497680664,0.00981230568141,16800.0,400,30.944382429122925,7590.25,34.3993284702301,5138.11540718,20000.0,400,0.0622801456961,-9.40053701548e-10,3490.38492684,14.6761,0.00516767240188,0.0,112.07708764076233,2.68622,2.68946,0.92918,1.1000561714172363,-0.00516767334193,2875.75
0.0,8.113280057907104,0.111012562176,32.819621324539185,-8.38188574104e-10,2641.692934513092,14.6263,1.1072611808776855,0.926294,0.439345121383667,0.00885779410601,19100.0,400,32.057180881500244,4447.5,33.67517638206482,5212.35491405,20000.0,400,0.0610739917591,2.15368334278e-10,4464.3554686,14.631,0.00428613948752,0.0,114.11187601089478,2.68314,2.68282,0.926096,1.1152303218841553,-0.00428613927215,3494.5
0.0,7.9774134159088135,0.126670839862,26.617786169052124,7.45058292839e-10,2743.0700104236603,14.8722,0.8936045169830322,0.936535,0.3335757255554199,0.00714600505307,11900.0,400,31.398612022399902,4327.25,28.179869890213013,4669.714385,18500.0,400,0.0542277414939,-3.34694078008e-10,1668.10903421,14.9446,0.00509764779417,0.0,101.3717098236084,2.70435,2.69949,0.934355,1.083115816116333,-0.00509764812887,1053.5
0.0,8.017219305038452,0.112696364864,29.39380168914795,-2.51457299427e-09,2849.6401224136353,14.73,0.9914505481719971,0.932643,0.3348267078399658,0.00711309304461,12300.0,400,31.719584226608276,5153.0,29.566974401474,5296.63959506,20200.0,400,0.0399537850134,-1.76078124303e-10,2812.94503146,14.8185,0.00312026525935,0.0,105.8985607624054,2.69588,2.68989,0.929836,1.1155502796173096,-0.00312026543543,1859.5
0.0,6.4134790897369385,0.126442983051,28.305480003356934,-6.7055223596e-09,2946.8700692653656,14.7277,0.9564986228942871,0.932185,0.3326244354248047,0.00845853984356,16900.0,400,25.563079118728638,6291.5,29.971904039382935,5838.79505977,18800.0,400,0.0599091697903,5.93718130215e-10,4028.78393563,14.8156,0.00367957203416,0.0,97.2250247001648,2.69568,2.68973,0.929406,0.9425606727600098,-0.00367957144044,3160.0
0.0,6.048600673675537,0.120822456594,23.767736673355103,4.65661620375e-10,3032.561435699463,14.7687,0.8425643444061279,0.930902,0.3390204906463623,0.00804221257567,15600.0,400,24.237541675567627,5532.25,24.118964195251465,5387.43305643,17800.0,400,0.0470510291343,3.95812049803e-10,2614.32515193,14.7882,0.00460706877057,0.0,84.96397590637207,2.69383,2.69251,0.930252,0.8588926792144775,-0.00460706837475,1802.0
0.0,6.103083610534668,0.126972148891,23.902928590774536,-1.30385113817e-09,3118.9406266212463,14.4886,0.8461110591888428,0.921304,0.373950719833374,0.00690698577091,16600.0,400,24.448498487472534,5046.25,25.038986921310425,5613.52259615,19600.0,400,0.0417607314345,9.77888658937e-10,3079.07518583,14.4852,0.00275829834864,0.0,86.36791062355042,2.67313,2.67336,0.921394,0.8860628604888916,-0.00275829737075,1836.0
0.0,6.149328708648682,0.0951058580574,22.98046112060547,-6.70552413595e-09,3204.5439484119415,14.7159,0.8383903503417969,0.931777,0.30761241912841797,0.00780856981874,14300.0,400,25.043665647506714,5217.5,23.699670791625977,5428.4798747,19200.0,400,0.0442557695105,2.59024135474e-10,3042.81875898,14.8192,0.0032635142823,0.0,84.88355708122253,2.69592,2.68893,0.928505,0.8832271099090576,-0.00326351402327,2148.0
