MaxKL,LossAfter,Time,ExplainedVariance,ItrTime,AveragePolicyStd,MinReturn,TotalExecTime,NumTrajs,Perplexity,AverageReturn,Entropy,LossBefore,MaxReturn,StdReturn,MeanKL
0.259958,-0.00941811,656.2757594585419,0.828615514816,27.407933950424194,0.682108,0.0,27.183583736419678,200,7.94636,1112.0,2.07271,-0.0013012,2900.0,1191.49318084,0.0377457
0.638824,-0.0186334,683.1440947055817,0.848905831241,26.854419946670532,0.68188,0.0,26.56754446029663,200,7.94119,1374.5,2.07206,-0.00713705,2900.0,1197.24673731,0.09924
0.812893,-8.09915e-05,709.761016368866,0.8321073811,26.598108053207397,0.680669,0.0,26.37212896347046,200,7.91289,1289.5,2.06849,0.015858,2900.0,1232.08755777,0.0750035
2.10217,-0.0170608,737.0104727745056,0.831384864652,27.21816396713257,0.683373,0.0,27.084655284881592,200,7.97589,1411.0,2.07642,-0.00761636,2900.0,1243.05229174,0.242042
0.417778,-0.0167276,763.3944075107574,0.826377534852,26.332295894622803,0.682093,0.0,26.100048303604126,200,7.94557,1588.0,2.07261,-0.0106152,2900.0,1205.34476396,0.0470055
2.69914,-0.0490588,789.100546836853,0.833777638681,25.68307638168335,0.680305,0.0,25.4151611328125,200,7.90351,1772.0,2.06731,-0.00650901,2900.0,1091.84064771,0.28111
6.34674,-0.0391135,816.2479295730591,0.972622637889,27.13856792449951,0.67918,1300.0,26.832086086273193,200,7.87783,2447.0,2.06405,-0.0125685,2900.0,314.151237464,0.585398
0.661031,-0.0358468,844.0396764278412,0.989631087107,27.786535263061523,0.677029,2000.0,27.48183536529541,200,7.82848,2603.5,2.05777,-0.0266213,3000.0,177.024715789,0.0510077
3.19254,-0.0442741,870.6401741504669,0.992996617099,26.591655254364014,0.672533,2200.0,26.323227643966675,200,7.72497,2638.0,2.04446,-0.0103041,2900.0,136.952546526,0.409647
0.698586,-0.015873,898.6033344268799,0.994079917894,27.9398455619812,0.6708,2300.0,27.670150756835938,200,7.68528,2661.5,2.03931,-0.00753495,2900.0,125.56970176,0.0857593
5.53425,-0.0545575,925.7320957183838,0.994020915835,27.109259843826294,0.669541,2200.0,26.831762075424194,200,7.65637,2653.5,2.03554,-0.0162609,2900.0,124.449789072,0.527069
0.673635,-0.00381215,953.8499636650085,0.993919517264,28.114991903305054,0.66682,2400.0,27.906123399734497,200,7.59438,2659.5,2.02741,0.000510039,3000.0,126.924189972,0.0372535
0.739544,-0.0187855,981.0607738494873,0.995105288701,27.202057600021362,0.666908,2400.0,27.007856369018555,200,7.59631,2674.5,2.02766,-0.00802889,3000.0,109.543370406,0.144174
0.671893,0.000191392,1007.3056600093842,0.993065330154,26.22001886367798,0.665573,2300.0,25.964686155319214,200,7.56588,2652.0,2.02365,0.00560049,2900.0,132.64991519,0.0777272
0.135328,-0.00582856,1033.4048838615417,0.995482927876,26.080342054367065,0.666503,2400.0,25.84516954421997,200,7.5871,2698.0,2.02645,-0.00361444,3000.0,111.7855089,0.0112399
2.6402,-0.0133889,1062.6100108623505,0.994268425546,29.177679300308228,0.665901,2400.0,28.94750189781189,200,7.57339,2688.0,2.02464,-0.00166477,3000.0,116.0,0.25824
3.13856,-0.0194613,1090.0885875225067,0.995150247735,27.45270538330078,0.66563,2400.0,27.300260543823242,200,7.56709,2681.0,2.02381,0.00294372,3000.0,115.060853465,0.314991
2.52551,-0.0327619,1120.3016512393951,0.994310141257,30.203134536743164,0.666113,2200.0,29.875927209854126,200,7.57824,2661.5,2.02528,-0.0119559,2900.0,123.562737101,0.369608
1.01111,-0.0262452,1148.9386246204376,0.994639901468,28.63239312171936,0.664136,2300.0,28.336206674575806,200,7.53307,2672.5,2.0193,-0.0104625,3000.0,114.864050077,0.165255
0.43075,-0.0162335,1176.3132195472717,0.995073160156,27.359440803527832,0.66239,2400.0,27.107388257980347,200,7.49377,2687.0,2.01407,-0.0116543,3000.0,114.153405556,0.0378128
1.15357,-0.0286819,1205.5915126800537,0.994246783777,29.265824556350708,0.66047,2300.0,29.055450439453125,200,7.45022,2658.0,2.00824,-0.0107855,2900.0,113.736537665,0.261644
0.918777,-0.00419414,1234.1140668392181,0.995408963129,28.511831283569336,0.658686,2400.0,28.179566860198975,200,7.41016,2684.0,2.00285,0.00346555,2900.0,103.653268159,0.0829313
2.14018,-0.01634,1264.221019268036,0.993880317988,30.100128889083862,0.659256,2300.0,29.81833815574646,200,7.42301,2682.0,2.00458,0.00440047,3000.0,124.0,0.307724
0.788328,-0.0204514,1294.5852744579315,0.994817378524,30.357007026672363,0.659983,2300.0,29.941738605499268,200,7.43936,2677.0,2.00678,-0.0131532,3000.0,116.064637164,0.0924431
0.985278,-0.0290489,1323.4727048873901,0.993955602783,28.87848687171936,0.657813,2200.0,28.564598560333252,200,7.39059,2679.0,2.00021,-0.0183492,2900.0,120.245582039,0.0818529
0.0244634,0.00386675,1353.3717694282532,0.994736491615,29.88771653175354,0.654804,2300.0,29.658745050430298,200,7.3231,2684.5,1.99103,0.00525984,3000.0,114.060291075,0.00453647
