0AveragePolicyStd,0ProcessExecTime,1Perplexity,LossBefore,1StdReturn,dLoss,1ProcessExecTime,0NumTrajs,0MaxReturn,1Entropy,0EnvExecTime,1MinReturn,0ExplainedVariance,0StdReturn,1AverageReturn,1AveragePolicyStd,LossAfter,Time,0Perplexity,MeanKL,ItrTime,1PolicyExecTime,0PolicyExecTime,0MinReturn,0AverageReturn,1NumTrajs,1MaxReturn,ComputeUpdatedDistTime,0Entropy,MeanKLBefore,1ExplainedVariance,1EnvExecTime
0.994466,0.02563619613647461,16.7366,2.79396772385e-09,449.888875168,0.0110929412767,0.021230459213256836,40,1700.0,2.8176,0.5283913612365723,0.0,0.259842058914,353.897937264,160.0,0.990426,-0.0110929384828,37.86721634864807,16.8851,0.00572229037061,3.237102508544922,1.031196117401123,0.556729793548584,0.0,97.5,40,2200.0,0.09348893165588379,2.82643,0.0,0.461806006222,0.48548221588134766
0.98936,0.021596670150756836,16.6287,-1.86264514923e-09,348.532638357,0.00939297489822,0.020857572555541992,40,1100.0,2.81113,0.4585855007171631,0.0,0.168945745484,171.737444956,105.0,0.986817,-0.00939297676086,41.16293239593506,16.7143,0.00724342186004,3.065401077270508,0.9549117088317871,0.48795604705810547,0.0,27.5,40,1500.0,0.10175132751464844,2.81627,0.0,0.297729671565,0.45398902893066406
0.972563,0.02183079719543457,16.2349,2.79396772385e-09,435.430821142,0.0143156405538,0.02069234848022461,40,1600.0,2.78717,0.44707274436950684,0.0,0.109151817143,249.799919936,170.0,0.975104,-0.0143156377599,44.5971462726593,16.1524,0.00781629048288,3.223578929901123,1.1520047187805176,0.4975414276123047,0.0,40.0,40,1600.0,0.11627650260925293,2.78207,-9.31322685638e-10,0.366025977663,0.48873162269592285
0.969935,0.021431922912597656,16.1848,-5.58793544769e-09,265.329983228,0.00898170284927,0.02258014678955078,40,300.0,2.78407,0.45450353622436523,0.0,0.0377675996863,46.837484988,60.0,0.973593,-0.0089817084372,48.05209541320801,16.0638,0.00675496086478,3.2006568908691406,1.0925471782684326,0.4915127754211426,0.0,7.5,40,1400.0,0.08961868286132812,2.77657,0.0,0.182829722923,0.49322056770324707
0.951186,0.02233576774597168,15.4264,2.79396772385e-09,422.344645994,0.000351532362401,0.02184295654296875,40,900.0,2.73608,0.48827123641967773,0.0,0.178090154966,180.277563773,175.0,0.950673,-0.000351529568434,51.59962558746338,15.4485,0.00272185099311,3.3321523666381836,1.0687034130096436,0.528904914855957,0.0,50.0,40,1700.0,0.09971809387207031,2.73751,0.0,0.298404444728,0.49407434463500977
0.952902,0.02141261100769043,15.6567,-1.62981450558e-09,767.524429579,0.0247213153634,0.019551992416381836,40,1200.0,2.7509,0.46927714347839355,0.0,0.377347244858,258.348117857,712.5,0.957661,-0.0247213169932,54.904499769210815,15.5052,0.00858030561358,3.0965492725372314,0.9994032382965088,0.5126073360443115,0.0,102.5,40,2400.0,0.09587907791137695,2.74118,2.32830665858e-09,0.484577238941,0.4734382629394531
0.95342,0.022777080535888672,15.2211,-3.72529029846e-09,808.084154033,0.00951562635601,0.02199554443359375,40,1400.0,2.72268,0.5113272666931152,0.0,0.140107243553,288.74729436,400.0,0.944332,-0.0095156300813,59.26172876358032,15.5201,0.00739540113136,4.119109869003296,1.722059726715088,0.7396013736724854,0.0,75.0,40,2800.0,0.11185717582702637,2.74214,0.0,0.428739589831,0.49349093437194824
0.94672,0.02514815330505371,15.2856,2.44472175837e-09,272.90108098,0.00763797492255,0.02122664451599121,40,1100.0,2.72691,0.5062723159790039,0.0,0.121368201878,226.59159296,105.0,0.94642,-0.00763797247782,62.877219438552856,15.2914,0.00830370746553,3.2437620162963867,1.0180847644805908,0.5632431507110596,0.0,62.5,40,1000.0,0.12296056747436523,2.72729,0.0,0.287934045329,0.4778633117675781
0.956786,0.021802902221679688,15.9248,-5.23868948221e-09,649.057008282,0.00591100275051,0.021704912185668945,40,1900.0,2.76788,0.46425485610961914,0.0,0.17068351158,390.0,465.0,0.967057,-0.0059110079892,66.23806309700012,15.6061,0.00800830312073,3.121697187423706,1.0145204067230225,0.49735212326049805,0.0,120.0,40,2500.0,0.10320639610290527,2.74766,0.0,0.400656542041,0.48589444160461426
0.964973,0.022260427474975586,15.2422,-6.98491930962e-09,434.741302386,0.00993227260187,0.02043890953063965,40,1500.0,2.72407,0.4787638187408447,0.0,0.217162831085,394.960441057,200.0,0.945812,-0.00993227958679,69.61352491378784,15.8805,0.0079743033275,3.188180446624756,1.046604871749878,0.5133304595947266,0.0,152.5,40,1500.0,0.10656976699829102,2.76509,-3.25962901115e-09,0.283383930709,0.4737560749053955
0.967662,0.021561384201049805,16.0822,2.79396772385e-09,580.839909097,0.0112675176933,0.0220029354095459,40,300.0,2.77771,0.46407079696655273,0.0,0.0677824693258,46.837484988,275.0,0.971107,-0.0112675148994,73.36690640449524,15.9676,0.00842787884176,3.5010008811950684,1.2574498653411865,0.5039451122283936,0.0,7.5,40,2100.0,0.09306073188781738,2.77056,4.65661342819e-10,0.507316328683,0.5214636325836182
0.965527,0.021869182586669922,16.0599,2.79396772385e-09,631.224009366,0.0147301796824,0.019583940505981445,40,1400.0,2.77633,0.46187782287597656,0.0,0.396240790505,242.783339626,357.5,0.971423,-0.0147301768884,77.21421003341675,15.9015,0.00678377784789,3.64536190032959,1.6239581108093262,0.47879791259765625,0.0,57.5,40,2300.0,0.1018223762512207,2.76641,-2.32830665858e-09,0.476550585604,0.45523929595947266
0.962402,0.021383285522460938,15.8203,5.82076609135e-09,423.667027275,0.0168556014542,0.019693613052368164,40,1700.0,2.76129,0.4774653911590576,0.0,0.592497930347,349.276036968,252.5,0.963002,-0.0168555956334,80.67052912712097,15.7939,0.0070764045231,3.227963924407959,1.0030219554901123,0.6007452011108398,0.0,152.5,40,1400.0,0.1389636993408203,2.75962,4.65661342819e-10,0.379176006793,0.47428226470947266
0.955705,0.021348237991333008,15.1184,-1.86264514923e-09,636.003144646,0.0130372587591,0.019712209701538086,40,1700.0,2.71591,0.48095154762268066,0.0,0.547162043364,462.574318353,450.0,0.942246,-0.0130372606218,84.11786794662476,15.575,0.00641093682498,3.2059810161590576,1.0359153747558594,0.5024402141571045,0.0,255.0,40,1900.0,0.11771821975708008,2.74567,1.39698386192e-09,0.498765158543,0.4685547351837158
0.951602,0.022165775299072266,15.0307,-1.2805685401e-09,643.11254847,0.0107333237538,0.020884990692138672,40,1500.0,2.71009,0.47522807121276855,0.0,0.564378324737,357.735936132,387.5,0.938918,-0.0107333250344,87.7361695766449,15.4498,0.00907642953098,3.3798415660858154,1.2768833637237549,0.5199146270751953,0.0,145.0,40,2100.0,0.1012430191040039,2.7376,2.79396794589e-09,0.416391496656,0.5005929470062256
0.957896,0.022409915924072266,15.5238,1.86264514923e-09,749.395589792,0.0150216836482,0.021193504333496094,40,1600.0,2.74238,0.49451494216918945,0.0,0.356417452545,354.788669492,512.5,0.953782,-0.0150216817856,91.48820638656616,15.649,0.00665564602241,3.3163161277770996,1.0941107273101807,0.5187902450561523,0.0,125.0,40,2100.0,0.12547039985656738,2.7504,-2.79396772385e-09,0.355231801447,0.48615598678588867
0.9588,0.0219118595123291,15.6708,0.0,0.0,0.0,0.021592378616333008,40,0.0,2.7518,0.5081801414489746,0.0,1,0.0,0.0,0.9588,0.0,95.48792719841003,15.6708,0.0,3.760275363922119,1.0921735763549805,0.5572843551635742,0.0,0.0,40,0.0,0.12682271003723145,2.7518,0.0,1,0.48931074142456055
0.9588,0.022188186645507812,15.329,-1.39698386192e-08,799.937497558,0.0163231333718,0.021375179290771484,40,2300.0,2.72974,0.47164225578308105,0.0,0.412011623757,559.190262791,640.0,0.948066,-0.0163231473416,99.15381407737732,15.6708,0.00780861126259,3.451735019683838,1.017906665802002,0.8238580226898193,0.0,292.5,40,2100.0,0.12079167366027832,2.7518,0.0,0.527056617865,0.4732208251953125
0.949544,0.02142500877380371,15.3749,0.0,0.0,0.0,0.022150516510009766,40,0.0,2.73274,0.46040773391723633,0.0,1,0.0,0.0,0.949544,0.0,102.82605361938477,15.3749,0.0,3.467618703842163,1.242706537246704,0.4892089366912842,0.0,0.0,40,0.0,0.07782912254333496,2.73274,0.0,1,0.48642683029174805
0.949544,0.021558046340942383,15.3749,0.0,0.0,0.0,0.022112131118774414,40,0.0,2.73274,0.4856266975402832,0.0,1,0.0,0.0,0.949544,0.0,106.39928460121155,15.3749,0.0,3.348672389984131,1.094550371170044,0.5041608810424805,0.0,0.0,40,0.0,0.10836958885192871,2.73274,0.0,1,0.5014381408691406
0.949544,0.022618532180786133,15.08,0.0,744.916102659,0.0117596099153,0.0198361873626709,40,2100.0,2.71337,0.4792816638946533,0.0,0.312038568608,626.318609016,660.0,0.940714,-0.0117596099153,109.92872762680054,15.3749,0.00718130962923,3.32330584526062,1.1468689441680908,0.544973611831665,0.0,385.0,40,2000.0,0.10360169410705566,2.73274,4.65661342819e-10,0.355176959188,0.4740784168243408
0.955106,0.025461673736572266,14.6792,2.79396772385e-09,805.279454599,0.0282557802275,0.019961833953857422,40,1900.0,2.68643,0.5367460250854492,0.0,0.664561600631,605.800090789,1295.0,0.927963,-0.0282557774335,113.45185971260071,15.5533,0.00992636103183,3.313178300857544,1.0642127990722656,0.604914665222168,0.0,752.5,40,2700.0,0.09560608863830566,2.74427,2.32830621449e-09,0.635010986578,0.46043848991394043
0.956499,0.023334741592407227,15.2998,-4.65661287308e-10,734.910708862,0.0110751497559,0.01953434944152832,40,1700.0,2.72784,0.4939093589782715,0.0,0.196883358667,548.492251541,387.5,0.947291,-0.0110751502216,117.06678795814514,15.5989,0.00650687888265,3.400994300842285,1.1703782081604004,0.6070079803466797,0.0,262.5,40,2100.0,0.09646105766296387,2.7472,0.0,0.229442021472,0.46326756477355957
0.957754,0.022058486938476562,15.8702,0.0,946.833538696,0.0188799835742,0.018980979919433594,40,1800.0,2.76444,0.4605560302734375,0.0,0.217887326473,707.813534767,847.5,0.964695,-0.0188799835742,120.44384050369263,15.6371,0.00867373589426,3.1748294830322266,1.0407943725585938,0.5149822235107422,0.0,650.0,40,2300.0,0.08072257041931152,2.74965,-4.07453626394e-09,0.468283281368,0.4730093479156494
0.95008,0.02034616470336914,15.0939,-5.58793544769e-09,767.100873419,0.0111485393718,0.02138829231262207,40,2000.0,2.71429,0.4660828113555908,0.0,0.103722951297,582.215595806,382.5,0.940842,-0.0111485449597,123.98367643356323,15.3912,0.00976448785514,3.3417418003082275,1.0472064018249512,0.5332427024841309,0.0,295.0,40,2600.0,0.29419517517089844,2.7338,0.0,0.22475374903,0.4751555919647217
0.937887,0.021925687789916992,14.9686,0.0,0.0,0.0,0.02361774444580078,40,0.0,2.70595,0.46264052391052246,0.0,1,0.0,0.0,0.937887,0.0,127.6522364616394,14.9686,0.0,3.43536639213562,1.1755104064941406,0.5105834007263184,0.0,0.0,40,0.0,0.1089174747467041,2.70595,0.0,1,0.5031509399414062
0.937887,0.02158188819885254,14.7846,-9.31322574615e-10,1054.72449009,0.0135819101706,0.021047115325927734,40,2100.0,2.69359,0.48486876487731934,0.0,0.246371973552,765.338977186,1017.5,0.933291,-0.0135819111019,131.77629923820496,14.9686,0.00968662742525,3.9118261337280273,1.7393596172332764,0.5343546867370605,0.0,597.5,40,2600.0,0.14714980125427246,2.70595,-1.11758717836e-08,0.365461200906,0.48767733573913574
0.935721,0.02326202392578125,15.0355,-2.32830643654e-09,946.189727275,0.0105579183437,0.020830392837524414,40,2100.0,2.71041,0.5032491683959961,0.0,0.0948770614437,539.907399468,535.0,0.94014,-0.010557920672,135.97701811790466,14.8918,0.0077339829877,3.915022134780884,1.0843122005462646,1.2139739990234375,0.0,250.0,40,2600.0,0.09566593170166016,2.70081,-1.16415332929e-09,0.260121372937,0.4864234924316406
0.92027,0.027777671813964844,14.4404,-3.72529029846e-09,854.912276201,0.00999354198575,0.019317150115966797,40,2200.0,2.67003,0.5105447769165039,0.0,0.114456161844,706.359504785,475.0,0.921301,-0.00999354571104,139.47492170333862,14.3975,0.00660821143538,3.262958526611328,1.049112319946289,0.540520191192627,0.0,357.5,40,2300.0,0.09117245674133301,2.66705,0.0,0.211059228147,0.46336889266967773
0.912443,0.021950721740722656,14.0258,7.91624188423e-09,953.663986947,0.0105869309045,0.019388198852539062,40,2300.0,2.6409,0.4848203659057617,0.0,0.0827238971314,612.571424407,545.0,0.90801,-0.0105869229883,142.8585295677185,14.1592,0.00777539657429,3.1823196411132812,1.0876173973083496,0.5093891620635986,0.0,297.5,40,2800.0,0.10126304626464844,2.65036,-1.86264537128e-09,0.376284044231,0.46550941467285156
0.89993,0.023601531982421875,13.7712,0.0,0.0,0.0,0.021514177322387695,40,0.0,2.62258,0.4987051486968994,0.0,1,0.0,0.0,0.89993,0.0,146.4392170906067,13.7712,0.0,3.355302095413208,1.0824661254882812,0.5879106521606445,0.0,0.0,40,0.0,0.09843897819519043,2.62258,0.0,1,0.48145222663879395
0.89993,0.023322582244873047,13.519,-1.16415321827e-10,719.161838531,0.00733296747785,0.01931309700012207,40,2300.0,2.6041,0.481797456741333,0.0,0.121169461168,790.23730613,332.5,0.891651,-0.00733296759427,149.90550756454468,13.7712,0.00652678357437,3.2532811164855957,1.175044298171997,0.48965954780578613,0.0,445.0,40,2300.0,0.08302736282348633,2.62258,0.0,0.0930562052765,0.4718494415283203
