1ExplainedVariance,0PolicyExecTime,0ExplainedVariance,1PolicyExecTime,0AverageReturn,0EnvExecTime,MeanKL,0MaxReturn,0ProcessExecTime,LossBefore,1EnvExecTime,MeanKLBefore,0MinReturn,1ProcessExecTime,1AverageReturn,1MinReturn,0NumTrajs,0StdReturn,LossAfter,1MaxReturn,dLoss,ComputeUpdatedDistTime,0AveragePolicyStd,1AveragePolicyStd,0Perplexity,Time,1StdReturn,0Entropy,1Entropy,1Perplexity,1NumTrajs,ItrTime
0.335170398257,161.31423902511597,0.0573136804546,244.63729214668274,2649.35,145.77180242538452,0.00730887427926,20700.0,6.014369249343872,-6.03904481977e-10,146.69534301757812,-1.86264204061e-09,0.0,5.8502655029296875,9012.35,0.0,2000,5018.55154178,-0.00265978998505,22100.0,0.00265978938114,0.2586658000946045,0.918741,0.916621,14.4165,9639.906691551208,8894.90767111,2.66838,2.66375,14.35,2000,733.1915986537933
0.396133879511,162.05402183532715,0.0592265022238,244.20963597297668,2729.35,146.26375198364258,0.00684661930427,21300.0,5.994007110595703,5.67524693906e-10,146.7785255908966,-1.11758708954e-08,0.0,5.783956289291382,9468.35,0.0,2000,5221.76536982,-0.00366138457321,22800.0,0.00366138514073,0.26689743995666504,0.911367,0.909721,14.186,10378.084005832672,9154.11564694,2.65225,2.64864,14.1348,2000,733.9013233184814
0.445093882906,161.096088886261,0.0569193696423,247.2585895061493,2138.5,145.20392966270447,0.00747291371226,22100.0,5.990113735198975,1.33877620101e-09,146.5544788837433,2.04891179578e-08,0.0,5.802814245223999,11118.5,0.0,2000,4294.67434737,-0.00320949521847,22400.0,0.00320949655725,0.2708001136779785,0.907615,0.907247,14.0693,11116.88846373558,9250.74147028,2.644,2.64319,14.058,2000,734.6118581295013
0.347263656672,160.32551956176758,0.0671469627494,244.1740574836731,2522.05,146.2076177597046,0.00939099304378,20600.0,6.03705358505249,-2.91038304567e-11,147.00418210029602,-3.72528430326e-09,0.0,5.81059193611145,7750.55,0.0,2000,4985.64427105,-0.0044894781895,22900.0,0.00448947816039,0.28197789192199707,0.899239,0.898494,13.8097,11853.235168218613,9343.98200434,2.62537,2.62371,13.7868,2000,732.2550132274628
0.408500186547,162.01420331001282,0.0610900565849,244.39947414398193,1958.85,146.68476557731628,0.00717152748257,21500.0,6.005724191665649,-1.78260961547e-10,146.37093806266785,3.7252845253e-09,0.0,5.792424201965332,9924.45,0.0,2000,4216.83669087,-0.00301687931642,23100.0,0.00301687913816,0.28256773948669434,0.899147,0.898382,13.8062,12591.777071237564,9871.95153946,2.62512,2.6234,13.7825,2000,734.1898896694183
0.508975193564,161.16678428649902,0.0650766451241,247.9060251712799,1984.05,145.06244945526123,0.00686204619706,21600.0,6.003921031951904,1.40062184073e-09,147.73728775978088,1.86263837687e-09,0.0,5.826256275177002,12400.15,0.0,2000,4191.92087205,-0.00321156019345,23200.0,0.00321156159407,0.2688307762145996,0.892906,0.892147,13.6116,13332.919700145721,10039.3055027,2.61092,2.60922,13.5885,2000,736.4771478176117
0.53377505353,160.37043619155884,0.0753872151121,244.1569037437439,1840.0,146.70794773101807,0.00849033985287,20300.0,6.068565607070923,-1.89174897969e-10,146.76401662826538,-1.19348975147e-15,0.0,5.765521049499512,14069.3,0.0,2000,4079.82230005,-0.00335431005806,23500.0,0.00335430986888,0.2794315814971924,0.881973,0.881116,13.2763,14069.582892656326,9574.0408141,2.58598,2.58405,13.2508,2000,732.5822081565857
0.484426983061,160.68349981307983,0.0879280155217,244.3909420967102,1958.55,144.9605793952942,0.00711747212335,21600.0,6.053626298904419,4.14729584008e-10,146.8069679737091,1.117586379e-08,0.0,5.802870512008667,11490.8,0.0,2000,4373.43079258,-0.00420881295577,23800.0,0.0042088133705,0.2556424140930176,0.8733,0.871991,13.015,14805.72525215149,10272.057017,2.5661,2.5631,12.9759,2000,731.7216320037842
0.428157260791,160.7755208015442,0.0679353897426,243.9470043182373,2104.0,146.4337751865387,0.0078907199204,21700.0,6.059125185012817,7.85803422332e-10,146.6939959526062,-5.58792878635e-09,0.0,5.7964630126953125,10304.85,0.0,2000,4660.35878447,-0.00466270884499,23600.0,0.00466270963079,0.27753257751464844,0.866835,0.866428,12.8233,15542.965236186981,9964.42027804,2.55127,2.55034,12.8114,2000,732.5617253780365
0.485738372266,164.22841620445251,0.0823148216286,244.842267036438,1956.5,148.14358043670654,0.00769680691883,21500.0,6.047179937362671,4.51109372079e-10,147.0962471961975,1.86264259572e-09,0.0,5.781677961349487,11475.8,0.0,2000,4335.91832834,-0.00410610809922,23800.0,0.00410610855033,0.2886972427368164,0.857016,0.857069,12.5343,16286.21108865738,9923.83869075,2.52847,2.52861,12.5361,2000,739.1013808250427
0.500751467402,160.72857785224915,0.0741032027642,244.3795986175537,1647.7,145.54984498023987,0.00761084724218,21700.0,5.986748695373535,2.76486389339e-10,147.0845663547516,0.0,0.0,5.819636106491089,10815.15,0.0,2000,3905.0972728,-0.00489868409932,23700.0,0.0048986843758,0.28229284286499023,0.844253,0.844447,12.1616,17023.168606758118,9780.26970372,2.49829,2.4988,12.1679,2000,732.5029430389404
0.435171314854,161.07926535606384,0.0712744528347,243.81579971313477,1942.1,145.90906310081482,0.00649167923257,23300.0,6.014817714691162,1.67347025126e-10,146.7624955177307,0.0,0.0,5.787829637527466,8872.0,0.0,2000,4335.02682691,-0.00516630942002,23800.0,0.00516630958737,0.27504873275756836,0.830246,0.830321,11.7609,17759.910336494446,10089.9695738,2.46478,2.46499,11.7634,2000,732.3042502403259
0.456617516684,173.14172649383545,0.0689028120199,235.33937573432922,1916.45,147.87933540344238,0.00673253042623,22100.0,6.023888826370239,-1.7462298274e-10,147.0015549659729,-2.98023365986e-08,0.0,5.7703351974487305,9768.55,0.0,2000,4332.0450595,-0.00383368716575,23800.0,0.00383368699113,0.3447413444519043,0.825538,0.825409,11.6299,18502.014962911606,10179.9875195,2.45358,2.45329,11.6266,2000,737.9470720291138
0.479727242062,170.35283589363098,0.0720368197716,236.07542037963867,1886.65,145.7417914867401,0.00649112835526,21900.0,6.000112533569336,-3.49245965481e-10,147.67414569854736,0.0,0.0,5.789233684539795,10414.7,0.0,2000,4301.68650386,-0.00432267645374,23700.0,0.00432267610449,0.2772371768951416,0.81662,0.817003,11.383,19241.076109409332,10485.6417977,2.43212,2.43309,11.394,2000,734.5229320526123
