0MaxReturn,MeanKL,Time,LossBefore,1ProcessExecTime,0ProcessExecTime,1Perplexity,0StdReturn,dLoss,LossAfter,1NumTrajs,1MinReturn,1StdReturn,1EnvExecTime,0NumTrajs,1MaxReturn,0Perplexity,1ExplainedVariance,0ExplainedVariance,1PolicyExecTime,MeanKLBefore,ComputeUpdatedDistTime,1AveragePolicyStd,1Entropy,0PolicyExecTime,0Entropy,1AverageReturn,0MinReturn,0AverageReturn,0AveragePolicyStd,0EnvExecTime,ItrTime
1700.0,0.00703762052581,228.07965397834778,2.79396772385e-09,0.0660398006439209,0.05098295211791992,14.1113,324.8052301,0.00357730314136,-0.00357730034739,80,0.0,1128.82682463,1.5300498008728027,80,2900.0,14.1591,0.561069396377,0.0379825355832,2.5869741439819336,0.0,0.10759282112121582,0.90933,2.64698,1.070807695388794,2.65036,650.0,0.0,111.25,0.91091,1.0896637439727783,7.123692274093628
1700.0,0.00797304045409,235.256112575531,3.25962901115e-09,0.0592801570892334,0.05286359786987305,13.5167,394.63392847,0.00293541932479,-0.00293541606516,80,0.0,1166.50921557,1.3562438488006592,80,2900.0,13.6971,0.557894772923,0.0918543035662,2.259993076324463,0.0,0.10226869583129883,0.889948,2.60393,1.138131856918335,2.61719,672.5,0.0,146.25,0.895745,1.1029093265533447,6.662980794906616
1700.0,0.00962639600039,242.30928468704224,3.72529029846e-09,0.06296610832214355,0.05552959442138672,13.7862,412.596579603,0.00846013519913,-0.00846013147384,80,0.0,1147.33318504,1.4890735149383545,80,2900.0,13.7242,0.521403295455,0.10632468926,2.4560046195983887,0.0,0.08074593544006348,0.898944,2.62366,1.1759109497070312,2.61916,661.25,0.0,166.25,0.896863,1.176814079284668,7.044195175170898
1600.0,0.00637702923268,249.43917155265808,-5.35510480404e-09,0.0640265941619873,0.0447688102722168,13.0825,380.427391233,0.00345933646895,-0.00345934182405,80,0.0,1148.40922584,1.4900577068328857,80,2800.0,13.2094,0.505440008561,0.0788447588415,2.427114725112915,0.0,0.08564233779907227,0.875738,2.57127,0.9994649887084961,2.58093,662.5,0.0,155.0,0.879878,0.9347190856933594,6.554291248321533
2000.0,0.00644758390263,256.8873314857483,-1.86264514923e-09,0.06725692749023438,0.0568392276763916,13.0002,394.285350349,0.00469790026546,-0.0046979021281,80,0.0,1009.41737527,1.6030662059783936,80,2600.0,13.0159,0.502040696544,0.0724243138791,2.6339051723480225,0.0,0.10833907127380371,0.872984,2.56497,1.199286937713623,2.56617,578.75,0.0,143.75,0.873571,1.199098825454712,7.443408727645874
1600.0,0.00884237419814,264.46833300590515,-9.31322574615e-10,0.06478667259216309,0.053510427474975586,12.6564,377.489652176,0.00560571160167,-0.005605712533,80,0.0,1149.49717268,1.5483324527740479,80,2900.0,12.7653,0.552319533928,0.0321198804688,2.505983591079712,0.0,0.09076809883117676,0.861499,2.53816,1.1343514919281006,2.54673,662.5,0.0,148.75,0.86517,1.1331818103790283,7.075012445449829
1700.0,0.00697572622448,271.69432759284973,-6.28642737865e-09,0.0697786808013916,0.05104660987854004,12.1257,537.72669638,0.0029604381416,-0.00296044442803,80,0.0,1157.34340193,1.6300718784332275,80,2800.0,12.0367,0.513988889876,0.166893213925,2.6294658184051514,0.0,0.08043599128723145,0.843009,2.49533,1.1014041900634766,2.48796,667.5,0.0,240.0,0.83986,1.0921823978424072,7.220193147659302
2000.0,0.00748944561929,279.1072108745575,0.0,0.06295418739318848,0.04826641082763672,11.5295,505.06806472,0.00373850204051,-0.00373850204051,80,0.0,1155.19952281,1.4519920349121094,80,2800.0,11.7762,0.524403746807,0.0679177609479,2.533546209335327,0.0,0.08020496368408203,0.821958,2.44491,1.0391533374786377,2.46608,666.25,0.0,237.5,0.830557,1.0281603336334229,6.711107492446899
1500.0,0.0098054939881,286.3386085033417,-1.86264514923e-09,0.06769466400146484,0.053320884704589844,11.7048,412.158949921,0.00813202839345,-0.00813203025609,80,0.0,1166.40205332,1.5866398811340332,80,3000.0,12.0496,0.513504059237,0.0593656810458,2.698965549468994,0.0,0.09577465057373047,0.82933,2.46,1.1288230419158936,2.48903,672.5,0.0,175.0,0.841197,1.140918254852295,7.226269960403442
1900.0,0.00695785973221,294.146448135376,2.79396772385e-09,0.06753277778625488,0.055234670639038086,11.9906,500.060933787,0.00510423444211,-0.00510423164815,80,0.0,1162.04561012,1.5526084899902344,80,2900.0,11.9631,0.526839968771,0.0767234679354,2.562333583831787,1.86264532687e-08,0.08626246452331543,0.838755,2.48412,1.1918144226074219,2.48183,670.0,0.0,223.75,0.838035,1.202765941619873,7.316269159317017
