1PolicyExecTime,1StdReturn,0MinReturn,0MaxReturn,0PolicyExecTime,1EnvExecTime,0AveragePolicyStd,0Perplexity,0AverageReturn,0ProcessExecTime,Time,0EnvExecTime,1MinReturn,dLoss,1ProcessExecTime,0Entropy,1ExplainedVariance,1AveragePolicyStd,0NumTrajs,1Perplexity,1AverageReturn,1MaxReturn,ComputeUpdatedDistTime,0StdReturn,1NumTrajs,LossBefore,1Entropy,ItrTime,MeanKLBefore,0ExplainedVariance,MeanKL,LossAfter
331.6050646305084,8055.43381824,0.0,23000.0,197.32026958465576,162.1879551410675,0.974732,16.2273,2832.2,6.490015506744385,11614.152196645737,161.1237874031067,0.0,0.00129624191322,6.511203765869141,2.78669,0.128950566438,0.973093,2000,16.1726,4626.0,23200.0,0.26167941093444824,6052.34526114,2000,-4.36557456851e-10,2.78332,889.7263312339783,-2.14203854654e-08,0.0588471613461,0.00880001112819,-0.00129624234978
330.30310893058777,8137.78969438,0.0,23400.0,197.86495566368103,162.07914876937866,0.95244,15.4935,3145.3,6.489102602005005,12508.465323448181,161.8987581729889,0.0,0.00105842922494,6.513270616531372,2.74042,0.141141372106,0.951086,2000,15.4494,4733.3,23300.0,0.24710583686828613,6524.23389449,2000,9.09494701773e-10,2.73757,889.7492079734802,3.72528852211e-09,0.069707726131,0.00866745784879,-0.00105842831545
330.0140051841736,8346.3828679,0.0,23100.0,195.5680694580078,162.97688722610474,0.937605,15.0126,3080.95,6.4705119132995605,13399.58433675766,160.62474584579468,0.0,0.00100227617236,6.528367280960083,2.70889,0.147005265584,0.935308,2000,14.9391,4872.65,23600.0,0.25679922103881836,6306.56737834,2000,4.38149072579e-10,2.70398,886.4660816192627,-3.72528896619e-09,0.0658854363635,0.00882018636912,-0.00100227573421
328.44892501831055,8389.25589534,0.0,23300.0,195.58408379554749,162.06946682929993,0.919113,14.4272,3101.05,6.500712156295776,14288.281688690186,161.0013427734375,0.0,0.000978107680567,6.454761266708374,2.66912,0.136098437437,0.917733,2000,14.384,4952.35,23600.0,0.24002528190612793,6295.11825921,2000,6.98491930962e-10,2.66612,884.2691917419434,1.86264226265e-09,0.0672959568064,0.00910631287843,-0.000978106982075
322.3492398262024,8470.24521487,0.0,23400.0,195.86404156684875,162.33584904670715,0.887802,13.4509,2960.4,6.481385707855225,15178.572759628296,162.2395646572113,0.0,0.00126541786449,6.514175891876221,2.59905,0.141841087999,0.886179,2000,13.4016,5024.0,23400.0,0.25191402435302734,6210.49610257,2000,-3.85625753552e-10,2.59537,885.6256589889526,7.45057615603e-09,0.0628700822406,0.00695312442258,-0.00126541825011
320.00206756591797,8763.88379644,0.0,23500.0,195.39162421226501,162.90590739250183,0.873161,13.0033,3188.6,6.458406209945679,16070.4247777462,160.85430550575256,0.0,0.0010690293193,6.560759782791138,2.5652,0.141903428522,0.872336,2000,12.9784,5255.55,23600.0,0.2455141544342041,6395.13643639,2000,-9.39508026931e-10,2.56329,887.3590054512024,9.31323285158e-09,0.0643710069588,0.00710197398439,-0.0010690302588
315.45261573791504,9127.61122077,0.0,23300.0,196.47372364997864,163.10631561279297,0.850731,12.3515,3232.1,6.555799245834351,16954.418851852417,161.90929436683655,0.0,0.00197901380307,6.4828503131866455,2.51377,0.171956368685,0.850164,2000,12.3349,5661.55,23600.0,0.2635996341705322,6494.40063362,2000,-8.0035533756e-10,2.51243,879.5390124320984,-3.72528474735e-09,0.0679932409884,0.00973943527788,-0.00197901460342
311.0484788417816,9046.8155939,0.0,23200.0,202.59893155097961,162.9644341468811,0.846382,12.2231,3269.95,6.507699728012085,17845.506363391876,161.1261692047119,0.0,0.00120491420239,6.548749923706055,2.50333,0.166955304457,0.844496,2000,12.1685,5718.1,23500.0,0.2549896240234375,6470.69486203,2000,2.18278728426e-11,2.49885,886.5211493968964,3.7252845253e-09,0.0660549399372,0.00695718079805,-0.00120491418056
312.4378569126129,9124.07719704,0.0,23300.0,204.68454027175903,163.1118791103363,0.830619,11.7674,3197.5,6.516148805618286,18735.85578107834,161.6461045742035,0.0,0.000888094014954,6.473698616027832,2.46533,0.163695746219,0.829265,2000,11.7274,5513.05,23600.0,0.25348353385925293,6387.13815022,2000,-1.7462298274e-09,2.46193,885.7330243587494,0.0,0.056562013211,0.00695076351985,-0.000888095761184
311.04778146743774,8966.08146238,0.0,23100.0,207.84246850013733,163.01793956756592,0.830483,11.7735,3089.9,6.529466152191162,19622.797424793243,162.12690711021423,0.0,0.00109116759631,6.5068254470825195,2.46585,0.161028285882,0.829048,2000,11.7326,5361.1,23600.0,0.2539997100830078,6355.65244408,2000,-2.0008883439e-10,2.46237,882.469964504242,-7.4505690506e-09,0.0580048621161,0.00648796837777,-0.0010911677964
