0AveragePolicyStd,dLoss,1MaxReturn,0ExplainedVariance,1StdReturn,1ExplainedVariance,0Entropy,LossAfter,0NumTrajs,1PolicyExecTime,1AverageReturn,0EnvExecTime,1Entropy,0ProcessExecTime,0Perplexity,Time,LossBefore,1AveragePolicyStd,0AverageReturn,0MaxReturn,1ProcessExecTime,MeanKL,1EnvExecTime,0PolicyExecTime,0MinReturn,1MinReturn,ComputeUpdatedDistTime,0StdReturn,1Perplexity,MeanKLBefore,1NumTrajs,ItrTime
0.913549,0.00910108390963,2600.0,0.0828657876419,895.431425348,0.500720019097,2.65688,-0.00910108350217,1200,23.765480279922485,805.25,13.587637662887573,2.65489,0.6589481830596924,14.2518,852.7002420425415,4.07453626394e-10,0.912631,27.4166666667,1500.0,0.6015615463256836,0.00861464533955,12.972460985183716,15.210453033447266,0.0,0.0,0.07918143272399902,151.51455284,14.2234,-1.8626444831e-09,1200,69.75719261169434
0.903768,0.00975290006318,2600.0,0.103398270527,886.602112312,0.48947359599,2.63551,-0.00975289940834,1200,21.841248750686646,823.166666667,14.061247110366821,2.64112,0.6774606704711914,13.9504,925.324871301651,6.54836185277e-10,0.906319,20.1666666667,1500.0,0.5946104526519775,0.00889796763659,12.962136030197144,17.326516151428223,0.0,0.0,0.07410049438476562,136.051358767,14.0289,-1.8626444831e-09,1200,70.62650728225708
0.889873,0.00614324398339,2700.0,0.08403894711,955.51600007,0.537005310076,2.60448,-0.00614324305207,1200,21.739113092422485,919.083333333,13.45326042175293,2.6032,0.6446914672851562,13.5242,999.3368716239929,9.31322574615e-10,0.889307,17.5,1700.0,0.6071944236755371,0.0059865587391,13.23260498046875,19.155426740646362,0.0,0.0,0.07788300514221191,130.74306865,13.5069,1.67638134485e-08,1200,72.00316619873047
0.880807,0.00915025889117,2800.0,0.0803250138094,1079.22501773,0.551154404464,2.58398,-0.00915026012808,1200,23.587911367416382,1054.83333333,13.084664344787598,2.58574,0.6287205219268799,13.2498,1073.0409090518951,-1.23691279441e-09,0.881586,14.25,1800.0,0.6123390197753906,0.0087081566453,13.306820631027222,17.09237813949585,0.0,0.0,0.07642197608947754,109.796497364,13.2731,-1.8626444831e-09,1200,71.62858200073242
0.868532,0.0141357500106,2500.0,0.04159593865,870.832551834,0.550064999666,2.55582,-0.0141357462853,1200,25.887152910232544,822.0,13.121774911880493,2.56073,0.6369476318359375,12.8819,1146.7841591835022,3.72529029846e-09,0.870684,3.75,1000.0,0.6241278648376465,0.00768674397841,13.538430452346802,15.096895456314087,0.0,0.0,0.08025670051574707,50.1092556321,12.9453,1.86264437207e-09,1200,72.01324510574341
0.860722,0.0152856049826,2600.0,0.0511460555067,753.12635431,0.555421058892,2.53789,-0.0152856027707,1200,25.590575695037842,640.833333333,13.260314702987671,2.53942,0.6551671028137207,12.653,1219.703503370285,2.21189111471e-09,0.861382,4.5,1600.0,0.6008706092834473,0.00848862715065,12.942275762557983,15.117731094360352,0.0,0.0,0.0867307186126709,75.0316599843,12.6723,3.72528874415e-09,1200,71.26887583732605
0.852135,0.0104889110662,2500.0,0.0154047951863,785.493475466,0.584761578294,2.51785,-0.0104889106005,1200,21.489257097244263,580.0,13.84354305267334,2.52053,0.664311408996582,12.4019,1289.9446222782135,4.65661287308e-10,0.853279,1.08333333333,800.0,0.596458911895752,0.00639117974788,12.863473176956177,15.357308387756348,0.0,0.0,0.07941317558288574,27.2120020497,12.4352,-3.72528874415e-09,1200,67.9536235332489
0.841647,0.00743304705247,2600.0,0.0493703543904,831.648363192,0.601008746596,2.49299,-0.00743304565549,1200,22.05686330795288,469.0,14.260527849197388,2.4958,0.681382417678833,12.0974,1365.3271951675415,1.39698386192e-09,0.84283,3.83333333333,1800.0,0.6062610149383545,0.0092260716483,12.98799467086792,19.471896171569824,0.0,0.0,0.1117711067199707,62.9971339736,12.1314,0.0,1200,73.18500065803528
0.826453,0.00811738078482,2400.0,0.0237576271775,782.907291056,0.615309960792,2.45638,-0.00811738148332,1200,22.656354665756226,438.916666667,13.674977540969849,2.46002,0.6631674766540527,11.6625,1441.5692710876465,-6.98491930962e-10,0.827935,1.41666666667,1000.0,0.6293365955352783,0.00747565878555,13.583305597305298,19.804041862487793,0.0,0.0,0.371229887008667,35.208801772,11.705,3.72528941028e-09,1200,74.47357606887817
0.815187,0.00705218827352,2400.0,0.0158939385652,772.59907671,0.612298983168,2.42885,-0.00705218641087,1200,24.37875747680664,432.0,13.082791805267334,2.43152,0.6376488208770752,11.3458,1515.9687938690186,1.86264514923e-09,0.816269,0.166666666667,100.0,0.632498025894165,0.00573093723506,13.659772157669067,17.114980697631836,0.0,0.0,0.07281351089477539,4.07907941684,11.3762,0.0,1200,72.5162124633789
