ItrTime,MaxReturn,Entropy,Perplexity,Time,NumTrajs,LossBefore,ExplainedVariance,LossAfter,MeanKL,MinReturn,AveragePolicyStd,StdReturn,AverageReturn,MaxKL,TotalExecTime
35.207446575164795,3000.0,2.63993,14.0122,1052.9046206474304,200,-0.0424881,0.988171907386,-0.0501504,0.0190983,1800.0,0.90579,185.47236991,2590.0,0.264698,34.976346492767334
36.15283966064453,2900.0,2.61868,13.7177,1089.081861257553,200,-0.0281673,0.989300115171,-0.0450033,0.0795943,2000.0,0.896201,166.756559091,2618.5,0.96804,35.88260459899902
35.65026044845581,3000.0,2.6046,13.5258,1124.7443215847015,200,-0.026006,0.99232849943,-0.0341724,0.0329417,2200.0,0.889907,137.512726684,2640.5,0.319581,35.2996084690094
35.181756258010864,2900.0,2.5916,13.3511,1159.9393355846405,200,-0.0114091,0.992808450652,-0.0149109,0.0142925,2100.0,0.88415,140.099072088,2641.5,0.746289,34.79144859313965
34.98979163169861,3000.0,2.58589,13.2751,1194.9449348449707,200,-0.0160093,0.993690083096,-0.0204502,0.00400181,2200.0,0.881657,134.443296597,2665.0,0.0696864,34.69416952133179
35.63933753967285,2900.0,2.57789,13.1693,1230.6241340637207,200,-0.0244432,0.991955751869,-0.0323856,0.0513891,2000.0,0.87813,146.587004881,2646.5,1.6937,35.33822774887085
32.54823589324951,2900.0,2.56567,13.0093,1263.1797828674316,200,-0.0249022,0.993252691735,-0.0285353,0.00390962,2100.0,0.872806,131.748814036,2643.5,0.0723994,32.2510244846344
33.309751987457275,3000.0,2.55322,12.8484,1296.5041859149933,200,-0.0137534,0.993772584148,-0.0169672,0.00776192,2200.0,0.86738,136.226832893,2656.5,0.124483,32.96657705307007
34.39530348777771,2900.0,2.54634,12.7603,1330.9037792682648,200,-0.0328447,0.992513770793,-0.0456862,0.076015,2100.0,0.864405,137.432710808,2646.5,3.67358,34.25637626647949
34.30270171165466,3000.0,2.52992,12.5525,1365.2523365020752,200,-0.0354272,0.994574657713,-0.0433966,0.0391845,2300.0,0.857346,125.074977513,2662.5,1.13351,34.019389629364014
36.003151655197144,2900.0,2.5122,12.3321,1401.2692513465881,200,-0.0423713,0.993553031128,-0.0618018,0.118112,2200.0,0.849799,131.672890148,2671.5,4.48844,35.74726963043213
35.90026831626892,2900.0,2.49102,12.0735,1437.1930510997772,200,-0.0230472,0.992288124332,-0.0299006,0.0311657,2200.0,0.840819,142.981642178,2642.5,1.23903,35.626543283462524
34.35068869590759,3000.0,2.47949,11.9352,1471.5587992668152,200,-0.023432,0.994286340429,-0.0285055,0.0234588,2200.0,0.835956,131.140192161,2676.5,0.396792,34.100842237472534
35.80726075172424,3000.0,2.46778,11.7962,1507.3866972923279,200,0.00123287,0.994373139181,-0.00407133,0.018695,2300.0,0.831089,125.87295182,2666.0,0.265111,35.487523794174194
35.36010551452637,3000.0,2.46839,11.8035,1542.7513692378998,200,-0.0161541,0.993095239874,-0.0253158,0.0316611,2000.0,0.831344,136.45145657,2659.0,0.537357,35.04117226600647
33.64694929122925,2900.0,2.46032,11.7085,1576.4154093265533,200,-0.0278175,0.993392050807,-0.0358279,0.0292566,2300.0,0.828,122.877988265,2651.0,0.532406,33.355307817459106
32.74188780784607,2900.0,2.44641,11.5468,1609.1767616271973,200,-0.0253392,0.994380177223,-0.0390307,0.0956532,2300.0,0.82229,115.650335062,2665.0,1.38678,32.40473747253418
32.601402282714844,2900.0,2.43374,11.4014,1641.7845010757446,200,-0.00711839,0.995183347801,-0.0117912,0.0373807,2300.0,0.81712,114.977171647,2669.5,1.64854,32.2203586101532
34.52593660354614,2900.0,2.43018,11.3609,1676.3251271247864,200,-0.0162024,0.993723751646,-0.0210812,0.0166211,2200.0,0.815742,130.452098488,2663.5,0.448635,34.21005845069885
35.6986665725708,2900.0,2.42208,11.2693,1712.0375065803528,200,-0.0146047,0.994078891533,-0.0271376,0.0876461,2300.0,0.812473,131.756404019,2665.5,1.50723,35.46738123893738
35.21723651885986,2900.0,2.41478,11.1873,1747.2739040851593,200,-0.00997208,0.994473381026,-0.0188355,0.0646394,2300.0,0.809422,114.803092293,2670.5,1.41872,34.951032876968384
