1MinReturn,LossBefore,0AveragePolicyStd,ComputeUpdatedDistTime,1ExplainedVariance,0Entropy,0EnvExecTime,MeanKL,1EnvExecTime,0ExplainedVariance,1AveragePolicyStd,0Perplexity,0StdReturn,MeanKLBefore,LossAfter,1AverageReturn,dLoss,1Entropy,ItrTime,Time,0PolicyExecTime,1PolicyExecTime,1MaxReturn,1ProcessExecTime,1StdReturn,0MinReturn,1Perplexity,0MaxReturn,0NumTrajs,0ProcessExecTime,1NumTrajs,0AverageReturn
0.0,-1.16415321827e-10,0.990875,0.11954951286315918,0.139812019897,2.81946,37.981640338897705,0.00891144387424,39.01383829116821,0.111558371233,0.991369,16.7678,4255.33286007,7.6670142457e-10,-0.00220133783296,2029.0,0.00220133771654,2.82044,236.93807554244995,2645.6892840862274,64.44846296310425,86.0985369682312,21700.0,1.6010894775390625,4958.13563752,0.0,16.7842,19600.0,400,1.6203854084014893,400,1631.5
0.0,-2.18278728426e-10,0.985251,0.12086606025695801,0.108771083365,2.80814,37.96408653259277,0.00684070866555,38.90511751174927,0.0772087656174,0.985079,16.579,3547.40376015,-2.95695326002e-08,-0.00310012651607,1963.75,0.0031001262978,2.80776,237.1030457019806,2884.0400257110596,64.54066157341003,85.81588363647461,19900.0,1.6066856384277344,4682.13743257,0.0,16.5728,20700.0,400,1.642181396484375,400,1378.75
0.0,-3.49245965481e-10,0.986019,0.12035608291625977,0.125266141741,2.80958,38.101563453674316,0.00968130398542,38.76112699508667,0.0824197598315,0.984912,16.6029,3582.19192674,-1.51922066038e-08,-0.00346891279332,2009.0,0.00346891244408,2.80733,238.3305642604828,3123.48610663414,65.5416784286499,86.55691146850586,21800.0,1.595494270324707,4960.88893244,0.0,16.5656,21100.0,400,1.6383030414581299,400,1249.0
0.0,-2.32830643654e-10,0.997827,0.11344194412231445,0.105540296827,2.83324,37.976096868515015,0.00826689228415,38.804091691970825,0.0767263183277,0.995318,17.0004,3650.24121634,-9.31320409681e-10,-0.00257237115875,1732.75,0.00257237092592,2.8282,238.36471605300903,3363.331783771515,65.69732117652893,86.3339569568634,19800.0,1.5812592506408691,4520.16066501,0.0,16.9149,18900.0,400,1.6681368350982666,400,1296.25
0.0,-4.07453626394e-10,0.994751,0.12175846099853516,0.0934772717135,2.82723,38.04454588890076,0.00731728272513,38.758700370788574,0.0810524775401,0.99256,16.8986,4201.91920436,1.45519196693e-09,-0.00271585118026,2026.0,0.0027158507728,2.82284,247.87395977973938,3612.126809835434,65.12065410614014,96.19835901260376,22100.0,1.6071269512176514,4900.83401066,0.0,16.8246,19900.0,400,1.6546378135681152,400,1645.0
0.0,-1.03318598121e-09,0.994312,0.1300959587097168,0.0861756352448,2.82633,38.53960943222046,0.00696492614225,39.078704595565796,0.0880972767112,0.991906,16.8834,4947.63438423,-8.73114858191e-10,-0.0022895631846,2051.5,0.00228956215142,2.82146,237.3633735179901,3850.9227085113525,64.66923308372498,85.52405595779419,22400.0,1.5942296981811523,5154.61421932,0.0,16.8013,21300.0,400,1.6684613227844238,400,1992.0
0.0,5.82076609135e-11,0.98648,0.11506366729736328,0.105691222527,2.81063,37.99542045593262,0.00659907376394,39.1940541267395,0.0767483373393,0.986539,16.6204,5566.48398902,-2.5611386345e-09,-0.00231104507111,2909.75,0.00231104512932,2.81074,237.2273473739624,4089.1345179080963,64.25062465667725,86.13389301300049,22300.0,1.6161346435546875,6281.89302181,0.0,16.6222,21100.0,400,1.6111729145050049,400,2566.0
0.0,3.49245965481e-10,0.973648,0.12256169319152832,0.103764326934,2.78444,38.31476807594299,0.00906643643975,38.95009136199951,0.0624542546337,0.973631,16.1908,5668.51477461,-2.44422537765e-15,-0.00352861429565,2911.75,0.00352861464489,2.78439,238.74622249603271,4329.324977874756,65.19438767433167,86.64667749404907,22300.0,1.5844027996063232,6340.72053772,0.0,16.19,22200.0,400,1.6573991775512695,400,2440.5
0.0,1.04773789644e-09,0.97887,0.12106847763061523,0.0932480553397,2.79486,37.75450348854065,0.00839071720839,38.632551431655884,0.0644396193472,0.9761,16.3603,5894.45737537,-1.222359991e-09,-0.00250002904795,3277.0,0.00250003009569,2.78916,235.78105807304382,4566.0186994075775,64.44037795066833,85.21999001502991,22400.0,1.5464794635772705,6915.12624614,0.0,16.2674,22100.0,400,1.611846685409546,400,2683.5
0.0,1.16415321827e-10,0.974686,0.11629223823547363,0.128209504876,2.78634,37.8528516292572,0.0091201486066,38.477783203125,0.0785090430575,0.97379,16.2216,6404.61472299,-1.62981639296e-09,-0.00252148509026,4886.25,0.00252148520667,2.78453,245.20551943778992,4812.364476680756,64.51364135742188,94.87555837631226,23100.0,1.498483419418335,7973.99748793,0.0,16.1921,22900.0,400,1.5582709312438965,400,3064.5
0.0,-9.74978320301e-10,0.957256,0.11150050163269043,0.114645363415,2.7499,37.605886459350586,0.00651478627697,38.80443024635315,0.0579130307962,0.956986,15.6411,6383.6327383,-3.72528741188e-09,-0.00272880773991,4454.5,0.00272880676494,2.74938,235.64558172225952,5048.997178554535,64.03052043914795,85.28748822212219,22900.0,1.5346150398254395,7948.54576322,0.0,15.633,22100.0,400,1.5273430347442627,400,2955.75
0.0,4.8748916015e-10,0.954573,0.1165018081665039,0.0865565155454,2.74428,38.094157218933105,0.00827467441559,38.84109830856323,0.0573041574919,0.954332,15.5535,7093.88468595,-6.51926512774e-09,-0.00175663281698,4559.5,0.00175663330447,2.74371,235.51386070251465,5285.789858818054,64.00526475906372,85.23962378501892,23200.0,1.5174376964569092,8151.23976767,0.0,15.5446,22500.0,400,1.550194501876831,400,3637.75
0.0,-2.61934474111e-10,0.955298,0.11771297454833984,0.0862502593801,2.74588,38.05265784263611,0.00905043166131,39.31880593299866,0.0616598540162,0.952983,15.5783,6896.76502065,-1.39698430601e-09,-0.00254660053179,4842.25,0.00254660026985,2.74098,237.9429636001587,5524.701892852783,64.87906336784363,86.15516257286072,23100.0,1.5462055206298828,8171.67607884,0.0,15.5022,22200.0,400,1.5266778469085693,400,3411.5
0.0,0.0,0.95927,0.11308908462524414,0.118921001456,2.75406,38.3064444065094,0.00825936160982,38.68116569519043,0.0738493148683,0.957446,15.7063,6943.3412526,-1.97905958288e-08,-0.00197093747556,5435.5,0.00197093747556,2.75015,236.36604380607605,5762.367154836655,64.7809648513794,85.2055516242981,22700.0,1.52846097946167,8848.38627943,0.0,15.6449,22600.0,400,1.6018619537353516,400,3553.5
0.0,-2.32830643654e-10,0.958696,0.11774206161499023,0.148741030738,2.7526,37.822455167770386,0.00745786726475,39.129234313964844,0.0578036923489,0.956664,15.6833,7260.04676293,-1.62981528273e-09,-0.00227865111083,6420.25,0.002278650878,2.74831,246.42766499519348,6009.717186927795,64.62048077583313,95.30990719795227,23200.0,1.534170389175415,9280.83050904,0.0,15.6162,22600.0,400,1.54266357421875,400,3911.0
0.0,-3.20142135024e-10,0.955545,0.11629033088684082,0.174535731217,2.74563,38.08112025260925,0.00750881247222,38.87476086616516,0.0711088028782,0.954927,15.5744,7533.8050811,-1.04773700826e-09,-0.0028114314191,7289.5,0.00281143109896,2.7442,235.6436026096344,6246.2933802604675,64.24111795425415,84.76654386520386,23300.0,1.5228769779205322,9779.8052,0.0,15.5522,22600.0,400,1.5511093139648438,400,4491.0
0.0,-2.47382558882e-10,0.948757,0.11693334579467773,0.17771710427,2.73169,38.38317084312439,0.00773351918906,38.912111043930054,0.074908433097,0.948952,15.3588,7388.95263214,-3.35276375552e-08,-0.00205369200557,6911.5,0.00205369175819,2.7322,236.23146796226501,6483.921512126923,63.61370277404785,85.65342211723328,23300.0,1.5416622161865234,9682.18558746,0.0,15.3667,22700.0,400,1.578923225402832,400,3927.0
0.0,-6.98491930962e-10,0.949484,0.12770795822143555,0.133320723526,2.73222,37.91431784629822,0.00723469164222,41.99078726768494,0.0647618750692,0.949236,15.367,7626.56285623,-1.97905847266e-09,-0.00199773628265,6130.75,0.00199773558415,2.73159,248.1447193622589,6732.969319105148,64.94279932975769,93.2757351398468,23500.0,1.6907556056976318,9308.55947166,0.0,15.3573,22800.0,400,1.54597806930542,400,4133.0
0.0,5.09317032993e-10,0.953325,0.11516261100769043,0.161375847935,2.74082,39.8005473613739,0.00661392463371,41.03995394706726,0.0497519915137,0.951824,15.4997,7233.07470928,1.3969827517e-09,-0.00211564358324,7208.0,0.00211564409256,2.73769,255.00403237342834,6989.419273376465,69.07729697227478,94.68404364585876,23400.0,1.645392656326294,9678.14734337,0.0,15.4512,23100.0,400,1.6347808837890625,400,3669.5
0.0,4.65661287308e-10,0.949172,0.12086272239685059,0.199854759695,2.73206,39.25195074081421,0.00686639267951,41.44865918159485,0.0730943888479,0.947541,15.3645,7227.57089208,4.42378000898e-09,-0.00201231334358,7587.0,0.00201231380925,2.7285,264.271418094635,7254.858880996704,69.18572950363159,103.94217991828918,23600.0,1.6640815734863281,10044.7091048,0.0,15.31,22900.0,400,1.6099853515625,400,3487.0
0.0,-7.56699591875e-10,0.939551,0.12228107452392578,0.207951888751,2.71193,40.12705874443054,0.0072738295421,41.2793288230896,0.0652281916242,0.938757,15.0582,6966.88086593,1.86264603741e-09,-0.00233691534959,7245.0,0.00233691459289,2.7101,254.91467690467834,7511.128182172775,68.65702795982361,94.45075511932373,23500.0,1.6733827590942383,9651.89230151,0.0,15.0307,23000.0,400,1.662459373474121,400,3361.0
0.0,-1.7462298274e-10,0.932806,0.13930463790893555,0.14258446998,2.69734,39.64754056930542,0.00993790756911,42.30506896972656,0.0811447842085,0.931201,14.8403,6835.51552098,9.31322907682e-10,-0.00228706467897,6195.25,0.00228706450434,2.69385,255.89168286323547,7768.327033519745,69.3473768234253,94.73077178001404,23200.0,1.7305867671966553,9337.34718416,0.0,14.7885,22800.0,400,1.6427602767944336,400,3407.25
0.0,2.91038304567e-10,0.922148,0.12032556533813477,0.205528124844,2.6746,39.292112588882446,0.00798035319895,41.13026809692383,0.0567185753441,0.921162,14.5065,6972.67889695,0.0,-0.00187858438585,7055.0,0.00187858467689,2.6725,254.8746428489685,8024.340636014938,69.60991215705872,94.75891041755676,23400.0,1.6424229145050049,9800.23341559,0.0,14.4761,23100.0,400,1.6167168617248535,400,3707.0
0.0,-6.69388100505e-10,0.921391,0.12329244613647461,0.20540299512,2.67314,39.58397126197815,0.0064513287507,41.18679904937744,0.0662579837813,0.920088,14.4854,7012.40543163,1.86264670354e-09,-0.00199766200967,8459.75,0.00199766134028,2.67026,256.840927362442,8282.72028374672,70.32822489738464,95.52091789245605,23300.0,1.6649985313415527,10324.4711699,0.0,14.4438,22500.0,400,1.6520740985870361,400,3622.25
0.0,0.0,0.917276,0.134307861328125,0.173640834155,2.66406,39.38260531425476,0.00942681543529,40.950647830963135,0.0598003543857,0.918297,14.3545,6882.17187739,1.86264537128e-09,-0.00258913054131,7880.75,0.00258913054131,2.66629,263.3778440952301,8547.165849685669,69.6129937171936,103.40011358261108,23600.0,1.6326427459716797,10013.6159522,0.0,14.3866,22700.0,400,1.6871697902679443,400,3335.5
0.0,4.07453626394e-10,0.915486,0.17586731910705566,0.204084988931,2.66033,39.76760387420654,0.00915483012795,41.21557354927063,0.0510481837038,0.915639,14.301,6956.96368756,4.65661154081e-09,-0.00186161941383,7822.75,0.00186161982128,2.66069,254.49036478996277,8803.07764673233,68.69407916069031,94.75830602645874,23800.0,1.6652932167053223,10260.4901168,0.0,14.3062,23000.0,400,1.6294496059417725,400,3492.5
0.0,6.98491930962e-10,0.910693,0.11557388305664062,0.284399594529,2.64988,39.82987117767334,0.00735857989639,41.91283082962036,0.072484935447,0.908942,14.1523,6793.55852536,-1.4901171852e-08,-0.00212025153451,9397.5,0.002120252233,2.64598,255.56376600265503,9059.613791704178,68.93995022773743,94.68794131278992,23800.0,1.6532666683197021,10801.6269029,0.0,14.0972,23200.0,400,1.6645190715789795,400,3362.75
0.0,1.56433088705e-10,0.913951,0.12607359886169434,0.285667827128,2.65695,39.72368836402893,0.00656006904319,40.8294472694397,0.1046228712,0.91382,14.2528,6533.16863685,9.3132229706e-10,-0.00146627635695,8624.0,0.00146627651338,2.65666,254.5674068927765,9315.26814198494,69.33316159248352,94.9768123626709,23500.0,1.62880539894104,10482.360135,0.0,14.2486,23100.0,400,1.6493141651153564,400,3152.75
0.0,4.65661287308e-10,0.904883,0.12044978141784668,0.269955888402,2.63664,39.501768350601196,0.00940825697035,41.22285747528076,0.0704443484128,0.904651,13.9662,5116.08629716,9.31323240749e-10,-0.00264813937247,8093.25,0.00264813983813,2.63607,255.66968607902527,9572.457320928574,70.17525744438171,94.7636067867279,23600.0,1.6578431129455566,10179.2818724,0.0,13.9582,23200.0,400,1.640690565109253,400,1931.0
0.0,1.04773789644e-09,0.904455,0.13115572929382324,0.296092252205,2.63552,39.776838302612305,0.00675981212407,41.28568458557129,0.0760677368004,0.902245,13.9505,6287.84541298,-3.72529163073e-09,-0.00202726060525,9549.0,0.00202726165298,2.63075,265.137727022171,9838.699939966202,69.8729841709137,103.93290185928345,23700.0,1.6622905731201172,10913.2671093,0.0,13.8841,22400.0,400,1.648697853088379,400,2950.25
