1MaxReturn,Time,1ExplainedVariance,0NumTrajs,1EnvExecTime,1NumTrajs,0MaxReturn,1AverageReturn,ItrTime,LossAfter,0AverageReturn,0AveragePolicyStd,0PolicyExecTime,1Perplexity,1Entropy,MeanKLBefore,1ProcessExecTime,0MinReturn,1StdReturn,0StdReturn,LossBefore,1MinReturn,MeanKL,1PolicyExecTime,0ExplainedVariance,0Entropy,0EnvExecTime,0ProcessExecTime,0Perplexity,1AveragePolicyStd,dLoss,ComputeUpdatedDistTime
700.0,1706.4571137428284,0.0270481283781,400,29.30807113647461,400,2500.0,6.25,121.50593614578247,4.65661287308e-10,18.25,0.983797,17.085666179656982,16.5491,2.80633,-1.16413823026e-11,1.0870578289031982,0.0,51.8260311041,158.719682144,-4.65661120774e-11,0.0,4.65661509352e-10,37.72418165206909,0.0395881189189,2.80495,28.740896224975586,1.1001441478729248,16.5263,0.984459,-5.12227399385e-10,0.39964938163757324
2900.0,1810.178900718689,0.0196202675021,400,25.8886981010437,400,5400.0,20.5,102.14963150024414,4.83123596684e-10,41.75,0.983797,12.223795890808105,16.5472,2.80622,4.88944329469e-10,0.9811339378356934,0.0,197.432899994,358.513510903,3.66708247101e-10,0.0,3.49245937725e-10,29.7236807346344,0.049860762622,2.80495,25.83646249771118,1.051203727722168,16.5263,0.984431,-1.16415349583e-10,0.35892319679260254
1400.0,1924.7454488277435,0.00835769694358,400,28.78210735321045,400,1500.0,21.5,113.5903902053833,-6.63567312209e-10,15.5,0.983797,13.58389401435852,16.5509,2.80644,6.17001394421e-10,1.1023623943328857,0.0,116.566504623,105.402798824,-9.54605727799e-10,0.0,1.30967745329e-11,35.21130847930908,0.0356150711169,2.80495,26.838152170181274,1.0489320755004883,16.5263,0.984535,-2.9103841559e-10,0.43627166748046875
4700.0,2046.3643188476562,0.0216445357957,400,29.56147003173828,400,1300.0,23.25,120.6067681312561,-3.49246014053e-11,9.5,0.983797,14.705385446548462,16.5781,2.80808,7.39237204783e-09,1.1202223300933838,0.0,261.790827761,93.5935361016,1.28056842907e-10,0.0,6.63567156778e-09,38.14206528663635,0.0267577943394,2.80495,28.60364007949829,1.1318440437316895,16.5263,0.985348,1.62981444313e-10,0.4081389904022217
900.0,2171.419754266739,0.0443425200609,400,29.20798134803772,400,3200.0,9.25,123.96196031570435,-1.18194266179e-05,11.5,0.983797,18.59720778465271,16.545,2.80609,-4.6566189793e-10,1.1539676189422607,0.0,67.7453872968,163.455651478,-1.0710209386e-09,0.0,0.00950265396386,39.658777475357056,0.0175865790334,2.80495,28.203259706497192,1.113506555557251,16.5263,0.984357,1.18183555969e-05,0.3730616569519043
2400.0,2294.4939618110657,0.0176624824663,400,29.297625064849854,400,1700.0,31.25,122.0008225440979,-4.54747350886e-10,13.5,0.98381,14.855326652526855,16.5542,2.80664,-4.46161596557e-09,1.0708904266357422,0.0,212.834295874,127.740948799,3.41970202156e-11,0.0,-4.9505586297e-09,38.126136302948,0.0257311575161,2.80498,27.947314262390137,1.0957894325256348,16.5268,0.984644,4.88944371102e-10,0.3991200923919678
3700.0,2417.695328235626,0.0223201801628,400,28.863585233688354,400,2000.0,15.75,121.41901230812073,-3.68687069567e-05,6.25,0.98381,13.818681955337524,16.5181,2.80445,7.683408354e-10,1.085411548614502,0.0,195.261203264,101.172810083,-3.81260190085e-10,0.0,0.00710178352892,39.458308696746826,0.015467164621,2.80498,28.119813203811646,1.1552114486694336,16.5268,0.983558,3.68683256965e-05,0.40146446228027344
3500.0,2536.973791360855,0.0214582554056,400,29.09741711616516,400,2400.0,26.0,118.24231696128845,9.42964151207e-10,22.75,0.98362,12.20310664176941,16.5155,2.8043,9.54605505754e-10,1.1596977710723877,0.0,213.363539528,173.802869654,9.42964040185e-10,0.0,1.66473934637e-09,39.149369955062866,0.0340344897755,2.8046,28.330514907836914,1.1261847019195557,16.5204,0.983496,-1.11022302463e-16,0.43982791900634766
2600.0,2663.0870978832245,0.00844866558281,400,30.062164306640625,400,1900.0,11.0,125.02450323104858,9.54605616776e-10,17.75,0.98362,13.619747161865234,16.5478,2.80625,3.77476583324e-09,1.1206600666046143,0.0,136.488094719,161.585697077,6.05359706807e-10,0.0,4.10654754646e-09,42.33554267883301,0.0474900256112,2.8046,28.4540798664093,1.127251148223877,16.5204,0.984448,-3.4924590997e-10,0.3616456985473633
4300.0,2793.320981025696,0.0277467284351,400,30.76861810684204,400,2300.0,31.25,129.23149824142456,-9.42964151207e-10,18.0,0.98362,13.162399291992188,16.5765,2.80798,5.26197219131e-09,1.1449813842773438,0.0,281.333320991,173.712406005,-8.96398011374e-10,0.0,4.77303196966e-10,45.80477333068848,0.0466860125872,2.8046,29.575252294540405,1.1444694995880127,16.5204,0.985324,4.6566139833e-11,0.4446861743927002
1800.0,2921.6319353580475,0.0337370561946,400,30.638651609420776,400,3400.0,28.25,127.19295239448547,-0.000122216733871,11.5,0.98362,12.958853721618652,16.5083,2.80386,-1.15251141963e-09,1.1206977367401123,0.0,183.648951808,173.544662839,7.27596038974e-11,0.0,0.00994265452027,45.649126291275024,0.014738586687,2.8046,29.198230981826782,1.1709959506988525,16.5204,0.983254,0.000122216806631,0.45201921463012695
