LossBefore,0Entropy,0EnvExecTime,1StdReturn,0Perplexity,0StdReturn,1AveragePolicyStd,1MinReturn,0NumTrajs,0AveragePolicyStd,0MinReturn,LossAfter,1PolicyExecTime,1Entropy,0MaxReturn,0AverageReturn,1ProcessExecTime,MeanKLBefore,0ExplainedVariance,1Perplexity,Time,1ExplainedVariance,MeanKL,1EnvExecTime,1MaxReturn,1NumTrajs,0PolicyExecTime,1AverageReturn,ItrTime,ComputeUpdatedDistTime,0ProcessExecTime,dLoss
-1.40862521647e-09,2.83788,30.919347763061523,126.466398699,17.0795,95.0315737005,1.00022,0.0,400,1.0,0.0,-1.29221011669e-09,42.66663455963135,2.83828,1400.0,13.0,1.2904765605926514,5.82658987724e-09,0.018861390788,17.0864,3180.194269180298,0.0197301298469,1.14843734522e-08,32.71559238433838,1900.0,400,16.592007875442505,17.5,135.91607546806335,0.4046757221221924,1.1617896556854248,-1.16415099782e-10
2.14204187721e-09,2.83788,30.668233633041382,726.207227656,17.0795,811.719779234,0.999526,0.0,400,1.0,0.0,2.09547579288e-09,45.241931200027466,2.83687,14800.0,81.0,1.184614896774292,1.02445574246e-09,0.0190111983206,17.0624,3315.8737676143646,0.0386588073048,7.27595939054e-09,32.74932026863098,7100.0,400,15.909330606460571,128.25,134.71135139465332,0.4645395278930664,1.149442195892334,4.65660843219e-11
-6.1700133891e-10,2.83788,30.978209018707275,162.409782649,17.0795,363.333180428,0.999732,0.0,400,1.0,0.0,-6.86850409881e-10,43.26590013504028,2.83731,7000.0,33.0,1.1580877304077148,4.24915769237e-10,0.0198865294894,17.0698,3448.452802181244,0.022048119786,9.1094981558e-10,32.17627167701721,3000.0,400,14.509719610214233,15.75,131.50673174858093,0.42900586128234863,1.1539301872253418,6.98490709716e-11
4.42378245147e-10,2.83788,30.549838066101074,89.8610037781,17.0795,1002.45186917,1.00044,0.0,400,1.0,0.0,5.58793566974e-10,41.313334703445435,2.83869,19600.0,84.5,1.150172233581543,4.54018767027e-10,0.0138459568506,17.0933,3591.257950782776,0.0265413634195,3.02680103204e-10,32.99977374076843,1000.0,400,26.675764799118042,15.0,141.6739752292633,0.4059178829193115,1.1369352340698242,-1.16415321827e-10
1.49011614159e-09,2.83788,31.96187400817871,153.577138598,17.0795,82.6857756812,1.00102,0.0,400,1.0,0.0,1.61817292899e-09,44.54129195213318,2.83986,1200.0,11.75,1.1836881637573242,-7.57790941108e-10,0.0176417352093,17.1133,3730.085031270981,0.0315003915349,9.93168047803e-11,32.532874584198,2100.0,400,16.256924867630005,26.25,137.75948762893677,0.4378793239593506,1.2599365711212158,-1.28056787396e-10
-1.5541445908e-09,2.83788,30.94710683822632,233.661614306,17.0795,190.813881833,1.00012,0.0,400,1.0,0.0,-1.22818166748e-09,42.70368957519531,2.83809,3200.0,17.75,1.3190364837646484,2.61934335333e-10,0.0324539957235,17.083,3869.6093289852142,0.023624280617,3.02680019937e-10,33.51827120780945,4200.0,400,18.785035371780396,26.5,138.53237295150757,0.40354204177856445,1.186847448348999,-3.2596292332e-10
4.6566139833e-11,2.83788,30.952375888824463,264.879217758,17.0795,114.670996769,1.00038,0.0,400,1.0,0.0,9.31322519104e-11,46.195812702178955,2.83859,1500.0,13.25,1.2179217338562012,2.46509213042e-09,0.0221426547598,17.0917,4010.912889480591,0.0314614919033,2.42144082563e-09,32.87214946746826,3200.0,400,15.211221933364868,33.0,140.34389209747314,0.4109625816345215,1.220825433731079,-4.65661120774e-11
7.89441401139e-10,2.83788,31.830264568328857,332.938057302,17.0795,182.947396811,1.00111,0.0,400,1.0,0.0,4.63478477819e-10,40.69117736816406,2.84006,3100.0,19.5,1.1657981872558594,-1.92085222728e-10,0.0251320761609,17.1169,4140.672423362732,0.0344842419849,-4.65660981996e-10,31.575109720230103,4100.0,400,14.245128870010376,51.5,128.7032434940338,0.3793320655822754,1.1976072788238525,3.2596292332e-10
1.80443743281e-10,2.83788,30.176170587539673,338.600059067,17.0795,357.110277085,0.999692,0.0,400,1.0,0.0,3.15776488291e-10,41.07854342460632,2.83724,3800.0,58.5,1.1091561317443848,-3.32148003546e-10,0.0350219111439,17.0686,4277.339388370514,0.0253197018143,-6.37009556215e-10,31.076164484024048,6500.0,400,20.09388828277588,30.0,135.6048285961151,0.4236106872558594,1.1488533020019531,-1.3533274501e-10
-6.40284270048e-10,2.83788,30.105984926223755,523.621463941,17.0795,261.701046043,1.00038,0.0,400,1.0,0.0,-7.68341168467e-10,41.15107488632202,2.83859,4400.0,25.25,1.1016309261322021,1.68802291589e-10,0.0143954058699,17.0916,4402.836608886719,0.0241973876921,1.38825184681e-09,30.924437284469604,8100.0,400,12.667897701263428,69.25,124.41766119003296,0.4021167755126953,1.1533379554748535,1.28056898419e-10
