0MaxReturn,0Perplexity,1Entropy,1MaxReturn,0MinReturn,ItrTime,0ExplainedVariance,Time,LossAfter,0PolicyExecTime,1ExplainedVariance,1EnvExecTime,0Entropy,1Perplexity,0ProcessExecTime,dLoss,1MinReturn,1StdReturn,ComputeUpdatedDistTime,MeanKLBefore,1NumTrajs,LossBefore,1AverageReturn,1AveragePolicyStd,0EnvExecTime,MeanKL,0AverageReturn,0StdReturn,1PolicyExecTime,1ProcessExecTime,0AveragePolicyStd,0NumTrajs
2000.0,14.3951,2.66377,2800.0,0.0,69.41390991210938,0.0627286220701,762.5273849964142,-0.00647046603262,14.605765104293823,0.447801190363,14.241955757141113,2.66689,14.3503,0.6260006427764893,0.00647046626545,0.0,939.555213918,0.07393860816955566,0.0,800,2.32830643654e-10,794.0,0.916807,14.38309931755066,0.00740334065631,54.375,246.89240445,22.68520426750183,0.6003122329711914,0.918234,800
1900.0,13.7605,2.62486,2800.0,0.0,70.32069945335388,0.0423157809003,833.8794558048248,-0.00823624245822,15.114331245422363,0.475976189857,14.58659029006958,2.6218,13.8027,0.589702844619751,0.00823624129407,0.0,993.513336599,0.3003063201904297,-4.85722573274e-17,800,-1.16415321827e-09,887.5,0.899127,13.497483491897583,0.00896721333265,46.25,222.566703485,23.28088665008545,0.6183798313140869,0.897781,800
1500.0,13.2496,2.58845,2800.0,0.0,68.7722020149231,0.0492732313447,903.7222459316254,-0.00967040285468,14.329190731048584,0.467295442079,13.91627812385559,2.58397,13.3092,0.6205286979675293,0.00967040250544,0.0,887.592213519,0.07508969306945801,1.86264503821e-09,800,-3.49245965481e-10,747.75,0.882826,14.340110540390015,0.00826154649258,42.0,194.321897891,22.559478998184204,0.5840723514556885,0.880848,800
1800.0,13.0668,2.57175,2700.0,0.0,66.46960425376892,0.0532534759963,971.5926926136017,-0.00945917610079,13.643811225891113,0.458882232553,13.870069026947021,2.57007,13.0887,0.5817830562591553,0.00945917816716,0.0,907.494619474,0.07291698455810547,-1.86264537128e-09,800,2.06637196243e-09,711.875,0.875638,13.304773807525635,0.00881791673601,39.25,204.351260089,22.187777757644653,0.5829088687896729,0.874828,800
1500.0,12.8671,2.55207,2900.0,0.0,71.45973920822144,0.0328990521253,1044.4037284851074,-0.00762003706768,14.442308902740479,0.360236711976,14.79560923576355,2.55467,12.8336,0.6253652572631836,0.00762003735872,0.0,777.430664111,0.07340860366821289,-2.23517435671e-08,800,2.91038304567e-10,548.75,0.86726,14.302411794662476,0.00641823746264,34.125,193.320936205,24.2319598197937,0.6262500286102295,0.868402,800
1700.0,12.4357,2.52304,2800.0,0.0,67.98475074768066,0.0602377830809,1113.5103051662445,-0.00479212962091,14.07689094543457,0.440137940491,13.99777364730835,2.52057,12.4664,0.6130151748657227,0.00479212682694,0.0,954.024338002,0.0731039047241211,-3.72529007642e-09,800,-2.79396772385e-09,674.75,0.854702,13.978683948516846,0.00642951671034,51.75,239.524398548,22.40253233909607,0.5950121879577637,0.853706,800
2000.0,11.9334,2.47666,2900.0,0.0,68.66222357749939,0.0482639556251,1183.5544896125793,-0.0056769400835,14.940730333328247,0.49072789475,13.942098140716553,2.47934,11.9015,0.6114141941070557,0.00567694398342,0.0,958.791809714,0.07008981704711914,0.0,800,3.8999132812e-09,732.875,0.83555,13.97102665901184,0.00985060445964,42.75,210.766310164,22.20297122001648,0.5862321853637695,0.836727,800
2000.0,11.5907,2.45191,2800.0,0.0,67.24420881271362,0.0648575755301,1252.071941614151,-0.00813095457852,13.408697843551636,0.438608887806,13.941878318786621,2.4502,11.6105,0.5821194648742676,0.00813095550984,0.0,978.877218743,0.07604527473449707,3.72529007642e-09,800,9.31322574615e-10,841.375,0.825287,13.30746865272522,0.00700931949541,47.75,230.314865999,23.11742615699768,0.6034886837005615,0.824766,800
1400.0,11.1435,2.40716,2800.0,0.0,66.81831741333008,0.0472102198481,1320.3221065998077,-0.00611684378237,13.528177738189697,0.431506132954,14.082195520401001,2.41085,11.1024,0.5819406509399414,0.00611684622709,0.0,813.156465571,0.07444310188293457,7.45057571194e-09,800,2.44472175837e-09,521.25,0.807719,13.228709936141968,0.00708177825436,31.625,164.049868561,22.532252311706543,0.5907251834869385,0.809276,800
1600.0,10.8617,2.38951,2900.0,0.0,68.52011466026306,0.0288722342965,1390.2090470790863,-0.00551076978445,14.591915607452393,0.496774738898,14.065877437591553,2.38525,10.9082,0.6061880588531494,0.00551076582633,0.0,1097.81657592,0.07429361343383789,-2.23517506726e-08,800,-3.95812094212e-09,1054.875,0.800886,13.681397914886475,0.00750974193215,39.375,185.370195487,22.590282917022705,0.5982427597045898,0.799375,800
1500.0,10.3132,2.33266,2800.0,0.0,69.52002716064453,0.0292628299862,1460.8392419815063,-0.00597795005888,13.904790163040161,0.451413883775,14.510758876800537,2.33342,10.3053,0.6080904006958008,0.00597794982605,0.0,874.767603067,0.09418630599975586,3.72529074255e-09,800,-2.32830643654e-10,544.375,0.77826,13.937261819839478,0.00695863831788,19.875,130.259296693,23.572345972061157,0.6094794273376465,0.778579,800
1700.0,10.2859,2.32916,2800.0,0.0,67.55639243125916,0.0446580527071,1529.8377795219421,-0.000449246261269,13.9813814163208,0.470911000039,13.963455438613892,2.33078,10.2693,0.606266975402832,0.000449247265351,0.0,1019.15393832,0.07468914985656738,0.0,800,1.00408215076e-09,875.5,0.777013,13.800141096115112,0.00644801463932,32.875,185.153272655,22.251919746398926,0.5909557342529297,0.777547,800
1700.0,10.1378,2.31613,2900.0,0.0,69.76445508003235,0.0323096821534,1600.910673379898,-0.00437747593969,14.104034900665283,0.474656098962,14.718174934387207,2.31627,10.1364,0.5912411212921143,0.00437747361138,0.0,1050.19495214,0.08791041374206543,-1.11758673427e-08,800,-2.32830643654e-09,926.75,0.772079,13.715344429016113,0.00619397917762,27.5,165.887763262,23.718300342559814,0.6278996467590332,0.772096,800
1600.0,9.92495,2.30613,2800.0,0.0,69.30216956138611,0.0381278612634,1671.4431958198547,-0.00658075558022,14.443220376968384,0.483598105401,14.219970464706421,2.29505,10.0355,0.6262493133544922,0.00658075301908,0.0,1036.64174592,0.07206606864929199,-2.60770320892e-08,800,-2.56113708019e-09,896.625,0.767824,14.427540063858032,0.00866189692169,24.0,153.456834322,22.595201015472412,0.6047439575195312,0.763499,800
1900.0,9.86589,2.29017,2900.0,0.0,68.95669484138489,0.0670288421635,1741.7873723506927,-0.0064993519336,14.315855503082275,0.512255972893,14.461326599121094,2.28908,9.87666,0.60196852684021,0.00649935455294,0.0,1120.49034328,0.07556390762329102,3.72529074255e-09,800,2.61934474111e-09,1085.375,0.761824,13.723497152328491,0.00647809775546,49.875,238.275018361,22.904026985168457,0.5994052886962891,0.76122,800
1800.0,9.44622,2.24588,2900.0,0.0,69.53572630882263,0.05081927511,1812.7108063697815,-0.00488633010536,14.020717144012451,0.502349121622,14.408782005310059,2.24562,9.44869,0.6223227977752686,0.00488633081841,0.0,1132.50324917,0.07713961601257324,0.0,800,7.1304384619e-10,1034.625,0.745656,13.937645435333252,0.00671836268157,35.375,190.489131908,23.66372847557068,0.611262321472168,0.74554,800
2200.0,8.98623,2.19279,2900.0,0.0,67.39086580276489,0.0562681718864,1881.3509378433228,-0.00408553890884,14.030604839324951,0.508900189377,13.781880378723145,2.19569,8.9602,0.6126735210418701,0.00408553917077,0.0,1151.56767468,0.07283854484558105,7.45058681417e-09,800,2.61934474111e-10,988.625,0.725725,13.973853588104248,0.00736772548407,30.625,177.83309415,22.094452619552612,0.582972526550293,0.726711,800
2000.0,8.87362,2.18437,2900.0,0.0,70.65052127838135,0.052834510104,1953.06622838974,-0.00716186221689,15.00029993057251,0.52295811698,14.734618186950684,2.18308,8.88504,0.6140365600585938,0.00716186175123,0.0,1095.54777965,0.07035517692565918,-7.4505814851e-09,800,-4.65661287308e-10,999.75,0.722523,14.0630464553833,0.00972420535982,37.375,208.843504508,23.267965078353882,0.6210589408874512,0.722009,800
1800.0,8.7184,2.17177,2900.0,0.0,68.75516629219055,0.0541779819795,2023.23104763031,-0.00749040860683,14.319867849349976,0.494869572391,13.876401424407959,2.16544,8.77377,0.6249985694885254,0.00749040889787,0.0,1084.06687986,0.07248187065124512,-2.23517417908e-08,800,2.91038304567e-10,932.0,0.717981,14.261428594589233,0.00984202232212,35.625,203.269179599,22.857273817062378,0.5879421234130859,0.715639,800
